Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","65 to 74 years","92,146","(+/-2,335)","78,354","(+/-2,053)","86,180","(+/-2,298)","76,371","(+/-2,299)","81,527","(+/-2,229)","80,026","(+/-2,775)","113,414","(+/-2,212)"
People,"Sex and Age","75 to 84 years","49,231","(+/-2,206)","41,045","(+/-1,749)","46,673","(+/-1,973)","38,713","(+/-2,210)","41,426","(+/-2,073)","36,220","(+/-2,259)","55,006","(+/-2,199)"
People,"Sex and Age","85 years and over","15,199","(+/-2,144)","13,372","(+/-1,665)","14,829","(+/-1,598)","12,158","(+/-1,829)","13,113","(+/-1,690)","11,392","(+/-1,545)","12,223","(+/-1,604)"
People,"Sex and Age","Median age (years)",41.3,(+/-0.5),40.0,(+/-0.5),41.3,(+/-0.5),38.4,(+/-0.5),40.5,(+/-0.4),37.1,(+/-0.6),45.0,(+/-0.3)
People,"Sex and Age","18 years and over","603,078","(+/-6,646)","584,179","(+/-7,185)","594,124","(+/-4,820)","587,660","(+/-6,900)","585,824","(+/-5,335)","596,198","(+/-10,666)","614,429","(+/-2,445)"
People,"Sex and Age","65 years and over","156,576","(+/-2,899)","132,771","(+/-2,327)","147,682","(+/-2,336)","127,242","(+/-2,717)","136,066","(+/-2,602)","127,638","(+/-3,475)","180,643","(+/-2,053)"
People,Race,"Total population","762,713","(+/-9,166)","750,640","(+/-9,938)","752,641","(+/-7,718)","754,482","(+/-10,918)","758,549","(+/-7,959)","741,110","(+/-14,295)","762,499","(+/-2,499)"
People,Race,"One race","707,488","(+/-11,550)","700,753","(+/-11,896)","703,779","(+/-7,929)","696,231","(+/-12,002)","709,575","(+/-8,945)","707,193","(+/-14,473)","720,506","(+/-6,658)"
People,Race,White,"534,415","(+/-7,772)","461,698","(+/-5,085)","553,262","(+/-6,921)","501,112","(+/-10,558)","494,754","(+/-7,027)","321,822","(+/-7,632)","494,599","(+/-4,786)"
People,Race,"Black or African American","131,778","(+/-6,744)","203,309","(+/-9,517)","124,726","(+/-5,431)","140,598","(+/-6,904)","175,699","(+/-5,187)","351,745","(+/-12,672)","197,165","(+/-5,404)"
People,Race,"American Indian and Alaska Native","3,565","(+/-3,075)","2,535","(+/-1,993)","2,287","(+/-1,078)","2,268","(+/-1,424)","3,760","(+/-1,480)","2,806","(+/-1,525)","3,159","(+/-1,186)"
People,Race,Asian,"13,109","(+/-1,925)","16,251","(+/-1,916)","6,433","(+/-1,163)","20,880","(+/-2,157)","14,908","(+/-1,481)","10,616","(+/-2,479)","8,360","(+/-1,022)"
People,Race,"Native Hawaiian and Other Pacific Islander",341,(+/-370),283,(+/-404),649,(+/-531),51,(+/-64),244,(+/-249),609,(+/-882),124,(+/-156)
People,Race,"Some other race","24,280","(+/-3,908)","16,677","(+/-3,910)","16,422","(+/-3,132)","31,322","(+/-5,731)","20,210","(+/-4,170)","19,595","(+/-3,718)","17,099","(+/-3,334)"
People,Race,"Two or more races","55,225","(+/-6,295)","49,887","(+/-5,165)","48,862","(+/-5,510)","58,251","(+/-6,409)","48,974","(+/-6,665)","33,917","(+/-5,298)","41,993","(+/-6,216)"
People,"Hispanic or Latino and Race","Total population","762,713","(+/-9,166)","750,640","(+/-9,938)","752,641","(+/-7,718)","754,482","(+/-10,918)","758,549","(+/-7,959)","741,110","(+/-14,295)","762,499","(+/-2,499)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","59,041","(+/-3,091)","48,642","(+/-2,675)","44,736","(+/-3,558)","74,321","(+/-4,288)","43,203","(+/-2,720)","37,623","(+/-4,555)","36,217",(+/-689)
People,"Hispanic or Latino and Race",Mexican,"27,665","(+/-3,515)","21,213","(+/-3,235)","23,696","(+/-2,573)","31,319","(+/-5,008)","19,250","(+/-3,616)","20,276","(+/-4,253)","17,807","(+/-3,939)"
People,"Hispanic or Latino and Race","Puerto Rican","9,962","(+/-2,126)","9,777","(+/-2,718)","7,559","(+/-3,929)","8,720","(+/-3,084)","5,827","(+/-2,167)","5,300","(+/-1,799)","6,859","(+/-1,989)"
People,"Hispanic or Latino and Race",Cuban,"1,225",(+/-675),"1,292",(+/-639),"1,761",(+/-916),"3,225","(+/-1,470)","3,286","(+/-1,595)",725,(+/-497),928,(+/-619)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,189","(+/-4,100)","16,360","(+/-3,106)","11,720","(+/-2,379)","31,057","(+/-5,259)","14,840","(+/-3,225)","11,322","(+/-2,859)","10,623","(+/-3,327)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","703,672","(+/-8,113)","701,998","(+/-10,083)","707,905","(+/-7,461)","680,161","(+/-10,752)","715,346","(+/-7,911)","703,487","(+/-13,526)","726,282","(+/-2,693)"
People,"Place of Birth","Total population","762,713","(+/-9,166)","750,640","(+/-9,938)","752,641","(+/-7,718)","754,482","(+/-10,918)","758,549","(+/-7,959)","741,110","(+/-14,295)","762,499","(+/-2,499)"
People,"Place of Birth",Native,"721,243","(+/-8,869)","713,337","(+/-9,685)","723,571","(+/-8,918)","690,199","(+/-11,678)","722,054","(+/-8,776)","711,717","(+/-13,577)","727,138","(+/-5,116)"
People,"Place of Birth","Born in United States","708,770","(+/-8,873)","700,180","(+/-10,496)","716,835","(+/-8,950)","682,088","(+/-11,569)","710,774","(+/-8,886)","701,830","(+/-13,249)","721,202","(+/-5,196)"
People,"Place of Birth","State of residence","303,111","(+/-11,390)","395,763","(+/-11,494)","458,334","(+/-10,511)","399,651","(+/-10,838)","360,174","(+/-12,968)","469,599","(+/-12,699)","400,407","(+/-9,790)"
People,"Place of Birth","Different state","405,659","(+/-10,429)","304,417","(+/-9,810)","258,501","(+/-10,713)","282,437","(+/-9,537)","350,600","(+/-10,387)","232,231","(+/-9,459)","320,795","(+/-10,429)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,473","(+/-2,075)","13,157","(+/-2,472)","6,736","(+/-1,686)","8,111","(+/-1,842)","11,280","(+/-1,845)","9,887","(+/-2,232)","5,936","(+/-1,639)"
People,"Place of Birth","Foreign born","41,470","(+/-5,062)","37,303","(+/-3,475)","29,070","(+/-3,620)","64,283","(+/-5,421)","36,495","(+/-3,384)","29,393","(+/-3,147)","35,361","(+/-4,957)"
People,Ancestry,"Total population","762,713","(+/-9,166)","750,640","(+/-9,938)","752,641","(+/-7,718)","754,482","(+/-10,918)","758,549","(+/-7,959)","741,110","(+/-14,295)","762,499","(+/-2,499)"
People,Ancestry,American,"60,529","(+/-7,392)","70,185","(+/-7,510)","87,631","(+/-7,928)","60,242","(+/-6,580)","79,678","(+/-7,824)","49,138","(+/-6,937)","74,516","(+/-7,097)"
People,Ancestry,Arab,"3,116","(+/-1,363)","2,245","(+/-1,330)",926,(+/-553),"2,514","(+/-1,217)","1,506",(+/-804),"1,378",(+/-703),"1,575",(+/-840)
People,Ancestry,Czech,"2,072","(+/-1,140)","1,213",(+/-679),"1,080",(+/-560),822,(+/-548),"1,165",(+/-781),822,(+/-445),935,(+/-550)
People,Ancestry,Danish,"1,308",(+/-771),402,(+/-243),397,(+/-250),"1,214",(+/-682),"1,277",(+/-677),"1,106",(+/-509),828,(+/-526)
People,Ancestry,Dutch,"6,457","(+/-1,806)","4,430","(+/-1,617)","6,919","(+/-1,779)","4,586","(+/-1,439)","5,409","(+/-1,888)","1,892",(+/-919),"3,029",(+/-856)
People,Ancestry,English,"114,674","(+/-9,342)","88,383","(+/-6,733)","95,558","(+/-7,130)","103,599","(+/-9,312)","88,604","(+/-7,907)","56,591","(+/-4,847)","107,366","(+/-7,687)"
People,Ancestry,"French (except Basque)","18,805","(+/-3,075)","11,193","(+/-1,986)","9,003","(+/-1,998)","9,264","(+/-1,761)","9,693","(+/-2,075)","10,402","(+/-1,876)","11,123","(+/-2,031)"
People,Ancestry,"French Canadian","4,370","(+/-1,933)","1,836",(+/-850),"1,747",(+/-877),"2,702","(+/-1,000)","2,829","(+/-1,168)","1,320",(+/-661),"3,255","(+/-1,022)"
People,Ancestry,German,"93,304","(+/-7,150)","89,661","(+/-6,781)","68,747","(+/-5,590)","77,252","(+/-7,090)","64,965","(+/-6,077)","45,930","(+/-3,839)","68,351","(+/-6,039)"
People,Ancestry,Greek,"2,458","(+/-1,089)","1,392",(+/-914),"2,309","(+/-1,132)","2,763","(+/-1,227)","1,855","(+/-1,173)","1,829",(+/-803),"2,173","(+/-1,094)"
People,Ancestry,Hungarian,"2,773","(+/-1,086)","1,396",(+/-579),"1,095",(+/-612),"1,057",(+/-580),"1,479",(+/-710),766,(+/-398),"2,037","(+/-1,036)"
People,Ancestry,Irish,"82,010","(+/-6,788)","63,642","(+/-5,884)","67,129","(+/-6,598)","64,694","(+/-6,429)","70,144","(+/-5,805)","43,301","(+/-4,468)","67,063","(+/-5,537)"
People,Ancestry,Italian,"35,336","(+/-4,419)","22,265","(+/-3,342)","17,328","(+/-3,152)","21,324","(+/-3,630)","25,485","(+/-3,700)","16,448","(+/-3,167)","38,037","(+/-4,746)"
People,Ancestry,Lithuanian,"1,033",(+/-474),357,(+/-236),594,(+/-390),"1,330",(+/-877),437,(+/-321),475,(+/-319),350,(+/-228)
People,Ancestry,Norwegian,"6,490","(+/-1,954)","4,610","(+/-2,067)","2,836","(+/-1,199)","4,979","(+/-2,713)","2,702","(+/-1,173)","2,451","(+/-1,211)","2,781","(+/-1,224)"
People,Ancestry,Polish,"16,209","(+/-3,095)","8,199","(+/-1,523)","10,199","(+/-2,434)","9,622","(+/-2,113)","12,065","(+/-2,251)","7,983","(+/-2,016)","10,786","(+/-2,235)"
People,Ancestry,Portuguese,"2,042","(+/-1,129)","1,110",(+/-545),990,(+/-649),"2,228","(+/-1,192)","1,660","(+/-1,038)","1,300",(+/-970),"2,318","(+/-1,074)"
People,Ancestry,Russian,"2,513",(+/-943),"2,235",(+/-733),"1,686",(+/-818),"4,987","(+/-1,773)","2,674","(+/-1,369)","1,917","(+/-1,185)","2,023",(+/-935)
People,Ancestry,Scotch-Irish,"12,216","(+/-2,159)","15,631","(+/-2,758)","13,650","(+/-2,117)","20,458","(+/-4,098)","16,097","(+/-2,755)","7,026","(+/-1,616)","10,977","(+/-2,011)"
People,Ancestry,Scottish,"19,035","(+/-3,391)","17,207","(+/-2,406)","16,142","(+/-3,034)","21,129","(+/-3,009)","14,355","(+/-2,182)","8,344","(+/-1,594)","12,016","(+/-2,281)"
People,Ancestry,Slovak,"2,242","(+/-1,123)",680,(+/-341),"1,106",(+/-713),790,(+/-438),472,(+/-403),327,(+/-235),933,(+/-429)
People,Ancestry,"Subsaharan African","4,225","(+/-1,964)","21,734","(+/-4,953)","6,743","(+/-2,614)","6,921","(+/-2,995)","4,084","(+/-1,487)","10,972","(+/-2,953)","3,879","(+/-1,533)"
People,Ancestry,Swedish,"7,962","(+/-2,365)","4,597","(+/-1,902)","2,681","(+/-1,212)","4,593","(+/-2,005)","6,235","(+/-2,690)","1,541",(+/-701),"3,055",(+/-894)
People,Ancestry,Swiss,"1,519",(+/-810),"1,523",(+/-837),"1,028",(+/-504),"2,158","(+/-1,112)",683,(+/-586),636,(+/-317),446,(+/-272)
People,Ancestry,Ukrainian,"3,035","(+/-1,114)","1,558",(+/-984),"3,067","(+/-1,802)","4,431","(+/-2,368)","2,857","(+/-1,573)",756,(+/-494),"2,110","(+/-1,655)"
People,Ancestry,Welsh,"3,813","(+/-1,359)","2,321",(+/-827),"3,373","(+/-1,077)","5,255","(+/-2,043)","3,780","(+/-1,256)","2,698","(+/-1,064)","3,773","(+/-1,195)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","4,701","(+/-2,704)","2,461","(+/-1,157)",790,(+/-480),"2,555","(+/-1,195)","1,154",(+/-721),"2,959","(+/-1,116)","3,344","(+/-2,245)"
People,"Veteran Status","Civilian population 18 years and over","583,241","(+/-7,148)","573,753","(+/-7,322)","593,216","(+/-4,887)","587,297","(+/-6,927)","581,364","(+/-5,568)","591,869","(+/-10,726)","612,963","(+/-2,667)"
People,"Veteran Status","Civilian veterans","64,302","(+/-4,447)","55,724","(+/-4,089)","43,450","(+/-3,072)","37,346","(+/-3,053)","49,451","(+/-3,246)","44,883","(+/-4,324)","49,508","(+/-3,894)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","739,391","(+/-9,498)","735,986","(+/-10,037)","742,112","(+/-7,630)","747,214","(+/-10,917)","747,042","(+/-8,214)","719,590","(+/-14,272)","754,154","(+/-2,772)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","96,928","(+/-6,253)","109,269","(+/-5,447)","115,565","(+/-5,451)","97,602","(+/-6,222)","101,744","(+/-4,571)","110,881","(+/-6,258)","119,487","(+/-5,505)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","159,456","(+/-4,279)","166,287","(+/-4,843)","158,054","(+/-4,285)","166,638","(+/-5,589)","172,517","(+/-4,364)","144,626","(+/-6,933)","147,968","(+/-1,723)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,149","(+/-2,073)","10,442","(+/-2,108)","6,452","(+/-1,373)","8,545","(+/-2,094)","6,727","(+/-1,737)","6,494","(+/-1,905)","9,002","(+/-1,819)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","425,103","(+/-7,687)","439,505","(+/-6,662)","439,855","(+/-4,805)","455,809","(+/-6,798)","440,863","(+/-5,387)","450,346","(+/-10,130)","428,367","(+/-2,592)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,248","(+/-4,028)","56,334","(+/-4,857)","59,603","(+/-4,096)","49,199","(+/-4,398)","51,177","(+/-3,459)","61,135","(+/-4,524)","55,502","(+/-4,263)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","154,832","(+/-2,910)","130,194","(+/-2,341)","144,203","(+/-2,344)","124,767","(+/-2,730)","133,662","(+/-2,591)","124,618","(+/-3,436)","177,819","(+/-2,052)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","44,531","(+/-3,027)","42,493","(+/-2,901)","49,510","(+/-2,952)","39,858","(+/-3,110)","43,840","(+/-2,956)","43,252","(+/-3,277)","54,983","(+/-3,312)"
People,"Residence 1 Year Ago","Population 1 year and over","756,787","(+/-9,157)","741,599","(+/-10,189)","745,892","(+/-7,659)","745,798","(+/-10,712)","749,246","(+/-8,201)","733,981","(+/-14,240)","755,025","(+/-2,684)"
People,"Residence 1 Year Ago","Same house","641,712","(+/-13,458)","652,997","(+/-11,021)","646,505","(+/-11,947)","643,745","(+/-13,791)","654,768","(+/-10,939)","621,931","(+/-14,755)","663,337","(+/-7,650)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","115,075","(+/-10,765)","88,602","(+/-7,611)","99,387","(+/-10,287)","102,053","(+/-8,955)","94,478","(+/-8,318)","112,050","(+/-8,546)","91,688","(+/-7,485)"
People,"Residence 1 Year Ago","Different house in the U.S.","112,015","(+/-10,646)","84,379","(+/-7,412)","97,828","(+/-10,272)","97,603","(+/-8,946)","91,317","(+/-8,277)","107,700","(+/-8,281)","90,276","(+/-7,540)"
People,"Residence 1 Year Ago","Same county","40,552","(+/-7,508)","36,534","(+/-4,970)","40,798","(+/-7,230)","45,464","(+/-5,927)","39,190","(+/-6,320)","43,495","(+/-6,070)","41,874","(+/-6,641)"
People,"Residence 1 Year Ago","Different county","71,463","(+/-7,097)","47,845","(+/-6,168)","57,030","(+/-6,916)","52,139","(+/-6,816)","52,127","(+/-5,984)","64,205","(+/-4,847)","48,402","(+/-6,470)"
People,"Residence 1 Year Ago","Same state","22,995","(+/-4,929)","20,395","(+/-3,737)","30,503","(+/-3,870)","23,746","(+/-4,235)","23,884","(+/-4,262)","35,644","(+/-4,048)","16,337","(+/-3,938)"
People,"Residence 1 Year Ago","Different state","48,468","(+/-5,853)","27,450","(+/-4,534)","26,527","(+/-5,522)","28,393","(+/-4,649)","28,243","(+/-4,260)","28,561","(+/-3,754)","32,065","(+/-4,412)"
People,"Residence 1 Year Ago",Abroad,"3,060","(+/-1,393)","4,223","(+/-2,068)","1,559",(+/-928),"4,450","(+/-1,947)","3,161","(+/-1,477)","4,350","(+/-1,769)","1,412",(+/-988)
Workers,"Employment Status","Population 16 years and over","621,990","(+/-7,013)","604,028","(+/-8,111)","612,113","(+/-5,181)","607,044","(+/-8,065)","604,272","(+/-5,733)","613,321","(+/-11,114)","631,826","(+/-2,985)"
Workers,"Employment Status","In labor force","391,089","(+/-7,379)","380,519","(+/-8,681)","345,172","(+/-7,334)","390,646","(+/-8,234)","377,140","(+/-7,574)","370,381","(+/-9,848)","352,738","(+/-7,697)"
Workers,"Employment Status","Civilian labor force","371,172","(+/-7,881)","369,996","(+/-8,573)","344,264","(+/-7,313)","390,283","(+/-8,244)","372,680","(+/-7,598)","366,052","(+/-9,690)","351,272","(+/-7,727)"
Workers,"Employment Status",Employed,"361,062","(+/-7,768)","352,390","(+/-8,717)","330,180","(+/-7,574)","373,111","(+/-7,909)","358,007","(+/-7,507)","344,864","(+/-9,237)","334,433","(+/-8,028)"
Workers,"Employment Status",Unemployed,"10,110","(+/-1,779)","17,606","(+/-2,930)","14,084","(+/-2,519)","17,172","(+/-2,813)","14,673","(+/-2,382)","21,188","(+/-3,161)","16,839","(+/-2,756)"
Workers,"Employment Status","Armed Forces","19,917","(+/-2,487)","10,523","(+/-1,877)",908,(+/-560),363,(+/-355),"4,460","(+/-1,309)","4,329","(+/-1,376)","1,466","(+/-1,152)"
Workers,"Employment Status","Not in labor force","230,901","(+/-6,623)","223,509","(+/-5,626)","266,941","(+/-6,603)","216,398","(+/-6,237)","227,132","(+/-7,643)","242,940","(+/-7,588)","279,088","(+/-7,697)"
Workers,"Employment Status","Civilian labor force","371,172","(+/-7,881)","369,996","(+/-8,573)","344,264","(+/-7,313)","390,283","(+/-8,244)","372,680","(+/-7,598)","366,052","(+/-9,690)","351,272","(+/-7,727)"
Workers,"Employment Status","Unemployment Rate",2.7,(+/-0.5),4.8,(+/-0.8),4.1,(+/-0.7),4.4,(+/-0.7),3.9,(+/-0.6),5.8,(+/-0.8),4.8,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over","372,984","(+/-7,250)","356,776","(+/-8,880)","323,998","(+/-7,491)","366,754","(+/-8,026)","354,834","(+/-7,554)","342,834","(+/-9,303)","330,123","(+/-7,805)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","266,666","(+/-8,006)","276,323","(+/-7,486)","262,591","(+/-7,380)","283,554","(+/-8,515)","276,322","(+/-7,041)","254,918","(+/-9,299)","249,394","(+/-7,182)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","32,191","(+/-4,059)","27,292","(+/-3,417)","27,605","(+/-2,772)","30,590","(+/-4,535)","25,417","(+/-2,909)","31,541","(+/-4,125)","33,760","(+/-3,853)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",613,(+/-434),854,(+/-496),"1,019",(+/-584),"1,052",(+/-633),560,(+/-445),"4,134","(+/-1,530)","1,034",(+/-605)
Workers,"Commuting to Work",Walked,"8,060","(+/-1,831)","5,093","(+/-1,594)","4,984",(+/-997),"3,232","(+/-1,033)","3,314","(+/-1,127)","10,114","(+/-2,195)","3,500","(+/-1,362)"
Workers,"Commuting to Work","Other means","5,722","(+/-1,564)","4,974","(+/-2,295)","5,278","(+/-1,300)","4,384","(+/-1,303)","5,909","(+/-1,521)","6,692","(+/-1,735)","9,436","(+/-2,233)"
Workers,"Commuting to Work","Worked from home","59,732","(+/-5,360)","42,240","(+/-3,936)","22,521","(+/-2,837)","43,942","(+/-3,731)","43,312","(+/-4,332)","35,435","(+/-3,666)","32,999","(+/-4,019)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.4,(+/-0.9),26.2,(+/-1.0),25.9,(+/-0.9),23.4,(+/-0.6),27.1,(+/-0.7),25.6,(+/-0.7),23.6,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","361,062","(+/-7,768)","352,390","(+/-8,717)","330,180","(+/-7,574)","373,111","(+/-7,909)","358,007","(+/-7,507)","344,864","(+/-9,237)","334,433","(+/-8,028)"
Workers,Occupation,"Management, business, science, and arts occupations","158,974","(+/-7,000)","149,552","(+/-5,961)","117,969","(+/-5,654)","149,984","(+/-6,901)","139,597","(+/-6,500)","125,467","(+/-6,541)","111,008","(+/-6,418)"
Workers,Occupation,"Service occupations","52,407","(+/-4,062)","53,327","(+/-4,181)","55,606","(+/-4,163)","55,929","(+/-4,132)","49,250","(+/-3,340)","69,514","(+/-5,689)","64,718","(+/-5,715)"
Workers,Occupation,"Sales and office occupations","80,753","(+/-5,247)","71,312","(+/-5,802)","62,934","(+/-4,783)","76,521","(+/-5,436)","71,564","(+/-5,048)","68,277","(+/-5,179)","78,159","(+/-4,932)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","25,927","(+/-3,287)","29,111","(+/-2,998)","32,805","(+/-3,095)","28,240","(+/-3,593)","30,605","(+/-2,894)","27,380","(+/-3,424)","31,626","(+/-3,694)"
Workers,Occupation,"Production, transportation, and material moving occupations","43,001","(+/-4,602)","49,088","(+/-4,558)","60,866","(+/-4,371)","62,437","(+/-4,494)","66,991","(+/-4,629)","54,226","(+/-5,333)","48,922","(+/-4,114)"
Workers,Industry,"Civilian employed population 16 years and over","361,062","(+/-7,768)","352,390","(+/-8,717)","330,180","(+/-7,574)","373,111","(+/-7,909)","358,007","(+/-7,507)","344,864","(+/-9,237)","334,433","(+/-8,028)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","2,748","(+/-1,489)","2,227","(+/-1,013)","3,755","(+/-1,072)","1,109",(+/-615),"2,550",(+/-941),"3,914","(+/-1,073)","2,797",(+/-870)
Workers,Industry,Construction,"22,470","(+/-2,591)","19,401","(+/-2,464)","22,709","(+/-2,398)","25,208","(+/-3,715)","25,732","(+/-3,078)","21,873","(+/-2,815)","25,453","(+/-3,247)"
Workers,Industry,Manufacturing,"33,085","(+/-3,653)","37,312","(+/-4,009)","61,037","(+/-5,045)","65,008","(+/-3,946)","57,132","(+/-4,538)","33,854","(+/-4,285)","33,584","(+/-3,157)"
Workers,Industry,"Wholesale trade","6,522","(+/-1,249)","7,344","(+/-2,078)","5,708","(+/-1,673)","9,787","(+/-2,035)","9,042","(+/-1,751)","5,747","(+/-1,492)","6,932","(+/-1,644)"
Workers,Industry,"Retail trade","42,635","(+/-4,487)","39,580","(+/-4,287)","39,404","(+/-3,810)","38,834","(+/-4,696)","37,257","(+/-3,692)","37,540","(+/-3,647)","41,613","(+/-4,008)"
Workers,Industry,"Transportation and warehousing, and utilities","22,141","(+/-2,800)","22,017","(+/-2,656)","16,695","(+/-2,748)","18,193","(+/-2,473)","20,960","(+/-2,409)","22,839","(+/-2,856)","18,803","(+/-3,026)"
Workers,Industry,Information,"6,958","(+/-1,515)","6,583","(+/-1,854)","2,875","(+/-1,021)","6,099","(+/-1,360)","6,864","(+/-1,545)","5,749","(+/-1,256)","4,933","(+/-1,324)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","26,724","(+/-3,458)","21,837","(+/-3,199)","14,801","(+/-2,255)","25,670","(+/-3,409)","27,704","(+/-2,871)","16,539","(+/-2,616)","22,512","(+/-2,799)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","54,212","(+/-4,618)","44,553","(+/-3,264)","27,514","(+/-3,364)","46,718","(+/-4,107)","34,928","(+/-3,147)","38,393","(+/-3,772)","34,294","(+/-3,062)"
Workers,Industry,"Educational services, and health care and social assistance","73,503","(+/-4,551)","82,969","(+/-4,718)","82,207","(+/-5,515)","73,774","(+/-5,167)","76,672","(+/-4,897)","83,640","(+/-5,820)","75,421","(+/-5,032)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","39,325","(+/-4,123)","24,008","(+/-2,868)","26,154","(+/-2,623)","36,286","(+/-4,383)","28,677","(+/-2,776)","41,519","(+/-4,082)","40,481","(+/-4,783)"
Workers,Industry,"Other services, except public administration","16,584","(+/-2,958)","19,496","(+/-3,049)","16,449","(+/-1,981)","16,016","(+/-2,212)","17,700","(+/-2,644)","14,935","(+/-2,372)","14,745","(+/-2,592)"
Workers,Industry,"Public administration","14,155","(+/-2,433)","25,063","(+/-3,120)","10,872","(+/-1,709)","10,409","(+/-2,164)","12,789","(+/-2,012)","18,322","(+/-2,762)","12,865","(+/-2,142)"
