Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Sex and Age","45 to 54 years","90,084","(+/-2,011)","92,840","(+/-2,561)","86,098","(+/-3,479)","95,329","(+/-4,755)","99,500","(+/-5,301)","95,238","(+/-5,398)","99,957","(+/-2,679)","91,516","(+/-1,879)","111,922","(+/-4,457)","90,187","(+/-4,992)","98,972","(+/-5,103)","95,496","(+/-3,130)","92,540","(+/-2,632)","102,915","(+/-6,534)","103,130","(+/-5,943)","101,272","(+/-5,236)","89,527","(+/-3,191)","91,727","(+/-3,993)","85,522","(+/-3,236)","93,472","(+/-6,013)","96,292","(+/-3,644)","93,354","(+/-4,344)","94,764","(+/-5,116)","103,942","(+/-5,916)","111,299","(+/-4,923)","114,756","(+/-5,803)","102,079","(+/-5,205)","110,433","(+/-5,828)"
People,"Sex and Age","55 to 59 years","51,934","(+/-3,017)","47,512","(+/-2,961)","46,329","(+/-3,402)","54,335","(+/-4,086)","49,949","(+/-3,912)","53,761","(+/-3,825)","54,379","(+/-3,709)","58,179","(+/-3,193)","47,706","(+/-3,651)","44,847","(+/-3,615)","46,798","(+/-4,433)","52,687","(+/-3,226)","61,435","(+/-2,779)","51,132","(+/-4,536)","52,173","(+/-4,011)","53,501","(+/-3,564)","59,228","(+/-4,163)","48,187","(+/-3,621)","53,547","(+/-3,514)","46,414","(+/-4,370)","60,657","(+/-4,386)","51,668","(+/-4,040)","51,544","(+/-4,872)","51,323","(+/-4,819)","59,830","(+/-4,080)","56,709","(+/-4,062)","55,945","(+/-4,191)","50,383","(+/-4,129)"
People,"Sex and Age","60 to 64 years","54,773","(+/-2,825)","54,166","(+/-2,536)","51,464","(+/-3,277)","53,662","(+/-3,161)","49,970","(+/-4,534)","64,801","(+/-4,714)","53,000","(+/-3,715)","67,055","(+/-3,051)","46,358","(+/-4,191)","44,227","(+/-3,971)","52,692","(+/-4,179)","61,158","(+/-3,659)","68,347","(+/-2,983)","44,806","(+/-3,948)","50,956","(+/-4,215)","54,144","(+/-4,429)","71,142","(+/-3,753)","50,628","(+/-3,254)","64,983","(+/-3,691)","50,074","(+/-3,947)","58,808","(+/-3,584)","51,194","(+/-3,522)","56,118","(+/-4,250)","49,469","(+/-3,760)","48,892","(+/-4,308)","49,884","(+/-4,393)","51,745","(+/-3,893)","45,965","(+/-4,078)"
People,"Sex and Age","65 to 74 years","82,305","(+/-1,498)","84,509","(+/-1,574)","96,050","(+/-3,083)","80,850","(+/-3,677)","81,537","(+/-3,682)","123,825","(+/-4,910)","92,683","(+/-2,462)","116,329","(+/-1,006)","68,333","(+/-3,603)","56,059","(+/-3,944)","115,967","(+/-4,511)","113,477","(+/-2,772)","113,176","(+/-2,600)","73,432","(+/-3,960)","78,480","(+/-4,832)","104,058","(+/-3,584)","145,599","(+/-2,589)","94,513","(+/-2,950)","139,797","(+/-3,251)","75,629","(+/-4,729)","109,715","(+/-2,592)","100,763","(+/-3,588)","85,237","(+/-5,179)","77,002","(+/-3,598)","71,978","(+/-4,483)","77,984","(+/-4,296)","73,357","(+/-4,552)","71,370","(+/-3,945)"
People,"Sex and Age","75 to 84 years","41,767","(+/-2,021)","42,487","(+/-1,757)","58,142","(+/-2,738)","38,202","(+/-2,502)","44,855","(+/-3,225)","79,794","(+/-3,756)","48,185","(+/-2,471)","73,250","(+/-2,959)","38,191","(+/-3,069)","28,887","(+/-2,372)","76,068","(+/-3,708)","74,195","(+/-2,276)","73,516","(+/-3,131)","40,277","(+/-2,922)","45,689","(+/-3,174)","65,865","(+/-3,119)","111,427","(+/-3,531)","64,552","(+/-3,411)","106,307","(+/-4,138)","44,407","(+/-4,548)","82,328","(+/-3,575)","78,686","(+/-3,504)","56,689","(+/-4,668)","39,067","(+/-3,341)","43,211","(+/-3,956)","54,702","(+/-3,455)","43,274","(+/-3,356)","44,588","(+/-3,206)"
People,"Sex and Age","85 years and over","13,738","(+/-1,852)","13,187","(+/-1,687)","18,943","(+/-2,149)","12,271","(+/-1,979)","13,231","(+/-1,976)","23,195","(+/-2,429)","17,905","(+/-2,206)","25,918","(+/-2,837)","10,597","(+/-2,058)","12,883","(+/-2,004)","19,549","(+/-2,586)","23,324","(+/-2,257)","28,493","(+/-2,792)","15,706","(+/-2,233)","11,612","(+/-1,860)","19,558","(+/-2,396)","33,083","(+/-3,287)","17,355","(+/-2,194)","33,109","(+/-2,907)","18,250","(+/-3,032)","25,980","(+/-2,726)","31,898","(+/-3,462)","22,337","(+/-2,919)","15,178","(+/-2,029)","15,476","(+/-2,555)","18,174","(+/-2,454)","27,624","(+/-3,186)","13,218","(+/-1,936)"
People,"Sex and Age","Median age (years)",39.0,(+/-0.4),38.8,(+/-0.4),40.5,(+/-0.6),38.2,(+/-0.7),39.3,(+/-0.7),49.2,(+/-0.9),42.3,(+/-0.5),48.9,(+/-0.3),38.5,(+/-0.8),34.9,(+/-0.6),44.9,(+/-0.8),47.0,(+/-0.6),51.5,(+/-0.5),39.0,(+/-0.8),38.9,(+/-0.9),43.4,(+/-0.9),55.1,(+/-0.6),40.2,(+/-0.8),54.6,(+/-0.7),39.8,(+/-1.0),48.0,(+/-0.6),46.7,(+/-0.9),43.1,(+/-1.0),39.7,(+/-1.0),41.9,(+/-0.8),42.6,(+/-0.7),42.2,(+/-0.9),41.4,(+/-0.7)
People,"Sex and Age","18 years and over","620,964","(+/-2,540)","639,958","(+/-3,284)","640,669","(+/-6,702)","612,291","(+/-11,476)","636,806","(+/-11,962)","673,981","(+/-13,703)","637,131","(+/-6,127)","663,035","(+/-1,856)","642,909","(+/-13,527)","618,134","(+/-14,927)","656,515","(+/-12,877)","655,313","(+/-7,321)","648,292","(+/-6,117)","636,852","(+/-13,624)","642,844","(+/-14,423)","658,011","(+/-12,195)","713,867","(+/-6,462)","652,689","(+/-10,090)","685,957","(+/-9,165)","600,256","(+/-13,978)","660,633","(+/-8,044)","644,653","(+/-10,499)","616,434","(+/-13,266)","625,681","(+/-15,696)","615,073","(+/-10,643)","636,967","(+/-13,322)","623,444","(+/-15,136)","590,570","(+/-13,255)"
People,"Sex and Age","65 years and over","137,810","(+/-1,682)","140,183","(+/-1,820)","173,135","(+/-3,323)","131,323","(+/-4,216)","139,623","(+/-4,424)","226,814","(+/-6,661)","158,773","(+/-3,494)","215,497",(+/-843),"117,121","(+/-4,776)","97,829","(+/-4,883)","211,584","(+/-6,122)","210,996","(+/-3,389)","215,185","(+/-3,440)","129,415","(+/-5,255)","135,781","(+/-5,516)","189,481","(+/-3,869)","290,109","(+/-3,110)","176,420","(+/-4,042)","279,213","(+/-4,751)","138,286","(+/-7,237)","218,023","(+/-4,390)","211,347","(+/-5,234)","164,263","(+/-8,596)","131,247","(+/-5,391)","130,665","(+/-7,351)","150,860","(+/-5,847)","144,255","(+/-6,327)","129,176","(+/-5,393)"
People,Race,"Total population","789,347","(+/-4,092)","792,422","(+/-4,329)","794,723","(+/-9,231)","801,792","(+/-16,022)","801,685","(+/-16,985)","812,621","(+/-16,345)","788,222","(+/-7,535)","801,682","(+/-2,068)","821,662","(+/-19,029)","766,928","(+/-20,897)","822,462","(+/-17,755)","806,076","(+/-9,606)","763,693","(+/-6,100)","782,155","(+/-17,877)","817,831","(+/-21,314)","824,961","(+/-16,011)","839,779","(+/-9,671)","833,693","(+/-12,709)","802,244","(+/-12,054)","768,934","(+/-16,999)","807,943","(+/-10,348)","783,947","(+/-14,821)","768,707","(+/-15,272)","791,673","(+/-18,650)","767,802","(+/-11,806)","796,673","(+/-15,683)","754,619","(+/-18,976)","740,547","(+/-18,599)"
People,Race,"One race","715,986","(+/-6,633)","731,634","(+/-7,295)","712,671","(+/-11,718)","733,570","(+/-16,921)","709,145","(+/-16,783)","728,525","(+/-16,874)","679,927","(+/-10,874)","718,958","(+/-7,152)","616,744","(+/-20,447)","618,936","(+/-19,267)","683,208","(+/-13,987)","722,943","(+/-9,541)","687,490","(+/-7,481)","615,012","(+/-16,671)","663,785","(+/-17,891)","710,510","(+/-16,255)","729,460","(+/-10,096)","710,993","(+/-14,476)","675,382","(+/-12,734)","624,721","(+/-18,041)","703,769","(+/-12,080)","660,566","(+/-13,556)","609,808","(+/-17,438)","586,459","(+/-17,949)","529,420","(+/-14,292)","384,717","(+/-16,178)","346,448","(+/-13,377)","381,626","(+/-16,531)"
People,Race,White,"564,088","(+/-5,831)","514,568","(+/-6,202)","541,473","(+/-10,440)","442,806","(+/-10,566)","535,134","(+/-12,269)","592,303","(+/-15,019)","511,204","(+/-8,286)","595,597","(+/-5,351)","296,672","(+/-14,913)","305,989","(+/-13,352)","490,878","(+/-12,686)","631,421","(+/-7,416)","586,130","(+/-7,167)","393,580","(+/-12,175)","440,806","(+/-15,294)","529,263","(+/-13,783)","642,320","(+/-9,602)","471,881","(+/-11,894)","585,941","(+/-11,279)","180,226","(+/-10,356)","538,169","(+/-9,553)","400,971","(+/-10,017)","415,404","(+/-13,284)","193,228","(+/-11,491)","328,637","(+/-13,065)","245,130","(+/-13,115)","234,161","(+/-10,011)","237,596","(+/-12,243)"
People,Race,"Black or African American","101,496","(+/-3,336)","177,862","(+/-4,392)","119,907","(+/-6,842)","242,589","(+/-11,357)","93,805","(+/-9,697)","84,720","(+/-6,722)","74,116","(+/-5,352)","74,325","(+/-4,543)","94,511","(+/-10,103)","196,934","(+/-9,716)","107,103","(+/-10,625)","40,187","(+/-3,589)","51,761","(+/-5,536)","136,992","(+/-11,264)","109,294","(+/-11,380)","107,265","(+/-10,333)","47,302","(+/-5,054)","111,404","(+/-6,487)","45,987","(+/-5,688)","375,199","(+/-15,191)","103,756","(+/-7,457)","143,735","(+/-9,467)","118,488","(+/-13,722)","314,952","(+/-15,097)","115,815","(+/-9,591)","47,669","(+/-7,539)","39,875","(+/-5,802)","68,371","(+/-9,000)"
People,Race,"American Indian and Alaska Native","2,304",(+/-823),"3,808","(+/-1,449)","2,213","(+/-1,418)","1,383",(+/-721),"1,603","(+/-1,243)","2,045","(+/-1,454)","1,963",(+/-763),"3,303","(+/-2,029)","4,173","(+/-5,188)","3,277","(+/-1,979)","4,224","(+/-3,196)","2,488",(+/-765),"1,722",(+/-871),"3,137","(+/-1,605)","7,441","(+/-3,400)","3,348","(+/-2,037)","2,434","(+/-1,976)","7,728","(+/-3,343)","4,171","(+/-2,949)","2,573","(+/-1,504)","2,677","(+/-1,726)","1,734",(+/-885),"2,032","(+/-1,361)","3,017","(+/-1,641)","1,469",(+/-683),"9,387","(+/-3,876)","2,083","(+/-1,412)","3,111","(+/-2,915)"
People,Race,Asian,"21,496","(+/-3,176)","15,296","(+/-1,517)","22,115","(+/-2,160)","18,001","(+/-3,421)","48,658","(+/-3,842)","13,315","(+/-2,605)","33,928","(+/-2,226)","18,367","(+/-1,681)","34,345","(+/-6,526)","37,413","(+/-5,392)","30,235","(+/-4,793)","16,158","(+/-2,885)","25,465","(+/-3,092)","30,797","(+/-4,776)","37,897","(+/-5,659)","26,875","(+/-4,127)","13,963","(+/-1,667)","11,898","(+/-1,947)","14,309","(+/-2,109)","21,204","(+/-4,577)","21,466","(+/-3,416)","21,136","(+/-2,975)","27,409","(+/-4,825)","12,042","(+/-2,251)","30,698","(+/-4,873)","9,492","(+/-2,738)","14,716","(+/-2,297)","11,818","(+/-2,720)"
People,Race,"Native Hawaiian and Other Pacific Islander",754,(+/-567),746,(+/-642),189,(+/-335),265,(+/-233),334,(+/-316),577,(+/-616),163,(+/-237),572,(+/-167),"1,051","(+/-1,299)","1,054",(+/-929),63,(+/-116),970,(+/-906),428,(+/-404),"1,034",(+/-749),347,(+/-356),62,(+/-112),359,(+/-317),126,(+/-102),168,(+/-204),0,(+/-239),685,(+/-617),700,(+/-636),458,(+/-402),70,(+/-122),649,(+/-624),155,(+/-279),264,(+/-440),203,(+/-332)
People,Race,"Some other race","25,848","(+/-3,866)","19,354","(+/-3,141)","26,774","(+/-5,778)","28,526","(+/-6,197)","29,611","(+/-6,610)","35,565","(+/-6,477)","58,553","(+/-7,748)","26,794","(+/-5,047)","185,992","(+/-14,976)","74,269","(+/-9,620)","50,705","(+/-7,607)","31,719","(+/-4,642)","21,984","(+/-4,240)","49,472","(+/-6,479)","68,000","(+/-9,320)","43,697","(+/-8,315)","23,082","(+/-4,509)","107,956","(+/-10,655)","24,806","(+/-4,969)","45,519","(+/-7,840)","37,016","(+/-5,726)","92,290","(+/-8,568)","46,017","(+/-7,058)","63,150","(+/-9,189)","52,152","(+/-8,204)","72,884","(+/-7,491)","55,349","(+/-7,753)","60,527","(+/-7,868)"
People,Race,"Two or more races","73,361","(+/-5,940)","60,788","(+/-5,179)","82,052","(+/-7,354)","68,222","(+/-8,211)","92,540","(+/-9,795)","84,096","(+/-9,493)","108,295","(+/-8,501)","82,724","(+/-6,598)","204,918","(+/-15,046)","147,992","(+/-12,807)","139,254","(+/-12,407)","83,133","(+/-7,091)","76,203","(+/-5,945)","167,143","(+/-10,791)","154,046","(+/-10,385)","114,451","(+/-12,127)","110,319","(+/-9,117)","122,700","(+/-8,963)","126,862","(+/-10,912)","144,213","(+/-12,314)","104,174","(+/-10,394)","123,381","(+/-11,448)","158,899","(+/-10,406)","205,214","(+/-13,822)","238,382","(+/-12,182)","411,956","(+/-12,473)","408,171","(+/-15,919)","358,921","(+/-15,234)"
People,"Hispanic or Latino and Race","Total population","789,347","(+/-4,092)","792,422","(+/-4,329)","794,723","(+/-9,231)","801,792","(+/-16,022)","801,685","(+/-16,985)","812,621","(+/-16,345)","788,222","(+/-7,535)","801,682","(+/-2,068)","821,662","(+/-19,029)","766,928","(+/-20,897)","822,462","(+/-17,755)","806,076","(+/-9,606)","763,693","(+/-6,100)","782,155","(+/-17,877)","817,831","(+/-21,314)","824,961","(+/-16,011)","839,779","(+/-9,671)","833,693","(+/-12,709)","802,244","(+/-12,054)","768,934","(+/-16,999)","807,943","(+/-10,348)","783,947","(+/-14,821)","768,707","(+/-15,272)","791,673","(+/-18,650)","767,802","(+/-11,806)","796,673","(+/-15,683)","754,619","(+/-18,976)","740,547","(+/-18,599)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","60,823","(+/-1,396)","55,194","(+/-1,853)","95,560","(+/-5,615)","77,181","(+/-6,894)","98,974","(+/-7,220)","101,769","(+/-9,153)","176,101","(+/-4,855)","99,341",(+/-468),"435,376","(+/-14,551)","232,132","(+/-14,947)","162,582","(+/-10,999)","120,058","(+/-5,368)","83,584","(+/-3,465)","224,523","(+/-12,057)","231,799","(+/-13,214)","166,305","(+/-10,562)","132,197","(+/-7,655)","254,940","(+/-6,824)","151,628","(+/-8,265)","188,630","(+/-12,892)","149,420","(+/-7,634)","215,856","(+/-10,261)","173,777","(+/-12,467)","314,495","(+/-16,586)","345,512","(+/-12,719)","584,671","(+/-12,918)","551,539","(+/-17,954)","541,072","(+/-15,664)"
People,"Hispanic or Latino and Race",Mexican,"22,987","(+/-3,498)","13,425","(+/-2,020)","12,341","(+/-3,235)","9,660","(+/-3,295)","11,973","(+/-2,981)","30,155","(+/-5,385)","17,746","(+/-5,028)","18,852","(+/-3,845)","16,937","(+/-5,400)","22,100","(+/-4,682)","24,319","(+/-7,224)","14,385","(+/-3,607)","23,012","(+/-4,755)","17,287","(+/-3,491)","43,557","(+/-6,560)","48,613","(+/-6,051)","32,273","(+/-6,886)","103,712","(+/-11,019)","31,507","(+/-5,249)","22,264","(+/-5,532)","22,075","(+/-5,100)","30,641","(+/-5,222)","15,089","(+/-4,291)","11,015","(+/-3,007)","15,357","(+/-4,122)","40,661","(+/-6,450)","19,946","(+/-5,135)","30,245","(+/-7,071)"
People,"Hispanic or Latino and Race","Puerto Rican","10,326","(+/-2,914)","9,578","(+/-2,247)","37,976","(+/-5,296)","28,828","(+/-5,330)","28,787","(+/-5,202)","38,430","(+/-7,236)","77,753","(+/-8,190)","31,120","(+/-4,510)","202,905","(+/-17,562)","100,005","(+/-9,139)","59,259","(+/-8,323)","48,871","(+/-5,702)","22,185","(+/-3,693)","53,247","(+/-7,092)","72,364","(+/-8,246)","41,154","(+/-8,677)","24,656","(+/-4,434)","78,750","(+/-8,495)","24,339","(+/-4,746)","31,373","(+/-4,742)","27,617","(+/-4,915)","29,370","(+/-5,051)","25,434","(+/-4,942)","17,403","(+/-3,683)","38,677","(+/-6,482)","27,773","(+/-5,680)","24,244","(+/-4,756)","27,385","(+/-3,749)"
People,"Hispanic or Latino and Race",Cuban,"1,725",(+/-689),"6,849","(+/-1,630)","14,609","(+/-3,435)","10,725","(+/-2,977)","10,164","(+/-2,822)","7,453","(+/-2,424)","19,332","(+/-4,908)","14,423","(+/-3,967)","31,481","(+/-8,494)","20,442","(+/-4,239)","11,658","(+/-3,319)","16,652","(+/-3,808)","10,879","(+/-2,772)","75,219","(+/-7,632)","34,751","(+/-5,385)","16,422","(+/-5,189)","32,615","(+/-6,290)","21,684","(+/-5,087)","42,091","(+/-6,809)","27,445","(+/-5,747)","20,417","(+/-5,350)","37,123","(+/-6,943)","21,042","(+/-4,369)","103,183","(+/-9,265)","81,310","(+/-8,575)","300,888","(+/-11,960)","284,636","(+/-13,688)","281,087","(+/-17,451)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","25,785","(+/-3,381)","25,342","(+/-2,958)","30,634","(+/-4,246)","27,968","(+/-6,656)","48,050","(+/-7,819)","25,731","(+/-5,072)","61,270","(+/-7,308)","34,946","(+/-5,027)","184,053","(+/-14,710)","89,585","(+/-11,595)","67,346","(+/-8,334)","40,150","(+/-5,752)","27,508","(+/-4,255)","78,770","(+/-8,399)","81,127","(+/-9,295)","60,116","(+/-8,236)","42,653","(+/-7,225)","50,794","(+/-7,712)","53,691","(+/-6,654)","107,548","(+/-10,816)","79,311","(+/-8,684)","118,722","(+/-12,236)","112,212","(+/-10,889)","182,894","(+/-12,506)","210,168","(+/-13,592)","215,349","(+/-12,831)","222,713","(+/-15,104)","202,355","(+/-13,851)"
