Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","85 years and over","14,056","(+/-1,550)","9,984","(+/-1,697)","12,330","(+/-1,584)","11,705","(+/-1,262)","17,552","(+/-1,907)","12,005","(+/-1,517)","12,880","(+/-1,604)","12,257","(+/-2,147)","12,106","(+/-1,395)","13,241","(+/-1,632)","19,523","(+/-1,828)","7,835","(+/-1,367)","8,887","(+/-1,499)","9,723","(+/-1,255)"
People,"Sex and Age","Median age (years)",40.7,(+/-0.5),36.8,(+/-0.6),37.8,(+/-0.4),37.4,(+/-0.3),41.6,(+/-0.5),39.0,(+/-0.6),41.8,(+/-0.4),40.5,(+/-0.6),36.5,(+/-0.4),42.9,(+/-0.5),45.7,(+/-0.4),35.8,(+/-0.6),38.9,(+/-0.9),36.8,(+/-0.6)
People,"Sex and Age","18 years and over","596,010","(+/-3,197)","608,314","(+/-7,933)","589,126","(+/-5,135)","611,131",(+/-886),"601,751","(+/-6,339)","591,849","(+/-5,690)","616,901","(+/-3,026)","587,870","(+/-4,943)","589,442","(+/-5,130)","608,000","(+/-3,797)","623,729","(+/-2,829)","588,296","(+/-10,747)","594,132","(+/-9,422)","599,494","(+/-10,899)"
People,"Sex and Age","65 years and over","148,661","(+/-2,097)","99,045","(+/-3,976)","140,264","(+/-2,021)","124,102","(+/-1,311)","152,072","(+/-2,616)","128,412","(+/-2,639)","163,382","(+/-1,597)","129,603","(+/-2,631)","132,420","(+/-2,027)","148,339","(+/-2,582)","188,163","(+/-1,934)","94,895","(+/-4,076)","114,515","(+/-4,214)","102,741","(+/-3,664)"
People,Race,"Total population","753,536","(+/-3,864)","779,106","(+/-11,154)","756,848","(+/-6,634)","761,039",(+/-330),"754,512","(+/-8,183)","751,852","(+/-7,558)","774,574","(+/-3,997)","760,699","(+/-7,094)","769,258","(+/-7,777)","768,814","(+/-5,865)","756,051","(+/-3,922)","770,376","(+/-14,600)","776,185","(+/-13,612)","766,123","(+/-14,373)"
People,Race,"One race","711,694","(+/-6,180)","715,645","(+/-12,780)","677,794","(+/-8,472)","708,963","(+/-7,038)","701,456","(+/-8,993)","699,679","(+/-10,449)","722,210","(+/-6,631)","704,846","(+/-9,424)","700,883","(+/-9,467)","706,732","(+/-9,477)","704,046","(+/-5,934)","707,977","(+/-15,220)","702,311","(+/-14,045)","684,365","(+/-14,141)"
People,Race,White,"364,397","(+/-4,602)","458,516","(+/-8,655)","500,090","(+/-5,686)","419,442","(+/-3,548)","564,108","(+/-5,796)","392,948","(+/-6,825)","494,350","(+/-4,020)","536,698","(+/-5,705)","452,969","(+/-5,912)","597,575","(+/-7,276)","639,959","(+/-4,364)","322,702","(+/-9,074)","469,354","(+/-10,108)","437,314","(+/-9,136)"
People,Race,"Black or African American","304,307","(+/-6,516)","141,711","(+/-9,763)","127,295","(+/-5,727)","190,316","(+/-4,216)","94,077","(+/-5,619)","228,836","(+/-7,600)","139,243","(+/-4,925)","103,239","(+/-6,018)","174,220","(+/-5,363)","66,040","(+/-3,892)","25,596","(+/-2,634)","272,549","(+/-11,583)","157,096","(+/-9,453)","158,126","(+/-10,946)"
People,Race,"American Indian and Alaska Native","7,163","(+/-2,544)","1,281",(+/-642),"5,115","(+/-1,353)","3,040","(+/-1,053)","2,263","(+/-1,402)","3,893","(+/-1,534)","52,119","(+/-1,763)","3,628","(+/-1,553)","12,729","(+/-1,580)","4,277","(+/-2,042)","11,412","(+/-1,574)","3,727","(+/-2,409)","3,729","(+/-1,705)","3,358","(+/-1,340)"
People,Race,Asian,"6,085","(+/-1,835)","79,452","(+/-4,654)","9,589","(+/-1,791)","35,241","(+/-1,658)","9,630","(+/-1,446)","30,077","(+/-3,443)","8,036","(+/-1,585)","18,705","(+/-1,701)","11,718","(+/-2,008)","14,901","(+/-2,383)","6,653","(+/-1,302)","47,036","(+/-4,920)","24,350","(+/-4,442)","43,632","(+/-4,746)"
People,Race,"Native Hawaiian and Other Pacific Islander",217,(+/-210),122,(+/-201),"1,610","(+/-1,606)",509,(+/-784),640,(+/-609),132,(+/-192),468,(+/-410),451,(+/-530),"3,197","(+/-1,847)",113,(+/-199),998,"(+/-1,033)",340,(+/-316),455,(+/-473),"1,216","(+/-1,007)"
People,Race,"Some other race","29,525","(+/-4,013)","34,563","(+/-7,216)","34,095","(+/-3,772)","60,415","(+/-5,470)","30,738","(+/-4,930)","43,793","(+/-9,058)","27,994","(+/-4,220)","42,125","(+/-5,498)","46,050","(+/-4,332)","23,826","(+/-4,043)","19,428","(+/-3,641)","61,623","(+/-7,620)","47,327","(+/-7,455)","40,719","(+/-5,426)"
People,Race,"Two or more races","41,842","(+/-5,641)","63,461","(+/-7,766)","79,054","(+/-5,096)","52,076","(+/-7,051)","53,056","(+/-5,030)","52,173","(+/-7,111)","52,364","(+/-6,050)","55,853","(+/-6,810)","68,375","(+/-5,853)","62,082","(+/-7,325)","52,005","(+/-5,065)","62,399","(+/-7,680)","73,874","(+/-7,219)","81,758","(+/-7,619)"
People,"Hispanic or Latino and Race","Total population","753,536","(+/-3,864)","779,106","(+/-11,154)","756,848","(+/-6,634)","761,039",(+/-330),"754,512","(+/-8,183)","751,852","(+/-7,558)","774,574","(+/-3,997)","760,699","(+/-7,094)","769,258","(+/-7,777)","768,814","(+/-5,865)","756,051","(+/-3,922)","770,376","(+/-14,600)","776,185","(+/-13,612)","766,123","(+/-14,373)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","50,886","(+/-2,002)","74,689","(+/-7,665)","89,556","(+/-2,732)","93,145",(+/-3),"72,554","(+/-4,824)","72,868","(+/-4,774)","58,328","(+/-2,623)","77,146","(+/-2,605)","98,999","(+/-3,923)","59,798","(+/-1,605)","55,112","(+/-1,138)","107,029","(+/-7,208)","102,723","(+/-8,573)","101,966","(+/-7,318)"
People,"Hispanic or Latino and Race",Mexican,"35,338","(+/-3,291)","24,519","(+/-5,115)","44,174","(+/-5,394)","43,887","(+/-4,774)","44,710","(+/-5,382)","38,262","(+/-6,068)","28,564","(+/-3,692)","48,255","(+/-3,602)","50,120","(+/-4,348)","29,521","(+/-4,022)","33,716","(+/-4,627)","46,910","(+/-7,714)","58,831","(+/-9,257)","26,906","(+/-4,466)"
People,"Hispanic or Latino and Race","Puerto Rican","4,483","(+/-1,506)","9,856","(+/-2,940)","10,010","(+/-2,423)","8,571","(+/-2,655)","7,103","(+/-2,694)","6,071","(+/-2,519)","8,967","(+/-2,017)","5,982","(+/-1,888)","22,529","(+/-4,792)","7,689","(+/-2,647)","4,977","(+/-1,586)","11,066","(+/-3,615)","8,533","(+/-2,802)","10,684","(+/-3,559)"
People,"Hispanic or Latino and Race",Cuban,"1,452","(+/-1,190)","3,651","(+/-1,773)","3,853","(+/-2,690)","2,829","(+/-1,757)","2,617","(+/-1,695)","1,271",(+/-668),"2,465","(+/-1,219)","1,943","(+/-1,107)","2,364",(+/-827),"2,522","(+/-1,309)","1,692",(+/-741),"3,376","(+/-1,659)","2,056","(+/-1,112)","3,797","(+/-1,916)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","9,613","(+/-2,443)","36,663","(+/-6,085)","31,519","(+/-4,927)","37,858","(+/-5,193)","18,124","(+/-3,979)","27,264","(+/-6,038)","18,332","(+/-3,042)","20,966","(+/-4,644)","23,986","(+/-4,215)","20,066","(+/-3,742)","14,727","(+/-3,698)","45,677","(+/-6,691)","33,303","(+/-7,105)","60,579","(+/-7,457)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","702,650","(+/-3,993)","704,417","(+/-10,033)","667,292","(+/-6,436)","667,894",(+/-330),"681,958","(+/-8,298)","678,984","(+/-7,328)","716,246","(+/-3,565)","683,553","(+/-6,660)","670,259","(+/-6,899)","709,016","(+/-5,454)","700,939","(+/-3,730)","663,347","(+/-13,580)","673,462","(+/-11,717)","664,157","(+/-13,366)"
People,"Place of Birth","Total population","753,536","(+/-3,864)","779,106","(+/-11,154)","756,848","(+/-6,634)","761,039",(+/-330),"754,512","(+/-8,183)","751,852","(+/-7,558)","774,574","(+/-3,997)","760,699","(+/-7,094)","769,258","(+/-7,777)","768,814","(+/-5,865)","756,051","(+/-3,922)","770,376","(+/-14,600)","776,185","(+/-13,612)","766,123","(+/-14,373)"
People,"Place of Birth",Native,"719,143","(+/-5,013)","652,155","(+/-12,605)","715,780","(+/-7,870)","678,739","(+/-4,987)","709,332","(+/-8,349)","681,981","(+/-7,918)","740,453","(+/-5,755)","699,878","(+/-7,452)","717,154","(+/-8,176)","730,323","(+/-7,127)","715,097","(+/-5,958)","657,932","(+/-14,283)","699,072","(+/-12,415)","665,147","(+/-12,958)"
People,"Place of Birth","Born in United States","711,361","(+/-6,585)","640,077","(+/-12,504)","701,732","(+/-8,219)","667,713","(+/-5,118)","701,794","(+/-8,432)","672,527","(+/-7,359)","728,820","(+/-5,914)","691,058","(+/-7,530)","694,397","(+/-8,409)","721,641","(+/-7,023)","708,162","(+/-6,089)","648,499","(+/-14,001)","688,160","(+/-12,540)","651,556","(+/-12,997)"
People,"Place of Birth","State of residence","520,451","(+/-11,355)","312,242","(+/-12,117)","384,041","(+/-10,800)","396,294","(+/-8,709)","487,350","(+/-9,114)","425,235","(+/-12,930)","429,650","(+/-9,318)","464,521","(+/-8,337)","390,999","(+/-10,974)","482,542","(+/-10,698)","379,967","(+/-9,319)","341,046","(+/-13,397)","398,077","(+/-13,374)","327,498","(+/-11,226)"
People,"Place of Birth","Different state","190,910","(+/-8,592)","327,835","(+/-11,414)","317,691","(+/-9,142)","271,419","(+/-8,917)","214,444","(+/-8,572)","247,292","(+/-11,126)","299,170","(+/-8,944)","226,537","(+/-9,294)","303,398","(+/-9,987)","239,099","(+/-9,721)","328,195","(+/-9,873)","307,453","(+/-11,433)","290,083","(+/-11,495)","324,058","(+/-11,409)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,782","(+/-3,770)","12,078","(+/-2,646)","14,048","(+/-2,691)","11,026","(+/-2,368)","7,538","(+/-1,907)","9,454","(+/-2,699)","11,633","(+/-2,456)","8,820","(+/-2,069)","22,757","(+/-3,713)","8,682","(+/-1,642)","6,935","(+/-1,235)","9,433","(+/-2,048)","10,912","(+/-2,524)","13,591","(+/-2,572)"
People,"Place of Birth","Foreign born","34,393","(+/-4,225)","126,951","(+/-8,820)","41,068","(+/-4,835)","82,300","(+/-4,938)","45,180","(+/-4,120)","69,871","(+/-5,659)","34,121","(+/-4,102)","60,821","(+/-3,931)","52,104","(+/-4,319)","38,491","(+/-3,985)","40,954","(+/-4,770)","112,444","(+/-8,354)","77,113","(+/-6,823)","100,976","(+/-7,998)"
People,Ancestry,"Total population","753,536","(+/-3,864)","779,106","(+/-11,154)","756,848","(+/-6,634)","761,039",(+/-330),"754,512","(+/-8,183)","751,852","(+/-7,558)","774,574","(+/-3,997)","760,699","(+/-7,094)","769,258","(+/-7,777)","768,814","(+/-5,865)","756,051","(+/-3,922)","770,376","(+/-14,600)","776,185","(+/-13,612)","766,123","(+/-14,373)"
People,Ancestry,American,"57,973","(+/-5,495)","41,059","(+/-6,615)","71,150","(+/-7,784)","44,635","(+/-5,645)","88,907","(+/-6,791)","45,186","(+/-5,511)","63,847","(+/-5,638)","68,634","(+/-7,198)","45,119","(+/-4,329)","93,992","(+/-8,984)","78,303","(+/-7,532)","42,714","(+/-5,954)","65,541","(+/-7,011)","41,943","(+/-5,196)"
People,Ancestry,Arab,"5,745","(+/-4,051)","6,565","(+/-2,633)","3,798","(+/-2,082)","3,091","(+/-1,139)","1,908","(+/-2,095)","3,884","(+/-1,780)","2,205","(+/-1,059)","1,301","(+/-1,061)","1,813",(+/-874),"1,035",(+/-738),"2,599","(+/-2,027)","6,136","(+/-3,510)","3,255","(+/-1,341)","4,170","(+/-1,420)"
People,Ancestry,Czech,245,(+/-279),"1,270",(+/-619),"1,413","(+/-1,129)","1,126",(+/-586),"1,059",(+/-622),871,(+/-634),"1,421",(+/-753),838,(+/-524),793,(+/-466),609,(+/-365),"1,825",(+/-962),"1,246",(+/-602),939,(+/-442),"2,865",(+/-988)
People,Ancestry,Danish,686,(+/-416),"2,691","(+/-1,534)",824,(+/-476),"1,951","(+/-1,004)","1,162",(+/-665),"1,147",(+/-624),"1,605",(+/-959),444,(+/-345),496,(+/-289),340,(+/-226),"1,689",(+/-731),830,(+/-419),795,(+/-489),660,(+/-441)
People,Ancestry,Dutch,"2,947","(+/-1,159)","7,713","(+/-2,067)","4,513","(+/-1,418)","6,270","(+/-1,585)","5,614","(+/-1,748)","3,606","(+/-1,158)","4,706","(+/-1,611)","5,375","(+/-1,372)","3,715","(+/-1,335)","8,239","(+/-2,263)","6,038","(+/-1,616)","2,889","(+/-1,135)","4,597","(+/-1,750)","5,449","(+/-1,938)"
People,Ancestry,English,"83,060","(+/-6,217)","110,632","(+/-7,951)","108,384","(+/-7,841)","89,103","(+/-6,047)","117,397","(+/-7,977)","85,798","(+/-6,270)","90,809","(+/-7,705)","87,111","(+/-7,061)","84,671","(+/-7,399)","93,654","(+/-6,732)","154,895","(+/-9,330)","65,613","(+/-6,742)","93,416","(+/-7,327)","86,011","(+/-6,814)"
People,Ancestry,"French (except Basque)","5,595","(+/-1,477)","16,247","(+/-3,406)","11,425","(+/-2,896)","10,187","(+/-2,082)","8,936","(+/-2,109)","6,881","(+/-1,776)","13,694","(+/-2,650)","9,465","(+/-2,277)","8,008","(+/-1,772)","10,393","(+/-2,353)","13,172","(+/-2,073)","7,442","(+/-2,243)","10,399","(+/-2,275)","12,035","(+/-1,839)"
People,Ancestry,"French Canadian","2,075","(+/-1,092)","3,038","(+/-1,568)","1,550",(+/-525),"2,458",(+/-956),"1,570",(+/-618),"2,268","(+/-1,005)","2,436",(+/-998),"1,541",(+/-593),"2,149","(+/-1,408)","1,656",(+/-846),"3,299","(+/-1,240)","2,138",(+/-811),"1,606",(+/-671),"1,941",(+/-718)
People,Ancestry,German,"35,079","(+/-4,071)","82,205","(+/-5,756)","64,603","(+/-5,426)","60,275","(+/-4,511)","80,093","(+/-6,382)","58,208","(+/-4,816)","66,387","(+/-5,116)","80,113","(+/-6,251)","73,596","(+/-5,533)","93,453","(+/-7,893)","87,692","(+/-6,923)","63,341","(+/-5,814)","60,866","(+/-5,238)","79,545","(+/-5,943)"
People,Ancestry,Greek,548,(+/-358),"4,465","(+/-2,280)","1,170",(+/-686),"3,288","(+/-1,256)","2,095","(+/-1,017)","1,792",(+/-838),"2,678","(+/-1,090)","1,946",(+/-959),"1,460",(+/-745),"2,696","(+/-1,581)","2,006",(+/-813),"1,782",(+/-860),"2,579","(+/-1,367)","4,136","(+/-1,401)"
People,Ancestry,Hungarian,695,(+/-445),"2,779","(+/-1,198)",933,(+/-377),"2,181","(+/-1,140)","1,297","(+/-1,022)",882,(+/-557),"1,692",(+/-753),856,(+/-470),"1,785",(+/-940),"1,528",(+/-730),"2,724","(+/-1,051)","1,199",(+/-654),"3,188","(+/-1,597)","3,697","(+/-1,567)"
People,Ancestry,Irish,"43,186","(+/-4,881)","71,197","(+/-7,681)","74,230","(+/-6,727)","58,887","(+/-5,038)","63,545","(+/-6,468)","48,992","(+/-5,163)","76,371","(+/-6,568)","55,304","(+/-5,920)","55,148","(+/-5,142)","73,360","(+/-6,928)","81,963","(+/-6,074)","48,148","(+/-5,013)","60,823","(+/-6,137)","73,863","(+/-5,885)"
People,Ancestry,Italian,"11,633","(+/-2,461)","32,005","(+/-3,804)","24,420","(+/-3,241)","24,554","(+/-3,118)","18,710","(+/-3,432)","20,337","(+/-3,758)","32,394","(+/-4,148)","19,198","(+/-2,833)","21,497","(+/-2,960)","20,769","(+/-3,234)","23,478","(+/-3,374)","23,975","(+/-3,230)","30,546","(+/-4,751)","31,672","(+/-4,640)"
People,Ancestry,Lithuanian,438,(+/-349),"1,471",(+/-758),686,(+/-329),"1,038",(+/-509),508,(+/-382),167,(+/-174),"1,270",(+/-650),389,(+/-302),506,(+/-474),610,(+/-454),"1,062",(+/-572),922,(+/-576),"1,563",(+/-821),796,(+/-531)
People,Ancestry,Norwegian,"2,557","(+/-1,533)","4,616","(+/-1,272)","3,330","(+/-1,170)","4,709","(+/-1,386)","4,835","(+/-1,871)","2,342",(+/-758),"2,245",(+/-963),"2,412",(+/-911),"3,812","(+/-1,156)","2,834","(+/-1,103)","3,931","(+/-1,167)","2,360",(+/-893),"2,239",(+/-801),"3,534","(+/-1,171)"
People,Ancestry,Polish,"3,625","(+/-1,142)","17,576","(+/-3,180)","11,135","(+/-2,367)","13,982","(+/-2,396)","7,449","(+/-1,444)","8,386","(+/-1,830)","12,517","(+/-2,281)","8,601","(+/-2,570)","7,550","(+/-1,550)","9,747","(+/-1,985)","10,314","(+/-1,961)","11,058","(+/-2,586)","12,046","(+/-2,969)","16,352","(+/-2,419)"
People,Ancestry,Portuguese,400,(+/-291),"2,135","(+/-1,243)","1,657","(+/-1,009)","1,548",(+/-783),"1,440","(+/-1,029)",524,(+/-329),"1,136",(+/-847),"1,726","(+/-1,238)","1,220",(+/-818),516,(+/-393),"1,018",(+/-548),"1,441",(+/-602),"1,560",(+/-764),"1,158",(+/-505)
People,Ancestry,Russian,845,(+/-503),"3,251",(+/-990),"2,356","(+/-1,188)","4,597","(+/-1,452)","1,256",(+/-719),"1,334",(+/-812),"2,492",(+/-874),"2,446","(+/-1,358)","1,714",(+/-683),"1,037",(+/-565),"4,706","(+/-1,741)","3,332","(+/-1,304)","3,030","(+/-1,547)","6,098","(+/-2,304)"
People,Ancestry,Scotch-Irish,"7,838","(+/-1,721)","11,275","(+/-2,065)","8,738","(+/-2,100)","13,365","(+/-2,290)","16,128","(+/-2,521)","10,638","(+/-2,329)","14,711","(+/-2,702)","16,645","(+/-3,354)","10,255","(+/-1,991)","13,177","(+/-2,488)","26,883","(+/-3,018)","9,992","(+/-2,652)","9,715","(+/-2,157)","14,768","(+/-2,074)"
People,Ancestry,Scottish,"8,091","(+/-1,837)","18,356","(+/-2,611)","10,854","(+/-2,028)","18,164","(+/-2,778)","18,550","(+/-2,715)","14,621","(+/-2,315)","16,732","(+/-2,622)","17,800","(+/-2,402)","18,315","(+/-3,081)","17,540","(+/-2,909)","28,653","(+/-3,063)","11,535","(+/-2,068)","17,474","(+/-3,098)","19,593","(+/-3,162)"
People,Ancestry,Slovak,474,(+/-393),"1,619",(+/-806),779,(+/-607),812,(+/-410),770,(+/-649),201,(+/-220),"1,165",(+/-562),734,(+/-410),389,(+/-257),659,(+/-430),655,(+/-337),809,(+/-668),920,(+/-449),852,(+/-407)
People,Ancestry,"Subsaharan African","6,854","(+/-2,060)","25,045","(+/-9,263)","7,832","(+/-2,170)","11,737","(+/-3,913)","6,779","(+/-2,933)","15,845","(+/-5,408)","3,149","(+/-1,259)","8,187","(+/-2,865)","5,608","(+/-1,338)","2,227","(+/-1,695)","1,237",(+/-570),"33,729","(+/-7,243)","8,884","(+/-3,004)","11,059","(+/-2,604)"
People,Ancestry,Swedish,"1,674",(+/-651),"5,294","(+/-1,632)","2,456","(+/-1,064)","4,604","(+/-1,077)","3,121",(+/-916),"4,519","(+/-1,638)","3,533",(+/-943),"2,237",(+/-890),"3,620","(+/-1,277)","3,762","(+/-1,229)","6,101","(+/-1,619)","2,785",(+/-986),"4,996","(+/-1,407)","3,808","(+/-1,059)"
People,Ancestry,Swiss,952,(+/-768),"1,390",(+/-781),783,(+/-511),"2,509",(+/-875),"1,712",(+/-806),"1,411","(+/-1,137)","1,095",(+/-799),"1,467",(+/-823),383,(+/-346),"1,037",(+/-461),"1,698",(+/-671),808,(+/-521),"1,037",(+/-592),"1,124",(+/-491)
People,Ancestry,Ukrainian,149,(+/-153),"3,158","(+/-1,558)","1,885","(+/-1,285)","2,591","(+/-1,247)","1,302",(+/-815),711,(+/-543),"1,604",(+/-853),"2,176","(+/-1,617)","1,117",(+/-576),"1,592",(+/-990),"2,790","(+/-1,091)","2,161","(+/-1,250)","1,080",(+/-721),"2,382",(+/-973)
People,Ancestry,Welsh,"3,235","(+/-1,761)","4,578","(+/-1,156)","3,786","(+/-1,595)","5,243","(+/-1,248)","3,752","(+/-1,243)","3,284","(+/-1,004)","3,166",(+/-928),"3,123",(+/-867),"3,571","(+/-1,017)","2,098","(+/-1,301)","6,476","(+/-1,967)","2,354",(+/-791),"3,731","(+/-1,560)","4,191",(+/-894)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","3,142","(+/-1,350)","6,729","(+/-3,375)","2,677","(+/-1,026)","3,342","(+/-1,755)","3,784","(+/-2,048)","3,935","(+/-1,922)","3,346","(+/-1,650)","6,022","(+/-2,708)","5,910","(+/-1,823)",550,(+/-311),"2,451","(+/-2,011)","6,938","(+/-2,926)","4,012","(+/-1,529)","5,010","(+/-1,646)"
