Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
Housing,"Housing Tenure",Renter-occupied,"97,953","(+/-4,595)","116,099","(+/-5,248)","108,569","(+/-5,651)","85,028","(+/-4,114)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.51,(+/-0.04),2.53,(+/-0.05),2.69,(+/-0.05),2.50,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.23,(+/-0.06),2.03,(+/-0.09),2.34,(+/-0.08),2.21,(+/-0.09)
Housing,"Year Householder Moved into Unit","Occupied housing units","298,830","(+/-4,416)","317,475","(+/-4,399)","300,610","(+/-3,864)","299,292","(+/-5,306)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","53,496","(+/-3,480)","62,717","(+/-4,436)","64,916","(+/-4,481)","45,834","(+/-3,549)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","66,619","(+/-4,107)","83,490","(+/-4,721)","82,938","(+/-4,716)","67,678","(+/-4,637)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","70,614","(+/-4,663)","71,453","(+/-4,439)","73,327","(+/-4,486)","72,435","(+/-3,763)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","49,920","(+/-3,058)","48,714","(+/-3,751)","44,891","(+/-3,017)","49,038","(+/-3,234)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","29,440","(+/-2,485)","29,096","(+/-2,640)","19,579","(+/-2,496)","30,715","(+/-2,279)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","28,741","(+/-2,435)","22,005","(+/-2,373)","14,959","(+/-2,003)","33,592","(+/-2,464)"
Housing,Value,"Owner-occupied units","200,877","(+/-5,900)","201,376","(+/-4,515)","192,041","(+/-5,459)","214,264","(+/-5,193)"
Housing,Value,"Less than $50,000","27,280","(+/-2,596)","14,935","(+/-1,988)","9,149","(+/-1,488)","31,149","(+/-2,702)"
Housing,Value,"$50,000 to $99,999","41,409","(+/-2,844)","21,444","(+/-2,209)","12,924","(+/-1,836)","47,549","(+/-2,863)"
Housing,Value,"$100,000 to $149,999","29,378","(+/-2,611)","28,459","(+/-2,922)","15,837","(+/-2,075)","36,250","(+/-3,355)"
Housing,Value,"$150,000 to $199,999","33,799","(+/-3,279)","38,243","(+/-3,129)","26,794","(+/-2,778)","31,052","(+/-2,681)"
Housing,Value,"$200,000 to $299,999","35,632","(+/-3,208)","48,142","(+/-3,184)","52,392","(+/-3,207)","39,379","(+/-3,004)"
Housing,Value,"$300,000 to $499,999","23,965","(+/-2,618)","36,592","(+/-2,774)","47,069","(+/-3,401)","21,499","(+/-2,327)"
Housing,Value,"$500,000 to $999,999","7,354","(+/-1,533)","11,170","(+/-1,758)","22,719","(+/-2,401)","6,740","(+/-1,209)"
Housing,Value,"$1,000,000 or more","2,060","(+/-1,223)","2,391","(+/-1,086)","5,157","(+/-1,367)",646,(+/-310)
Housing,Value,"Median (dollars)","152,800","(+/-4,367)","196,000","(+/-5,580)","259,100","(+/-6,785)","136,600","(+/-6,161)"
Housing,"Mortgage Status","Owner-occupied units","200,877","(+/-5,900)","201,376","(+/-4,515)","192,041","(+/-5,459)","214,264","(+/-5,193)"
Housing,"Mortgage Status","Housing units with a mortgage","97,818","(+/-4,499)","114,998","(+/-4,905)","116,950","(+/-4,601)","97,262","(+/-4,715)"
Housing,"Mortgage Status","Housing units without a mortgage","103,059","(+/-4,587)","86,378","(+/-3,673)","75,091","(+/-4,052)","117,002","(+/-3,982)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","97,818","(+/-4,499)","114,998","(+/-4,905)","116,950","(+/-4,601)","97,262","(+/-4,715)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,950",(+/-663),"1,727",(+/-700),"1,354",(+/-586),"1,671",(+/-635)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","37,178","(+/-3,182)","33,517","(+/-3,455)","20,445","(+/-2,009)","38,485","(+/-3,576)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","34,550","(+/-3,012)","37,649","(+/-2,956)","42,559","(+/-3,201)","36,662","(+/-3,119)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","13,808","(+/-1,967)","22,959","(+/-2,850)","26,291","(+/-3,021)","10,787","(+/-1,602)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","5,093","(+/-1,043)","9,383","(+/-1,689)","11,988","(+/-1,905)","4,364",(+/-899)
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","2,698",(+/-854),"4,772","(+/-1,219)","6,437","(+/-1,356)","2,540",(+/-870)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","2,541",(+/-800),"4,991","(+/-1,241)","7,876","(+/-1,706)","2,753",(+/-831)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,118",(+/-31),"1,253",(+/-43),"1,423",(+/-37),"1,091",(+/-27)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","103,059","(+/-4,587)","86,378","(+/-3,673)","75,091","(+/-4,052)","117,002","(+/-3,982)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","15,808","(+/-1,754)","9,577","(+/-1,504)","7,835","(+/-1,514)","24,132","(+/-1,943)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","36,334","(+/-2,895)","26,586","(+/-2,360)","23,029","(+/-2,725)","42,423","(+/-3,318)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","31,992","(+/-2,851)","27,216","(+/-2,428)","25,457","(+/-3,044)","33,537","(+/-2,760)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","9,928","(+/-1,540)","12,106","(+/-1,767)","11,035","(+/-1,603)","10,880","(+/-1,745)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","5,200","(+/-1,388)","5,688","(+/-1,289)","4,271","(+/-1,026)","3,172",(+/-759)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","3,797","(+/-1,257)","5,205","(+/-1,072)","3,464",(+/-887),"2,858",(+/-899)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",398,(+/-11),445,(+/-14),444,(+/-14),372,(+/-9)
Housing,"Gross Rent","Occupied units paying rent","85,892","(+/-4,487)","108,655","(+/-5,143)","101,732","(+/-5,482)","75,199","(+/-4,099)"
Housing,"Gross Rent","Less than $500","16,673","(+/-1,964)","8,558","(+/-1,753)","7,400","(+/-1,562)","13,823","(+/-2,220)"
Housing,"Gross Rent","$500 to $999","48,649","(+/-3,515)","59,693","(+/-5,099)","51,147","(+/-3,734)","44,830","(+/-3,020)"
Housing,"Gross Rent","$1,000 to $1,499","17,764","(+/-2,582)","28,798","(+/-3,854)","30,800","(+/-3,290)","13,068","(+/-2,219)"
Housing,"Gross Rent","$1,500 to $1,999","2,146",(+/-690),"8,378","(+/-2,251)","8,647","(+/-1,852)","1,992",(+/-810)
Housing,"Gross Rent","$2,000 to $2,499",245,(+/-228),976,(+/-555),"2,296",(+/-952),454,(+/-402)
Housing,"Gross Rent","$2,500 to $2,999",41,(+/-72),544,(+/-495),806,(+/-471),112,(+/-156)
Housing,"Gross Rent","$3,000 or more",374,(+/-312),"1,708",(+/-930),636,(+/-449),920,(+/-484)
Housing,"Gross Rent","Median (dollars)",771,(+/-23),906,(+/-25),934,(+/-24),730,(+/-14)
Housing,"Gross Rent","No rent paid","12,061","(+/-1,709)","7,444","(+/-1,528)","6,837","(+/-1,301)","9,829","(+/-1,460)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","298,830","(+/-4,416)","317,475","(+/-4,399)","300,610","(+/-3,864)","299,292","(+/-5,306)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","22,035","(+/-2,620)","24,492","(+/-3,436)","13,895","(+/-1,960)","28,045","(+/-2,979)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","22,414","(+/-2,602)","16,030","(+/-3,070)","12,716","(+/-1,949)","20,428","(+/-2,256)"
