Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Sex and Age","45 to 54 years","100,749","(+/-3,775)","103,919","(+/-3,897)","102,591","(+/-5,500)","95,868","(+/-3,568)","101,895","(+/-5,544)","95,947","(+/-5,547)","73,995","(+/-5,102)","87,583","(+/-5,790)","86,932","(+/-5,422)","88,020","(+/-6,312)","97,960","(+/-3,413)","85,838","(+/-5,832)","92,215","(+/-6,299)","91,694","(+/-6,288)","89,786","(+/-4,568)","100,870","(+/-3,084)","97,314","(+/-3,388)","96,468","(+/-2,116)","87,774","(+/-2,626)","94,827","(+/-2,848)","91,175","(+/-1,715)","87,403","(+/-1,391)","90,489","(+/-3,257)","90,188","(+/-2,001)","87,582",(+/-547),"86,725","(+/-3,415)"
People,"Sex and Age","55 to 59 years","60,114","(+/-3,988)","60,754","(+/-3,765)","59,110","(+/-5,316)","50,399","(+/-3,386)","55,404","(+/-3,679)","51,707","(+/-4,104)","35,874","(+/-3,901)","47,313","(+/-4,559)","42,538","(+/-4,257)","40,912","(+/-4,463)","50,119","(+/-4,050)","44,312","(+/-4,942)","48,042","(+/-4,212)","43,293","(+/-3,867)","45,780","(+/-4,074)","50,944","(+/-3,923)","50,490","(+/-3,035)","51,918","(+/-2,827)","50,511","(+/-2,941)","52,230","(+/-2,950)","52,739","(+/-2,417)","51,461","(+/-2,742)","52,644","(+/-3,013)","54,249","(+/-2,624)","52,509","(+/-2,857)","50,309","(+/-3,495)"
People,"Sex and Age","60 to 64 years","59,438","(+/-3,837)","51,400","(+/-4,204)","57,995","(+/-3,616)","55,105","(+/-4,001)","54,393","(+/-3,617)","52,646","(+/-4,424)","33,010","(+/-3,306)","47,466","(+/-4,077)","46,724","(+/-3,959)","31,335","(+/-3,579)","48,624","(+/-3,680)","39,501","(+/-4,601)","40,617","(+/-4,273)","43,355","(+/-3,785)","40,954","(+/-3,428)","50,992","(+/-3,669)","54,802","(+/-3,440)","53,854","(+/-3,160)","58,665","(+/-3,041)","51,887","(+/-3,092)","61,253","(+/-2,408)","54,612","(+/-2,662)","63,482","(+/-3,356)","60,210","(+/-2,364)","51,426","(+/-2,816)","53,373","(+/-3,296)"
People,"Sex and Age","65 to 74 years","88,012","(+/-3,576)","71,847","(+/-3,674)","93,723","(+/-5,066)","80,097","(+/-3,865)","74,440","(+/-3,756)","83,887","(+/-4,634)","46,896","(+/-4,574)","72,653","(+/-4,366)","74,900","(+/-4,602)","60,134","(+/-4,619)","77,571","(+/-2,978)","71,885","(+/-4,110)","68,713","(+/-4,061)","62,922","(+/-4,075)","58,541","(+/-3,579)","73,325","(+/-2,813)","75,510","(+/-2,624)","79,990","(+/-1,936)","93,997","(+/-1,628)","84,120","(+/-1,334)","93,999","(+/-1,477)","85,960",(+/-782),"98,311","(+/-2,559)","93,937","(+/-1,715)","84,065",(+/-605),"82,844","(+/-2,969)"
People,"Sex and Age","75 to 84 years","51,367","(+/-3,103)","39,148","(+/-2,630)","51,000","(+/-3,912)","40,305","(+/-2,949)","37,487","(+/-2,864)","46,906","(+/-3,299)","23,509","(+/-2,935)","42,441","(+/-4,188)","36,050","(+/-3,546)","35,397","(+/-3,717)","42,841","(+/-2,603)","49,793","(+/-3,377)","37,688","(+/-3,151)","35,342","(+/-3,146)","30,675","(+/-2,660)","41,021","(+/-2,645)","40,399","(+/-2,523)","41,128","(+/-2,003)","50,944","(+/-2,357)","45,490","(+/-1,928)","47,759","(+/-2,143)","44,655","(+/-2,078)","50,229","(+/-2,587)","47,800","(+/-1,801)","44,088","(+/-1,786)","43,666","(+/-2,780)"
People,"Sex and Age","85 years and over","18,580","(+/-1,832)","13,480","(+/-2,035)","20,585","(+/-1,902)","20,683","(+/-2,247)","17,388","(+/-2,767)","18,900","(+/-2,243)","9,014","(+/-1,980)","17,685","(+/-2,680)","14,494","(+/-2,274)","13,278","(+/-2,209)","14,118","(+/-1,908)","18,588","(+/-2,418)","12,607","(+/-2,133)","15,102","(+/-2,089)","9,833","(+/-2,035)","20,361","(+/-2,132)","21,611","(+/-1,982)","16,625","(+/-2,063)","18,772","(+/-1,709)","16,470","(+/-1,709)","19,054","(+/-1,942)","17,836","(+/-1,875)","19,027","(+/-1,887)","17,025","(+/-1,556)","18,183","(+/-1,695)","15,890","(+/-1,769)"
People,"Sex and Age","Median age (years)",44.0,(+/-0.6),39.9,(+/-0.8),44.9,(+/-1.0),40.5,(+/-0.6),41.2,(+/-0.9),42.6,(+/-0.8),34.2,(+/-0.6),38.1,(+/-0.9),36.9,(+/-1.0),37.0,(+/-0.8),41.0,(+/-0.6),40.3,(+/-0.7),36.8,(+/-0.6),37.1,(+/-1.0),35.5,(+/-0.8),41.2,(+/-0.7),40.2,(+/-0.6),39.5,(+/-0.4),42.2,(+/-0.4),40.3,(+/-0.5),42.4,(+/-0.4),40.4,(+/-0.3),43.9,(+/-0.6),42.3,(+/-0.4),39.7,(+/-0.2),39.4,(+/-0.6)
People,"Sex and Age","18 years and over","622,591","(+/-8,745)","613,196","(+/-10,243)","617,815","(+/-12,170)","605,628","(+/-6,038)","595,256","(+/-13,724)","608,516","(+/-15,566)","566,413","(+/-13,898)","588,661","(+/-14,255)","579,598","(+/-12,040)","581,339","(+/-15,589)","582,676","(+/-10,691)","619,432","(+/-14,952)","615,415","(+/-13,862)","573,084","(+/-16,443)","550,992","(+/-12,747)","594,136","(+/-7,396)","587,126","(+/-6,057)","617,903","(+/-4,670)","636,624","(+/-4,106)","636,137","(+/-2,363)","625,840","(+/-3,759)","606,840",(+/-194),"614,012","(+/-5,281)","621,968","(+/-3,771)","614,589","(+/-1,453)","620,126","(+/-5,895)"
People,"Sex and Age","65 years and over","157,959","(+/-5,087)","124,475","(+/-5,295)","165,308","(+/-6,336)","141,085","(+/-4,792)","129,315","(+/-5,265)","149,693","(+/-6,659)","79,419","(+/-5,916)","132,779","(+/-6,839)","125,444","(+/-6,693)","108,809","(+/-6,275)","134,530","(+/-3,956)","140,266","(+/-5,937)","119,008","(+/-5,411)","113,366","(+/-5,868)","99,049","(+/-5,048)","134,707","(+/-3,767)","137,520","(+/-3,863)","137,743","(+/-2,371)","163,713","(+/-2,091)","146,080","(+/-1,630)","160,812","(+/-1,918)","148,451",(+/-806),"167,567","(+/-3,715)","158,762","(+/-2,099)","146,336",(+/-600),"142,400","(+/-4,038)"
People,Race,"Total population","775,158","(+/-10,517)","775,081","(+/-12,243)","771,208","(+/-13,673)","771,912","(+/-5,694)","751,997","(+/-19,445)","752,577","(+/-21,452)","699,930","(+/-22,305)","754,074","(+/-22,707)","756,507","(+/-19,730)","706,151","(+/-22,940)","740,025","(+/-15,772)","705,008","(+/-18,433)","770,616","(+/-17,104)","730,392","(+/-24,137)","727,699","(+/-19,070)","756,711","(+/-8,968)","771,464","(+/-5,646)","786,432","(+/-5,778)","768,600","(+/-4,934)","781,546","(+/-2,677)","776,361","(+/-4,479)","764,843",(+/-490),"770,357","(+/-5,328)","774,173","(+/-4,632)","768,169","(+/-2,075)","770,160","(+/-6,228)"
People,Race,"One race","696,448","(+/-12,448)","675,025","(+/-15,921)","705,809","(+/-12,954)","690,305","(+/-10,110)","662,934","(+/-18,120)","678,875","(+/-20,517)","595,084","(+/-20,727)","678,508","(+/-22,376)","688,861","(+/-20,122)","629,872","(+/-21,160)","677,387","(+/-17,751)","634,481","(+/-15,876)","613,135","(+/-19,575)","630,933","(+/-25,204)","608,556","(+/-21,035)","658,077","(+/-10,992)","696,887","(+/-8,228)","697,163","(+/-8,462)","718,341","(+/-6,761)","725,886","(+/-5,863)","734,831","(+/-5,433)","709,972","(+/-5,010)","730,404","(+/-6,935)","728,376","(+/-5,953)","704,721","(+/-6,342)","721,821","(+/-7,693)"
People,Race,White,"570,501","(+/-11,639)","456,213","(+/-14,437)","438,311","(+/-11,190)","399,889","(+/-10,394)","116,906","(+/-9,085)","199,426","(+/-11,380)","279,522","(+/-13,276)","214,568","(+/-14,300)","250,250","(+/-14,408)","371,310","(+/-17,441)","410,324","(+/-10,513)","466,112","(+/-13,638)","145,106","(+/-10,513)","155,059","(+/-11,662)","101,017","(+/-10,412)","324,960","(+/-8,263)","518,555","(+/-7,729)","514,027","(+/-6,585)","632,799","(+/-5,845)","583,141","(+/-4,991)","692,016","(+/-4,900)","595,209","(+/-3,485)","686,702","(+/-6,779)","686,859","(+/-6,285)","534,568","(+/-4,737)","523,633","(+/-7,377)"
People,Race,"Black or African American","36,563","(+/-5,734)","81,392","(+/-9,316)","22,586","(+/-4,069)","142,857","(+/-5,326)","306,568","(+/-11,077)","37,707","(+/-7,078)","84,971","(+/-10,652)","328,282","(+/-16,802)","306,923","(+/-14,554)","38,942","(+/-5,427)","51,944","(+/-3,454)","35,217","(+/-4,781)","195,056","(+/-10,652)","144,907","(+/-12,467)","252,636","(+/-13,774)","156,685","(+/-8,588)","58,960","(+/-4,392)","84,138","(+/-4,986)","31,703","(+/-2,856)","70,146","(+/-4,444)","16,597","(+/-2,262)","68,494","(+/-3,623)","17,098","(+/-2,908)","20,948","(+/-2,429)","108,826","(+/-4,135)","127,639","(+/-4,689)"
People,Race,"American Indian and Alaska Native","6,130","(+/-3,928)","4,576","(+/-2,538)","1,432",(+/-627),"2,862","(+/-1,735)","6,693","(+/-2,423)","4,774","(+/-1,510)","6,146","(+/-2,319)","1,974","(+/-1,034)","5,919","(+/-3,247)","4,952","(+/-1,962)","4,660","(+/-2,752)","2,109","(+/-1,487)","8,097","(+/-3,497)","7,640","(+/-3,109)","17,406","(+/-4,772)","6,927","(+/-4,271)","2,432","(+/-1,548)","4,454","(+/-1,844)","3,542","(+/-1,399)","2,182",(+/-995),"3,988","(+/-1,002)","2,975","(+/-1,179)","5,099",(+/-967),"1,793",(+/-753),"1,073",(+/-543),"3,863",(+/-983)
People,Race,Asian,"41,120","(+/-3,647)","26,465","(+/-3,968)","191,395","(+/-11,293)","58,439","(+/-6,729)","110,580","(+/-9,257)","304,859","(+/-11,943)","91,097","(+/-8,136)","62,420","(+/-5,993)","69,999","(+/-7,405)","132,550","(+/-8,765)","147,885","(+/-8,611)","98,893","(+/-5,683)","40,442","(+/-4,698)","80,249","(+/-9,405)","22,064","(+/-3,526)","47,462","(+/-3,518)","41,255","(+/-3,162)","24,386","(+/-2,292)","29,688","(+/-1,500)","45,050","(+/-2,151)","7,729","(+/-1,499)","29,661","(+/-1,461)","8,825","(+/-2,161)","6,655","(+/-1,090)","27,718","(+/-1,701)","44,604","(+/-2,633)"
People,Race,"Native Hawaiian and Other Pacific Islander",135,(+/-214),597,(+/-653),"1,213","(+/-1,269)",71,(+/-122),372,(+/-605),"1,226","(+/-1,282)",351,(+/-373),424,(+/-368),228,(+/-110),44,(+/-82),162,(+/-178),217,(+/-189),289,(+/-353),0,(+/-217),564,(+/-544),0,(+/-217),314,(+/-484),328,(+/-232),153,(+/-224),429,(+/-440),"1,278","(+/-1,440)",0,(+/-217),189,(+/-220),115,(+/-174),90,(+/-118),53,(+/-63)
People,Race,"Some other race","41,999","(+/-6,985)","105,782","(+/-12,520)","50,872","(+/-8,198)","86,187","(+/-8,939)","121,815","(+/-9,716)","130,883","(+/-12,899)","132,997","(+/-12,647)","70,840","(+/-11,318)","55,542","(+/-8,751)","82,074","(+/-9,016)","62,412","(+/-8,572)","31,933","(+/-6,775)","224,145","(+/-16,241)","243,078","(+/-19,502)","214,869","(+/-14,791)","122,043","(+/-10,798)","75,371","(+/-7,330)","69,830","(+/-7,234)","20,456","(+/-2,826)","24,938","(+/-4,461)","13,223","(+/-2,240)","13,633","(+/-2,588)","12,491","(+/-2,865)","12,006","(+/-2,719)","32,446","(+/-3,334)","22,029","(+/-4,538)"
People,Race,"Two or more races","78,710","(+/-10,785)","100,056","(+/-10,846)","65,399","(+/-7,018)","81,607","(+/-8,744)","89,063","(+/-9,453)","73,702","(+/-9,710)","104,846","(+/-11,541)","75,566","(+/-8,687)","67,646","(+/-5,691)","76,279","(+/-6,771)","62,638","(+/-7,417)","70,527","(+/-10,019)","157,481","(+/-13,890)","99,459","(+/-8,662)","119,143","(+/-12,557)","98,634","(+/-8,100)","74,577","(+/-7,257)","89,269","(+/-7,439)","50,259","(+/-4,998)","55,660","(+/-5,439)","41,530","(+/-3,585)","54,871","(+/-4,974)","39,953","(+/-4,518)","45,797","(+/-4,126)","63,448","(+/-5,611)","48,339","(+/-5,526)"
People,"Hispanic or Latino and Race","Total population","775,158","(+/-10,517)","775,081","(+/-12,243)","771,208","(+/-13,673)","771,912","(+/-5,694)","751,997","(+/-19,445)","752,577","(+/-21,452)","699,930","(+/-22,305)","754,074","(+/-22,707)","756,507","(+/-19,730)","706,151","(+/-22,940)","740,025","(+/-15,772)","705,008","(+/-18,433)","770,616","(+/-17,104)","730,392","(+/-24,137)","727,699","(+/-19,070)","756,711","(+/-8,968)","771,464","(+/-5,646)","786,432","(+/-5,778)","768,600","(+/-4,934)","781,546","(+/-2,677)","776,361","(+/-4,479)","764,843",(+/-490),"770,357","(+/-5,328)","774,173","(+/-4,632)","768,169","(+/-2,075)","770,160","(+/-6,228)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","111,406","(+/-7,881)","220,888","(+/-8,177)","104,518","(+/-8,522)","164,678","(+/-7,507)","153,953","(+/-11,131)","203,284","(+/-13,759)","236,891","(+/-15,107)","127,318","(+/-12,183)","90,336","(+/-8,303)","144,105","(+/-10,519)","136,399","(+/-7,348)","85,454","(+/-10,715)","411,270","(+/-15,465)","381,893","(+/-19,590)","408,018","(+/-16,685)","222,173","(+/-8,443)","146,544","(+/-6,190)","149,204","(+/-3,110)","50,606","(+/-2,193)","48,509","(+/-1,143)","34,526","(+/-1,613)","44,139",(+/-3),"29,713","(+/-3,118)","32,494","(+/-1,217)","74,623",(+/-211),"54,357","(+/-3,398)"
People,"Hispanic or Latino and Race",Mexican,"13,925","(+/-4,624)","7,017","(+/-2,200)","6,773","(+/-2,708)","3,387","(+/-1,821)","10,172","(+/-3,940)","36,633","(+/-7,285)","35,334","(+/-7,021)","20,848","(+/-8,080)","20,784","(+/-5,448)","35,608","(+/-7,451)","21,677","(+/-4,831)","15,441","(+/-5,379)","56,575","(+/-9,760)","62,843","(+/-10,222)","46,540","(+/-9,151)","36,710","(+/-7,828)","12,299","(+/-4,009)","25,645","(+/-5,272)","7,398","(+/-2,122)","5,296","(+/-1,831)","5,090","(+/-1,560)","6,362","(+/-2,144)","3,764","(+/-1,407)","8,242","(+/-1,778)","4,699","(+/-1,562)","5,639","(+/-1,669)"
People,"Hispanic or Latino and Race","Puerto Rican","20,954","(+/-3,336)","42,431","(+/-5,580)","20,385","(+/-3,913)","23,117","(+/-4,244)","32,037","(+/-5,961)","19,382","(+/-3,979)","54,958","(+/-7,359)","47,839","(+/-8,052)","20,311","(+/-4,268)","43,586","(+/-6,001)","49,082","(+/-6,329)","13,528","(+/-3,095)","61,386","(+/-7,774)","99,157","(+/-11,228)","118,734","(+/-11,386)","49,219","(+/-6,230)","32,957","(+/-4,597)","57,825","(+/-5,813)","17,086","(+/-2,729)","22,805","(+/-3,095)","13,073","(+/-2,258)","17,671","(+/-2,645)","16,370","(+/-2,056)","13,958","(+/-2,113)","48,482","(+/-4,147)","33,884","(+/-3,664)"
People,"Hispanic or Latino and Race",Cuban,"3,229","(+/-1,193)","4,364","(+/-2,196)","2,011","(+/-1,014)","4,366","(+/-2,046)","1,599","(+/-1,048)","3,229","(+/-1,353)","1,766",(+/-899),"1,193",(+/-626),"2,281","(+/-1,170)","3,589","(+/-1,146)","1,587",(+/-918),"4,846","(+/-1,897)","4,987","(+/-1,615)","2,772","(+/-1,196)","5,364","(+/-2,423)","3,528","(+/-1,846)","3,019","(+/-1,006)","2,052",(+/-982),716,(+/-346),"1,607","(+/-1,081)",826,(+/-404),"2,610","(+/-1,160)",694,(+/-353),791,(+/-320),"3,243","(+/-1,303)","1,254",(+/-887)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","73,298","(+/-7,349)","167,076","(+/-9,465)","75,349","(+/-8,011)","133,808","(+/-8,018)","110,145","(+/-10,013)","144,040","(+/-12,559)","144,833","(+/-13,093)","57,438","(+/-6,871)","46,960","(+/-6,198)","61,322","(+/-6,818)","64,053","(+/-8,008)","51,639","(+/-9,074)","288,322","(+/-14,858)","217,121","(+/-15,582)","237,380","(+/-17,522)","132,716","(+/-9,748)","98,269","(+/-7,427)","63,682","(+/-6,162)","25,406","(+/-2,974)","18,801","(+/-2,628)","15,537","(+/-2,425)","17,496","(+/-2,496)","8,885","(+/-2,392)","9,503","(+/-1,708)","18,199","(+/-3,800)","13,580","(+/-2,815)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","663,752","(+/-12,574)","554,193","(+/-13,142)","666,690","(+/-14,186)","607,234","(+/-7,935)","598,044","(+/-17,365)","549,293","(+/-18,400)","463,039","(+/-17,366)","626,756","(+/-18,890)","666,171","(+/-18,419)","562,046","(+/-20,122)","603,626","(+/-13,739)","619,554","(+/-14,596)","359,346","(+/-12,311)","348,499","(+/-17,090)","319,681","(+/-13,510)","534,538","(+/-10,799)","624,920","(+/-8,384)","637,228","(+/-5,905)","717,994","(+/-4,803)","733,037","(+/-2,752)","741,835","(+/-4,571)","720,704",(+/-490),"740,644","(+/-5,988)","741,679","(+/-4,758)","693,546","(+/-2,059)","715,803","(+/-6,789)"
People,"Place of Birth","Total population","775,158","(+/-10,517)","775,081","(+/-12,243)","771,208","(+/-13,673)","771,912","(+/-5,694)","751,997","(+/-19,445)","752,577","(+/-21,452)","699,930","(+/-22,305)","754,074","(+/-22,707)","756,507","(+/-19,730)","706,151","(+/-22,940)","740,025","(+/-15,772)","705,008","(+/-18,433)","770,616","(+/-17,104)","730,392","(+/-24,137)","727,699","(+/-19,070)","756,711","(+/-8,968)","771,464","(+/-5,646)","786,432","(+/-5,778)","768,600","(+/-4,934)","781,546","(+/-2,677)","776,361","(+/-4,479)","764,843",(+/-490),"770,357","(+/-5,328)","774,173","(+/-4,632)","768,169","(+/-2,075)","770,160","(+/-6,228)"
People,"Place of Birth",Native,"662,080","(+/-11,446)","625,021","(+/-15,678)","555,053","(+/-11,642)","588,248","(+/-10,634)","423,664","(+/-14,469)","347,611","(+/-14,316)","459,780","(+/-18,390)","489,352","(+/-20,459)","472,817","(+/-18,058)","508,256","(+/-19,741)","493,687","(+/-13,500)","528,032","(+/-15,799)","491,231","(+/-17,102)","445,220","(+/-18,601)","466,860","(+/-17,688)","537,590","(+/-11,688)","631,979","(+/-10,619)","690,324","(+/-8,329)","710,470","(+/-6,582)","713,656","(+/-5,384)","748,552","(+/-5,521)","710,739","(+/-4,311)","748,004","(+/-5,953)","752,938","(+/-5,523)","711,885","(+/-4,777)","704,350","(+/-8,308)"
