Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","743,200","(+/-3,279)","737,342","(+/-8,391)","764,723","(+/-8,331)","753,540","(+/-9,030)","768,236","(+/-16,470)","746,035","(+/-16,806)","757,237","(+/-16,354)","741,498","(+/-9,618)","760,782","(+/-4,542)","747,528","(+/-9,814)","702,285","(+/-8,906)","732,136","(+/-5,814)","769,200","(+/-13,809)","729,069","(+/-7,509)","715,260","(+/-11,187)","731,139","(+/-14,783)","737,309","(+/-14,292)","723,116","(+/-13,649)","736,788","(+/-12,986)","778,023","(+/-17,533)","741,623","(+/-17,632)","744,053","(+/-14,748)","730,574","(+/-13,715)","737,258","(+/-5,288)","758,235","(+/-8,598)","751,584","(+/-7,644)","732,253","(+/-12,754)","714,360","(+/-12,105)","725,248","(+/-21,198)","727,256","(+/-12,256)","726,217","(+/-11,231)","779,567","(+/-21,896)","769,128","(+/-13,531)","734,612","(+/-21,017)","760,588","(+/-13,862)","723,838","(+/-14,880)","737,782","(+/-22,032)","716,894","(+/-10,857)","765,791","(+/-8,709)","740,182","(+/-11,730)","790,282","(+/-13,110)","719,676","(+/-13,527)","720,057","(+/-15,639)","728,138","(+/-14,955)","749,227","(+/-9,895)","743,298","(+/-10,937)","750,875","(+/-3,626)","754,744","(+/-13,374)","716,380","(+/-8,710)","725,815","(+/-16,228)","738,500","(+/-15,741)","720,189","(+/-14,949)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","127,794","(+/-5,647)","96,982","(+/-5,233)","102,962","(+/-5,930)","100,209","(+/-5,021)","112,882","(+/-5,817)","100,055","(+/-5,884)","102,162","(+/-6,159)","94,056","(+/-4,998)","93,661","(+/-5,724)","78,368","(+/-4,783)","80,836","(+/-3,983)","87,844","(+/-4,966)","92,245","(+/-5,853)","75,879","(+/-4,473)","78,784","(+/-4,413)","64,734","(+/-3,916)","59,862","(+/-3,957)","72,893","(+/-4,886)","84,644","(+/-5,211)","97,201","(+/-6,063)","105,599","(+/-6,865)","89,781","(+/-5,210)","107,922","(+/-7,265)","89,137","(+/-4,776)","111,247","(+/-6,432)","86,650","(+/-5,112)","79,314","(+/-6,232)","71,518","(+/-4,380)","85,894","(+/-4,685)","90,008","(+/-6,266)","90,042","(+/-6,309)","81,436","(+/-5,770)","82,602","(+/-5,277)","90,381","(+/-5,018)","71,655","(+/-4,517)","73,332","(+/-5,255)","92,314","(+/-7,218)","75,345","(+/-4,833)","77,549","(+/-5,256)","72,436","(+/-4,637)","101,383","(+/-6,095)","85,671","(+/-4,944)","101,785","(+/-7,638)","88,141","(+/-6,495)","77,362","(+/-4,215)","71,634","(+/-5,429)","70,212","(+/-4,957)","86,598","(+/-5,416)","75,593","(+/-6,075)","71,764","(+/-4,099)","84,362","(+/-6,266)","84,504","(+/-6,079)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","169,585","(+/-1,803)","137,996","(+/-4,761)","156,461","(+/-4,489)","149,764","(+/-5,809)","168,856","(+/-7,273)","176,748","(+/-8,342)","167,422","(+/-8,320)","160,337","(+/-6,109)","199,471","(+/-2,573)","168,354","(+/-4,864)","93,839","(+/-2,913)","134,301","(+/-5,354)","227,191","(+/-7,934)","149,664","(+/-5,251)","136,429","(+/-4,486)","152,928","(+/-6,453)","138,844","(+/-5,929)","177,575","(+/-5,879)","145,202","(+/-6,660)","206,984","(+/-8,391)","219,548","(+/-8,413)","230,831","(+/-7,696)","204,301","(+/-7,881)","145,405","(+/-3,671)","191,457","(+/-7,913)","168,566","(+/-4,104)","176,502","(+/-7,898)","137,440","(+/-7,156)","150,550","(+/-9,038)","105,866","(+/-7,132)","157,031","(+/-7,301)","147,465","(+/-9,864)","193,412","(+/-8,765)","140,940","(+/-8,131)","192,221","(+/-9,249)","118,104","(+/-6,832)","159,604","(+/-9,184)","145,097","(+/-6,326)","188,692","(+/-6,814)","148,208","(+/-6,655)","182,058","(+/-7,661)","159,267","(+/-8,611)","175,962","(+/-8,686)","165,034","(+/-10,161)","155,881","(+/-7,343)","171,446","(+/-7,385)","143,079","(+/-6,075)","179,286","(+/-8,301)","162,216","(+/-8,521)","126,491","(+/-7,912)","148,018","(+/-9,353)","183,201","(+/-8,769)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,648","(+/-2,100)","6,155","(+/-1,849)","5,256","(+/-1,460)","6,667","(+/-1,376)","9,684","(+/-2,186)","9,569","(+/-2,333)","8,397","(+/-1,924)","6,383","(+/-1,778)","8,319","(+/-1,955)","6,436","(+/-1,649)","1,669",(+/-711),"3,431","(+/-1,090)","11,974","(+/-2,429)","6,312","(+/-1,542)","5,451","(+/-1,429)","3,833","(+/-1,076)","2,484",(+/-769),"6,502","(+/-1,368)","5,234","(+/-1,060)","8,760","(+/-2,135)","12,099","(+/-2,487)","10,863","(+/-2,162)","9,629","(+/-2,485)","5,883","(+/-1,245)","9,719","(+/-2,097)","7,345","(+/-1,920)","7,265","(+/-1,985)","3,365","(+/-1,012)","6,197","(+/-1,546)","2,590","(+/-1,048)","7,784","(+/-1,678)","4,781","(+/-1,171)","6,125","(+/-1,618)","4,357","(+/-1,039)","6,236","(+/-1,700)","2,891",(+/-880),"6,267","(+/-1,700)","5,937","(+/-1,522)","6,592","(+/-1,428)","4,332","(+/-1,491)","5,276","(+/-1,704)","7,292","(+/-1,691)","10,784","(+/-2,112)","6,993","(+/-1,528)","5,431","(+/-1,670)","7,683","(+/-2,756)","3,101","(+/-1,081)","5,397","(+/-1,343)","6,365","(+/-2,331)","3,825","(+/-1,180)","5,417","(+/-1,354)","7,684","(+/-1,915)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","432,894","(+/-3,374)","424,731","(+/-6,076)","437,389","(+/-5,935)","461,718","(+/-5,885)","441,821","(+/-11,961)","462,746","(+/-11,318)","471,299","(+/-11,354)","458,344","(+/-7,547)","458,772","(+/-3,563)","451,583","(+/-7,609)","483,192","(+/-6,090)","481,066","(+/-6,778)","453,635","(+/-8,814)","464,609","(+/-7,696)","449,526","(+/-8,051)","449,129","(+/-10,331)","500,507","(+/-10,859)","457,451","(+/-9,920)","441,976","(+/-9,291)","456,260","(+/-12,771)","439,933","(+/-12,056)","440,913","(+/-9,263)","426,393","(+/-9,819)","453,956","(+/-5,469)","436,352","(+/-8,032)","454,840","(+/-6,268)","453,699","(+/-11,033)","440,082","(+/-9,121)","482,026","(+/-15,009)","501,918","(+/-10,417)","454,679","(+/-8,970)","494,423","(+/-13,778)","492,422","(+/-10,973)","491,556","(+/-14,979)","487,941","(+/-11,448)","474,868","(+/-11,462)","489,604","(+/-15,387)","447,742","(+/-9,482)","494,078","(+/-8,019)","450,452","(+/-9,320)","461,741","(+/-10,623)","472,434","(+/-10,933)","454,416","(+/-11,988)","461,894","(+/-10,772)","465,588","(+/-9,020)","483,742","(+/-9,530)","487,082","(+/-5,453)","443,327","(+/-11,069)","420,258","(+/-9,071)","487,242","(+/-13,165)","481,333","(+/-11,775)","437,137","(+/-10,716)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","63,552","(+/-4,493)","40,537","(+/-2,888)","42,851","(+/-4,349)","46,684","(+/-3,683)","51,618","(+/-4,686)","52,615","(+/-3,987)","50,661","(+/-4,482)","45,244","(+/-3,405)","46,807","(+/-4,232)","32,218","(+/-3,331)","34,817","(+/-2,906)","45,097","(+/-3,373)","45,917","(+/-4,064)","34,473","(+/-3,288)","32,568","(+/-3,020)","24,413","(+/-2,846)","26,841","(+/-3,288)","33,395","(+/-3,440)","32,895","(+/-3,286)","48,351","(+/-4,061)","59,249","(+/-5,321)","49,705","(+/-3,984)","60,882","(+/-5,329)","43,558","(+/-3,474)","51,799","(+/-5,140)","40,205","(+/-3,439)","42,547","(+/-4,287)","27,731","(+/-2,562)","43,211","(+/-3,193)","39,572","(+/-4,478)","41,102","(+/-4,193)","36,411","(+/-3,634)","43,768","(+/-3,715)","44,436","(+/-3,513)","36,500","(+/-3,159)","33,259","(+/-3,833)","49,058","(+/-4,675)","33,582","(+/-3,207)","39,530","(+/-4,168)","28,210","(+/-3,360)","47,882","(+/-4,856)","45,982","(+/-3,233)","53,597","(+/-5,361)","46,630","(+/-4,670)","31,350","(+/-3,072)","36,245","(+/-3,576)","32,578","(+/-3,421)","40,464","(+/-3,858)","33,780","(+/-3,757)","35,727","(+/-3,238)","43,291","(+/-4,059)","40,385","(+/-4,586)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,721","(+/-2,318)","174,615","(+/-3,675)","170,873","(+/-3,320)","142,058","(+/-4,871)","157,559","(+/-4,186)","106,541","(+/-3,811)","118,516","(+/-4,252)","122,817","(+/-5,313)","102,539","(+/-1,635)","127,591","(+/-4,752)","125,254","(+/-2,849)","116,769","(+/-4,334)","88,374","(+/-3,990)","114,796","(+/-4,377)","129,305","(+/-3,894)","129,082","(+/-4,954)","97,958","(+/-4,576)","88,090","(+/-3,635)","149,610","(+/-4,715)","114,779","(+/-4,336)","82,142","(+/-4,126)","72,309","(+/-3,246)","99,880","(+/-5,118)","137,897","(+/-3,791)","130,426","(+/-5,698)","128,178","(+/-3,553)","102,052","(+/-5,395)","136,838","(+/-6,537)","92,672","(+/-5,474)","119,472","(+/-5,796)","114,507","(+/-6,073)","137,679","(+/-6,160)","83,294","(+/-4,345)","102,116","(+/-6,038)","80,426","(+/-5,253)","130,866","(+/-6,529)","88,574","(+/-5,334)","124,055","(+/-5,872)","83,021","(+/-5,151)","141,522","(+/-6,298)","146,483","(+/-5,425)","87,975","(+/-5,247)","89,679","(+/-4,970)","101,210","(+/-4,779)","127,758","(+/-5,520)","88,110","(+/-5,168)","120,714","(+/-5,943)","132,131","(+/-7,112)","133,906","(+/-6,415)","112,082","(+/-5,533)","109,149","(+/-5,504)","99,851","(+/-5,610)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","53,594","(+/-3,036)","50,290","(+/-3,602)","54,855","(+/-3,235)","46,858","(+/-3,282)","51,580","(+/-2,907)","37,871","(+/-3,140)","43,104","(+/-3,105)","42,429","(+/-3,496)","38,535","(+/-2,684)","39,714","(+/-3,115)","44,350","(+/-2,868)","39,316","(+/-3,492)","34,354","(+/-3,086)","35,094","(+/-3,298)","40,765","(+/-2,873)","36,488","(+/-3,042)","30,537","(+/-2,648)","32,996","(+/-2,862)","46,515","(+/-3,320)","40,090","(+/-2,947)","34,251","(+/-2,557)","29,213","(+/-2,854)","37,411","(+/-3,247)","39,696","(+/-2,820)","49,729","(+/-3,269)","39,100","(+/-2,453)","29,502","(+/-3,064)","40,422","(+/-3,248)","36,486","(+/-3,272)","47,846","(+/-4,009)","41,156","(+/-3,710)","40,244","(+/-4,053)","32,709","(+/-2,685)","41,588","(+/-3,555)","28,919","(+/-2,546)","37,182","(+/-3,254)","36,989","(+/-3,611)","35,826","(+/-3,024)","31,427","(+/-3,286)","39,894","(+/-3,322)","48,225","(+/-3,399)","32,397","(+/-2,968)","37,404","(+/-3,689)","34,518","(+/-3,034)","40,581","(+/-2,847)","27,706","(+/-2,595)","34,533","(+/-2,954)","40,737","(+/-3,178)","35,448","(+/-3,633)","32,212","(+/-2,463)","35,654","(+/-3,576)","36,435","(+/-3,101)"
People,"Residence 1 Year Ago","Population 1 year and over","751,359","(+/-3,116)","739,961","(+/-8,117)","767,527","(+/-7,706)","759,165","(+/-8,551)","771,143","(+/-16,137)","741,541","(+/-16,338)","756,292","(+/-15,972)","740,633","(+/-9,882)","759,978","(+/-4,713)","745,353","(+/-9,884)","699,173","(+/-8,987)","727,645","(+/-6,045)","771,729","(+/-14,121)","726,734","(+/-7,188)","711,292","(+/-11,188)","728,721","(+/-14,777)","732,236","(+/-13,996)","728,234","(+/-13,591)","740,329","(+/-12,707)","783,791","(+/-17,991)","738,411","(+/-17,270)","763,687","(+/-14,559)","747,720","(+/-13,124)","743,803","(+/-5,176)","764,595","(+/-9,003)","751,050","(+/-7,675)","729,909","(+/-12,736)","713,876","(+/-11,842)","721,205","(+/-20,837)","726,585","(+/-12,117)","724,383","(+/-10,834)","774,760","(+/-21,518)","766,742","(+/-13,419)","738,669","(+/-20,832)","759,331","(+/-13,627)","721,691","(+/-14,564)","732,415","(+/-21,722)","712,435","(+/-11,118)","762,538","(+/-8,961)","732,388","(+/-11,428)","789,466","(+/-13,146)","715,965","(+/-13,143)","715,911","(+/-15,460)","727,771","(+/-15,275)","746,410","(+/-9,615)","740,370","(+/-10,942)","746,922","(+/-3,872)","758,111","(+/-13,641)","745,075","(+/-9,382)","742,650","(+/-15,977)","750,058","(+/-15,851)","741,441","(+/-15,116)"
People,"Residence 1 Year Ago","Same house","653,346","(+/-7,504)","659,876","(+/-9,612)","673,076","(+/-9,597)","657,917","(+/-10,760)","685,180","(+/-17,067)","652,712","(+/-16,845)","672,026","(+/-16,594)","669,106","(+/-11,236)","679,217","(+/-10,070)","654,412","(+/-12,401)","582,876","(+/-10,100)","618,360","(+/-9,728)","697,572","(+/-16,366)","650,280","(+/-9,921)","622,894","(+/-12,426)","624,320","(+/-16,146)","606,808","(+/-15,854)","641,607","(+/-13,197)","646,556","(+/-13,984)","696,859","(+/-18,861)","665,216","(+/-16,287)","710,498","(+/-14,676)","653,093","(+/-15,650)","618,167","(+/-8,661)","698,700","(+/-11,872)","678,505","(+/-9,220)","664,993","(+/-13,770)","645,156","(+/-12,777)","666,696","(+/-20,409)","629,363","(+/-11,989)","675,233","(+/-12,165)","689,650","(+/-18,701)","705,503","(+/-15,381)","659,556","(+/-18,808)","693,571","(+/-15,542)","613,795","(+/-15,036)","658,835","(+/-21,652)","664,092","(+/-12,112)","695,112","(+/-11,056)","663,554","(+/-11,554)","712,658","(+/-15,304)","650,713","(+/-14,310)","659,647","(+/-15,229)","675,433","(+/-15,629)","669,541","(+/-10,605)","671,486","(+/-12,550)","622,690","(+/-11,261)","676,939","(+/-14,911)","651,909","(+/-11,576)","619,311","(+/-16,153)","654,959","(+/-17,113)","675,612","(+/-17,491)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","98,013","(+/-7,433)","80,085","(+/-6,348)","94,451","(+/-7,992)","101,248","(+/-7,750)","85,963","(+/-9,402)","88,829","(+/-8,541)","84,266","(+/-7,784)","71,527","(+/-7,335)","80,761","(+/-10,029)","90,941","(+/-8,221)","116,297","(+/-6,556)","109,285","(+/-7,820)","74,157","(+/-8,362)","76,454","(+/-8,052)","88,398","(+/-7,782)","104,401","(+/-8,651)","125,428","(+/-8,522)","86,627","(+/-8,296)","93,773","(+/-6,828)","86,932","(+/-9,481)","73,195","(+/-8,759)","53,189","(+/-6,998)","94,627","(+/-10,191)","125,636","(+/-8,143)","65,895","(+/-7,714)","72,545","(+/-7,598)","64,916","(+/-6,641)","68,720","(+/-7,078)","54,509","(+/-6,189)","97,222","(+/-7,177)","49,150","(+/-5,755)","85,110","(+/-7,511)","61,239","(+/-7,670)","79,113","(+/-5,954)","65,760","(+/-7,654)","107,896","(+/-6,692)","73,580","(+/-7,269)","48,343","(+/-5,679)","67,426","(+/-7,273)","68,834","(+/-6,977)","76,808","(+/-9,516)","65,252","(+/-6,980)","56,264","(+/-7,388)","52,338","(+/-6,119)","76,869","(+/-7,375)","68,884","(+/-7,348)","124,232","(+/-11,032)","81,172","(+/-10,014)","93,166","(+/-9,028)","123,339","(+/-9,301)","95,099","(+/-8,197)","65,829","(+/-8,479)"
People,"Residence 1 Year Ago","Different house in the U.S.","95,887","(+/-7,464)","77,355","(+/-6,186)","89,959","(+/-7,906)","94,697","(+/-7,339)","83,572","(+/-9,200)","79,140","(+/-7,571)","81,703","(+/-7,566)","66,301","(+/-7,020)","75,476","(+/-9,741)","83,041","(+/-8,088)","105,776","(+/-6,631)","101,578","(+/-7,712)","69,663","(+/-7,834)","67,992","(+/-7,770)","78,246","(+/-7,086)","92,653","(+/-8,085)","105,474","(+/-8,673)","79,911","(+/-8,256)","88,864","(+/-6,716)","82,904","(+/-9,663)","68,165","(+/-8,187)","51,081","(+/-6,894)","92,025","(+/-10,249)","121,530","(+/-8,064)","61,377","(+/-6,928)","67,472","(+/-6,716)","61,761","(+/-6,622)","62,150","(+/-6,647)","49,795","(+/-5,865)","90,739","(+/-6,674)","45,708","(+/-5,376)","78,833","(+/-7,009)","58,984","(+/-7,593)","71,548","(+/-5,972)","61,596","(+/-7,353)","98,373","(+/-6,644)","66,226","(+/-6,725)","45,166","(+/-5,544)","63,049","(+/-7,316)","63,716","(+/-6,888)","74,284","(+/-9,464)","60,001","(+/-6,671)","52,862","(+/-7,440)","47,324","(+/-6,102)","71,231","(+/-7,240)","65,377","(+/-7,223)","113,711","(+/-10,407)","79,025","(+/-9,803)","88,490","(+/-9,067)","111,638","(+/-8,526)","87,995","(+/-7,915)","59,456","(+/-7,971)"
People,"Residence 1 Year Ago","Same county","53,870","(+/-6,072)","38,531","(+/-4,384)","42,644","(+/-5,695)","51,049","(+/-5,647)","40,037","(+/-5,966)","51,724","(+/-6,432)","46,553","(+/-5,722)","39,261","(+/-6,187)","43,763","(+/-7,695)","42,197","(+/-5,524)","53,142","(+/-4,876)","55,942","(+/-6,401)","41,084","(+/-6,235)","38,123","(+/-5,694)","39,937","(+/-5,316)","54,584","(+/-6,398)","63,205","(+/-6,482)","52,013","(+/-6,848)","45,189","(+/-4,738)","49,960","(+/-8,101)","54,335","(+/-7,476)","33,744","(+/-6,091)","51,288","(+/-8,591)","71,098","(+/-7,728)","35,527","(+/-5,943)","42,621","(+/-5,802)","46,042","(+/-5,603)","42,497","(+/-5,151)","38,902","(+/-5,065)","61,044","(+/-5,992)","36,190","(+/-5,389)","58,929","(+/-6,324)","40,820","(+/-6,721)","55,227","(+/-5,531)","30,763","(+/-4,372)","61,844","(+/-5,585)","45,896","(+/-5,617)","29,910","(+/-4,750)","34,225","(+/-6,010)","44,497","(+/-5,785)","36,502","(+/-7,316)","43,599","(+/-5,947)","45,246","(+/-6,879)","38,153","(+/-5,331)","49,000","(+/-6,416)","43,528","(+/-6,597)","63,084","(+/-7,426)","50,559","(+/-7,478)","55,080","(+/-6,932)","60,846","(+/-6,887)","54,259","(+/-6,587)","45,187","(+/-6,851)"
People,"Residence 1 Year Ago","Different county","42,017","(+/-4,031)","38,824","(+/-3,963)","47,315","(+/-5,586)","43,648","(+/-5,089)","43,535","(+/-6,964)","27,416","(+/-4,773)","35,150","(+/-5,059)","27,040","(+/-4,880)","31,713","(+/-6,394)","40,844","(+/-6,231)","52,634","(+/-4,037)","45,636","(+/-3,943)","28,579","(+/-4,661)","29,869","(+/-5,294)","38,309","(+/-4,948)","38,069","(+/-4,740)","42,269","(+/-5,901)","27,898","(+/-3,628)","43,675","(+/-4,920)","32,944","(+/-6,146)","13,830","(+/-2,688)","17,337","(+/-2,737)","40,737","(+/-6,592)","50,432","(+/-3,765)","25,850","(+/-4,988)","24,851","(+/-4,049)","15,719","(+/-5,030)","19,653","(+/-3,695)","10,893","(+/-2,596)","29,695","(+/-3,461)","9,518","(+/-2,473)","19,904","(+/-3,522)","18,164","(+/-3,338)","16,321","(+/-2,052)","30,833","(+/-6,354)","36,529","(+/-3,572)","20,330","(+/-3,569)","15,256","(+/-2,922)","28,824","(+/-4,666)","19,219","(+/-3,427)","37,782","(+/-5,433)","16,402","(+/-2,925)","7,616","(+/-2,604)","9,171","(+/-1,840)","22,231","(+/-3,654)","21,849","(+/-3,620)","50,627","(+/-6,691)","28,466","(+/-5,194)","33,410","(+/-5,714)","50,792","(+/-5,580)","33,736","(+/-4,931)","14,269","(+/-3,601)"
People,"Residence 1 Year Ago","Same state","32,958","(+/-3,716)","27,639","(+/-3,527)","39,842","(+/-5,596)","35,430","(+/-4,644)","36,116","(+/-6,680)","23,415","(+/-4,431)","29,081","(+/-4,701)","22,736","(+/-4,536)","28,413","(+/-6,129)","30,768","(+/-5,478)","29,960","(+/-2,773)","33,276","(+/-3,561)","22,752","(+/-3,716)","21,916","(+/-3,774)","27,755","(+/-3,995)","21,874","(+/-3,816)","24,712","(+/-4,651)","19,938","(+/-3,412)","29,848","(+/-4,277)","22,837","(+/-5,048)","11,635","(+/-2,380)","15,536","(+/-2,653)","26,488","(+/-4,801)","40,659","(+/-3,577)","21,278","(+/-4,754)","18,073","(+/-3,453)","11,463","(+/-4,629)","11,319","(+/-3,186)","4,949","(+/-1,249)","10,993","(+/-2,619)","6,554","(+/-1,926)","10,101","(+/-2,642)","14,239","(+/-3,040)","8,794","(+/-1,675)","25,733","(+/-6,507)","19,574","(+/-2,394)","8,659","(+/-2,103)","13,567","(+/-2,800)","27,103","(+/-4,730)","12,540","(+/-2,641)","27,030","(+/-4,602)","9,767","(+/-2,108)","4,290","(+/-1,749)","5,108","(+/-1,451)","17,728","(+/-3,041)","17,290","(+/-3,380)","30,955","(+/-5,058)","19,983","(+/-4,738)","14,004","(+/-3,274)","24,416","(+/-3,616)","14,496","(+/-2,820)","6,237","(+/-1,943)"
People,"Residence 1 Year Ago","Different state","9,059","(+/-1,951)","11,185","(+/-2,897)","7,473","(+/-2,036)","8,218","(+/-2,326)","7,419","(+/-1,803)","4,001","(+/-1,233)","6,069","(+/-1,572)","4,304","(+/-1,304)","3,300","(+/-1,608)","10,076","(+/-3,131)","22,674","(+/-3,185)","12,360","(+/-2,100)","5,827","(+/-2,554)","7,953","(+/-2,745)","10,554","(+/-2,652)","16,195","(+/-3,112)","17,557","(+/-3,579)","7,960","(+/-2,581)","13,827","(+/-2,790)","10,107","(+/-3,468)","2,195","(+/-1,365)","1,801",(+/-930),"14,249","(+/-4,917)","9,773","(+/-1,751)","4,572","(+/-1,397)","6,778","(+/-1,790)","4,256","(+/-1,685)","8,334","(+/-1,875)","5,944","(+/-1,975)","18,702","(+/-2,944)","2,964","(+/-1,329)","9,803","(+/-2,429)","3,925","(+/-1,480)","7,527","(+/-1,498)","5,100","(+/-1,409)","16,955","(+/-2,589)","11,671","(+/-2,758)","1,689",(+/-761),"1,721",(+/-832),"6,679","(+/-1,960)","10,752","(+/-2,318)","6,635","(+/-2,173)","3,326","(+/-1,551)","4,063","(+/-1,325)","4,503","(+/-1,619)","4,559","(+/-1,282)","19,672","(+/-4,886)","8,483","(+/-2,535)","19,406","(+/-5,037)","26,376","(+/-4,259)","19,240","(+/-3,777)","8,032","(+/-2,836)"
People,"Residence 1 Year Ago",Abroad,"2,126","(+/-1,262)","2,730","(+/-1,030)","4,492","(+/-1,601)","6,551","(+/-1,840)","2,391","(+/-1,164)","9,689","(+/-3,643)","2,563","(+/-1,033)","5,226","(+/-1,732)","5,285","(+/-1,549)","7,900","(+/-3,176)","10,521","(+/-2,689)","7,707","(+/-1,807)","4,494","(+/-2,122)","8,462","(+/-1,895)","10,152","(+/-3,541)","11,748","(+/-2,408)","19,954","(+/-3,479)","6,716","(+/-2,684)","4,909","(+/-1,799)","4,028","(+/-2,022)","5,030","(+/-2,459)","2,108",(+/-936),"2,602","(+/-1,116)","4,106","(+/-1,363)","4,518","(+/-2,023)","5,073","(+/-2,413)","3,155","(+/-1,630)","6,570","(+/-1,870)","4,714","(+/-1,761)","6,483","(+/-2,103)","3,442","(+/-1,148)","6,277","(+/-2,360)","2,255","(+/-1,089)","7,565","(+/-2,290)","4,164","(+/-1,610)","9,523","(+/-1,880)","7,354","(+/-1,974)","3,177","(+/-1,019)","4,377","(+/-1,592)","5,118","(+/-1,630)","2,524",(+/-925),"5,251","(+/-3,327)","3,402","(+/-1,379)","5,014","(+/-1,800)","5,638","(+/-2,134)","3,507","(+/-1,399)","10,521","(+/-3,382)","2,147","(+/-1,148)","4,676","(+/-1,552)","11,701","(+/-3,729)","7,104","(+/-2,219)","6,373","(+/-1,715)"
Workers,"Employment Status","Population 16 years and over","608,231","(+/-3,052)","627,318","(+/-6,916)","635,401","(+/-6,269)","634,936","(+/-6,668)","629,902","(+/-12,211)","590,194","(+/-12,376)","617,352","(+/-12,298)","607,473","(+/-9,236)","595,818","(+/-3,375)","605,559","(+/-8,665)","622,003","(+/-7,546)","619,044","(+/-6,935)","581,386","(+/-9,932)","600,627","(+/-7,920)","599,038","(+/-9,542)","602,394","(+/-11,450)","617,882","(+/-12,247)","577,140","(+/-11,218)","619,350","(+/-10,473)","606,898","(+/-14,815)","556,674","(+/-12,731)","572,223","(+/-10,830)","572,331","(+/-10,337)","621,802","(+/-5,448)","607,385","(+/-9,993)","611,354","(+/-6,735)","581,151","(+/-11,737)","601,492","(+/-10,218)","595,704","(+/-17,154)","638,640","(+/-10,973)","593,638","(+/-9,181)","653,446","(+/-15,639)","605,625","(+/-11,545)","620,498","(+/-17,028)","600,877","(+/-11,521)","623,558","(+/-13,292)","597,240","(+/-16,835)","592,736","(+/-9,787)","603,176","(+/-8,539)","612,261","(+/-9,954)","637,864","(+/-12,180)","584,630","(+/-11,502)","568,385","(+/-13,229)","591,001","(+/-11,922)","616,607","(+/-9,866)","601,794","(+/-9,784)","625,480","(+/-5,654)","608,192","(+/-12,347)","609,271","(+/-9,306)","637,387","(+/-13,601)","625,822","(+/-13,837)","586,518","(+/-12,108)"
