Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","55 to 59 years","57,697","(+/-3,315)","42,603","(+/-3,779)","38,628","(+/-3,724)","53,937","(+/-3,312)","54,234","(+/-3,273)","49,345","(+/-2,956)","52,724","(+/-3,247)","54,632","(+/-2,904)","53,229","(+/-2,322)","46,214","(+/-3,408)","48,635","(+/-2,712)","43,058","(+/-2,898)","51,691","(+/-2,330)","49,727","(+/-2,633)","49,715","(+/-1,774)","52,742","(+/-2,583)","48,359","(+/-3,589)"
People,"Sex and Age","60 to 64 years","60,946","(+/-3,266)","44,547","(+/-5,065)","40,218","(+/-4,039)","55,698","(+/-3,046)","45,676","(+/-3,157)","53,236","(+/-2,732)","53,205","(+/-3,015)","58,330","(+/-3,167)","55,558","(+/-2,540)","54,453","(+/-3,347)","53,183","(+/-2,909)","52,874","(+/-3,270)","56,728","(+/-2,374)","63,491","(+/-2,803)","57,798","(+/-2,003)","56,118","(+/-2,654)","61,105","(+/-3,543)"
People,"Sex and Age","65 to 74 years","91,696","(+/-2,064)","66,380","(+/-3,351)","64,862","(+/-3,796)","87,719","(+/-3,112)","73,964","(+/-2,530)","77,410","(+/-1,893)","84,092","(+/-1,281)","92,452","(+/-1,424)","91,225","(+/-1,512)","82,265","(+/-2,214)","85,265","(+/-2,033)","86,939","(+/-3,638)","96,649","(+/-1,046)","102,154","(+/-2,050)","92,943","(+/-1,291)","95,217",(+/-733),"96,591","(+/-2,945)"
People,"Sex and Age","75 to 84 years","47,158","(+/-1,859)","34,047","(+/-2,872)","33,789","(+/-3,335)","46,960","(+/-2,561)","36,247","(+/-2,460)","41,036","(+/-1,995)","44,206","(+/-1,736)","45,431","(+/-2,104)","51,852","(+/-2,036)","41,812","(+/-2,320)","49,135","(+/-2,780)","47,402","(+/-3,295)","51,433","(+/-1,683)","52,305","(+/-2,292)","48,718","(+/-1,515)","50,529","(+/-1,802)","49,024","(+/-2,822)"
People,"Sex and Age","85 years and over","18,055","(+/-1,554)","9,700","(+/-1,921)","12,029","(+/-2,077)","19,766","(+/-1,867)","16,513","(+/-1,806)","16,454","(+/-1,962)","18,699","(+/-1,604)","19,890","(+/-1,911)","19,191","(+/-1,897)","17,653","(+/-2,266)","20,931","(+/-2,203)","19,488","(+/-2,148)","19,148","(+/-1,537)","19,113","(+/-1,846)","19,011","(+/-1,385)","17,046","(+/-1,653)","17,460","(+/-1,442)"
People,"Sex and Age","Median age (years)",44.2,(+/-0.5),36.7,(+/-0.7),33.8,(+/-0.5),42.1,(+/-0.6),38.7,(+/-0.4),39.9,(+/-0.5),40.9,(+/-0.4),43.1,(+/-0.3),43.2,(+/-0.5),39.6,(+/-0.4),40.5,(+/-0.4),39.7,(+/-0.7),43.6,(+/-0.4),45.1,(+/-0.4),42.7,(+/-0.4),42.9,(+/-0.3),43.7,(+/-0.7)
People,"Sex and Age","18 years and over","610,379","(+/-4,728)","553,336","(+/-13,303)","625,251","(+/-13,780)","618,279","(+/-6,952)","599,566","(+/-6,377)","600,042","(+/-4,747)","614,536","(+/-2,688)","617,299","(+/-3,665)","607,651","(+/-4,288)","609,632","(+/-5,745)","599,014","(+/-5,008)","628,233","(+/-8,922)","611,666","(+/-2,642)","617,175","(+/-4,248)","622,730","(+/-3,047)","611,874","(+/-1,315)","603,187","(+/-8,158)"
People,"Sex and Age","65 years and over","156,909","(+/-2,363)","110,127","(+/-4,576)","110,680","(+/-5,017)","154,445","(+/-3,937)","126,724","(+/-3,003)","134,900","(+/-2,317)","146,997","(+/-1,077)","157,773","(+/-1,722)","162,268","(+/-2,032)","141,730","(+/-2,992)","155,331","(+/-2,684)","153,829","(+/-4,752)","167,230","(+/-1,291)","173,572","(+/-2,594)","160,672","(+/-1,719)","162,792","(+/-1,054)","163,075","(+/-3,710)"
People,Race,"Total population","760,257","(+/-6,296)","717,771","(+/-17,701)","772,128","(+/-18,505)","780,519","(+/-9,605)","768,063","(+/-8,081)","771,296","(+/-5,872)","774,340","(+/-3,598)","766,586","(+/-4,569)","760,960","(+/-6,276)","779,565","(+/-7,994)","768,350","(+/-7,221)","758,799","(+/-10,936)","764,692","(+/-3,748)","755,713","(+/-5,687)","759,208","(+/-3,613)","761,430","(+/-1,855)","752,331","(+/-9,953)"
People,Race,"One race","710,833","(+/-8,262)","640,240","(+/-19,258)","720,918","(+/-17,917)","734,315","(+/-10,784)","715,666","(+/-10,660)","679,580","(+/-9,518)","681,942","(+/-9,099)","688,708","(+/-7,363)","717,496","(+/-7,234)","719,467","(+/-9,952)","715,383","(+/-9,769)","709,473","(+/-11,375)","725,985","(+/-5,948)","713,803","(+/-6,575)","732,512","(+/-4,289)","720,307","(+/-4,457)","709,164","(+/-10,211)"
People,Race,White,"613,616","(+/-8,045)","277,315","(+/-12,697)","249,101","(+/-10,846)","599,900","(+/-10,829)","445,475","(+/-6,506)","552,418","(+/-7,823)","536,979","(+/-5,648)","567,534","(+/-6,671)","668,308","(+/-5,665)","569,662","(+/-8,514)","639,735","(+/-7,920)","571,752","(+/-10,463)","691,569","(+/-5,183)","685,532","(+/-5,965)","697,924","(+/-3,695)","670,541","(+/-4,328)","618,531","(+/-9,348)"
People,Race,"Black or African American","28,888","(+/-2,683)","164,668","(+/-14,650)","403,803","(+/-14,727)","67,220","(+/-4,550)","194,817","(+/-10,002)","41,281","(+/-3,437)","45,294","(+/-3,570)","49,014","(+/-3,739)","18,951","(+/-2,263)","77,467","(+/-4,641)","32,980","(+/-4,932)","96,597","(+/-5,114)","16,292","(+/-2,197)","17,571","(+/-1,735)","16,459","(+/-1,382)","30,883","(+/-2,722)","59,039","(+/-5,844)"
People,Race,"American Indian and Alaska Native","1,346","(+/-1,197)","9,266","(+/-9,475)","2,014","(+/-1,201)","1,316",(+/-890),"1,291","(+/-1,176)","4,483","(+/-2,428)","1,374",(+/-783),"1,837",(+/-999),"1,694","(+/-1,033)","1,460","(+/-1,054)","1,775",(+/-898),"2,443","(+/-2,253)",818,(+/-527),902,(+/-549),"1,447","(+/-1,222)",444,(+/-223),777,(+/-411)
People,Race,Asian,"44,815","(+/-3,091)","71,418","(+/-6,298)","46,982","(+/-6,124)","49,529","(+/-4,213)","52,553","(+/-3,577)","40,648","(+/-1,993)","24,422","(+/-1,564)","14,464","(+/-1,526)","5,609",(+/-963),"36,107","(+/-2,114)","16,590","(+/-2,009)","29,935","(+/-3,114)","6,079","(+/-1,404)","5,206",(+/-889),"11,983","(+/-1,316)","9,612","(+/-1,075)","25,709","(+/-2,872)"
People,Race,"Native Hawaiian and Other Pacific Islander",0,(+/-190),303,(+/-424),352,(+/-193),0,(+/-190),0,(+/-190),370,(+/-362),68,(+/-86),502,(+/-502),0,(+/-190),79,(+/-134),212,(+/-201),104,(+/-139),73,(+/-113),0,(+/-190),787,(+/-449),180,(+/-279),176,(+/-261)
People,Race,"Some other race","22,168","(+/-4,373)","117,270","(+/-12,428)","18,666","(+/-5,153)","16,350","(+/-3,029)","21,530","(+/-5,239)","40,380","(+/-6,447)","73,805","(+/-7,544)","55,357","(+/-6,446)","22,934","(+/-5,290)","34,692","(+/-5,552)","24,091","(+/-5,762)","8,642","(+/-2,229)","11,154","(+/-3,184)","4,592","(+/-1,329)","3,912",(+/-846),"8,647","(+/-3,578)","4,932","(+/-1,497)"
People,Race,"Two or more races","49,424","(+/-6,203)","77,531","(+/-13,348)","51,210","(+/-6,712)","46,204","(+/-4,870)","52,397","(+/-6,639)","91,716","(+/-7,653)","92,398","(+/-8,720)","77,878","(+/-7,288)","43,464","(+/-4,182)","60,098","(+/-5,573)","52,967","(+/-5,496)","49,326","(+/-5,272)","38,707","(+/-4,357)","41,910","(+/-3,635)","26,696","(+/-2,409)","41,123","(+/-4,220)","43,167","(+/-4,409)"
People,"Hispanic or Latino and Race","Total population","760,257","(+/-6,296)","717,771","(+/-17,701)","772,128","(+/-18,505)","780,519","(+/-9,605)","768,063","(+/-8,081)","771,296","(+/-5,872)","774,340","(+/-3,598)","766,586","(+/-4,569)","760,960","(+/-6,276)","779,565","(+/-7,994)","768,350","(+/-7,221)","758,799","(+/-10,936)","764,692","(+/-3,748)","755,713","(+/-5,687)","759,208","(+/-3,613)","761,430","(+/-1,855)","752,331","(+/-9,953)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","49,425","(+/-2,569)","200,726","(+/-7,444)","47,023","(+/-6,810)","44,728","(+/-4,731)","46,243","(+/-5,097)","127,206","(+/-3,763)","164,562","(+/-1,627)","116,767","(+/-1,794)","50,606","(+/-1,779)","80,539","(+/-2,274)","72,038","(+/-2,282)","22,988","(+/-2,141)","28,387",(+/-188),"11,740",(+/-820),"16,942",(+/-664),"22,222",(+/-204),"13,855","(+/-1,954)"
People,"Hispanic or Latino and Race",Mexican,"9,612","(+/-3,281)","11,984","(+/-5,252)","8,291","(+/-2,829)","9,695","(+/-2,911)","11,937","(+/-4,780)","31,501","(+/-6,187)","13,731","(+/-3,935)","12,162","(+/-3,180)","7,672","(+/-1,914)","11,629","(+/-3,440)","8,110","(+/-2,668)","6,060","(+/-1,925)","12,186","(+/-2,535)","3,133","(+/-1,107)","3,378",(+/-946),"4,454","(+/-1,317)","4,448","(+/-1,249)"
People,"Hispanic or Latino and Race","Puerto Rican","17,013","(+/-3,284)","111,133","(+/-9,721)","17,179","(+/-4,812)","17,561","(+/-3,734)","14,865","(+/-4,130)","53,149","(+/-6,428)","77,022","(+/-7,261)","43,120","(+/-5,172)","25,267","(+/-2,868)","39,919","(+/-5,063)","44,809","(+/-4,309)","4,881","(+/-1,716)","6,135","(+/-1,668)","3,127","(+/-1,081)","4,873","(+/-1,081)","10,517","(+/-1,986)","3,262","(+/-1,208)"
People,"Hispanic or Latino and Race",Cuban,"2,687","(+/-1,038)","1,568",(+/-849),"1,666",(+/-735),"1,648",(+/-791),853,(+/-603),"3,219","(+/-1,582)","3,116","(+/-2,821)","1,568",(+/-841),"1,491",(+/-834),"1,297",(+/-688),"3,440","(+/-1,690)",928,(+/-586),602,(+/-348),"1,817","(+/-1,527)","1,137",(+/-694),521,(+/-586),95,(+/-90)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,113","(+/-3,770)","76,041","(+/-9,962)","19,887","(+/-4,629)","15,824","(+/-3,714)","18,588","(+/-4,051)","39,337","(+/-6,032)","70,693","(+/-7,469)","59,917","(+/-5,399)","16,176","(+/-3,109)","27,694","(+/-4,762)","15,679","(+/-3,418)","11,119","(+/-2,418)","9,464","(+/-2,591)","3,663","(+/-1,001)","7,554","(+/-1,018)","6,730","(+/-1,675)","6,050","(+/-1,815)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","710,832","(+/-6,172)","517,045","(+/-16,739)","725,105","(+/-17,339)","735,791","(+/-10,025)","721,820","(+/-9,094)","644,090","(+/-6,153)","609,778","(+/-3,173)","649,819","(+/-4,262)","710,354","(+/-6,363)","699,026","(+/-7,850)","696,312","(+/-7,053)","735,811","(+/-11,200)","736,305","(+/-3,765)","743,973","(+/-5,636)","742,266","(+/-3,669)","739,208","(+/-1,851)","738,476","(+/-10,103)"
People,"Place of Birth","Total population","760,257","(+/-6,296)","717,771","(+/-17,701)","772,128","(+/-18,505)","780,519","(+/-9,605)","768,063","(+/-8,081)","771,296","(+/-5,872)","774,340","(+/-3,598)","766,586","(+/-4,569)","760,960","(+/-6,276)","779,565","(+/-7,994)","768,350","(+/-7,221)","758,799","(+/-10,936)","764,692","(+/-3,748)","755,713","(+/-5,687)","759,208","(+/-3,613)","761,430","(+/-1,855)","752,331","(+/-9,953)"
People,"Place of Birth",Native,"678,806","(+/-8,348)","560,170","(+/-17,826)","698,755","(+/-18,478)","710,855","(+/-10,287)","676,766","(+/-9,057)","687,870","(+/-7,160)","686,646","(+/-6,419)","698,875","(+/-6,173)","742,295","(+/-6,253)","715,609","(+/-10,050)","734,930","(+/-8,303)","715,444","(+/-10,678)","745,802","(+/-4,342)","743,302","(+/-6,099)","737,068","(+/-4,015)","741,969","(+/-3,317)","718,673","(+/-10,047)"
People,"Place of Birth","Born in United States","670,205","(+/-8,392)","518,261","(+/-17,663)","686,028","(+/-18,907)","698,320","(+/-10,162)","662,451","(+/-9,679)","661,118","(+/-7,640)","652,276","(+/-7,231)","681,694","(+/-6,573)","729,467","(+/-6,705)","696,999","(+/-9,786)","721,332","(+/-8,453)","708,355","(+/-10,738)","740,980","(+/-4,328)","739,848","(+/-6,448)","732,235","(+/-4,000)","735,346","(+/-3,828)","714,476","(+/-10,157)"
People,"Place of Birth","State of residence","490,742","(+/-10,079)","416,633","(+/-17,181)","497,392","(+/-17,615)","554,795","(+/-9,856)","523,773","(+/-11,094)","484,065","(+/-7,888)","459,693","(+/-9,462)","448,933","(+/-8,322)","605,201","(+/-7,298)","529,816","(+/-10,387)","548,773","(+/-9,698)","578,258","(+/-12,510)","591,304","(+/-6,615)","620,073","(+/-8,885)","597,627","(+/-6,446)","609,654","(+/-7,398)","586,487","(+/-9,016)"
People,"Place of Birth","Different state","179,463","(+/-7,319)","101,628","(+/-8,211)","188,636","(+/-9,047)","143,525","(+/-7,132)","138,678","(+/-8,476)","177,053","(+/-7,683)","192,583","(+/-9,033)","232,761","(+/-8,622)","124,266","(+/-5,090)","167,183","(+/-8,965)","172,559","(+/-9,537)","130,097","(+/-6,362)","149,676","(+/-6,447)","119,775","(+/-6,867)","134,608","(+/-5,543)","125,692","(+/-7,082)","127,989","(+/-6,551)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,601","(+/-2,109)","41,909","(+/-5,417)","12,727","(+/-3,541)","12,535","(+/-2,369)","14,315","(+/-3,837)","26,752","(+/-3,300)","34,370","(+/-4,363)","17,181","(+/-3,312)","12,828","(+/-2,425)","18,610","(+/-3,721)","13,598","(+/-2,743)","7,089","(+/-1,575)","4,822","(+/-1,217)","3,454",(+/-957),"4,833","(+/-1,144)","6,623","(+/-1,785)","4,197",(+/-960)
People,"Place of Birth","Foreign born","81,451","(+/-6,185)","157,601","(+/-11,128)","73,373","(+/-7,783)","69,664","(+/-4,899)","91,297","(+/-6,625)","83,426","(+/-4,719)","87,694","(+/-5,980)","67,711","(+/-4,891)","18,665","(+/-2,486)","63,956","(+/-6,614)","33,420","(+/-3,707)","43,355","(+/-4,019)","18,890","(+/-2,640)","12,411","(+/-1,911)","22,140","(+/-2,402)","19,461","(+/-3,058)","33,658","(+/-3,426)"
People,Ancestry,"Total population","760,257","(+/-6,296)","717,771","(+/-17,701)","772,128","(+/-18,505)","780,519","(+/-9,605)","768,063","(+/-8,081)","771,296","(+/-5,872)","774,340","(+/-3,598)","766,586","(+/-4,569)","760,960","(+/-6,276)","779,565","(+/-7,994)","768,350","(+/-7,221)","758,799","(+/-10,936)","764,692","(+/-3,748)","755,713","(+/-5,687)","759,208","(+/-3,613)","761,430","(+/-1,855)","752,331","(+/-9,953)"
People,Ancestry,American,"31,112","(+/-4,185)","14,696","(+/-3,714)","14,037","(+/-3,158)","31,372","(+/-4,383)","21,841","(+/-4,470)","27,969","(+/-5,037)","59,603","(+/-5,963)","23,906","(+/-3,691)","33,583","(+/-4,343)","35,717","(+/-4,406)","45,278","(+/-5,160)","22,915","(+/-3,809)","61,486","(+/-5,791)","31,102","(+/-4,017)","50,922","(+/-4,808)","34,040","(+/-3,711)","22,452","(+/-3,224)"
People,Ancestry,Arab,"6,879","(+/-3,067)","7,875","(+/-4,792)","5,213","(+/-3,432)","6,953","(+/-2,437)","3,872","(+/-1,325)","5,171","(+/-2,032)","9,921","(+/-2,780)","4,726","(+/-1,413)","1,706",(+/-706),"5,296","(+/-1,932)","2,749","(+/-1,454)","5,143","(+/-1,491)","2,250","(+/-1,228)","4,099","(+/-1,869)","2,723",(+/-838),"5,242","(+/-2,287)","5,426","(+/-1,878)"
People,Ancestry,Czech,"1,878",(+/-607),"1,159","(+/-1,245)","1,094",(+/-826),"2,066",(+/-797),"1,222",(+/-649),"1,423",(+/-611),"1,239",(+/-555),"1,994",(+/-752),"1,875",(+/-954),"1,886","(+/-1,099)","1,602",(+/-738),"2,949","(+/-1,011)","2,060",(+/-840),"4,287",(+/-946),"1,780",(+/-504),"2,541",(+/-722),"3,292",(+/-936)
People,Ancestry,Danish,919,(+/-461),326,(+/-316),"1,056",(+/-740),802,(+/-442),"1,232",(+/-748),840,(+/-499),409,(+/-287),"1,468","(+/-1,523)",624,(+/-422),"1,463",(+/-974),"1,371",(+/-807),"1,147",(+/-745),"1,660","(+/-1,370)",371,(+/-238),"1,197",(+/-526),924,(+/-430),804,(+/-496)
People,Ancestry,Dutch,"7,304","(+/-2,053)","1,223",(+/-637),"3,327","(+/-1,172)","5,295","(+/-1,646)","3,875","(+/-1,340)","5,768","(+/-1,610)","12,978","(+/-2,451)","6,337","(+/-1,375)","14,172","(+/-2,141)","6,595","(+/-1,553)","8,368","(+/-2,279)","3,246","(+/-1,359)","7,370","(+/-1,377)","8,114","(+/-1,943)","11,518","(+/-1,489)","8,221","(+/-1,580)","4,322","(+/-1,172)"
People,Ancestry,English,"73,446","(+/-6,015)","24,094","(+/-4,377)","27,924","(+/-3,250)","70,533","(+/-6,009)","55,642","(+/-5,353)","72,563","(+/-5,775)","47,021","(+/-4,083)","46,678","(+/-5,054)","73,081","(+/-4,704)","65,797","(+/-5,268)","77,520","(+/-6,433)","59,393","(+/-5,264)","62,562","(+/-4,692)","80,871","(+/-6,156)","75,376","(+/-4,865)","74,371","(+/-5,603)","73,335","(+/-5,116)"
People,Ancestry,"French (except Basque)","8,943","(+/-1,548)","3,483","(+/-1,723)","7,167","(+/-1,852)","8,757","(+/-1,593)","6,911","(+/-1,499)","11,660","(+/-2,144)","8,674","(+/-1,790)","8,935","(+/-2,264)","10,003","(+/-1,901)","10,618","(+/-2,132)","9,044","(+/-1,587)","8,978","(+/-1,785)","9,551","(+/-1,761)","9,238","(+/-1,795)","11,656","(+/-1,491)","10,669","(+/-1,765)","11,003","(+/-2,042)"
People,Ancestry,"French Canadian","2,207",(+/-999),789,(+/-807),"1,110",(+/-661),653,(+/-344),"1,857",(+/-759),"1,484",(+/-625),927,(+/-445),"1,297",(+/-512),995,(+/-351),"2,037","(+/-1,262)","2,107",(+/-821),"1,499",(+/-787),"1,217",(+/-606),988,(+/-669),"1,229",(+/-528),473,(+/-231),"1,754",(+/-791)
People,Ancestry,German,"151,310","(+/-9,418)","57,088","(+/-5,243)","56,106","(+/-5,325)","163,685","(+/-8,215)","80,561","(+/-6,628)","149,041","(+/-7,817)","173,342","(+/-9,378)","108,845","(+/-7,086)","205,488","(+/-8,456)","205,797","(+/-8,704)","237,916","(+/-10,727)","162,623","(+/-8,381)","245,391","(+/-8,545)","181,103","(+/-7,379)","202,585","(+/-6,254)","195,979","(+/-7,464)","183,244","(+/-9,154)"
People,Ancestry,Greek,"3,296","(+/-1,061)","3,409","(+/-1,607)","3,817","(+/-1,594)","4,050","(+/-1,281)","5,930","(+/-2,285)","5,428","(+/-1,666)","4,893","(+/-1,739)","3,189","(+/-1,183)","2,563",(+/-844),"2,877","(+/-1,406)","3,647","(+/-1,458)","3,963","(+/-1,450)","1,445",(+/-581),"2,472",(+/-917),"1,653",(+/-641),"2,939","(+/-1,089)","5,234","(+/-1,706)"
People,Ancestry,Hungarian,"6,533","(+/-1,452)","1,584",(+/-605),"2,392",(+/-696),"6,410","(+/-1,617)","2,980","(+/-1,227)","4,176","(+/-1,159)","13,535","(+/-2,904)","4,666","(+/-1,411)","4,198","(+/-1,192)","3,846","(+/-1,381)","2,822","(+/-1,027)","15,110","(+/-2,962)","4,838",(+/-841),"10,633","(+/-1,640)","2,555",(+/-723),"9,411","(+/-2,180)","10,198","(+/-2,175)"
People,Ancestry,Irish,"158,248","(+/-7,928)","78,741","(+/-6,314)","65,275","(+/-5,505)","140,022","(+/-8,330)","142,234","(+/-8,967)","138,869","(+/-9,419)","87,348","(+/-7,472)","134,653","(+/-7,750)","97,489","(+/-7,002)","83,662","(+/-6,375)","79,276","(+/-5,681)","124,290","(+/-8,084)","108,039","(+/-6,762)","104,333","(+/-5,679)","99,503","(+/-4,899)","116,843","(+/-6,935)","134,451","(+/-7,002)"
People,Ancestry,Italian,"102,684","(+/-6,969)","43,625","(+/-5,550)","46,401","(+/-5,237)","101,334","(+/-6,906)","102,671","(+/-7,565)","98,339","(+/-6,616)","74,296","(+/-7,623)","122,638","(+/-6,405)","60,391","(+/-5,658)","56,355","(+/-5,594)","42,071","(+/-4,554)","111,381","(+/-6,887)","46,056","(+/-4,231)","102,817","(+/-6,556)","58,668","(+/-3,925)","94,275","(+/-6,513)","113,635","(+/-8,861)"
People,Ancestry,Lithuanian,"4,254","(+/-1,471)","2,255","(+/-1,223)","2,539","(+/-1,162)","4,364","(+/-1,139)","3,286",(+/-947),"4,474","(+/-1,779)","2,302",(+/-937),"9,595","(+/-1,652)","9,746","(+/-2,028)","2,133",(+/-794),"3,340","(+/-1,534)","2,985",(+/-971),699,(+/-328),"1,717",(+/-544),"1,586",(+/-577),"1,204",(+/-485),"3,643","(+/-1,129)"
