Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","45 to 54 years","90,830","(+/-3,246)","92,418","(+/-4,271)","97,041","(+/-3,863)","96,305","(+/-3,905)","94,921","(+/-5,086)","119,316","(+/-4,773)","110,465","(+/-4,904)","90,418","(+/-4,279)","103,884","(+/-4,869)","99,886","(+/-4,254)","103,282","(+/-4,082)","90,172","(+/-2,745)","109,462","(+/-5,975)","100,849","(+/-3,959)"
People,"Sex and Age","55 to 59 years","45,911","(+/-3,139)","44,383","(+/-2,940)","52,940","(+/-2,879)","51,018","(+/-3,635)","36,689","(+/-3,840)","50,900","(+/-3,312)","53,991","(+/-4,131)","49,364","(+/-3,285)","53,602","(+/-3,444)","47,580","(+/-3,795)","47,415","(+/-3,227)","49,544","(+/-2,956)","49,841","(+/-3,979)","48,030","(+/-3,049)"
People,"Sex and Age","60 to 64 years","48,183","(+/-3,233)","45,758","(+/-3,361)","52,820","(+/-3,499)","46,393","(+/-3,742)","35,783","(+/-3,256)","50,434","(+/-3,472)","40,402","(+/-3,145)","45,716","(+/-3,295)","53,471","(+/-3,150)","50,102","(+/-3,446)","46,739","(+/-3,372)","42,640","(+/-2,801)","44,092","(+/-3,597)","52,668","(+/-3,379)"
People,"Sex and Age","65 to 74 years","75,443","(+/-1,836)","75,677","(+/-2,651)","83,476","(+/-2,797)","67,365","(+/-2,490)","58,380","(+/-3,558)","69,901","(+/-3,709)","57,788","(+/-2,257)","74,780","(+/-3,076)","83,988","(+/-2,784)","74,208","(+/-2,618)","69,092","(+/-2,754)","75,041","(+/-1,573)","59,766","(+/-3,240)","73,653","(+/-2,161)"
People,"Sex and Age","75 to 84 years","41,057","(+/-1,891)","38,554","(+/-2,195)","39,533","(+/-2,432)","30,975","(+/-2,104)","31,182","(+/-2,863)","38,239","(+/-2,620)","27,899","(+/-2,273)","39,532","(+/-2,475)","43,820","(+/-2,615)","38,121","(+/-1,908)","34,810","(+/-2,312)","35,976","(+/-1,951)","23,861","(+/-2,143)","38,750","(+/-1,846)"
People,"Sex and Age","85 years and over","12,030","(+/-1,598)","11,176","(+/-1,622)","12,979","(+/-2,013)","8,986","(+/-1,450)","10,263","(+/-1,544)","11,112","(+/-1,894)","4,705","(+/-1,102)","11,285","(+/-1,474)","12,334","(+/-1,749)","9,943","(+/-1,521)","10,305","(+/-1,566)","12,721","(+/-1,934)","5,165","(+/-1,117)","10,404","(+/-1,572)"
People,"Sex and Age","Median age (years)",37.1,(+/-0.4),37.7,(+/-0.6),39.1,(+/-0.8),36.6,(+/-0.6),34.8,(+/-0.6),40.2,(+/-0.6),36.2,(+/-0.6),37.2,(+/-0.6),40.4,(+/-0.7),37.7,(+/-0.6),37.6,(+/-0.6),37.1,(+/-0.4),36.4,(+/-0.8),39.1,(+/-0.6)
People,"Sex and Age","18 years and over","608,768","(+/-2,589)","577,264","(+/-7,086)","605,595","(+/-6,143)","600,684","(+/-10,096)","617,144","(+/-12,137)","603,208","(+/-8,914)","576,706","(+/-10,252)","590,813","(+/-6,013)","618,170","(+/-11,286)","625,663","(+/-8,575)","616,090","(+/-9,022)","594,299","(+/-2,803)","575,672","(+/-12,481)","597,132","(+/-6,044)"
People,"Sex and Age","65 years and over","128,530","(+/-1,875)","125,407","(+/-3,279)","135,988","(+/-3,187)","107,326","(+/-3,120)","99,825","(+/-4,420)","119,252","(+/-4,328)","90,392","(+/-3,015)","125,597","(+/-3,222)","140,142","(+/-3,584)","122,272","(+/-3,044)","114,207","(+/-3,631)","123,738","(+/-1,600)","88,792","(+/-4,104)","122,807","(+/-2,458)"
People,Race,"Total population","790,309","(+/-2,899)","755,007","(+/-10,329)","785,113","(+/-8,404)","781,395","(+/-12,669)","759,771","(+/-13,556)","790,519","(+/-11,803)","776,248","(+/-13,688)","769,408","(+/-8,949)","794,277","(+/-14,567)","806,637","(+/-10,485)","786,646","(+/-11,951)","770,831","(+/-3,344)","767,394","(+/-17,403)","779,321","(+/-8,311)"
People,Race,"One race","730,190","(+/-6,504)","711,817","(+/-10,237)","733,353","(+/-8,845)","724,495","(+/-14,413)","707,688","(+/-14,646)","709,688","(+/-12,849)","695,811","(+/-16,953)","712,178","(+/-9,850)","703,464","(+/-15,564)","743,051","(+/-11,250)","710,081","(+/-12,945)","718,473","(+/-5,727)","702,392","(+/-18,458)","701,464","(+/-11,664)"
People,Race,White,"465,712","(+/-4,251)","304,368","(+/-6,510)","518,889","(+/-5,915)","214,697","(+/-6,070)","275,700","(+/-8,212)","524,515","(+/-12,402)","247,604","(+/-9,337)","455,465","(+/-6,814)","518,978","(+/-9,630)","502,532","(+/-7,608)","499,318","(+/-8,998)","406,445","(+/-3,967)","121,423","(+/-8,182)","539,213","(+/-6,613)"
People,Race,"Black or African American","221,031","(+/-5,761)","369,429","(+/-8,697)","177,658","(+/-7,147)","428,144","(+/-12,012)","364,852","(+/-13,834)","63,758","(+/-7,622)","240,265","(+/-10,529)","222,201","(+/-7,865)","76,989","(+/-8,626)","196,862","(+/-10,146)","132,637","(+/-8,247)","280,034","(+/-5,867)","503,043","(+/-15,732)","107,298","(+/-8,236)"
People,Race,"American Indian and Alaska Native","3,338","(+/-1,581)","3,073","(+/-1,514)","4,900","(+/-2,403)","4,031","(+/-1,570)","1,763",(+/-953),"1,993","(+/-1,401)","2,764","(+/-1,281)","1,834",(+/-720),"4,340","(+/-2,058)","2,858","(+/-1,549)","7,423","(+/-3,345)","3,012","(+/-1,131)","4,294","(+/-3,330)","9,604","(+/-4,438)"
People,Race,Asian,"16,011","(+/-1,585)","9,593","(+/-1,768)","17,466","(+/-2,526)","42,841","(+/-3,231)","36,535","(+/-3,196)","95,081","(+/-5,648)","103,699","(+/-7,374)","12,141","(+/-2,396)","54,667","(+/-5,810)","18,639","(+/-1,859)","28,585","(+/-3,659)","14,021","(+/-1,112)","28,898","(+/-3,358)","6,850","(+/-2,002)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,285",(+/-938),536,(+/-516),233,(+/-296),33,(+/-11),210,(+/-328),483,(+/-510),664,(+/-637),306,(+/-366),352,(+/-423),"1,103",(+/-707),607,(+/-583),412,(+/-462),923,"(+/-1,343)","1,319","(+/-1,424)"
People,Race,"Some other race","22,813","(+/-4,321)","24,818","(+/-3,943)","14,207","(+/-3,249)","34,749","(+/-5,424)","28,628","(+/-5,766)","23,858","(+/-4,689)","100,815","(+/-10,580)","20,231","(+/-4,059)","48,138","(+/-7,185)","21,057","(+/-4,314)","41,511","(+/-7,107)","14,549","(+/-2,935)","43,811","(+/-8,198)","37,180","(+/-5,121)"
People,Race,"Two or more races","60,119","(+/-6,220)","43,190","(+/-4,864)","51,760","(+/-6,175)","56,900","(+/-7,632)","52,083","(+/-7,249)","80,831","(+/-7,240)","80,437","(+/-10,127)","57,230","(+/-7,519)","90,813","(+/-8,009)","63,586","(+/-6,101)","76,565","(+/-7,787)","52,358","(+/-5,431)","65,002","(+/-10,151)","77,857","(+/-7,586)"
People,"Hispanic or Latino and Race","Total population","790,309","(+/-2,899)","755,007","(+/-10,329)","785,113","(+/-8,404)","781,395","(+/-12,669)","759,771","(+/-13,556)","790,519","(+/-11,803)","776,248","(+/-13,688)","769,408","(+/-8,949)","794,277","(+/-14,567)","806,637","(+/-10,485)","786,646","(+/-11,951)","770,831","(+/-3,344)","767,394","(+/-17,403)","779,321","(+/-8,311)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","58,971","(+/-1,716)","50,924","(+/-2,827)","50,887","(+/-3,648)","74,499","(+/-2,626)","58,801","(+/-5,392)","76,671","(+/-5,872)","170,745","(+/-8,027)","55,537","(+/-2,662)","134,861","(+/-8,100)","66,701","(+/-3,026)","96,279","(+/-6,225)","43,635","(+/-1,079)","90,396","(+/-8,116)","103,697","(+/-3,942)"
People,"Hispanic or Latino and Race",Mexican,"24,367","(+/-3,377)","26,847","(+/-3,145)","20,437","(+/-3,692)","32,821","(+/-5,900)","25,618","(+/-5,041)","30,700","(+/-4,804)","74,092","(+/-9,280)","35,275","(+/-2,995)","77,107","(+/-6,136)","34,834","(+/-4,341)","46,949","(+/-6,821)","23,401","(+/-2,710)","57,213","(+/-8,343)","66,935","(+/-5,795)"
People,"Hispanic or Latino and Race","Puerto Rican","11,003","(+/-2,759)","8,232","(+/-2,427)","10,946","(+/-2,944)","7,682","(+/-4,097)","6,321","(+/-2,237)","9,691","(+/-2,681)","15,963","(+/-4,683)","4,808","(+/-1,566)","5,250","(+/-1,720)","9,574","(+/-2,969)","7,821","(+/-2,345)","8,818","(+/-2,226)","7,331","(+/-2,471)","7,995","(+/-3,360)"
People,"Hispanic or Latino and Race",Cuban,"3,400","(+/-1,412)","2,197","(+/-1,215)","1,329",(+/-878),"3,692","(+/-2,023)","1,354",(+/-501),"3,560","(+/-1,176)","3,348","(+/-1,858)","3,238","(+/-1,386)","3,073","(+/-1,283)","2,210","(+/-1,187)","3,232","(+/-1,836)","2,018","(+/-1,005)","1,636",(+/-988),"2,991","(+/-1,578)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,201","(+/-3,689)","13,648","(+/-2,605)","18,175","(+/-2,976)","30,304","(+/-5,363)","25,508","(+/-4,222)","32,720","(+/-4,995)","77,342","(+/-8,500)","12,216","(+/-3,254)","49,431","(+/-7,765)","20,083","(+/-3,589)","38,277","(+/-6,073)","9,398","(+/-2,286)","24,216","(+/-5,816)","25,776","(+/-5,146)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","731,338","(+/-3,163)","704,083","(+/-10,035)","734,226","(+/-8,823)","706,896","(+/-12,849)","700,970","(+/-14,540)","713,848","(+/-12,061)","605,503","(+/-13,010)","713,871","(+/-8,297)","659,416","(+/-13,191)","739,936","(+/-10,265)","690,367","(+/-11,123)","727,196","(+/-3,297)","676,998","(+/-16,119)","675,624","(+/-8,339)"
People,"Place of Birth","Total population","790,309","(+/-2,899)","755,007","(+/-10,329)","785,113","(+/-8,404)","781,395","(+/-12,669)","759,771","(+/-13,556)","790,519","(+/-11,803)","776,248","(+/-13,688)","769,408","(+/-8,949)","794,277","(+/-14,567)","806,637","(+/-10,485)","786,646","(+/-11,951)","770,831","(+/-3,344)","767,394","(+/-17,403)","779,321","(+/-8,311)"
People,"Place of Birth",Native,"744,927","(+/-5,695)","728,154","(+/-11,056)","743,044","(+/-8,498)","656,169","(+/-13,694)","688,557","(+/-13,641)","652,868","(+/-12,212)","557,059","(+/-12,051)","733,991","(+/-9,849)","672,065","(+/-13,102)","755,845","(+/-12,115)","688,932","(+/-10,933)","739,201","(+/-4,848)","664,957","(+/-17,346)","719,085","(+/-8,975)"
People,"Place of Birth","Born in United States","729,596","(+/-6,174)","717,980","(+/-10,051)","732,919","(+/-9,099)","641,975","(+/-13,756)","675,654","(+/-13,846)","640,615","(+/-12,380)","538,115","(+/-12,890)","726,733","(+/-9,785)","661,841","(+/-12,705)","744,585","(+/-11,685)","677,397","(+/-10,895)","722,821","(+/-5,785)","652,645","(+/-17,249)","709,421","(+/-9,164)"
People,"Place of Birth","State of residence","419,364","(+/-10,080)","515,736","(+/-12,862)","476,542","(+/-10,790)","368,681","(+/-14,188)","359,929","(+/-14,301)","295,405","(+/-9,446)","286,044","(+/-12,929)","526,051","(+/-10,540)","398,812","(+/-11,798)","489,110","(+/-12,159)","354,962","(+/-12,132)","505,811","(+/-11,165)","377,734","(+/-16,070)","434,413","(+/-10,485)"
People,"Place of Birth","Different state","310,232","(+/-9,660)","202,244","(+/-9,209)","256,377","(+/-8,496)","273,294","(+/-12,933)","315,725","(+/-12,377)","345,210","(+/-9,932)","252,071","(+/-11,032)","200,682","(+/-9,548)","263,029","(+/-11,067)","255,475","(+/-11,080)","322,435","(+/-9,876)","217,010","(+/-9,877)","274,911","(+/-13,506)","275,008","(+/-10,544)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","15,331","(+/-2,396)","10,174","(+/-2,935)","10,125","(+/-2,445)","14,194","(+/-3,512)","12,903","(+/-2,232)","12,253","(+/-2,187)","18,944","(+/-3,791)","7,258","(+/-1,722)","10,224","(+/-1,902)","11,260","(+/-2,479)","11,535","(+/-2,671)","16,380","(+/-3,120)","12,312","(+/-3,752)","9,664","(+/-1,978)"
People,"Place of Birth","Foreign born","45,382","(+/-4,804)","26,853","(+/-3,160)","42,069","(+/-4,531)","125,226","(+/-8,476)","71,214","(+/-5,733)","137,651","(+/-7,990)","219,189","(+/-9,641)","35,417","(+/-3,547)","122,212","(+/-7,776)","50,792","(+/-4,937)","97,714","(+/-6,773)","31,630","(+/-3,834)","102,437","(+/-9,104)","60,236","(+/-6,906)"
People,Ancestry,"Total population","790,309","(+/-2,899)","755,007","(+/-10,329)","785,113","(+/-8,404)","781,395","(+/-12,669)","759,771","(+/-13,556)","790,519","(+/-11,803)","776,248","(+/-13,688)","769,408","(+/-8,949)","794,277","(+/-14,567)","806,637","(+/-10,485)","786,646","(+/-11,951)","770,831","(+/-3,344)","767,394","(+/-17,403)","779,321","(+/-8,311)"
People,Ancestry,American,"49,001","(+/-5,315)","73,321","(+/-7,384)","98,427","(+/-7,941)","34,845","(+/-6,460)","29,056","(+/-4,315)","48,556","(+/-5,998)","36,894","(+/-4,875)","91,051","(+/-6,937)","68,093","(+/-5,748)","73,448","(+/-6,498)","46,392","(+/-5,507)","51,936","(+/-7,139)","42,680","(+/-8,154)","87,948","(+/-8,416)"
People,Ancestry,Arab,"1,661","(+/-1,145)",998,(+/-756),"1,406",(+/-909),"3,131","(+/-1,480)","2,632",(+/-909),"4,852","(+/-1,927)","4,808","(+/-2,171)",875,(+/-466),"2,916","(+/-1,502)","3,031","(+/-1,453)","3,997","(+/-1,586)","2,539","(+/-2,312)","1,648","(+/-1,153)",590,(+/-673)
People,Ancestry,Czech,"1,338",(+/-710),904,(+/-616),"1,172",(+/-988),898,(+/-616),"1,621",(+/-763),"1,847",(+/-700),413,(+/-229),313,(+/-334),"1,401",(+/-631),788,(+/-508),"2,137",(+/-792),625,(+/-623),151,(+/-151),317,(+/-296)
People,Ancestry,Danish,"1,311",(+/-751),561,(+/-477),"1,161",(+/-779),"1,182",(+/-731),"1,430",(+/-737),"1,754","(+/-1,015)","1,794","(+/-1,279)",450,(+/-453),"1,513",(+/-950),"1,842",(+/-735),"1,499",(+/-776),295,(+/-265),226,(+/-232),639,(+/-539)
People,Ancestry,Dutch,"3,704","(+/-1,048)","3,228","(+/-1,406)","4,452","(+/-1,203)","3,555","(+/-1,662)","3,180",(+/-918),"4,859","(+/-1,081)","2,518",(+/-873),"2,951","(+/-1,756)","4,365","(+/-1,164)","4,881","(+/-1,364)","5,820","(+/-1,578)","3,799","(+/-1,289)","1,480",(+/-812),"3,038","(+/-1,257)"
People,Ancestry,English,"83,934","(+/-7,997)","58,396","(+/-5,760)","94,494","(+/-7,321)","47,538","(+/-4,454)","66,520","(+/-5,229)","121,285","(+/-6,886)","47,344","(+/-5,014)","86,045","(+/-6,750)","100,526","(+/-6,842)","94,696","(+/-7,200)","111,779","(+/-8,093)","66,063","(+/-6,864)","26,316","(+/-3,787)","132,140","(+/-8,068)"
People,Ancestry,"French (except Basque)","10,071","(+/-2,378)","5,452","(+/-1,266)","9,358","(+/-2,654)","6,587","(+/-1,315)","9,677","(+/-1,719)","13,509","(+/-2,126)","8,314","(+/-2,312)","7,765","(+/-3,675)","7,308","(+/-1,232)","11,379","(+/-2,592)","11,789","(+/-2,256)","7,503","(+/-2,199)","2,371",(+/-849),"6,517","(+/-1,902)"
People,Ancestry,"French Canadian","1,833",(+/-775),"1,373","(+/-1,193)","4,772","(+/-2,848)","1,274",(+/-665),"1,381",(+/-677),"2,285",(+/-875),"2,178",(+/-938),885,(+/-745),"2,121",(+/-948),"2,006",(+/-837),"2,526","(+/-1,009)","1,214",(+/-618),418,(+/-282),641,(+/-505)
People,Ancestry,German,"56,632","(+/-4,377)","26,069","(+/-2,998)","55,249","(+/-6,211)","30,096","(+/-3,156)","52,007","(+/-4,571)","87,198","(+/-5,409)","37,497","(+/-4,468)","42,126","(+/-5,104)","55,233","(+/-5,331)","60,171","(+/-5,601)","73,050","(+/-6,057)","47,852","(+/-5,337)","11,670","(+/-2,361)","51,844","(+/-5,731)"
People,Ancestry,Greek,"1,251",(+/-906),422,(+/-282),"1,278","(+/-1,054)","2,204","(+/-1,111)","2,598","(+/-1,000)","2,420",(+/-973),776,(+/-488),387,(+/-345),"1,859","(+/-1,100)","1,660",(+/-849),"2,173","(+/-1,088)",597,(+/-471),573,(+/-593),"1,281","(+/-1,217)"
People,Ancestry,Hungarian,"2,380",(+/-919),174,(+/-226),"2,106","(+/-1,281)",817,(+/-450),"1,881",(+/-952),"3,024","(+/-1,154)","1,811",(+/-858),"1,325","(+/-1,018)","1,254",(+/-647),"1,606",(+/-935),"1,793",(+/-715),911,(+/-663),243,(+/-217),459,(+/-362)
People,Ancestry,Irish,"61,486","(+/-6,000)","39,168","(+/-4,430)","59,669","(+/-6,819)","30,398","(+/-3,811)","44,653","(+/-4,041)","82,603","(+/-7,226)","31,721","(+/-3,746)","51,504","(+/-5,736)","62,932","(+/-4,412)","60,003","(+/-4,942)","79,999","(+/-7,305)","59,565","(+/-5,846)","17,136","(+/-3,069)","72,739","(+/-6,243)"
People,Ancestry,Italian,"22,076","(+/-3,231)","6,255","(+/-1,758)","15,729","(+/-2,629)","12,519","(+/-2,449)","20,291","(+/-2,468)","38,130","(+/-4,102)","15,411","(+/-2,784)","8,693","(+/-2,286)","16,343","(+/-2,359)","19,579","(+/-3,000)","26,054","(+/-3,958)","12,336","(+/-2,997)","5,172","(+/-1,852)","14,576","(+/-2,980)"
People,Ancestry,Lithuanian,847,(+/-640),254,(+/-218),155,(+/-182),486,(+/-330),970,(+/-517),"1,281",(+/-599),724,(+/-467),476,(+/-296),580,(+/-394),582,(+/-377),990,(+/-480),247,(+/-221),87,(+/-104),432,(+/-278)
People,Ancestry,Norwegian,"2,689",(+/-943),"1,582",(+/-624),"3,578","(+/-1,451)","2,298","(+/-1,370)","3,230",(+/-984),"5,271","(+/-1,634)","2,386",(+/-937),"1,576",(+/-577),"2,941",(+/-907),"4,138","(+/-1,526)","3,140","(+/-1,189)","2,290",(+/-842),214,(+/-225),"2,324",(+/-965)
People,Ancestry,Polish,"7,193","(+/-1,768)","3,764","(+/-1,320)","6,307","(+/-2,297)","6,674","(+/-2,019)","10,865","(+/-2,138)","17,556","(+/-2,874)","7,592","(+/-2,180)","4,267","(+/-1,199)","8,914","(+/-1,560)","11,247","(+/-3,272)","11,057","(+/-1,909)","4,715","(+/-1,608)","1,941","(+/-1,161)","5,813","(+/-1,553)"
People,Ancestry,Portuguese,"1,447",(+/-984),366,(+/-294),"1,375","(+/-1,230)",515,(+/-401),"2,100",(+/-946),"2,529",(+/-967),"2,142","(+/-1,909)",749,(+/-691),736,(+/-513),810,(+/-562),898,(+/-440),379,(+/-303),723,(+/-755),693,(+/-628)
People,Ancestry,Russian,"3,313","(+/-1,511)",380,(+/-289),"1,783",(+/-999),"2,756","(+/-1,007)","5,200","(+/-1,647)","5,617","(+/-1,523)","3,752","(+/-1,573)",375,(+/-259),"1,974",(+/-868),"2,446",(+/-964),"2,249",(+/-694),"1,347","(+/-1,055)",924,(+/-952),920,(+/-638)
People,Ancestry,Scotch-Irish,"8,208","(+/-1,745)","5,976","(+/-1,612)","9,504","(+/-2,583)","4,617","(+/-1,168)","8,499","(+/-2,125)","8,087","(+/-1,708)","3,940","(+/-1,169)","7,862","(+/-2,162)","11,344","(+/-2,858)","8,586","(+/-1,919)","11,656","(+/-2,607)","5,829","(+/-1,319)","1,392",(+/-620),"8,135","(+/-1,781)"
People,Ancestry,Scottish,"19,279","(+/-3,582)","6,947","(+/-1,816)","15,524","(+/-3,126)","9,570","(+/-1,779)","12,288","(+/-2,174)","16,985","(+/-2,532)","11,848","(+/-2,738)","10,012","(+/-1,905)","18,153","(+/-3,417)","16,572","(+/-3,712)","20,150","(+/-3,412)","9,850","(+/-2,502)","3,404","(+/-1,132)","15,435","(+/-2,374)"
People,Ancestry,Slovak,186,(+/-182),57,(+/-86),695,(+/-484),349,(+/-282),340,(+/-257),"1,390",(+/-721),314,(+/-235),107,(+/-161),625,(+/-403),444,(+/-281),801,(+/-395),330,(+/-250),0,(+/-228),165,(+/-219)
People,Ancestry,"Subsaharan African","8,897","(+/-3,535)","10,355","(+/-2,542)","8,444","(+/-3,262)","43,827","(+/-8,422)","25,494","(+/-6,019)","9,535","(+/-3,160)","34,087","(+/-7,150)","6,021","(+/-2,020)","7,460","(+/-2,463)","10,348","(+/-3,906)","20,194","(+/-4,729)","9,955","(+/-2,468)","33,137","(+/-7,113)","11,604","(+/-4,608)"
People,Ancestry,Swedish,"3,706","(+/-1,293)","1,406",(+/-648),"2,571","(+/-1,188)","1,744",(+/-631),"5,225","(+/-1,122)","5,594","(+/-1,246)","1,935",(+/-605),"1,152",(+/-557),"3,824","(+/-1,245)","3,169",(+/-977),"4,726","(+/-1,345)","1,612",(+/-647),599,(+/-497),"2,628","(+/-1,103)"
People,Ancestry,Swiss,827,(+/-730),655,(+/-625),525,(+/-366),490,(+/-339),901,(+/-578),"1,926",(+/-694),152,(+/-145),281,(+/-229),"1,143",(+/-470),"1,152",(+/-648),980,(+/-608),703,(+/-484),388,(+/-502),651,(+/-423)
People,Ancestry,Ukrainian,544,(+/-530),71,(+/-127),755,(+/-607),"1,054",(+/-631),"1,219",(+/-522),"3,105","(+/-1,369)","2,486","(+/-1,296)",310,(+/-314),"1,187",(+/-754),945,(+/-681),"1,443",(+/-804),581,(+/-393),0,(+/-228),"1,048",(+/-767)
People,Ancestry,Welsh,"3,101","(+/-1,253)","1,361",(+/-659),"3,383","(+/-1,034)","2,062",(+/-815),"3,703",(+/-988),"5,009","(+/-1,299)","1,580","(+/-1,412)","2,050",(+/-881),"3,900","(+/-1,142)","3,102",(+/-844),"4,437","(+/-1,218)","1,920",(+/-914),"1,293",(+/-747),"1,544",(+/-655)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","9,048","(+/-3,210)","5,348","(+/-2,183)","7,140","(+/-2,361)","30,295","(+/-6,788)","16,052","(+/-3,493)","8,812","(+/-3,153)","34,065","(+/-7,670)","3,861","(+/-1,863)","10,189","(+/-5,626)","13,444","(+/-4,949)","12,613","(+/-3,872)","4,738","(+/-1,735)","29,286","(+/-6,750)","6,398","(+/-2,606)"
People,"Veteran Status","Civilian population 18 years and over","590,196","(+/-3,440)","561,139","(+/-7,499)","603,653","(+/-6,299)","599,858","(+/-10,093)","616,823","(+/-12,116)","602,160","(+/-8,943)","576,314","(+/-10,152)","584,974","(+/-6,145)","617,630","(+/-11,248)","624,359","(+/-8,463)","615,548","(+/-9,055)","584,097","(+/-3,229)","574,346","(+/-12,526)","596,336","(+/-6,158)"
