Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,Ancestry,Greek,"1,766",(+/-578),673,(+/-565),"1,020",(+/-794),980,(+/-573),"1,036",(+/-585)
People,Ancestry,Hungarian,500,(+/-276),310,(+/-221),126,(+/-100),"1,185",(+/-648),"1,621",(+/-879)
People,Ancestry,Irish,"79,011","(+/-5,178)","76,501","(+/-4,023)","74,336","(+/-5,416)","81,963","(+/-6,827)","75,543","(+/-5,996)"
People,Ancestry,Italian,"16,003","(+/-2,462)","11,368","(+/-1,780)","9,079","(+/-1,631)","12,069","(+/-2,000)","16,974","(+/-2,767)"
People,Ancestry,Lithuanian,642,(+/-576),400,(+/-294),215,(+/-221),119,(+/-115),256,(+/-190)
People,Ancestry,Norwegian,"6,338","(+/-1,375)","3,913",(+/-937),"3,638","(+/-1,049)","4,112",(+/-915),"5,912","(+/-1,711)"
People,Ancestry,Polish,"8,122","(+/-1,539)","5,093","(+/-1,324)","5,389","(+/-1,458)","5,365","(+/-1,178)","7,780","(+/-1,502)"
People,Ancestry,Portuguese,"1,646",(+/-783),"1,046",(+/-565),"1,012",(+/-480),"1,562","(+/-1,355)","1,019",(+/-508)
People,Ancestry,Russian,"2,499",(+/-826),"1,131",(+/-605),"1,226",(+/-489),"2,321",(+/-838),"2,364","(+/-1,550)"
People,Ancestry,Scotch-Irish,"6,851","(+/-1,207)","7,039","(+/-1,175)","5,549","(+/-1,102)","7,284","(+/-1,604)","8,685","(+/-1,739)"
People,Ancestry,Scottish,"18,475","(+/-2,209)","13,090","(+/-1,723)","13,111","(+/-1,880)","15,664","(+/-2,021)","16,807","(+/-2,718)"
People,Ancestry,Slovak,904,(+/-486),17,(+/-30),0,(+/-165),236,(+/-188),461,(+/-272)
People,Ancestry,"Subsaharan African","7,540","(+/-2,041)","1,250",(+/-518),"2,332","(+/-1,320)","4,073","(+/-1,306)","9,792","(+/-2,313)"
People,Ancestry,Swedish,"5,449","(+/-1,240)","3,887","(+/-1,057)","3,116",(+/-982),"3,182","(+/-1,112)","8,815","(+/-1,870)"
People,Ancestry,Swiss,"1,564","(+/-1,138)",635,(+/-312),845,(+/-506),563,(+/-291),"2,074",(+/-896)
People,Ancestry,Ukrainian,"1,158",(+/-559),172,(+/-117),9,(+/-15),446,(+/-290),801,(+/-529)
People,Ancestry,Welsh,"4,539","(+/-1,269)","2,511",(+/-630),"2,304",(+/-641),"5,134","(+/-1,852)","3,338",(+/-997)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,901","(+/-1,297)","2,106",(+/-514),"3,591","(+/-1,483)","3,232",(+/-862),"2,233","(+/-1,169)"
People,"Veteran Status","Civilian population 18 years and over","609,730","(+/-2,441)","616,222","(+/-2,597)","591,480","(+/-7,490)","607,979","(+/-4,008)","616,463","(+/-7,825)"
People,"Veteran Status","Civilian veterans","40,602","(+/-2,454)","53,397","(+/-2,579)","40,141","(+/-2,367)","59,411","(+/-3,215)","50,783","(+/-3,331)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","800,602","(+/-3,644)","782,953","(+/-3,386)","772,818","(+/-11,406)","777,318","(+/-5,625)","796,568","(+/-11,993)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","118,413","(+/-4,216)","169,905","(+/-3,852)","128,866","(+/-5,290)","145,825","(+/-5,601)","122,924","(+/-4,711)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","197,087","(+/-1,682)","184,429","(+/-1,590)","200,674","(+/-5,406)","181,598","(+/-2,919)","188,356","(+/-5,735)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","11,414","(+/-1,397)","13,953","(+/-1,743)","11,756","(+/-2,036)","12,341","(+/-1,645)","11,268","(+/-2,143)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","479,377","(+/-2,616)","449,113","(+/-2,618)","454,447","(+/-7,375)","472,081","(+/-3,421)","480,895","(+/-7,297)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","61,322","(+/-3,020)","88,002","(+/-3,074)","68,189","(+/-3,842)","79,427","(+/-4,666)","66,246","(+/-4,384)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","124,138","(+/-1,316)","149,411","(+/-1,380)","117,697","(+/-3,216)","123,639","(+/-2,241)","127,317","(+/-3,000)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,677","(+/-1,785)","67,950","(+/-2,289)","48,921","(+/-2,435)","54,057","(+/-2,433)","45,410","(+/-2,683)"
People,"Residence 1 Year Ago","Population 1 year and over","798,511","(+/-3,671)","792,721","(+/-3,768)","787,096","(+/-11,258)","796,917","(+/-5,470)","798,865","(+/-11,686)"
People,"Residence 1 Year Ago","Same house","683,840","(+/-7,219)","701,613","(+/-6,033)","669,538","(+/-12,569)","673,990","(+/-9,672)","667,843","(+/-11,617)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","114,671","(+/-5,856)","91,108","(+/-5,067)","117,558","(+/-7,608)","122,927","(+/-7,702)","131,022","(+/-9,585)"
People,"Residence 1 Year Ago","Different house in the U.S.","109,600","(+/-5,878)","89,897","(+/-4,987)","113,405","(+/-7,688)","120,050","(+/-7,768)","126,121","(+/-9,681)"
People,"Residence 1 Year Ago","Same county","63,839","(+/-4,739)","38,716","(+/-3,709)","59,275","(+/-5,437)","58,121","(+/-5,222)","61,708","(+/-6,221)"
People,"Residence 1 Year Ago","Different county","45,761","(+/-3,995)","51,181","(+/-4,002)","54,130","(+/-4,655)","61,929","(+/-5,513)","64,413","(+/-8,176)"
People,"Residence 1 Year Ago","Same state","26,231","(+/-3,278)","33,105","(+/-3,014)","31,906","(+/-2,583)","33,766","(+/-4,075)","34,618","(+/-5,542)"
People,"Residence 1 Year Ago","Different state","19,530","(+/-2,459)","18,076","(+/-2,319)","22,224","(+/-3,812)","28,163","(+/-3,736)","29,795","(+/-5,988)"
People,"Residence 1 Year Ago",Abroad,"5,071","(+/-1,731)","1,211",(+/-521),"4,153","(+/-1,859)","2,877","(+/-1,359)","4,901","(+/-1,602)"
Workers,"Employment Status","Population 16 years and over","633,883","(+/-2,682)","638,542","(+/-2,866)","618,608","(+/-8,242)","645,453","(+/-4,514)","642,366","(+/-8,827)"
Workers,"Employment Status","In labor force","410,848","(+/-5,082)","343,820","(+/-4,726)","373,361","(+/-7,894)","401,100","(+/-4,713)","411,399","(+/-8,058)"
Workers,"Employment Status","Civilian labor force","409,799","(+/-5,117)","342,871","(+/-4,819)","369,243","(+/-7,797)","385,560","(+/-4,615)","408,543","(+/-7,944)"
Workers,"Employment Status",Employed,"394,299","(+/-5,173)","328,691","(+/-4,796)","353,585","(+/-7,674)","366,731","(+/-4,902)","392,999","(+/-7,751)"
Workers,"Employment Status",Unemployed,"15,500","(+/-1,567)","14,180","(+/-1,383)","15,658","(+/-1,915)","18,829","(+/-2,312)","15,544","(+/-2,500)"
Workers,"Employment Status","Armed Forces","1,049",(+/-409),949,(+/-585),"4,118","(+/-1,182)","15,540","(+/-1,355)","2,856",(+/-976)
Workers,"Employment Status","Not in labor force","223,035","(+/-4,748)","294,722","(+/-4,571)","245,247","(+/-6,118)","244,353","(+/-5,529)","230,967","(+/-6,328)"
Workers,"Employment Status","Civilian labor force","409,799","(+/-5,117)","342,871","(+/-4,819)","369,243","(+/-7,797)","385,560","(+/-4,615)","408,543","(+/-7,944)"
Workers,"Employment Status","Unemployment Rate",3.8,(+/-0.4),4.1,(+/-0.4),4.2,(+/-0.5),4.9,(+/-0.6),3.8,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","388,463","(+/-5,410)","324,525","(+/-4,932)","351,863","(+/-7,701)","375,309","(+/-5,047)","389,051","(+/-8,128)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","299,269","(+/-5,237)","256,290","(+/-4,589)","276,166","(+/-7,201)","290,509","(+/-5,064)","300,753","(+/-7,397)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","35,106","(+/-2,653)","31,808","(+/-2,597)","39,636","(+/-3,329)","35,562","(+/-3,074)","29,202","(+/-3,065)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,095",(+/-427),634,(+/-418),"1,222",(+/-483),"1,168",(+/-657),"1,069",(+/-556)
Workers,"Commuting to Work",Walked,"5,046","(+/-1,012)","5,742","(+/-1,030)","8,109","(+/-1,399)","7,550","(+/-1,553)","5,403","(+/-1,302)"
Workers,"Commuting to Work","Other means","5,925",(+/-971),"3,740",(+/-782),"4,969","(+/-1,163)","5,130","(+/-1,042)","5,627","(+/-1,064)"
Workers,"Commuting to Work","Worked from home","42,022","(+/-2,318)","26,311","(+/-2,059)","21,761","(+/-2,391)","35,390","(+/-3,118)","46,997","(+/-3,229)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.7,(+/-0.4),24.4,(+/-0.5),21.5,(+/-0.6),23.1,(+/-0.6),23.8,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","394,299","(+/-5,173)","328,691","(+/-4,796)","353,585","(+/-7,674)","366,731","(+/-4,902)","392,999","(+/-7,751)"
Workers,Occupation,"Management, business, science, and arts occupations","161,025","(+/-4,380)","108,985","(+/-3,727)","110,293","(+/-4,954)","139,973","(+/-4,447)","180,261","(+/-5,880)"
Workers,Occupation,"Service occupations","60,034","(+/-3,097)","60,810","(+/-2,860)","59,462","(+/-4,316)","57,569","(+/-3,179)","56,057","(+/-3,694)"
Workers,Occupation,"Sales and office occupations","85,980","(+/-3,262)","67,233","(+/-3,027)","72,918","(+/-4,135)","82,538","(+/-4,619)","84,939","(+/-4,783)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","33,581","(+/-1,996)","38,170","(+/-2,093)","53,707","(+/-3,649)","35,169","(+/-2,782)","33,319","(+/-2,867)"
Workers,Occupation,"Production, transportation, and material moving occupations","53,679","(+/-2,660)","53,493","(+/-2,832)","57,205","(+/-3,814)","51,482","(+/-2,944)","38,423","(+/-2,948)"
Workers,Industry,"Civilian employed population 16 years and over","394,299","(+/-5,173)","328,691","(+/-4,796)","353,585","(+/-7,674)","366,731","(+/-4,902)","392,999","(+/-7,751)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","7,177","(+/-1,228)","14,978","(+/-1,409)","26,086","(+/-2,457)","11,992","(+/-1,401)","10,486","(+/-1,373)"
Workers,Industry,Construction,"27,250","(+/-2,253)","23,420","(+/-1,625)","30,148","(+/-2,888)","25,418","(+/-2,470)","26,371","(+/-2,473)"
Workers,Industry,Manufacturing,"41,927","(+/-2,628)","37,620","(+/-2,113)","32,926","(+/-2,935)","28,714","(+/-2,443)","24,428","(+/-2,291)"
Workers,Industry,"Wholesale trade","9,307","(+/-1,068)","5,092",(+/-781),"6,343","(+/-1,370)","6,029","(+/-1,240)","8,329","(+/-1,370)"
Workers,Industry,"Retail trade","48,678","(+/-3,267)","39,019","(+/-2,759)","44,393","(+/-3,477)","48,312","(+/-3,342)","46,001","(+/-3,631)"
Workers,Industry,"Transportation and warehousing, and utilities","26,614","(+/-2,012)","19,469","(+/-1,679)","21,854","(+/-2,217)","21,042","(+/-2,164)","23,378","(+/-2,878)"
Workers,Industry,Information,"8,033","(+/-1,204)","3,301",(+/-734),"4,263",(+/-945),"3,871",(+/-848),"7,468","(+/-1,372)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,789","(+/-1,757)","15,329","(+/-1,726)","17,192","(+/-2,482)","21,585","(+/-2,447)","27,896","(+/-2,881)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","44,967","(+/-2,764)","23,039","(+/-1,669)","25,928","(+/-2,406)","32,582","(+/-2,909)","47,871","(+/-3,583)"
Workers,Industry,"Educational services, and health care and social assistance","85,461","(+/-3,493)","75,846","(+/-3,105)","75,066","(+/-4,004)","86,652","(+/-3,264)","83,953","(+/-4,360)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","36,079","(+/-2,482)","31,341","(+/-2,148)","31,060","(+/-3,338)","31,760","(+/-2,980)","34,567","(+/-3,680)"
Workers,Industry,"Other services, except public administration","22,490","(+/-1,850)","17,088","(+/-1,862)","17,458","(+/-1,954)","19,254","(+/-2,408)","20,601","(+/-2,287)"
Workers,Industry,"Public administration","11,527","(+/-1,408)","23,149","(+/-1,616)","20,868","(+/-2,378)","29,520","(+/-2,584)","31,650","(+/-3,160)"
Workers,"Class of Worker","Civilian employed population 16 years and over","394,299","(+/-5,173)","328,691","(+/-4,796)","353,585","(+/-7,674)","366,731","(+/-4,902)","392,999","(+/-7,751)"
Workers,"Class of Worker","Private wage and salary workers","329,229","(+/-5,004)","237,937","(+/-4,665)","261,582","(+/-7,785)","265,733","(+/-5,553)","298,371","(+/-7,082)"
Workers,"Class of Worker","Government workers","41,199","(+/-2,767)","66,568","(+/-2,638)","63,653","(+/-3,499)","75,820","(+/-4,412)","69,839","(+/-4,590)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","22,873","(+/-1,932)","23,831","(+/-1,953)","27,233","(+/-3,062)","24,655","(+/-1,995)","24,289","(+/-2,504)"
Workers,"Class of Worker","Unpaid family workers",998,(+/-435),355,(+/-166),"1,117",(+/-430),523,(+/-295),500,(+/-327)
Housing,"Housing Occupancy","Total housing units","349,301","(+/-1,074)","372,219","(+/-1,147)","350,935","(+/-3,660)","349,509","(+/-2,548)","354,768","(+/-4,239)"
Housing,"Housing Occupancy","Occupied housing units","321,676","(+/-1,948)","314,567","(+/-2,100)","299,034","(+/-4,133)","315,069","(+/-3,356)","322,834","(+/-5,133)"
Housing,"Housing Occupancy","Vacant housing units","27,625","(+/-1,749)","57,652","(+/-2,015)","51,901","(+/-2,850)","34,440","(+/-2,807)","31,934","(+/-3,281)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,(+/-0.2),1.2,(+/-0.2),1.3,(+/-0.4),1.0,(+/-0.3),0.8,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",4.7,(+/-0.7),3.9,(+/-0.7),7.5,(+/-1.4),5.4,(+/-1.1),7.9,(+/-1.8)
Housing,"Housing Tenure","Occupied housing units","321,676","(+/-1,948)","314,567","(+/-2,100)","299,034","(+/-4,133)","315,069","(+/-3,356)","322,834","(+/-5,133)"
Housing,"Housing Tenure",Owner-occupied,"201,372","(+/-3,151)","221,880","(+/-3,261)","192,365","(+/-3,974)","201,304","(+/-4,031)","212,082","(+/-4,544)"
Housing,"Housing Tenure",Renter-occupied,"120,304","(+/-3,043)","92,687","(+/-3,197)","106,669","(+/-4,276)","113,765","(+/-4,385)","110,752","(+/-4,167)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.64,(+/-0.03),2.51,(+/-0.03),2.63,(+/-0.04),2.53,(+/-0.03),2.59,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.19,(+/-0.04),2.37,(+/-0.05),2.42,(+/-0.07),2.35,(+/-0.06),2.18,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","321,676","(+/-1,948)","314,567","(+/-2,100)","299,034","(+/-4,133)","315,069","(+/-3,356)","322,834","(+/-5,133)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","68,625","(+/-2,811)","50,753","(+/-2,479)","60,669","(+/-3,811)","63,415","(+/-3,522)","68,103","(+/-4,094)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","82,926","(+/-3,246)","72,835","(+/-2,925)","65,921","(+/-3,973)","78,740","(+/-3,843)","83,401","(+/-4,060)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","76,529","(+/-2,993)","76,897","(+/-3,035)","75,752","(+/-3,710)","74,721","(+/-3,570)","79,340","(+/-3,780)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","45,004","(+/-1,921)","54,077","(+/-2,740)","44,802","(+/-2,580)","48,554","(+/-3,328)","47,010","(+/-3,028)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","25,612","(+/-1,784)","29,938","(+/-1,467)","23,211","(+/-1,634)","24,370","(+/-1,935)","24,708","(+/-1,871)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","22,980","(+/-1,257)","30,067","(+/-1,464)","28,679","(+/-1,926)","25,269","(+/-1,817)","20,272","(+/-1,715)"
Housing,Value,"Owner-occupied units","201,372","(+/-3,151)","221,880","(+/-3,261)","192,365","(+/-3,974)","201,304","(+/-4,031)","212,082","(+/-4,544)"
Housing,Value,"Less than $50,000","9,964","(+/-1,083)","28,851","(+/-1,644)","26,348","(+/-1,826)","15,737","(+/-1,339)","12,237","(+/-1,411)"
Housing,Value,"$50,000 to $99,999","16,036","(+/-1,179)","42,918","(+/-2,220)","34,436","(+/-2,433)","26,275","(+/-2,089)","15,793","(+/-1,485)"
Housing,Value,"$100,000 to $149,999","26,101","(+/-1,986)","34,795","(+/-2,011)","32,007","(+/-2,184)","32,104","(+/-2,417)","22,603","(+/-2,800)"
Housing,Value,"$150,000 to $199,999","34,708","(+/-1,824)","31,523","(+/-1,823)","30,546","(+/-2,337)","32,061","(+/-2,347)","31,569","(+/-2,441)"
Housing,Value,"$200,000 to $299,999","53,913","(+/-2,600)","40,821","(+/-2,209)","35,432","(+/-2,575)","49,540","(+/-2,889)","58,136","(+/-3,642)"
Housing,Value,"$300,000 to $499,999","41,506","(+/-1,963)","29,363","(+/-1,949)","24,407","(+/-2,114)","32,777","(+/-2,042)","48,991","(+/-2,554)"
Housing,Value,"$500,000 to $999,999","15,690","(+/-1,546)","10,991","(+/-1,120)","8,072","(+/-1,106)","11,220","(+/-1,404)","20,080","(+/-2,182)"
Housing,Value,"$1,000,000 or more","3,454",(+/-707),"2,618",(+/-610),"1,117",(+/-453),"1,590",(+/-510),"2,673",(+/-632)
Housing,Value,"Median (dollars)","222,500","(+/-3,096)","155,700","(+/-3,092)","154,400","(+/-3,132)","189,700","(+/-4,952)","236,400","(+/-4,790)"
Housing,"Mortgage Status","Owner-occupied units","201,372","(+/-3,151)","221,880","(+/-3,261)","192,365","(+/-3,974)","201,304","(+/-4,031)","212,082","(+/-4,544)"
Housing,"Mortgage Status","Housing units with a mortgage","121,784","(+/-3,562)","102,469","(+/-2,553)","91,895","(+/-3,151)","111,824","(+/-4,681)","125,217","(+/-4,488)"
Housing,"Mortgage Status","Housing units without a mortgage","79,588","(+/-2,706)","119,411","(+/-3,085)","100,470","(+/-3,816)","89,480","(+/-3,429)","86,865","(+/-3,451)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","121,784","(+/-3,562)","102,469","(+/-2,553)","91,895","(+/-3,151)","111,824","(+/-4,681)","125,217","(+/-4,488)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",959,(+/-329),"2,044",(+/-522),"1,763",(+/-782),"1,306",(+/-470),"1,006",(+/-394)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","18,823","(+/-1,504)","35,813","(+/-1,625)","20,686","(+/-1,890)","24,672","(+/-2,737)","14,318","(+/-1,540)"
