Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,Ancestry,Polish,"11,171","(+/-2,134)","7,489","(+/-1,440)","8,880","(+/-2,134)","10,585","(+/-1,961)"
People,Ancestry,Portuguese,580,(+/-384),563,(+/-367),294,(+/-325),215,(+/-150)
People,Ancestry,Russian,"1,935","(+/-1,071)","2,047","(+/-1,008)","3,519","(+/-1,844)","1,588",(+/-646)
People,Ancestry,Scotch-Irish,"5,491","(+/-1,347)","3,506",(+/-809),"5,288","(+/-1,178)","4,213",(+/-912)
People,Ancestry,Scottish,"12,364","(+/-2,084)","9,962","(+/-1,639)","12,757","(+/-2,100)","8,682","(+/-1,371)"
People,Ancestry,Slovak,568,(+/-582),273,(+/-270),133,(+/-124),147,(+/-138)
People,Ancestry,"Subsaharan African","8,892","(+/-2,668)","5,506","(+/-2,034)","19,222","(+/-3,811)","3,952","(+/-1,236)"
People,Ancestry,Swedish,"21,062","(+/-2,909)","11,195","(+/-1,674)","23,819","(+/-3,405)","18,756","(+/-2,229)"
People,Ancestry,Swiss,"3,782","(+/-1,027)","4,044","(+/-1,748)","1,734",(+/-688),"2,292",(+/-553)
People,Ancestry,Ukrainian,"1,087","(+/-1,111)",418,(+/-385),"1,208","(+/-1,169)",353,(+/-308)
People,Ancestry,Welsh,"4,844","(+/-1,242)","3,056",(+/-748),"5,359","(+/-1,287)","2,671",(+/-718)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",970,(+/-783),"1,497",(+/-880),"1,233","(+/-1,369)",570,(+/-729)
People,"Veteran Status","Civilian population 18 years and over","623,054","(+/-2,210)","618,643","(+/-1,573)","618,762","(+/-2,139)","619,317","(+/-2,046)"
People,"Veteran Status","Civilian veterans","41,724","(+/-2,541)","41,537","(+/-2,368)","36,850","(+/-2,299)","38,865","(+/-2,064)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","784,947","(+/-2,219)","784,066","(+/-1,593)","803,737","(+/-2,574)","780,587","(+/-2,469)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","103,059","(+/-5,641)","99,929","(+/-4,817)","98,907","(+/-5,287)","100,720","(+/-4,332)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","173,445","(+/-1,602)","174,307","(+/-1,166)","193,476","(+/-1,536)","174,256","(+/-1,324)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,385","(+/-1,857)","8,692","(+/-1,565)","7,522","(+/-1,429)","8,175","(+/-1,335)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","470,191","(+/-2,434)","459,645","(+/-1,752)","484,722","(+/-2,210)","460,422","(+/-2,387)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","52,635","(+/-4,330)","47,470","(+/-3,234)","50,249","(+/-4,058)","49,950","(+/-3,000)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","141,311","(+/-1,487)","150,114","(+/-1,253)","125,539","(+/-1,487)","145,909","(+/-1,962)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,039","(+/-2,682)","43,767","(+/-2,396)","41,136","(+/-2,389)","42,595","(+/-2,622)"
People,"Residence 1 Year Ago","Population 1 year and over","789,891","(+/-2,370)","785,253","(+/-1,923)","805,235","(+/-3,063)","786,355","(+/-2,399)"
People,"Residence 1 Year Ago","Same house","674,507","(+/-7,613)","693,972","(+/-7,046)","700,836","(+/-8,530)","690,761","(+/-5,800)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","115,384","(+/-7,434)","91,281","(+/-6,826)","104,399","(+/-7,774)","95,594","(+/-5,379)"
People,"Residence 1 Year Ago","Different house in the U.S.","111,918","(+/-6,876)","89,447","(+/-6,826)","101,782","(+/-7,620)","92,528","(+/-5,497)"
People,"Residence 1 Year Ago","Same county","63,435","(+/-5,958)","46,981","(+/-5,361)","55,707","(+/-6,160)","42,032","(+/-3,528)"
People,"Residence 1 Year Ago","Different county","48,483","(+/-4,407)","42,466","(+/-4,473)","46,075","(+/-5,505)","50,496","(+/-4,459)"
People,"Residence 1 Year Ago","Same state","27,232","(+/-3,140)","29,325","(+/-3,974)","30,606","(+/-4,382)","28,126","(+/-2,655)"
People,"Residence 1 Year Ago","Different state","21,251","(+/-3,185)","13,141","(+/-2,454)","15,469","(+/-2,684)","22,370","(+/-3,272)"
People,"Residence 1 Year Ago",Abroad,"3,466","(+/-1,986)","1,834",(+/-664),"2,617","(+/-1,177)","3,066","(+/-1,166)"
Workers,"Employment Status","Population 16 years and over","645,885","(+/-2,686)","640,163","(+/-1,918)","643,880","(+/-2,404)","640,997","(+/-2,254)"
Workers,"Employment Status","In labor force","419,872","(+/-5,531)","425,766","(+/-5,058)","444,669","(+/-5,967)","422,674","(+/-4,793)"
Workers,"Employment Status","Civilian labor force","418,003","(+/-5,450)","425,718","(+/-5,065)","443,279","(+/-5,929)","421,988","(+/-4,838)"
Workers,"Employment Status",Employed,"406,072","(+/-5,276)","413,093","(+/-5,792)","430,120","(+/-6,349)","409,322","(+/-4,701)"
Workers,"Employment Status",Unemployed,"11,931","(+/-1,745)","12,625","(+/-1,913)","13,159","(+/-2,515)","12,666","(+/-1,712)"
Workers,"Employment Status","Armed Forces","1,869",(+/-924),48,(+/-60),"1,390",(+/-681),686,(+/-450)
Workers,"Employment Status","Not in labor force","226,013","(+/-5,109)","214,397","(+/-5,210)","199,211","(+/-5,618)","218,323","(+/-4,019)"
Workers,"Employment Status","Civilian labor force","418,003","(+/-5,450)","425,718","(+/-5,065)","443,279","(+/-5,929)","421,988","(+/-4,838)"
Workers,"Employment Status","Unemployment Rate",2.9,(+/-0.4),3.0,(+/-0.5),3.0,(+/-0.6),3.0,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","399,280","(+/-5,343)","404,432","(+/-5,664)","424,390","(+/-6,369)","402,883","(+/-4,776)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","301,319","(+/-5,888)","311,545","(+/-5,962)","312,198","(+/-7,217)","315,797","(+/-5,938)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","31,029","(+/-3,469)","29,637","(+/-2,570)","35,204","(+/-3,141)","34,861","(+/-3,709)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","5,194","(+/-1,320)","1,449",(+/-769),"1,844",(+/-765),"3,967","(+/-1,117)"
Workers,"Commuting to Work",Walked,"14,193","(+/-1,873)","12,590","(+/-1,365)","8,154","(+/-1,863)","12,296","(+/-1,526)"
Workers,"Commuting to Work","Other means","6,113","(+/-1,574)","3,632",(+/-796),"5,830","(+/-1,407)","5,168","(+/-1,084)"
Workers,"Commuting to Work","Worked from home","41,432","(+/-3,509)","45,579","(+/-3,168)","61,160","(+/-3,734)","30,794","(+/-2,699)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",20.2,(+/-0.5),18.9,(+/-0.5),21.3,(+/-0.6),18.4,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over","406,072","(+/-5,276)","413,093","(+/-5,792)","430,120","(+/-6,349)","409,322","(+/-4,701)"
Workers,Occupation,"Management, business, science, and arts occupations","166,655","(+/-5,248)","154,525","(+/-5,346)","188,514","(+/-7,351)","146,305","(+/-4,699)"
Workers,Occupation,"Service occupations","61,900","(+/-4,379)","65,996","(+/-3,736)","59,935","(+/-4,425)","64,897","(+/-3,443)"
Workers,Occupation,"Sales and office occupations","69,738","(+/-4,142)","79,470","(+/-3,712)","85,985","(+/-4,936)","76,108","(+/-3,312)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","39,573","(+/-2,981)","34,800","(+/-2,404)","36,412","(+/-3,013)","43,401","(+/-2,911)"
Workers,Occupation,"Production, transportation, and material moving occupations","68,206","(+/-4,416)","78,302","(+/-4,079)","59,274","(+/-4,385)","78,611","(+/-3,881)"
Workers,Industry,"Civilian employed population 16 years and over","406,072","(+/-5,276)","413,093","(+/-5,792)","430,120","(+/-6,349)","409,322","(+/-4,701)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","12,798","(+/-1,749)","16,690","(+/-2,074)","12,484","(+/-2,014)","21,433","(+/-2,159)"
Workers,Industry,Construction,"28,758","(+/-2,564)","23,787","(+/-2,254)","30,433","(+/-3,479)","30,864","(+/-3,215)"
Workers,Industry,Manufacturing,"63,403","(+/-3,855)","69,024","(+/-3,287)","43,112","(+/-4,109)","64,197","(+/-3,409)"
Workers,Industry,"Wholesale trade","9,175","(+/-1,666)","10,725","(+/-1,517)","11,484","(+/-2,174)","8,986","(+/-1,430)"
Workers,Industry,"Retail trade","44,769","(+/-3,678)","46,804","(+/-3,074)","50,898","(+/-4,595)","46,672","(+/-2,977)"
Workers,Industry,"Transportation and warehousing, and utilities","18,323","(+/-2,230)","21,722","(+/-2,021)","24,442","(+/-3,087)","23,485","(+/-2,175)"
Workers,Industry,Information,"5,778","(+/-1,460)","5,623","(+/-1,195)","5,880","(+/-1,049)","6,233","(+/-1,123)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,903","(+/-2,176)","25,936","(+/-2,565)","54,653","(+/-3,546)","22,428","(+/-2,194)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","30,337","(+/-2,918)","28,576","(+/-2,786)","44,898","(+/-4,134)","26,320","(+/-2,704)"
Workers,Industry,"Educational services, and health care and social assistance","112,656","(+/-4,021)","102,558","(+/-4,071)","91,648","(+/-4,221)","101,281","(+/-4,318)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","24,826","(+/-2,377)","33,036","(+/-2,535)","24,375","(+/-2,702)","28,233","(+/-2,726)"
Workers,Industry,"Other services, except public administration","16,352","(+/-2,082)","17,284","(+/-2,168)","19,092","(+/-2,458)","15,106","(+/-1,767)"
Workers,Industry,"Public administration","13,994","(+/-1,985)","11,328","(+/-1,699)","16,721","(+/-2,680)","14,084","(+/-1,614)"
Workers,"Class of Worker","Civilian employed population 16 years and over","406,072","(+/-5,276)","413,093","(+/-5,792)","430,120","(+/-6,349)","409,322","(+/-4,701)"
Workers,"Class of Worker","Private wage and salary workers","309,942","(+/-5,729)","330,257","(+/-6,127)","349,036","(+/-7,079)","315,797","(+/-5,063)"
Workers,"Class of Worker","Government workers","71,546","(+/-3,580)","54,837","(+/-2,810)","55,951","(+/-4,812)","62,064","(+/-3,198)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","23,703","(+/-2,227)","26,767","(+/-2,445)","24,483","(+/-2,991)","30,146","(+/-2,425)"
Workers,"Class of Worker","Unpaid family workers",881,(+/-467),"1,232",(+/-542),650,(+/-346),"1,315",(+/-579)
Housing,"Housing Occupancy","Total housing units","356,052",(+/-870),"364,247",(+/-728),"361,425","(+/-1,059)","356,732","(+/-1,137)"
Housing,"Housing Occupancy","Occupied housing units","332,994","(+/-3,049)","332,064","(+/-3,088)","338,897","(+/-3,098)","327,040","(+/-3,005)"
Housing,"Housing Occupancy","Vacant housing units","23,058","(+/-3,061)","32,183","(+/-3,073)","22,528","(+/-2,897)","29,692","(+/-2,962)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,(+/-0.3),0.8,(+/-0.4),0.7,(+/-0.3),0.3,(+/-0.2)
Housing,"Housing Occupancy","Rental vacancy rate",4.2,(+/-1.3),7.2,(+/-1.7),4.7,(+/-1.4),3.8,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","332,994","(+/-3,049)","332,064","(+/-3,088)","338,897","(+/-3,098)","327,040","(+/-3,005)"
Housing,"Housing Tenure",Owner-occupied,"235,504","(+/-4,063)","247,510","(+/-3,987)","241,411","(+/-4,567)","234,275","(+/-3,447)"
Housing,"Housing Tenure",Renter-occupied,"97,490","(+/-3,805)","84,554","(+/-3,954)","97,486","(+/-4,122)","92,765","(+/-3,379)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.48,(+/-0.03),2.44,(+/-0.03),2.54,(+/-0.04),2.44,(+/-0.03)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.93,(+/-0.06),1.97,(+/-0.06),1.92,(+/-0.07),2.04,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","332,994","(+/-3,049)","332,064","(+/-3,088)","338,897","(+/-3,098)","327,040","(+/-3,005)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","63,983","(+/-3,701)","51,845","(+/-3,451)","67,032","(+/-4,094)","54,947","(+/-2,974)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","70,312","(+/-3,954)","70,930","(+/-3,535)","75,811","(+/-4,328)","68,499","(+/-3,310)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","82,366","(+/-3,260)","79,060","(+/-3,582)","87,535","(+/-3,966)","74,960","(+/-2,890)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","48,939","(+/-2,944)","53,435","(+/-2,651)","51,480","(+/-2,736)","53,748","(+/-2,965)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","32,851","(+/-2,857)","34,929","(+/-2,312)","29,526","(+/-2,841)","34,581","(+/-1,994)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","34,543","(+/-2,135)","41,865","(+/-2,095)","27,513","(+/-2,153)","40,305","(+/-1,983)"
Housing,Value,"Owner-occupied units","235,504","(+/-4,063)","247,510","(+/-3,987)","241,411","(+/-4,567)","234,275","(+/-3,447)"
Housing,Value,"Less than $50,000","16,202","(+/-1,770)","15,406","(+/-1,307)","16,063","(+/-1,693)","17,911","(+/-1,566)"
Housing,Value,"$50,000 to $99,999","28,396","(+/-1,984)","30,589","(+/-1,987)","24,404","(+/-2,330)","36,412","(+/-2,157)"
Housing,Value,"$100,000 to $149,999","35,943","(+/-2,594)","43,840","(+/-3,188)","26,820","(+/-2,335)","37,835","(+/-2,011)"
Housing,Value,"$150,000 to $199,999","40,215","(+/-2,643)","46,321","(+/-3,125)","35,941","(+/-2,691)","41,439","(+/-2,153)"
Housing,Value,"$200,000 to $299,999","51,684","(+/-3,280)","52,531","(+/-3,388)","56,527","(+/-3,263)","50,058","(+/-2,114)"
Housing,Value,"$300,000 to $499,999","45,725","(+/-2,445)","44,132","(+/-3,037)","58,774","(+/-3,579)","36,876","(+/-2,080)"
Housing,Value,"$500,000 to $999,999","14,994","(+/-1,712)","11,979","(+/-1,176)","20,427","(+/-1,950)","11,241","(+/-1,714)"
Housing,Value,"$1,000,000 or more","2,345",(+/-835),"2,712",(+/-706),"2,455",(+/-781),"2,503",(+/-620)
Housing,Value,"Median (dollars)","195,100","(+/-4,672)","183,000","(+/-4,857)","229,700","(+/-5,343)","177,200","(+/-4,168)"
Housing,"Mortgage Status","Owner-occupied units","235,504","(+/-4,063)","247,510","(+/-3,987)","241,411","(+/-4,567)","234,275","(+/-3,447)"
Housing,"Mortgage Status","Housing units with a mortgage","139,539","(+/-3,849)","144,824","(+/-4,105)","158,144","(+/-4,537)","127,334","(+/-3,041)"
Housing,"Mortgage Status","Housing units without a mortgage","95,965","(+/-3,664)","102,686","(+/-3,322)","83,267","(+/-3,092)","106,941","(+/-3,082)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","139,539","(+/-3,849)","144,824","(+/-4,105)","158,144","(+/-4,537)","127,334","(+/-3,041)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,083",(+/-425),"1,824",(+/-513),943,(+/-398),"1,518",(+/-452)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","26,435","(+/-2,223)","31,469","(+/-2,525)","24,237","(+/-2,030)","34,149","(+/-2,142)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","52,754","(+/-3,482)","53,327","(+/-3,568)","46,979","(+/-3,587)","44,309","(+/-3,052)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","31,695","(+/-2,558)","31,446","(+/-2,450)","40,921","(+/-2,702)","25,577","(+/-1,970)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","14,492","(+/-1,772)","13,925","(+/-1,677)","24,015","(+/-2,768)","10,952","(+/-1,504)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","5,918","(+/-1,190)","6,382",(+/-954),"9,456","(+/-1,800)","5,697","(+/-1,170)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","7,162","(+/-1,169)","6,451","(+/-1,034)","11,593","(+/-1,571)","5,132","(+/-1,116)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,401",(+/-23),"1,364",(+/-25),"1,575",(+/-33),"1,299",(+/-30)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","95,965","(+/-3,664)","102,686","(+/-3,322)","83,267","(+/-3,092)","106,941","(+/-3,082)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","4,505",(+/-949),"3,393",(+/-688),"4,504",(+/-845),"6,545","(+/-1,010)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","13,296","(+/-1,407)","16,242","(+/-1,732)","11,197","(+/-1,305)","19,764","(+/-1,550)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","33,755","(+/-2,610)","35,505","(+/-2,147)","22,661","(+/-1,997)","37,229","(+/-2,321)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","23,501","(+/-1,832)","24,405","(+/-1,905)","19,858","(+/-1,960)","25,195","(+/-1,748)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","11,211","(+/-1,233)","12,973","(+/-1,510)","12,385","(+/-1,624)","9,871","(+/-1,104)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","9,697","(+/-1,377)","10,168","(+/-1,609)","12,662","(+/-1,603)","8,337","(+/-1,229)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",580,(+/-10),578,(+/-12),630,(+/-17),545,(+/-9)
Housing,"Gross Rent","Occupied units paying rent","93,299","(+/-3,832)","79,848","(+/-3,941)","93,030","(+/-4,191)","86,064","(+/-3,250)"
Housing,"Gross Rent","Less than $500","9,487","(+/-1,495)","9,616","(+/-1,506)","5,698","(+/-1,245)","8,826","(+/-1,195)"
Housing,"Gross Rent","$500 to $999","49,769","(+/-3,341)","43,975","(+/-3,011)","39,641","(+/-3,373)","50,876","(+/-3,517)"
Housing,"Gross Rent","$1,000 to $1,499","24,579","(+/-2,711)","19,812","(+/-2,344)","34,030","(+/-3,371)","19,744","(+/-2,194)"
Housing,"Gross Rent","$1,500 to $1,999","6,256","(+/-1,415)","3,887",(+/-987),"10,147","(+/-2,115)","4,201","(+/-1,074)"
Housing,"Gross Rent","$2,000 to $2,499","1,362",(+/-599),"1,345",(+/-591),"2,150","(+/-1,278)","1,150",(+/-422)
Housing,"Gross Rent","$2,500 to $2,999",624,(+/-371),151,(+/-141),53,(+/-87),82,(+/-77)
Housing,"Gross Rent","$3,000 or more","1,222",(+/-576),"1,062",(+/-516),"1,311",(+/-588),"1,185",(+/-474)
Housing,"Gross Rent","Median (dollars)",879,(+/-18),840,(+/-22),"1,014",(+/-35),836,(+/-20)
Housing,"Gross Rent","No rent paid","4,191",(+/-774),"4,706",(+/-832),"4,456","(+/-1,301)","6,701","(+/-1,055)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","332,994","(+/-3,049)","332,064","(+/-3,088)","338,897","(+/-3,098)","327,040","(+/-3,005)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","17,978","(+/-1,972)","14,211","(+/-1,583)","12,279","(+/-1,924)","13,324","(+/-1,575)"
