Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","45 to 54 years","80,936","(+/-2,863)","98,074","(+/-3,239)","87,969","(+/-3,173)","85,770","(+/-3,004)","86,761","(+/-2,799)","90,925","(+/-2,323)","90,195","(+/-1,654)","93,456","(+/-2,526)"
People,"Sex and Age","55 to 59 years","43,774","(+/-3,543)","52,044","(+/-3,714)","49,962","(+/-3,351)","47,851","(+/-2,393)","41,911","(+/-3,232)","45,379","(+/-2,660)","43,212","(+/-2,858)","51,334","(+/-2,567)"
People,"Sex and Age","60 to 64 years","48,419","(+/-3,808)","54,272","(+/-3,777)","54,884","(+/-3,331)","54,901","(+/-2,762)","51,830","(+/-3,500)","54,393","(+/-2,490)","54,357","(+/-2,557)","56,753","(+/-2,653)"
People,"Sex and Age","65 to 74 years","74,035","(+/-2,582)","87,871","(+/-2,895)","85,485","(+/-2,641)","82,087","(+/-2,386)","75,543","(+/-2,188)","78,852","(+/-1,648)","82,741","(+/-1,132)","84,810","(+/-1,530)"
People,"Sex and Age","75 to 84 years","35,030","(+/-2,588)","49,869","(+/-2,829)","43,028","(+/-2,198)","45,974","(+/-1,899)","35,901","(+/-2,316)","45,310","(+/-1,745)","43,046","(+/-1,930)","44,281","(+/-1,755)"
People,"Sex and Age","85 years and over","14,291","(+/-2,177)","16,432","(+/-1,990)","13,282","(+/-1,682)","13,067","(+/-1,500)","15,337","(+/-1,882)","14,126","(+/-1,362)","17,844","(+/-1,774)","14,894","(+/-1,640)"
People,"Sex and Age","Median age (years)",37.0,(+/-0.5),41.8,(+/-0.8),39.7,(+/-0.6),38.4,(+/-0.5),37.1,(+/-0.5),39.3,(+/-0.5),38.5,(+/-0.4),40.7,(+/-0.5)
People,"Sex and Age","18 years and over","587,491","(+/-7,182)","606,330","(+/-8,429)","615,881","(+/-7,060)","600,264","(+/-5,161)","601,043","(+/-4,344)","592,792","(+/-3,627)","609,139","(+/-2,217)","602,226","(+/-4,643)"
People,"Sex and Age","65 years and over","123,356","(+/-3,523)","154,172","(+/-4,266)","141,795","(+/-3,135)","141,128","(+/-3,181)","126,781","(+/-2,589)","138,288","(+/-2,142)","143,631","(+/-1,380)","143,985","(+/-1,844)"
People,Race,"Total population","742,101","(+/-10,428)","778,625","(+/-12,900)","773,675","(+/-10,596)","780,184","(+/-6,975)","773,627","(+/-6,402)","768,652","(+/-5,138)","785,669","(+/-3,391)","775,424","(+/-6,405)"
People,Race,"One race","696,540","(+/-12,561)","714,485","(+/-11,975)","718,060","(+/-11,305)","723,524","(+/-7,783)","694,405","(+/-7,801)","728,469","(+/-6,020)","726,544","(+/-5,414)","726,173","(+/-7,165)"
People,Race,White,"324,320","(+/-9,022)","640,765","(+/-10,424)","657,127","(+/-11,043)","665,107","(+/-7,666)","473,463","(+/-6,195)","676,375","(+/-6,026)","675,507","(+/-4,838)","684,301","(+/-7,272)"
People,Race,"Black or African American","333,291","(+/-7,259)","25,069","(+/-4,103)","34,581","(+/-3,688)","30,449","(+/-3,405)","168,872","(+/-4,239)","27,599","(+/-2,307)","14,373","(+/-1,690)","26,883","(+/-2,000)"
People,Race,"American Indian and Alaska Native",638,(+/-304),699,(+/-402),"1,515",(+/-756),"2,663",(+/-604),"2,452","(+/-1,038)","3,271","(+/-1,088)","4,143",(+/-771),"1,538",(+/-675)
People,Race,Asian,"25,525","(+/-2,697)","39,553","(+/-3,801)","16,101","(+/-2,737)","10,470","(+/-2,601)","18,235","(+/-1,707)","8,536","(+/-1,223)","10,721","(+/-1,163)","5,915","(+/-1,306)"
People,Race,"Native Hawaiian and Other Pacific Islander",215,(+/-179),178,(+/-179),294,(+/-235),"1,362",(+/-638),"1,567",(+/-894),567,(+/-323),"3,309","(+/-1,211)",199,(+/-234)
People,Race,"Some other race","12,551","(+/-2,932)","8,221","(+/-2,444)","8,442","(+/-2,309)","13,473","(+/-2,565)","29,816","(+/-4,849)","12,121","(+/-2,242)","18,491","(+/-3,623)","7,337","(+/-2,084)"
People,Race,"Two or more races","45,561","(+/-6,671)","64,140","(+/-5,836)","55,615","(+/-5,912)","56,660","(+/-4,754)","79,222","(+/-6,386)","40,183","(+/-3,527)","59,125","(+/-4,538)","49,251","(+/-3,631)"
People,"Hispanic or Latino and Race","Total population","742,101","(+/-10,428)","778,625","(+/-12,900)","773,675","(+/-10,596)","780,184","(+/-6,975)","773,627","(+/-6,402)","768,652","(+/-5,138)","785,669","(+/-3,391)","775,424","(+/-6,405)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","27,136","(+/-2,703)","23,005","(+/-3,089)","23,943","(+/-2,255)","39,031","(+/-2,223)","83,435","(+/-2,400)","28,981","(+/-1,626)","46,679",(+/-787),"19,553",(+/-985)
People,"Hispanic or Latino and Race",Mexican,"14,957","(+/-2,244)","12,130","(+/-2,711)","15,761","(+/-2,390)","24,341","(+/-2,449)","56,397","(+/-4,677)","18,390","(+/-2,312)","26,646","(+/-2,787)","12,448","(+/-1,640)"
People,"Hispanic or Latino and Race","Puerto Rican","1,702",(+/-758),"1,577",(+/-751),"1,794",(+/-613),"5,866","(+/-1,744)","3,760","(+/-1,470)","2,587","(+/-1,115)","5,449","(+/-3,088)","1,073",(+/-767)
People,"Hispanic or Latino and Race",Cuban,987,(+/-569),709,(+/-506),608,(+/-526),"1,034",(+/-755),"1,662",(+/-889),958,(+/-577),"1,923","(+/-1,307)",561,(+/-489)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","9,490","(+/-2,301)","8,589","(+/-1,854)","5,780","(+/-1,571)","7,790","(+/-2,009)","21,616","(+/-4,347)","7,046","(+/-1,405)","12,661","(+/-2,599)","5,471","(+/-1,351)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","714,965","(+/-10,163)","755,620","(+/-12,534)","749,732","(+/-10,250)","741,153","(+/-7,127)","690,192","(+/-6,290)","739,671","(+/-4,855)","738,990","(+/-3,252)","755,871","(+/-6,329)"
People,"Place of Birth","Total population","742,101","(+/-10,428)","778,625","(+/-12,900)","773,675","(+/-10,596)","780,184","(+/-6,975)","773,627","(+/-6,402)","768,652","(+/-5,138)","785,669","(+/-3,391)","775,424","(+/-6,405)"
People,"Place of Birth",Native,"697,651","(+/-9,913)","725,239","(+/-12,559)","750,103","(+/-10,544)","759,342","(+/-7,615)","722,336","(+/-8,659)","749,924","(+/-5,547)","757,722","(+/-4,841)","763,065","(+/-6,847)"
People,"Place of Birth","Born in United States","692,685","(+/-10,144)","720,366","(+/-12,729)","743,601","(+/-10,374)","750,799","(+/-8,058)","714,965","(+/-8,607)","744,496","(+/-5,420)","750,258","(+/-4,909)","759,495","(+/-7,063)"
People,"Place of Birth","State of residence","506,794","(+/-11,660)","533,595","(+/-12,417)","551,854","(+/-10,740)","491,448","(+/-9,884)","434,759","(+/-10,383)","524,058","(+/-7,401)","458,421","(+/-9,282)","562,973","(+/-10,451)"
People,"Place of Birth","Different state","185,891","(+/-8,435)","186,771","(+/-7,001)","191,747","(+/-7,960)","259,351","(+/-7,674)","280,206","(+/-9,806)","220,438","(+/-7,266)","291,837","(+/-8,722)","196,522","(+/-8,554)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,966","(+/-1,871)","4,873","(+/-1,337)","6,502","(+/-1,665)","8,543","(+/-1,867)","7,371","(+/-1,490)","5,428","(+/-1,277)","7,464","(+/-1,493)","3,570","(+/-1,071)"
People,"Place of Birth","Foreign born","44,450","(+/-5,039)","53,386","(+/-4,313)","23,572","(+/-2,828)","20,842","(+/-2,629)","51,291","(+/-5,348)","18,728","(+/-2,023)","27,947","(+/-3,063)","12,359","(+/-1,898)"
People,Ancestry,"Total population","742,101","(+/-10,428)","778,625","(+/-12,900)","773,675","(+/-10,596)","780,184","(+/-6,975)","773,627","(+/-6,402)","768,652","(+/-5,138)","785,669","(+/-3,391)","775,424","(+/-6,405)"
People,Ancestry,American,"53,133","(+/-6,964)","46,173","(+/-5,418)","62,784","(+/-6,132)","59,672","(+/-5,180)","37,310","(+/-5,834)","57,187","(+/-4,590)","57,470","(+/-6,717)","64,867","(+/-6,635)"
People,Ancestry,Arab,"4,451","(+/-1,872)","6,043","(+/-1,894)","2,445","(+/-1,884)","1,444",(+/-817),"4,276","(+/-2,555)","1,131",(+/-480),"2,019","(+/-1,946)","1,373",(+/-875)
People,Ancestry,Czech,"2,083","(+/-1,169)","4,986","(+/-1,632)","3,294","(+/-1,325)","2,047",(+/-877),"2,525",(+/-838),"3,318","(+/-1,443)","1,951",(+/-707),"3,743","(+/-1,359)"
People,Ancestry,Danish,"1,558",(+/-786),"1,393",(+/-716),"1,747",(+/-601),"2,100",(+/-834),"2,184",(+/-815),"2,598","(+/-1,127)","3,198","(+/-1,284)",978,(+/-698)
People,Ancestry,Dutch,"3,951","(+/-1,284)","7,199","(+/-1,831)","5,888","(+/-1,305)","8,277","(+/-1,750)","5,970","(+/-1,380)","8,964","(+/-2,089)","9,101","(+/-1,784)","7,464","(+/-1,739)"
People,Ancestry,English,"48,128","(+/-4,001)","95,360","(+/-6,527)","91,481","(+/-5,998)","97,300","(+/-6,316)","89,350","(+/-5,866)","95,275","(+/-6,235)","118,046","(+/-7,012)","85,713","(+/-5,836)"
People,Ancestry,"French (except Basque)","13,919","(+/-2,077)","21,895","(+/-2,699)","19,573","(+/-2,913)","13,494","(+/-2,338)","13,144","(+/-2,241)","15,185","(+/-2,347)","16,491","(+/-2,763)","19,563","(+/-2,815)"
People,Ancestry,"French Canadian","1,886","(+/-1,121)",789,(+/-382),"1,337",(+/-724),"1,658",(+/-691),"1,800",(+/-938),"1,411",(+/-832),"1,447","(+/-1,333)",792,(+/-318)
People,Ancestry,German,"108,844","(+/-6,634)","240,291","(+/-9,759)","223,958","(+/-9,715)","148,169","(+/-7,376)","111,274","(+/-7,557)","161,031","(+/-8,476)","143,320","(+/-8,691)","156,544","(+/-8,868)"
People,Ancestry,Greek,"2,473","(+/-1,258)","2,749","(+/-1,032)",840,(+/-421),"2,014","(+/-1,169)","1,001",(+/-577),"1,347",(+/-628),"2,321","(+/-2,172)","1,066",(+/-597)
People,Ancestry,Hungarian,983,(+/-536),"4,254","(+/-1,273)","1,774",(+/-734),"1,011",(+/-632),809,(+/-341),520,(+/-295),"1,339",(+/-819),"1,860","(+/-1,360)"
People,Ancestry,Irish,"67,023","(+/-5,584)","121,664","(+/-6,615)","100,938","(+/-6,983)","82,458","(+/-5,927)","76,550","(+/-5,867)","94,287","(+/-7,163)","89,351","(+/-7,419)","83,471","(+/-5,461)"
People,Ancestry,Italian,"26,860","(+/-3,618)","42,952","(+/-4,234)","29,970","(+/-3,953)","16,748","(+/-2,447)","24,220","(+/-3,738)","16,418","(+/-2,720)","19,243","(+/-3,547)","20,510","(+/-3,245)"
People,Ancestry,Lithuanian,"1,303",(+/-626),"1,354",(+/-596),610,(+/-667),296,(+/-214),"1,155",(+/-957),425,(+/-375),484,(+/-340),393,(+/-238)
People,Ancestry,Norwegian,"3,074",(+/-852),"4,705","(+/-1,872)","4,797","(+/-1,451)","7,308","(+/-1,847)","4,517","(+/-1,199)","5,513","(+/-1,392)","5,485","(+/-1,175)","3,312",(+/-784)
People,Ancestry,Polish,"12,296","(+/-2,209)","23,434","(+/-3,548)","13,898","(+/-2,795)","6,253","(+/-1,505)","9,197","(+/-2,280)","11,156","(+/-2,202)","7,467","(+/-1,527)","8,528","(+/-1,657)"
People,Ancestry,Portuguese,158,(+/-160),"1,193",(+/-787),147,(+/-214),960,(+/-864),328,(+/-307),708,(+/-344),"1,481",(+/-952),622,(+/-638)
People,Ancestry,Russian,"4,577","(+/-1,224)","4,362","(+/-1,127)","2,202",(+/-862),"1,783",(+/-787),"2,300",(+/-991),"1,668",(+/-902),"2,580","(+/-1,101)",969,(+/-536)
People,Ancestry,Scotch-Irish,"5,833","(+/-1,713)","5,170","(+/-1,301)","7,385","(+/-1,783)","5,693","(+/-1,422)","7,227","(+/-1,348)","7,334","(+/-1,771)","8,790","(+/-1,564)","6,538","(+/-1,564)"
People,Ancestry,Scottish,"8,935","(+/-1,883)","15,862","(+/-3,271)","13,549","(+/-2,224)","12,100","(+/-2,036)","15,389","(+/-2,789)","11,588","(+/-2,235)","18,537","(+/-2,738)","12,097","(+/-2,150)"
People,Ancestry,Slovak,514,(+/-511),903,(+/-562),590,(+/-454),628,(+/-485),533,(+/-309),22,(+/-37),364,(+/-344),582,(+/-545)
People,Ancestry,"Subsaharan African","17,386","(+/-5,023)","2,482","(+/-1,113)","3,306","(+/-1,291)","3,078","(+/-1,143)","11,277","(+/-4,109)","3,934","(+/-1,470)","2,070",(+/-889),"2,055",(+/-981)
People,Ancestry,Swedish,"3,272",(+/-950),"6,707","(+/-1,863)","5,738","(+/-1,582)","7,690","(+/-1,754)","7,615","(+/-1,286)","9,380","(+/-2,131)","8,755","(+/-1,768)","3,963","(+/-1,054)"
People,Ancestry,Swiss,850,(+/-501),"2,723",(+/-957),"3,314","(+/-1,243)","2,990","(+/-1,143)","1,122",(+/-425),"3,138","(+/-1,201)","2,757","(+/-1,670)","1,085",(+/-544)
People,Ancestry,Ukrainian,"1,582",(+/-633),"2,193",(+/-906),724,(+/-457),"2,806","(+/-1,394)","1,175",(+/-841),593,(+/-336),"2,443","(+/-1,678)","1,394","(+/-1,053)"
People,Ancestry,Welsh,"1,606",(+/-513),"3,502","(+/-1,183)","3,735","(+/-1,211)","4,425","(+/-1,252)","3,939",(+/-980),"3,919",(+/-985),"5,616","(+/-2,041)","1,618",(+/-527)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,610","(+/-1,029)","1,030",(+/-827),"1,023",(+/-706),"1,294",(+/-788),"3,504","(+/-1,648)",816,(+/-650),"1,274",(+/-808),599,(+/-405)
People,"Veteran Status","Civilian population 18 years and over","586,187","(+/-7,143)","606,096","(+/-8,425)","614,979","(+/-7,122)","584,038","(+/-5,306)","600,021","(+/-4,392)","590,852","(+/-3,731)","608,197","(+/-2,237)","601,941","(+/-4,627)"
People,"Veteran Status","Civilian veterans","34,551","(+/-3,152)","35,986","(+/-2,704)","44,766","(+/-2,933)","55,417","(+/-3,766)","39,780","(+/-3,125)","40,775","(+/-2,714)","46,709","(+/-3,612)","43,850","(+/-2,758)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","733,427","(+/-10,354)","770,578","(+/-12,893)","760,276","(+/-10,866)","753,571","(+/-6,975)","767,606","(+/-6,403)","750,604","(+/-5,180)","776,325","(+/-3,427)","758,946","(+/-6,405)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","116,575","(+/-6,202)","80,577","(+/-4,311)","103,270","(+/-4,562)","128,374","(+/-5,443)","105,246","(+/-4,641)","111,771","(+/-4,798)","127,421","(+/-5,323)","140,473","(+/-5,001)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","154,170","(+/-5,725)","172,252","(+/-7,438)","157,409","(+/-5,563)","179,397","(+/-4,214)","172,279","(+/-4,437)","175,592","(+/-3,133)","176,139","(+/-2,151)","172,743","(+/-3,036)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,799","(+/-2,325)","5,831","(+/-1,090)","5,062","(+/-1,135)","9,680","(+/-1,608)","6,767","(+/-1,565)","9,522","(+/-1,667)","11,826","(+/-1,781)","10,001","(+/-1,798)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","459,569","(+/-7,037)","448,886","(+/-8,753)","465,078","(+/-7,144)","437,471","(+/-5,256)","472,241","(+/-4,443)","442,061","(+/-3,658)","460,772","(+/-2,379)","448,378","(+/-4,438)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","62,028","(+/-4,394)","34,834","(+/-3,283)","51,934","(+/-3,177)","67,795","(+/-3,872)","56,981","(+/-3,710)","56,765","(+/-3,536)","65,038","(+/-3,669)","74,927","(+/-3,675)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","119,688","(+/-3,568)","149,440","(+/-4,224)","137,789","(+/-3,097)","136,703","(+/-3,193)","123,086","(+/-2,590)","132,951","(+/-2,116)","139,414","(+/-1,404)","137,825","(+/-1,833)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","44,748","(+/-2,702)","39,912","(+/-2,735)","46,274","(+/-2,872)","50,899","(+/-2,926)","41,498","(+/-2,650)","45,484","(+/-2,510)","50,557","(+/-2,847)","55,545","(+/-2,653)"
People,"Residence 1 Year Ago","Population 1 year and over","733,369","(+/-10,526)","771,332","(+/-12,477)","766,371","(+/-10,286)","771,309","(+/-6,968)","763,919","(+/-6,454)","759,489","(+/-5,267)","777,678","(+/-3,854)","767,965","(+/-6,335)"
People,"Residence 1 Year Ago","Same house","626,574","(+/-13,362)","690,655","(+/-13,331)","670,373","(+/-12,010)","657,215","(+/-9,290)","653,680","(+/-10,981)","676,911","(+/-7,232)","668,576","(+/-8,744)","676,596","(+/-10,234)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","106,795","(+/-9,695)","80,677","(+/-8,707)","95,998","(+/-6,727)","114,094","(+/-7,490)","110,239","(+/-9,844)","82,578","(+/-5,521)","109,102","(+/-7,914)","91,369","(+/-7,365)"
People,"Residence 1 Year Ago","Different house in the U.S.","103,583","(+/-9,638)","76,545","(+/-8,553)","93,628","(+/-6,728)","112,816","(+/-7,511)","107,504","(+/-9,479)","81,326","(+/-5,447)","107,400","(+/-7,994)","90,003","(+/-7,373)"
People,"Residence 1 Year Ago","Same county","56,727","(+/-7,788)","39,470","(+/-6,091)","44,781","(+/-5,357)","53,259","(+/-5,886)","58,689","(+/-7,284)","36,540","(+/-4,124)","48,718","(+/-4,972)","46,569","(+/-4,873)"
People,"Residence 1 Year Ago","Different county","46,856","(+/-5,298)","37,075","(+/-5,511)","48,847","(+/-4,297)","59,557","(+/-4,859)","48,815","(+/-6,372)","44,786","(+/-4,499)","58,682","(+/-6,793)","43,434","(+/-4,895)"
People,"Residence 1 Year Ago","Same state","23,482","(+/-4,133)","22,998","(+/-4,075)","33,394","(+/-3,982)","29,635","(+/-3,582)","22,572","(+/-4,331)","29,072","(+/-3,922)","32,825","(+/-4,151)","30,820","(+/-4,183)"
People,"Residence 1 Year Ago","Different state","23,374","(+/-3,337)","14,077","(+/-3,684)","15,453","(+/-2,985)","29,922","(+/-3,993)","26,243","(+/-3,787)","15,714","(+/-2,641)","25,857","(+/-4,846)","12,614","(+/-2,370)"
People,"Residence 1 Year Ago",Abroad,"3,212","(+/-1,121)","4,132","(+/-1,444)","2,370",(+/-945),"1,278",(+/-711),"2,735","(+/-1,060)","1,252",(+/-498),"1,702",(+/-833),"1,366",(+/-824)
Workers,"Employment Status","Population 16 years and over","603,903","(+/-7,639)","627,322","(+/-8,595)","634,882","(+/-7,600)","622,076","(+/-5,435)","619,636","(+/-4,955)","614,187","(+/-4,144)","629,106","(+/-2,887)","623,680","(+/-4,948)"
Workers,"Employment Status","In labor force","398,399","(+/-7,407)","407,850","(+/-9,035)","401,191","(+/-7,698)","383,415","(+/-7,087)","409,156","(+/-6,484)","379,770","(+/-5,898)","385,585","(+/-6,114)","360,763","(+/-6,730)"
Workers,"Employment Status","Civilian labor force","397,095","(+/-7,396)","407,616","(+/-9,010)","400,289","(+/-7,730)","367,189","(+/-7,003)","408,134","(+/-6,469)","377,830","(+/-5,904)","384,643","(+/-6,109)","360,478","(+/-6,732)"
Workers,"Employment Status",Employed,"375,956","(+/-7,462)","396,186","(+/-9,162)","386,654","(+/-7,659)","352,610","(+/-6,922)","393,661","(+/-6,844)","365,466","(+/-6,119)","371,105","(+/-6,511)","346,229","(+/-7,104)"
Workers,"Employment Status",Unemployed,"21,139","(+/-2,742)","11,430","(+/-1,881)","13,635","(+/-2,635)","14,579","(+/-2,398)","14,473","(+/-2,189)","12,364","(+/-1,968)","13,538","(+/-2,076)","14,249","(+/-2,162)"
Workers,"Employment Status","Armed Forces","1,304",(+/-888),234,(+/-175),902,(+/-533),"16,226","(+/-1,866)","1,022",(+/-688),"1,940",(+/-833),942,(+/-439),285,(+/-286)
Workers,"Employment Status","Not in labor force","205,504","(+/-6,728)","219,472","(+/-5,674)","233,691","(+/-6,162)","238,661","(+/-6,080)","210,480","(+/-6,948)","234,417","(+/-4,981)","243,521","(+/-6,339)","262,917","(+/-5,583)"
Workers,"Employment Status","Civilian labor force","397,095","(+/-7,396)","407,616","(+/-9,010)","400,289","(+/-7,730)","367,189","(+/-7,003)","408,134","(+/-6,469)","377,830","(+/-5,904)","384,643","(+/-6,109)","360,478","(+/-6,732)"
Workers,"Employment Status","Unemployment Rate",5.3,(+/-0.7),2.8,(+/-0.5),3.4,(+/-0.6),4.0,(+/-0.6),3.5,(+/-0.5),3.3,(+/-0.5),3.5,(+/-0.5),4.0,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","368,695","(+/-7,073)","391,392","(+/-9,042)","383,704","(+/-7,530)","359,446","(+/-7,226)","385,790","(+/-6,740)","361,790","(+/-6,372)","364,615","(+/-6,590)","339,909","(+/-7,112)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","251,388","(+/-7,569)","290,682","(+/-7,878)","296,091","(+/-7,518)","273,354","(+/-6,122)","276,690","(+/-8,642)","285,744","(+/-6,984)","281,421","(+/-6,511)","273,830","(+/-6,946)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","22,355","(+/-3,318)","22,135","(+/-3,000)","30,423","(+/-3,332)","33,826","(+/-3,170)","27,315","(+/-3,734)","29,157","(+/-2,682)","36,716","(+/-4,279)","32,460","(+/-2,858)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","13,893","(+/-2,915)","1,025",(+/-769),"1,318",(+/-847),"1,282",(+/-588),"4,498","(+/-1,317)",442,(+/-250),"1,293",(+/-675),405,(+/-346)
Workers,"Commuting to Work",Walked,"9,243","(+/-1,695)","3,986","(+/-1,112)","4,628","(+/-1,430)","10,567","(+/-1,758)","3,975","(+/-1,086)","5,799","(+/-1,285)","5,079","(+/-1,115)","5,102","(+/-1,152)"
Workers,"Commuting to Work","Other means","7,774","(+/-2,114)","3,059","(+/-1,048)","4,412","(+/-1,164)","5,401","(+/-1,239)","5,366","(+/-1,457)","3,955","(+/-1,319)","4,266","(+/-1,223)","3,578","(+/-1,025)"
Workers,"Commuting to Work","Worked from home","64,042","(+/-4,677)","70,505","(+/-3,615)","46,832","(+/-3,366)","35,016","(+/-2,705)","67,946","(+/-4,982)","36,693","(+/-3,017)","35,840","(+/-3,741)","24,534","(+/-2,380)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.9,(+/-0.6),24.5,(+/-0.7),25.3,(+/-0.6),23.8,(+/-0.7),22.5,(+/-0.6),23.4,(+/-0.6),22.5,(+/-0.6),24.8,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","375,956","(+/-7,462)","396,186","(+/-9,162)","386,654","(+/-7,659)","352,610","(+/-6,922)","393,661","(+/-6,844)","365,466","(+/-6,119)","371,105","(+/-6,511)","346,229","(+/-7,104)"
Workers,Occupation,"Management, business, science, and arts occupations","169,569","(+/-6,854)","206,196","(+/-6,920)","165,306","(+/-5,793)","125,212","(+/-4,735)","166,372","(+/-6,415)","129,914","(+/-4,159)","132,530","(+/-5,908)","115,555","(+/-5,117)"
Workers,Occupation,"Service occupations","70,484","(+/-5,266)","47,958","(+/-3,810)","54,481","(+/-3,667)","57,508","(+/-4,264)","65,176","(+/-5,030)","52,669","(+/-4,072)","59,871","(+/-4,147)","61,459","(+/-3,598)"
Workers,Occupation,"Sales and office occupations","71,805","(+/-5,419)","80,103","(+/-4,874)","80,865","(+/-4,502)","69,067","(+/-4,186)","76,574","(+/-4,862)","77,500","(+/-3,987)","81,652","(+/-4,348)","69,277","(+/-3,663)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","17,965","(+/-2,829)","25,397","(+/-2,165)","37,244","(+/-3,132)","41,388","(+/-2,640)","28,350","(+/-2,771)","37,720","(+/-2,792)","34,125","(+/-2,796)","40,037","(+/-3,153)"
Workers,Occupation,"Production, transportation, and material moving occupations","46,133","(+/-4,207)","36,532","(+/-2,830)","48,758","(+/-3,139)","59,435","(+/-4,112)","57,189","(+/-4,485)","67,663","(+/-4,261)","62,927","(+/-4,280)","59,901","(+/-4,219)"
Workers,Industry,"Civilian employed population 16 years and over","375,956","(+/-7,462)","396,186","(+/-9,162)","386,654","(+/-7,659)","352,610","(+/-6,922)","393,661","(+/-6,844)","365,466","(+/-6,119)","371,105","(+/-6,511)","346,229","(+/-7,104)"
