Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,Ancestry,"Subsaharan African",300,(+/-296),"1,116",(+/-743)
People,Ancestry,Swedish,"16,174","(+/-2,776)","12,217","(+/-2,111)"
People,Ancestry,Swiss,"2,921",(+/-915),"2,670",(+/-976)
People,Ancestry,Ukrainian,"2,766","(+/-1,396)","1,339",(+/-843)
People,Ancestry,Welsh,"4,561","(+/-1,386)","3,730","(+/-1,131)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",102,(+/-138),155,(+/-214)
People,"Veteran Status","Civilian population 18 years and over","458,975","(+/-1,439)","424,856","(+/-1,923)"
People,"Veteran Status","Civilian veterans","39,401","(+/-2,815)","39,293","(+/-3,088)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","562,944","(+/-1,844)","542,053","(+/-1,993)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","79,566","(+/-4,044)","79,978","(+/-4,822)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","109,429","(+/-1,120)","123,956","(+/-1,486)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,730","(+/-1,174)","5,589","(+/-1,125)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","342,120","(+/-1,403)","308,778","(+/-1,884)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","40,377","(+/-3,322)","38,199","(+/-3,808)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","111,395",(+/-837),"109,319","(+/-1,254)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","33,459","(+/-2,109)","36,190","(+/-2,547)"
People,"Residence 1 Year Ago","Population 1 year and over","564,829","(+/-1,879)","546,812","(+/-1,975)"
People,"Residence 1 Year Ago","Same house","489,457","(+/-6,100)","474,698","(+/-6,410)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","75,372","(+/-5,973)","72,114","(+/-6,519)"
People,"Residence 1 Year Ago","Different house in the U.S.","74,283","(+/-5,925)","70,318","(+/-6,484)"
People,"Residence 1 Year Ago","Same county","34,103","(+/-3,807)","30,801","(+/-4,545)"
People,"Residence 1 Year Ago","Different county","40,180","(+/-4,058)","39,517","(+/-4,194)"
People,"Residence 1 Year Ago","Same state","14,389","(+/-2,252)","17,143","(+/-2,766)"
People,"Residence 1 Year Ago","Different state","25,791","(+/-3,298)","22,374","(+/-3,430)"
People,"Residence 1 Year Ago",Abroad,"1,089",(+/-662),"1,796",(+/-826)
Workers,"Employment Status","Population 16 years and over","472,277","(+/-1,772)","444,012","(+/-1,942)"
Workers,"Employment Status","In labor force","298,239","(+/-5,228)","283,652","(+/-4,293)"
Workers,"Employment Status","Civilian labor force","297,755","(+/-5,298)","279,282","(+/-4,265)"
Workers,"Employment Status",Employed,"288,009","(+/-5,216)","271,595","(+/-4,302)"
Workers,"Employment Status",Unemployed,"9,746","(+/-1,617)","7,687","(+/-1,351)"
Workers,"Employment Status","Armed Forces",484,(+/-435),"4,370",(+/-911)
Workers,"Employment Status","Not in labor force","174,038","(+/-5,353)","160,360","(+/-4,328)"
Workers,"Employment Status","Civilian labor force","297,755","(+/-5,298)","279,282","(+/-4,265)"
Workers,"Employment Status","Unemployment Rate",3.3,(+/-0.5),2.8,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","281,073","(+/-5,326)","270,690","(+/-4,426)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","190,767","(+/-5,577)","192,037","(+/-5,339)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","26,192","(+/-2,984)","33,954","(+/-3,701)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,065",(+/-536),"1,661",(+/-771)
Workers,"Commuting to Work",Walked,"12,600","(+/-1,738)","11,435","(+/-1,629)"
Workers,"Commuting to Work","Other means","6,878","(+/-1,224)","5,681","(+/-1,883)"
Workers,"Commuting to Work","Worked from home","43,571","(+/-3,689)","25,922","(+/-2,868)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.5,(+/-0.8),18.6,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","288,009","(+/-5,216)","271,595","(+/-4,302)"
Workers,Occupation,"Management, business, science, and arts occupations","119,469","(+/-5,338)","111,668","(+/-4,027)"
Workers,Occupation,"Service occupations","50,227","(+/-3,414)","43,972","(+/-3,791)"
Workers,Occupation,"Sales and office occupations","53,374","(+/-3,364)","51,242","(+/-3,586)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","34,138","(+/-2,769)","33,631","(+/-2,108)"
Workers,Occupation,"Production, transportation, and material moving occupations","30,801","(+/-2,542)","31,082","(+/-3,516)"
Workers,Industry,"Civilian employed population 16 years and over","288,009","(+/-5,216)","271,595","(+/-4,302)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","15,844","(+/-2,439)","22,070","(+/-1,845)"
Workers,Industry,Construction,"27,085","(+/-3,178)","23,264","(+/-2,640)"
Workers,Industry,Manufacturing,"16,409","(+/-2,654)","9,419","(+/-1,594)"
Workers,Industry,"Wholesale trade","7,785","(+/-2,202)","7,473","(+/-1,712)"
Workers,Industry,"Retail trade","33,353","(+/-3,371)","32,478","(+/-3,193)"
Workers,Industry,"Transportation and warehousing, and utilities","12,242","(+/-1,640)","17,143","(+/-2,608)"
Workers,Industry,Information,"4,925","(+/-1,458)","4,085","(+/-1,022)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","18,129","(+/-2,272)","15,311","(+/-2,026)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","30,076","(+/-2,994)","23,167","(+/-2,349)"
Workers,Industry,"Educational services, and health care and social assistance","62,636","(+/-3,556)","61,651","(+/-3,840)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","33,185","(+/-3,634)","23,775","(+/-2,776)"
Workers,Industry,"Other services, except public administration","15,022","(+/-2,221)","13,032","(+/-2,012)"
Workers,Industry,"Public administration","11,318","(+/-1,500)","18,727","(+/-2,696)"
Workers,"Class of Worker","Civilian employed population 16 years and over","288,009","(+/-5,216)","271,595","(+/-4,302)"
Workers,"Class of Worker","Private wage and salary workers","217,866","(+/-5,201)","202,411","(+/-4,736)"
Workers,"Class of Worker","Government workers","40,800","(+/-3,244)","46,499","(+/-3,262)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","27,907","(+/-3,226)","21,850","(+/-2,207)"
Workers,"Class of Worker","Unpaid family workers","1,436",(+/-694),835,(+/-481)
Housing,"Housing Occupancy","Total housing units","271,296",(+/-488),"257,871",(+/-471)
Housing,"Housing Occupancy","Occupied housing units","238,281","(+/-3,218)","225,791","(+/-2,949)"
Housing,"Housing Occupancy","Vacant housing units","33,015","(+/-3,258)","32,080","(+/-2,849)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.2),1.0,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",4.1,(+/-1.4),5.5,(+/-2.0)
Housing,"Housing Tenure","Occupied housing units","238,281","(+/-3,218)","225,791","(+/-2,949)"
Housing,"Housing Tenure",Owner-occupied,"159,210","(+/-3,560)","160,211","(+/-3,843)"
Housing,"Housing Tenure",Renter-occupied,"79,071","(+/-3,924)","65,580","(+/-3,943)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.46,(+/-0.04),2.51,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.06,(+/-0.07),2.09,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","238,281","(+/-3,218)","225,791","(+/-2,949)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","42,500","(+/-3,440)","41,184","(+/-3,491)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","61,444","(+/-4,236)","52,782","(+/-3,603)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","59,927","(+/-3,829)","52,399","(+/-3,206)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","34,333","(+/-2,879)","32,833","(+/-2,456)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","21,379","(+/-2,184)","22,744","(+/-2,419)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","18,698","(+/-1,813)","23,849","(+/-1,805)"
Housing,Value,"Owner-occupied units","159,210","(+/-3,560)","160,211","(+/-3,843)"
Housing,Value,"Less than $50,000","7,128","(+/-1,247)","11,003","(+/-1,706)"
Housing,Value,"$50,000 to $99,999","7,292","(+/-1,088)","8,503","(+/-1,064)"
Housing,Value,"$100,000 to $149,999","6,457","(+/-1,285)","9,610","(+/-1,257)"
Housing,Value,"$150,000 to $199,999","5,646","(+/-1,078)","14,954","(+/-1,474)"
Housing,Value,"$200,000 to $299,999","17,739","(+/-1,881)","35,272","(+/-2,927)"
Housing,Value,"$300,000 to $499,999","43,825","(+/-3,102)","51,185","(+/-3,241)"
Housing,Value,"$500,000 to $999,999","54,071","(+/-3,067)","23,977","(+/-2,005)"
Housing,Value,"$1,000,000 or more","17,052","(+/-1,725)","5,707","(+/-1,262)"
Housing,Value,"Median (dollars)","461,100","(+/-12,087)","302,400","(+/-7,751)"
Housing,"Mortgage Status","Owner-occupied units","159,210","(+/-3,560)","160,211","(+/-3,843)"
Housing,"Mortgage Status","Housing units with a mortgage","90,452","(+/-3,499)","82,766","(+/-3,770)"
Housing,"Mortgage Status","Housing units without a mortgage","68,758","(+/-3,208)","77,445","(+/-3,626)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","90,452","(+/-3,499)","82,766","(+/-3,770)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",931,(+/-470),524,(+/-274)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","10,746","(+/-1,620)","12,516","(+/-1,544)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","24,032","(+/-2,083)","24,742","(+/-2,250)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","24,939","(+/-2,304)","23,619","(+/-2,241)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","14,664","(+/-1,785)","11,357","(+/-1,619)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","6,910","(+/-1,490)","4,836",(+/-788)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","8,230","(+/-1,475)","5,172","(+/-1,208)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,651",(+/-32),"1,565",(+/-31)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","68,758","(+/-3,208)","77,445","(+/-3,626)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","6,438","(+/-1,223)","7,315","(+/-1,636)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","13,744","(+/-1,532)","13,505","(+/-1,795)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","21,425","(+/-2,120)","28,259","(+/-2,589)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","13,280","(+/-1,676)","16,415","(+/-1,767)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","7,468","(+/-1,513)","5,609","(+/-1,095)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","6,403","(+/-1,078)","6,342","(+/-1,461)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",532,(+/-17),530,(+/-12)
Housing,"Gross Rent","Occupied units paying rent","73,548","(+/-3,695)","59,093","(+/-3,837)"
Housing,"Gross Rent","Less than $500","7,800","(+/-1,224)","8,016","(+/-1,119)"
Housing,"Gross Rent","$500 to $999","23,589","(+/-2,576)","26,449","(+/-2,608)"
Housing,"Gross Rent","$1,000 to $1,499","22,627","(+/-2,552)","17,352","(+/-2,460)"
Housing,"Gross Rent","$1,500 to $1,999","10,904","(+/-1,637)","4,822","(+/-1,365)"
Housing,"Gross Rent","$2,000 to $2,499","4,804","(+/-1,225)","1,303",(+/-639)
Housing,"Gross Rent","$2,500 to $2,999","2,071","(+/-1,003)",216,(+/-205)
Housing,"Gross Rent","$3,000 or more","1,753",(+/-669),935,(+/-547)
Housing,"Gross Rent","Median (dollars)","1,093",(+/-35),905,(+/-33)
Housing,"Gross Rent","No rent paid","5,523","(+/-1,017)","6,487","(+/-1,068)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","238,281","(+/-3,218)","225,791","(+/-2,949)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","12,970","(+/-1,933)","10,261","(+/-1,392)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","12,260","(+/-1,799)","7,931","(+/-1,339)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","18,310","(+/-1,998)","15,830","(+/-1,839)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","18,334","(+/-2,136)","17,910","(+/-2,136)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","29,889","(+/-2,545)","28,247","(+/-2,372)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","41,649","(+/-3,174)","41,306","(+/-3,024)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","34,772","(+/-2,966)","34,799","(+/-2,866)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","37,569","(+/-3,002)","36,858","(+/-2,883)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","14,930","(+/-1,997)","15,622","(+/-2,110)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","17,598","(+/-1,820)","17,027","(+/-1,848)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","65,994","(+/-1,763)","69,884","(+/-2,319)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","91,344","(+/-3,867)","90,379","(+/-2,914)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","562,944","(+/-1,844)","542,053","(+/-1,993)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","517,240","(+/-4,265)","496,485","(+/-4,624)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","361,830","(+/-8,753)","358,980","(+/-7,484)"
Socioeconomic,"Health Insurance Coverage","With public coverage","229,855","(+/-7,669)","218,645","(+/-6,921)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","45,704","(+/-4,127)","45,568","(+/-4,447)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","119,303","(+/-1,803)","129,827","(+/-1,943)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","7,151","(+/-1,718)","9,960","(+/-2,516)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.3,(+/-1.0),7.3,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.9,(+/-2.1),10.6,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.9,(+/-4.1),7.3,(+/-2.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.1,(+/-0.9),4.0,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.5,(+/-1.6),3.6,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.2,(+/-3.2),2.7,(+/-2.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",21.4,(+/-5.2),24.1,(+/-5.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",25.5,(+/-7.2),30.0,(+/-6.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",32.2,(+/-18.2),16.9,(+/-12.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",12.7,(+/-1.0),11.6,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",13.1,(+/-2.4),13.7,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.2,(+/-2.4),13.2,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",11.1,(+/-3.3),14.7,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",12.6,(+/-2.8),12.8,(+/-2.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",12.6,(+/-0.9),10.9,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",12.4,(+/-2.0),12.6,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.9,(+/-1.2),8.2,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",26.1,(+/-2.0),23.5,(+/-2.2)
Education,"School Enrollment","Population 3 years and over enrolled in school","121,077","(+/-3,787)","118,857","(+/-3,346)"
Education,"School Enrollment","Nursery school, preschool","6,175","(+/-1,121)","6,124","(+/-1,056)"
Education,"School Enrollment",Kindergarten,"5,291","(+/-1,215)","7,025","(+/-1,270)"
Education,"School Enrollment","Elementary school (grades 1-8)","50,105","(+/-2,196)","55,993","(+/-2,352)"
Education,"School Enrollment","High school (grades 9-12)","24,801","(+/-1,784)","28,196","(+/-1,570)"
Education,"School Enrollment","College or graduate school","34,705","(+/-3,203)","21,519","(+/-2,401)"
Education,"Educational Attainment","Population 25 years and over","398,448","(+/-2,510)","386,990","(+/-2,309)"
Education,"Educational Attainment","Less than 9th grade","7,075","(+/-1,579)","10,054","(+/-1,246)"
Education,"Educational Attainment","9th to 12th grade, no diploma","14,775","(+/-1,851)","14,847","(+/-1,925)"
Education,"Educational Attainment","High school graduate (includes equivalency)","101,171","(+/-4,264)","116,421","(+/-4,516)"
Education,"Educational Attainment","Some college, no degree","88,523","(+/-4,692)","86,503","(+/-4,718)"
Education,"Educational Attainment","Associate's degree","36,092","(+/-2,934)","38,235","(+/-3,078)"
Education,"Educational Attainment","Bachelor's degree","96,200","(+/-4,799)","83,508","(+/-4,544)"
Education,"Educational Attainment","Graduate or professional degree","54,612","(+/-3,607)","37,422","(+/-3,427)"
Education,"Educational Attainment","Percent high school graduate or higher",94.5,(+/-0.6),93.6,(+/-0.6)
Education,"Educational Attainment","Percent bachelor's degree or higher",37.8,(+/-1.3),31.2,(+/-1.1)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","193,911",G,"178,415",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",823,G,601,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",807,J,"3,997",H
Business,"Paid employees for pay period including March 12",Utilities,"1,374",J,"1,567",G
Business,"Paid employees for pay period including March 12",Construction,"17,853",G,"12,392",G
Business,"Paid employees for pay period including March 12",Manufacturing,"12,252",G,"8,383",G
Business,"Paid employees for pay period including March 12","Wholesale trade","5,841",G,"8,811",G
Business,"Paid employees for pay period including March 12","Retail trade","31,666",G,"27,350",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","5,453",G,"6,823",G
Business,"Paid employees for pay period including March 12",Information,"4,235",G,"3,166",G
Business,"Paid employees for pay period including March 12","Finance and insurance","7,332",G,"9,024",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","3,774",G,"2,489",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","11,855",G,"8,252",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","1,526",G,"1,565",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","9,621",G,"6,609",G
Business,"Paid employees for pay period including March 12","Educational services","3,055",G,"3,038",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","35,065",G,"37,689",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","5,105",G,"4,655",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","28,309",G,"23,431",G
