Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","45 to 54 years","102,532","(+/-1,498)","97,070","(+/-2,161)","100,343","(+/-2,008)","99,512","(+/-2,583)","100,836","(+/-4,782)","94,617","(+/-3,665)","95,291","(+/-3,918)","92,282","(+/-3,118)","85,246","(+/-2,519)"
People,"Sex and Age","55 to 59 years","54,026","(+/-3,323)","50,837","(+/-2,914)","52,370","(+/-3,221)","49,216","(+/-3,453)","50,613","(+/-3,737)","51,512","(+/-3,307)","45,727","(+/-3,584)","50,594","(+/-3,036)","44,670","(+/-3,152)"
People,"Sex and Age","60 to 64 years","58,760","(+/-3,121)","54,439","(+/-2,865)","54,353","(+/-3,582)","50,490","(+/-3,255)","46,798","(+/-3,307)","51,318","(+/-3,413)","47,620","(+/-3,315)","51,016","(+/-2,685)","44,855","(+/-3,381)"
People,"Sex and Age","65 to 74 years","95,368","(+/-1,036)","88,048","(+/-1,367)","86,328","(+/-1,224)","77,239","(+/-1,911)","74,358","(+/-2,766)","83,605","(+/-2,311)","68,462","(+/-2,483)","88,569","(+/-2,655)","67,566","(+/-2,060)"
People,"Sex and Age","75 to 84 years","54,415","(+/-1,749)","47,603","(+/-1,641)","46,960","(+/-2,246)","36,639","(+/-2,050)","35,935","(+/-2,314)","42,533","(+/-2,093)","31,711","(+/-2,231)","46,917","(+/-2,370)","29,226","(+/-2,258)"
People,"Sex and Age","85 years and over","14,605","(+/-1,458)","13,195","(+/-1,567)","16,536","(+/-1,998)","11,195","(+/-1,797)","12,183","(+/-1,700)","12,598","(+/-1,486)","10,813","(+/-1,701)","14,584","(+/-1,780)","10,773","(+/-1,571)"
People,"Sex and Age","Median age (years)",43.9,(+/-0.3),40.3,(+/-0.4),40.8,(+/-0.4),37.9,(+/-0.5),39.0,(+/-0.6),39.6,(+/-0.6),35.5,(+/-0.4),41.3,(+/-0.5),34.8,(+/-0.3)
People,"Sex and Age","18 years and over","631,157","(+/-1,852)","633,096","(+/-2,718)","624,494","(+/-3,299)","614,664","(+/-2,918)","603,891","(+/-10,524)","617,771","(+/-8,680)","626,017","(+/-8,130)","594,528","(+/-6,028)","570,588","(+/-6,240)"
People,"Sex and Age","65 years and over","164,388","(+/-1,303)","148,846","(+/-1,597)","149,824","(+/-1,942)","125,073","(+/-2,108)","122,476","(+/-3,472)","138,736","(+/-3,020)","110,986","(+/-2,929)","150,070","(+/-3,592)","107,565","(+/-2,898)"
People,Race,"Total population","781,128","(+/-2,487)","790,362","(+/-3,427)","788,228","(+/-4,210)","796,991","(+/-3,643)","784,695","(+/-13,619)","783,125","(+/-12,583)","801,730","(+/-11,388)","768,105","(+/-9,119)","756,975","(+/-9,099)"
People,Race,"One race","736,589","(+/-4,859)","741,517","(+/-5,621)","729,471","(+/-6,253)","727,763","(+/-8,082)","712,751","(+/-13,843)","728,106","(+/-12,994)","738,062","(+/-11,230)","727,141","(+/-10,605)","724,889","(+/-9,865)"
People,Race,White,"700,351","(+/-3,733)","668,835","(+/-4,322)","628,848","(+/-5,101)","619,725","(+/-6,319)","574,554","(+/-10,210)","624,798","(+/-8,563)","568,525","(+/-8,125)","565,950","(+/-7,903)","198,720","(+/-8,361)"
People,Race,"Black or African American","9,944","(+/-1,500)","46,409","(+/-2,225)","71,209","(+/-3,561)","69,315","(+/-3,179)","86,631","(+/-8,626)","71,442","(+/-8,210)","135,773","(+/-9,017)","131,256","(+/-7,138)","476,381","(+/-6,778)"
People,Race,"American Indian and Alaska Native","2,753","(+/-1,117)",920,(+/-375),"1,053",(+/-678),"1,580",(+/-836),"1,918","(+/-1,350)","1,912","(+/-1,024)",904,(+/-497),"1,937",(+/-864),"1,879","(+/-1,568)"
People,Race,Asian,"6,448","(+/-1,106)","13,494","(+/-1,010)","9,710","(+/-1,016)","17,052","(+/-2,145)","31,705","(+/-2,844)","10,293","(+/-2,654)","14,708","(+/-2,610)","16,389","(+/-2,684)","13,930","(+/-2,258)"
People,Race,"Native Hawaiian and Other Pacific Islander",962,"(+/-1,061)",93,(+/-160),220,(+/-220),595,(+/-497),245,(+/-266),"1,269","(+/-1,047)","1,544",(+/-523),109,(+/-178),845,(+/-902)
People,Race,"Some other race","16,131","(+/-3,460)","11,766","(+/-2,885)","18,431","(+/-3,125)","19,496","(+/-3,969)","17,698","(+/-3,759)","18,392","(+/-4,330)","16,608","(+/-3,607)","11,500","(+/-2,430)","33,134","(+/-5,615)"
People,Race,"Two or more races","44,539","(+/-3,971)","48,845","(+/-4,432)","58,757","(+/-6,368)","69,228","(+/-6,600)","71,944","(+/-6,803)","55,019","(+/-6,037)","63,668","(+/-7,508)","40,964","(+/-4,853)","32,086","(+/-5,479)"
People,"Hispanic or Latino and Race","Total population","781,128","(+/-2,487)","790,362","(+/-3,427)","788,228","(+/-4,210)","796,991","(+/-3,643)","784,695","(+/-13,619)","783,125","(+/-12,583)","801,730","(+/-11,388)","768,105","(+/-9,119)","756,975","(+/-9,099)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","35,627",(+/-435),"38,535",(+/-897),"44,555",(+/-976),"59,654",(+/-942),"70,599","(+/-5,165)","54,025","(+/-4,363)","53,588","(+/-3,860)","24,843","(+/-2,557)","61,203","(+/-1,919)"
People,"Hispanic or Latino and Race",Mexican,"18,624","(+/-2,568)","19,602","(+/-3,070)","20,013","(+/-3,410)","33,562","(+/-4,193)","36,729","(+/-5,510)","22,407","(+/-4,267)","26,904","(+/-3,659)","17,852","(+/-2,191)","33,852","(+/-5,365)"
People,"Hispanic or Latino and Race","Puerto Rican","2,784",(+/-974),"3,782","(+/-1,388)","3,631","(+/-1,283)","5,289","(+/-2,240)","4,152","(+/-1,435)","5,175","(+/-1,571)","9,685","(+/-2,279)","1,396",(+/-597),"2,769","(+/-1,847)"
People,"Hispanic or Latino and Race",Cuban,"1,077",(+/-529),978,(+/-615),"1,840",(+/-899),"1,881","(+/-1,138)","3,585","(+/-2,100)","1,607",(+/-810),"1,346",(+/-867),969,(+/-734),"2,009","(+/-1,273)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,142","(+/-2,497)","14,173","(+/-2,974)","19,071","(+/-2,860)","18,922","(+/-4,335)","26,133","(+/-5,059)","24,836","(+/-4,650)","15,653","(+/-4,063)","4,626","(+/-1,421)","22,573","(+/-4,812)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","745,501","(+/-2,471)","751,827","(+/-3,517)","743,673","(+/-4,353)","737,337","(+/-3,620)","714,096","(+/-13,087)","729,100","(+/-11,710)","748,142","(+/-10,870)","743,262","(+/-9,162)","695,772","(+/-9,068)"
People,"Place of Birth","Total population","781,128","(+/-2,487)","790,362","(+/-3,427)","788,228","(+/-4,210)","796,991","(+/-3,643)","784,695","(+/-13,619)","783,125","(+/-12,583)","801,730","(+/-11,388)","768,105","(+/-9,119)","756,975","(+/-9,099)"
People,"Place of Birth",Native,"756,328","(+/-3,905)","751,445","(+/-5,173)","756,248","(+/-5,446)","742,580","(+/-7,003)","699,864","(+/-13,370)","740,444","(+/-12,990)","765,195","(+/-12,107)","742,000","(+/-9,801)","704,782","(+/-10,649)"
People,"Place of Birth","Born in United States","749,967","(+/-4,194)","743,858","(+/-5,396)","748,063","(+/-5,885)","735,559","(+/-6,854)","689,720","(+/-12,831)","733,691","(+/-12,973)","749,354","(+/-12,742)","735,525","(+/-9,912)","698,785","(+/-10,610)"
People,"Place of Birth","State of residence","455,572","(+/-10,108)","469,383","(+/-9,413)","460,044","(+/-9,376)","469,410","(+/-11,533)","357,700","(+/-11,944)","427,122","(+/-13,278)","407,351","(+/-13,016)","504,969","(+/-10,832)","487,156","(+/-11,469)"
People,"Place of Birth","Different state","294,395","(+/-9,641)","274,475","(+/-9,647)","288,019","(+/-8,546)","266,149","(+/-9,600)","332,020","(+/-10,762)","306,569","(+/-12,946)","342,003","(+/-13,313)","230,556","(+/-8,231)","211,629","(+/-10,656)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,361","(+/-1,607)","7,587","(+/-1,975)","8,185","(+/-1,961)","7,021","(+/-1,806)","10,144","(+/-2,117)","6,753","(+/-1,716)","15,841","(+/-2,811)","6,475","(+/-1,473)","5,997","(+/-2,077)"
People,"Place of Birth","Foreign born","24,800","(+/-2,714)","38,917","(+/-4,341)","31,980","(+/-2,917)","54,411","(+/-5,893)","84,831","(+/-8,948)","42,681","(+/-5,455)","36,535","(+/-4,947)","26,105","(+/-3,628)","52,193","(+/-5,634)"
People,Ancestry,"Total population","781,128","(+/-2,487)","790,362","(+/-3,427)","788,228","(+/-4,210)","796,991","(+/-3,643)","784,695","(+/-13,619)","783,125","(+/-12,583)","801,730","(+/-11,388)","768,105","(+/-9,119)","756,975","(+/-9,099)"
People,Ancestry,American,"105,514","(+/-7,455)","85,963","(+/-7,237)","67,809","(+/-6,360)","122,610","(+/-9,219)","80,439","(+/-9,596)","143,583","(+/-10,657)","79,498","(+/-7,190)","116,994","(+/-8,459)","26,313","(+/-3,832)"
People,Ancestry,Arab,941,(+/-761),"4,888","(+/-2,688)","1,814",(+/-975),"6,602","(+/-2,976)","16,071","(+/-6,919)","2,978","(+/-1,658)","1,620",(+/-726),"3,485","(+/-1,739)","5,378","(+/-4,699)"
People,Ancestry,Czech,830,(+/-555),"1,331",(+/-740),942,(+/-507),989,(+/-681),"1,187",(+/-939),656,(+/-602),475,(+/-342),879,(+/-460),574,(+/-362)
People,Ancestry,Danish,637,(+/-395),"1,589",(+/-661),"1,085",(+/-596),"1,011","(+/-1,240)","2,133","(+/-1,480)","1,466",(+/-777),936,(+/-534),463,(+/-314),510,(+/-391)
People,Ancestry,Dutch,"6,359","(+/-2,093)","6,191","(+/-1,504)","8,856","(+/-2,092)","5,187","(+/-2,259)","6,752","(+/-1,752)","6,367","(+/-1,541)","6,340","(+/-2,445)","5,552","(+/-1,700)","1,781",(+/-996)
People,Ancestry,English,"138,003","(+/-7,766)","109,986","(+/-7,322)","114,013","(+/-8,102)","101,529","(+/-8,404)","125,649","(+/-8,622)","104,689","(+/-8,088)","103,532","(+/-6,586)","98,618","(+/-6,106)","34,136","(+/-4,216)"
People,Ancestry,"French (except Basque)","8,958","(+/-1,819)","10,619","(+/-2,616)","12,386","(+/-2,751)","13,260","(+/-3,125)","14,054","(+/-3,147)","12,411","(+/-2,339)","12,806","(+/-3,149)","10,297","(+/-2,427)","5,315","(+/-1,514)"
People,Ancestry,"French Canadian","2,073",(+/-954),"1,909",(+/-763),"1,577",(+/-785),"1,357",(+/-869),"1,986",(+/-970),"2,164",(+/-751),"1,570",(+/-724),"1,146",(+/-615),315,(+/-246)
People,Ancestry,German,"85,055","(+/-6,860)","86,283","(+/-6,680)","85,367","(+/-6,255)","66,959","(+/-6,991)","79,376","(+/-6,784)","70,082","(+/-5,365)","82,257","(+/-6,426)","58,304","(+/-4,913)","26,632","(+/-3,537)"
People,Ancestry,Greek,395,(+/-298),"1,720","(+/-1,219)","1,544",(+/-811),"1,667","(+/-1,048)","1,848",(+/-828),"3,214","(+/-1,476)","2,195","(+/-1,091)","1,672","(+/-1,114)","1,238","(+/-1,076)"
People,Ancestry,Hungarian,"1,555",(+/-847),"1,993",(+/-830),"1,280",(+/-573),854,(+/-495),"2,205",(+/-985),"1,827","(+/-1,130)","1,908","(+/-1,212)","1,637",(+/-816),234,(+/-178)
People,Ancestry,Irish,"89,066","(+/-6,952)","77,030","(+/-5,242)","84,377","(+/-7,834)","70,553","(+/-6,618)","69,388","(+/-6,237)","66,497","(+/-5,346)","81,091","(+/-6,238)","73,705","(+/-6,273)","26,061","(+/-3,219)"
People,Ancestry,Italian,"15,505","(+/-2,822)","18,468","(+/-2,510)","17,333","(+/-3,027)","13,717","(+/-3,006)","19,847","(+/-2,818)","19,255","(+/-3,134)","21,963","(+/-3,480)","18,808","(+/-4,345)","8,900","(+/-2,279)"
People,Ancestry,Lithuanian,478,(+/-498),589,(+/-334),333,(+/-292),286,(+/-242),594,(+/-434),283,(+/-221),"1,371",(+/-937),474,(+/-468),466,(+/-389)
People,Ancestry,Norwegian,"3,527","(+/-1,300)","4,850","(+/-1,729)","3,789","(+/-1,505)","3,996","(+/-1,516)","6,687","(+/-1,786)","3,795","(+/-1,033)","5,233","(+/-1,438)","2,477",(+/-910),"1,028",(+/-809)
People,Ancestry,Polish,"7,623","(+/-1,755)","9,745","(+/-2,177)","10,450","(+/-1,950)","7,709","(+/-2,794)","8,159","(+/-1,508)","6,564","(+/-1,584)","10,384","(+/-2,191)","4,693","(+/-1,257)","3,175","(+/-1,009)"
People,Ancestry,Portuguese,665,(+/-464),895,(+/-601),"1,100",(+/-697),508,(+/-379),795,(+/-500),"1,028",(+/-648),"1,633",(+/-906),505,(+/-448),307,(+/-264)
People,Ancestry,Russian,"1,381",(+/-792),"2,520","(+/-1,310)","1,655",(+/-773),"1,357",(+/-868),"2,329",(+/-928),"1,765",(+/-844),"1,536",(+/-676),"1,088",(+/-580),636,(+/-587)
People,Ancestry,Scotch-Irish,"19,852","(+/-3,041)","19,524","(+/-3,083)","17,112","(+/-3,096)","12,057","(+/-2,933)","15,333","(+/-2,710)","12,516","(+/-2,404)","10,199","(+/-2,207)","8,440","(+/-1,659)","4,340","(+/-1,328)"
People,Ancestry,Scottish,"20,930","(+/-3,104)","18,219","(+/-2,844)","20,904","(+/-2,965)","13,988","(+/-2,762)","17,914","(+/-2,966)","15,665","(+/-2,394)","19,384","(+/-3,543)","14,857","(+/-2,936)","5,946","(+/-1,371)"
People,Ancestry,Slovak,272,(+/-249),768,(+/-463),799,(+/-501),455,(+/-420),246,(+/-250),186,(+/-192),260,(+/-281),68,(+/-114),50,(+/-86)
People,Ancestry,"Subsaharan African","1,053",(+/-447),"3,572","(+/-1,816)","7,871","(+/-3,363)","9,268","(+/-3,780)","18,404","(+/-5,796)","5,904","(+/-2,943)","12,591","(+/-3,817)","4,464","(+/-1,511)","10,343","(+/-3,873)"
People,Ancestry,Swedish,"2,704",(+/-889),"4,224","(+/-1,355)","3,144","(+/-1,122)","2,860",(+/-989),"4,232","(+/-1,380)","2,286",(+/-789),"3,560","(+/-1,178)","2,702","(+/-1,196)","1,366",(+/-666)
People,Ancestry,Swiss,946,(+/-652),"1,300",(+/-590),"1,058",(+/-624),"1,539",(+/-832),819,(+/-457),718,(+/-405),"2,381","(+/-1,303)",583,(+/-414),"1,253",(+/-696)
People,Ancestry,Ukrainian,915,(+/-826),"2,566","(+/-1,314)",767,(+/-552),778,(+/-669),"1,348",(+/-975),"1,120",(+/-630),493,(+/-394),521,(+/-643),319,(+/-245)
People,Ancestry,Welsh,"3,011","(+/-1,039)","5,078","(+/-1,561)","4,830","(+/-1,434)","1,833",(+/-783),"3,311","(+/-1,115)","3,501","(+/-1,177)","3,739","(+/-1,421)","2,502",(+/-897),319,(+/-204)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",492,(+/-393),"1,581",(+/-940),"1,965","(+/-1,024)","2,324","(+/-1,381)","2,399","(+/-1,159)","2,205","(+/-1,359)","4,505","(+/-2,890)",840,(+/-499),"1,811","(+/-1,029)"
People,"Veteran Status","Civilian population 18 years and over","629,840","(+/-2,116)","632,430","(+/-2,870)","624,015","(+/-3,343)","614,069","(+/-3,055)","603,765","(+/-10,504)","616,168","(+/-8,673)","610,741","(+/-8,326)","593,177","(+/-6,090)","568,965","(+/-6,321)"
People,"Veteran Status","Civilian veterans","53,505","(+/-3,366)","45,545","(+/-3,467)","44,642","(+/-3,529)","43,161","(+/-3,285)","33,088","(+/-3,315)","44,491","(+/-3,346)","59,899","(+/-4,776)","42,750","(+/-3,358)","30,580","(+/-3,331)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","771,180","(+/-2,710)","784,764","(+/-3,554)","779,348","(+/-4,226)","789,396","(+/-3,663)","780,341","(+/-13,631)","773,329","(+/-12,571)","776,810","(+/-11,645)","751,170","(+/-9,147)","745,153","(+/-9,091)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","144,390","(+/-6,520)","114,514","(+/-6,437)","123,983","(+/-5,336)","116,445","(+/-6,124)","83,478","(+/-5,969)","111,148","(+/-6,411)","111,634","(+/-6,833)","126,154","(+/-5,985)","110,663","(+/-6,204)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","149,676","(+/-1,744)","157,012","(+/-1,860)","163,614","(+/-1,887)","182,236","(+/-2,045)","180,678","(+/-6,262)","165,208","(+/-6,300)","175,345","(+/-6,473)","173,284","(+/-5,148)","186,147","(+/-4,935)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,641","(+/-1,732)","7,149","(+/-1,597)","8,657","(+/-1,609)","9,172","(+/-1,935)","6,767","(+/-1,694)","5,118","(+/-1,451)","10,388","(+/-2,598)","8,982","(+/-1,660)","9,221","(+/-2,396)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","460,775","(+/-2,272)","481,713","(+/-2,696)","469,149","(+/-3,177)","485,101","(+/-3,373)","479,785","(+/-10,123)","472,092","(+/-8,326)","493,183","(+/-8,211)","432,253","(+/-6,077)","454,992","(+/-5,908)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","70,755","(+/-4,979)","54,789","(+/-4,563)","60,443","(+/-4,070)","62,197","(+/-4,922)","41,612","(+/-4,624)","58,443","(+/-5,114)","61,233","(+/-4,786)","64,204","(+/-4,228)","60,434","(+/-4,541)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","160,729","(+/-1,316)","146,039","(+/-1,610)","146,585","(+/-1,975)","122,059","(+/-2,089)","119,878","(+/-3,458)","136,029","(+/-3,028)","108,282","(+/-2,952)","145,633","(+/-3,628)","104,014","(+/-2,890)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","63,994","(+/-3,231)","52,576","(+/-3,206)","54,883","(+/-3,258)","45,076","(+/-2,786)","35,099","(+/-2,630)","47,587","(+/-3,319)","40,013","(+/-2,498)","52,968","(+/-3,116)","41,008","(+/-2,604)"
People,"Residence 1 Year Ago","Population 1 year and over","776,154","(+/-3,021)","783,895","(+/-3,571)","780,298","(+/-4,289)","788,067","(+/-3,909)","775,434","(+/-13,197)","773,081","(+/-12,679)","791,825","(+/-11,557)","760,769","(+/-9,082)","747,026","(+/-9,040)"
People,"Residence 1 Year Ago","Same house","694,677","(+/-6,568)","692,026","(+/-8,003)","669,193","(+/-9,653)","687,308","(+/-8,638)","668,515","(+/-14,377)","664,626","(+/-10,945)","667,288","(+/-14,291)","680,889","(+/-13,209)","645,439","(+/-13,372)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","81,477","(+/-6,689)","91,869","(+/-7,266)","111,105","(+/-8,719)","100,759","(+/-8,345)","106,919","(+/-10,931)","108,455","(+/-8,993)","124,537","(+/-8,354)","79,880","(+/-7,894)","101,587","(+/-10,380)"
People,"Residence 1 Year Ago","Different house in the U.S.","79,765","(+/-6,722)","88,037","(+/-7,156)","108,021","(+/-8,809)","95,329","(+/-7,856)","104,214","(+/-10,510)","104,142","(+/-8,408)","120,080","(+/-8,275)","78,501","(+/-7,790)","97,192","(+/-10,370)"
People,"Residence 1 Year Ago","Same county","32,127","(+/-4,487)","40,466","(+/-4,566)","52,102","(+/-6,041)","41,830","(+/-5,076)","50,536","(+/-7,549)","49,036","(+/-7,254)","54,045","(+/-6,506)","37,726","(+/-5,099)","66,574","(+/-9,247)"
People,"Residence 1 Year Ago","Different county","47,638","(+/-5,733)","47,571","(+/-6,070)","55,919","(+/-6,781)","53,499","(+/-5,581)","53,678","(+/-6,350)","55,106","(+/-5,446)","66,035","(+/-5,926)","40,775","(+/-5,354)","30,618","(+/-6,351)"
People,"Residence 1 Year Ago","Same state","23,895","(+/-3,441)","26,490","(+/-4,152)","22,994","(+/-3,815)","35,534","(+/-5,053)","26,280","(+/-4,550)","27,481","(+/-3,454)","26,304","(+/-3,753)","24,358","(+/-3,714)","11,534","(+/-3,080)"
People,"Residence 1 Year Ago","Different state","23,743","(+/-4,369)","21,081","(+/-3,960)","32,925","(+/-5,471)","17,965","(+/-3,606)","27,398","(+/-4,785)","27,625","(+/-4,556)","39,731","(+/-5,444)","16,417","(+/-3,832)","19,084","(+/-5,531)"
People,"Residence 1 Year Ago",Abroad,"1,712","(+/-1,017)","3,832","(+/-1,259)","3,084","(+/-1,360)","5,430","(+/-2,679)","2,705","(+/-1,153)","4,313","(+/-2,909)","4,457","(+/-2,452)","1,379",(+/-804),"4,395","(+/-2,253)"
Workers,"Employment Status","Population 16 years and over","649,006","(+/-2,297)","652,542","(+/-3,191)","645,725","(+/-3,616)","639,385","(+/-3,480)","623,897","(+/-11,133)","634,889","(+/-9,137)","645,661","(+/-8,520)","616,703","(+/-6,510)","591,795","(+/-7,031)"
Workers,"Employment Status","In labor force","373,102","(+/-6,818)","401,353","(+/-7,804)","388,163","(+/-6,260)","404,812","(+/-5,885)","430,494","(+/-10,064)","395,619","(+/-8,789)","423,690","(+/-7,997)","361,613","(+/-8,385)","379,173","(+/-8,603)"
Workers,"Employment Status","Civilian labor force","371,785","(+/-6,832)","400,687","(+/-7,797)","387,684","(+/-6,260)","404,217","(+/-6,064)","430,368","(+/-10,034)","394,016","(+/-8,772)","408,414","(+/-8,152)","360,262","(+/-8,419)","377,550","(+/-8,592)"
Workers,"Employment Status",Employed,"357,887","(+/-7,097)","391,114","(+/-7,951)","375,773","(+/-6,578)","394,205","(+/-6,407)","420,407","(+/-9,528)","380,679","(+/-8,474)","392,916","(+/-8,158)","344,880","(+/-8,197)","355,599","(+/-8,958)"
Workers,"Employment Status",Unemployed,"13,898","(+/-2,397)","9,573","(+/-1,702)","11,911","(+/-1,944)","10,012","(+/-1,712)","9,961","(+/-2,111)","13,337","(+/-2,122)","15,498","(+/-2,920)","15,382","(+/-2,085)","21,951","(+/-3,386)"
Workers,"Employment Status","Armed Forces","1,317","(+/-1,013)",666,(+/-523),479,(+/-424),595,(+/-575),126,(+/-194),"1,603",(+/-916),"15,276","(+/-2,070)","1,351",(+/-598),"1,623",(+/-772)
Workers,"Employment Status","Not in labor force","275,904","(+/-6,455)","251,189","(+/-7,121)","257,562","(+/-6,745)","234,573","(+/-6,170)","193,403","(+/-7,839)","239,270","(+/-6,408)","221,971","(+/-6,818)","255,090","(+/-5,862)","212,622","(+/-6,420)"
Workers,"Employment Status","Civilian labor force","371,785","(+/-6,832)","400,687","(+/-7,797)","387,684","(+/-6,260)","404,217","(+/-6,064)","430,368","(+/-10,034)","394,016","(+/-8,772)","408,414","(+/-8,152)","360,262","(+/-8,419)","377,550","(+/-8,592)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.6),2.4,(+/-0.4),3.1,(+/-0.5),2.5,(+/-0.4),2.3,(+/-0.5),3.4,(+/-0.5),3.8,(+/-0.7),4.3,(+/-0.6),5.8,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over","350,878","(+/-7,072)","383,621","(+/-7,857)","368,116","(+/-6,671)","385,430","(+/-5,918)","412,601","(+/-9,511)","375,193","(+/-8,734)","400,390","(+/-8,047)","338,078","(+/-8,424)","348,191","(+/-9,417)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","282,889","(+/-7,294)","294,530","(+/-8,784)","281,073","(+/-8,257)","289,027","(+/-6,794)","284,566","(+/-10,189)","281,649","(+/-8,880)","282,681","(+/-8,006)","263,786","(+/-8,335)","260,205","(+/-9,426)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,550","(+/-4,033)","29,335","(+/-3,482)","33,448","(+/-4,320)","43,196","(+/-4,541)","30,506","(+/-4,008)","27,756","(+/-3,655)","30,681","(+/-3,094)","29,590","(+/-3,287)","36,326","(+/-4,505)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",282,(+/-238),835,(+/-383),"1,044",(+/-672),766,(+/-449),"2,454","(+/-1,107)","2,027",(+/-841),"3,957","(+/-1,344)",357,(+/-341),"1,655",(+/-830)
Workers,"Commuting to Work",Walked,"2,695",(+/-866),"5,079","(+/-1,412)","5,357","(+/-1,471)","2,956","(+/-1,104)","3,003","(+/-1,312)","3,483","(+/-1,197)","6,920","(+/-1,812)","2,879",(+/-948),"7,753","(+/-1,583)"
