Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Hispanic or Latino and Race","Total population","720,042","(+/-1,959)","726,112","(+/-6,687)","731,516","(+/-3,874)","748,891","(+/-10,079)","732,858","(+/-1,737)","718,693","(+/-6,524)","724,362","(+/-5,267)","737,452","(+/-7,823)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","207,251","(+/-1,202)","103,374","(+/-3,634)","192,603","(+/-1,389)","109,956","(+/-4,403)","138,705",(+/-914),"159,735","(+/-5,198)","112,544","(+/-3,316)","290,794","(+/-5,413)"
People,"Hispanic or Latino and Race",Mexican,"145,827","(+/-6,847)","69,609","(+/-5,769)","123,428","(+/-6,517)","78,981","(+/-5,330)","82,377","(+/-8,073)","112,542","(+/-7,645)","75,433","(+/-3,923)","245,772","(+/-8,875)"
People,"Hispanic or Latino and Race","Puerto Rican","6,320","(+/-1,998)","3,062","(+/-1,089)","4,740","(+/-1,774)","4,214","(+/-1,563)","12,443","(+/-3,840)","8,653","(+/-3,117)","4,216","(+/-1,556)","3,717","(+/-1,865)"
People,"Hispanic or Latino and Race",Cuban,"3,119","(+/-1,578)","1,597",(+/-742),"1,094",(+/-742),"1,210",(+/-773),"1,912","(+/-1,017)","1,560","(+/-1,090)","2,925","(+/-1,496)",604,(+/-365)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","51,985","(+/-6,878)","29,106","(+/-4,679)","63,341","(+/-5,996)","25,551","(+/-3,430)","41,973","(+/-7,586)","36,980","(+/-6,623)","29,970","(+/-3,911)","40,701","(+/-7,080)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","512,791","(+/-1,392)","622,738","(+/-6,854)","538,913","(+/-3,840)","638,935","(+/-10,167)","594,153","(+/-1,482)","558,958","(+/-6,947)","611,818","(+/-5,410)","446,658","(+/-7,648)"
People,"Place of Birth","Total population","720,042","(+/-1,959)","726,112","(+/-6,687)","731,516","(+/-3,874)","748,891","(+/-10,079)","732,858","(+/-1,737)","718,693","(+/-6,524)","724,362","(+/-5,267)","737,452","(+/-7,823)"
People,"Place of Birth",Native,"621,073","(+/-7,129)","662,974","(+/-8,142)","692,935","(+/-5,376)","695,705","(+/-10,661)","685,364","(+/-5,343)","600,163","(+/-9,686)","680,334","(+/-5,846)","643,850","(+/-10,944)"
People,"Place of Birth","Born in United States","608,886","(+/-7,805)","650,425","(+/-8,406)","682,579","(+/-5,400)","686,328","(+/-10,587)","660,744","(+/-6,243)","587,315","(+/-9,981)","670,048","(+/-6,623)","633,428","(+/-11,148)"
People,"Place of Birth","State of residence","276,719","(+/-10,336)","238,890","(+/-9,662)","359,879","(+/-10,162)","348,802","(+/-11,515)","230,260","(+/-9,345)","280,041","(+/-8,148)","308,432","(+/-8,809)","389,736","(+/-10,722)"
People,"Place of Birth","Different state","332,167","(+/-8,164)","411,535","(+/-9,107)","322,700","(+/-9,218)","337,526","(+/-10,209)","430,484","(+/-9,358)","307,274","(+/-10,064)","361,616","(+/-7,722)","243,692","(+/-9,396)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,187","(+/-2,615)","12,549","(+/-2,075)","10,356","(+/-1,990)","9,377","(+/-1,870)","24,620","(+/-3,565)","12,848","(+/-2,311)","10,286","(+/-2,189)","10,422","(+/-2,726)"
People,"Place of Birth","Foreign born","98,969","(+/-6,984)","63,138","(+/-4,970)","38,581","(+/-4,123)","53,186","(+/-3,793)","47,494","(+/-4,690)","118,530","(+/-7,891)","44,028","(+/-4,000)","93,602","(+/-7,970)"
People,Ancestry,"Total population","720,042","(+/-1,959)","726,112","(+/-6,687)","731,516","(+/-3,874)","748,891","(+/-10,079)","732,858","(+/-1,737)","718,693","(+/-6,524)","724,362","(+/-5,267)","737,452","(+/-7,823)"
People,Ancestry,American,"23,932","(+/-4,811)","24,670","(+/-4,057)","30,936","(+/-3,643)","31,161","(+/-5,160)","29,572","(+/-4,357)","26,127","(+/-4,621)","28,319","(+/-4,373)","30,216","(+/-5,101)"
People,Ancestry,Arab,"5,761","(+/-2,244)","1,947",(+/-846),"1,349",(+/-872),"1,516",(+/-760),"1,886",(+/-922),"5,102","(+/-2,152)","2,980","(+/-1,201)","1,994","(+/-1,146)"
People,Ancestry,Czech,"4,744","(+/-1,447)","6,617","(+/-1,460)","2,106",(+/-865),"6,207","(+/-1,958)","4,220","(+/-1,222)","3,073",(+/-977),"6,482","(+/-1,889)","2,808","(+/-1,055)"
People,Ancestry,Danish,"3,021","(+/-1,202)","5,217","(+/-1,507)","6,272","(+/-1,965)","6,115","(+/-1,511)","3,850","(+/-1,194)","2,748",(+/-835),"5,877","(+/-1,387)","3,898","(+/-1,080)"
People,Ancestry,Dutch,"6,243","(+/-1,573)","11,780","(+/-2,282)","8,612","(+/-1,653)","9,655","(+/-1,949)","8,296","(+/-1,798)","7,871","(+/-1,672)","15,096","(+/-2,987)","7,518","(+/-1,891)"
People,Ancestry,English,"72,585","(+/-5,089)","107,436","(+/-6,238)","88,541","(+/-6,363)","113,636","(+/-7,406)","87,000","(+/-7,352)","77,333","(+/-6,947)","108,685","(+/-6,603)","69,479","(+/-6,416)"
People,Ancestry,"French (except Basque)","15,798","(+/-2,938)","18,884","(+/-2,887)","14,505","(+/-2,659)","19,183","(+/-3,213)","13,622","(+/-2,541)","14,096","(+/-2,193)","19,130","(+/-2,895)","12,558","(+/-2,122)"
People,Ancestry,"French Canadian","2,100",(+/-658),"3,953","(+/-1,246)","2,506",(+/-950),"4,103","(+/-1,530)","4,164","(+/-1,471)","2,504",(+/-853),"2,585",(+/-878),"1,243",(+/-546)
People,Ancestry,German,"104,221","(+/-5,968)","144,870","(+/-7,530)","123,714","(+/-8,160)","164,154","(+/-7,391)","129,979","(+/-8,071)","108,270","(+/-6,176)","149,669","(+/-9,225)","121,216","(+/-8,259)"
People,Ancestry,Greek,"2,588",(+/-886),"3,212","(+/-1,437)","1,753",(+/-759),"2,380","(+/-1,027)","1,868",(+/-547),"4,065","(+/-2,107)","1,994",(+/-738),"1,234",(+/-616)
People,Ancestry,Hungarian,"2,016","(+/-1,017)","3,487","(+/-1,177)","1,151",(+/-518),"3,322","(+/-1,347)","1,736",(+/-620),"2,011",(+/-656),"3,839","(+/-1,231)","1,815",(+/-877)
People,Ancestry,Irish,"83,984","(+/-5,225)","84,365","(+/-6,346)","73,115","(+/-5,175)","85,369","(+/-7,051)","74,134","(+/-6,272)","70,651","(+/-6,175)","89,799","(+/-6,460)","61,121","(+/-5,842)"
People,Ancestry,Italian,"40,424","(+/-3,939)","39,288","(+/-4,579)","35,372","(+/-4,221)","35,965","(+/-4,622)","34,116","(+/-4,781)","28,945","(+/-3,293)","43,971","(+/-5,180)","29,935","(+/-3,855)"
People,Ancestry,Lithuanian,"1,898",(+/-661),"3,800","(+/-1,193)",602,(+/-430),790,(+/-582),"1,295",(+/-729),"1,060",(+/-607),"1,318",(+/-689),"1,207",(+/-597)
People,Ancestry,Norwegian,"14,332","(+/-2,499)","14,047","(+/-2,108)","12,510","(+/-2,234)","17,823","(+/-4,073)","14,758","(+/-2,378)","12,128","(+/-1,961)","14,402","(+/-2,877)","12,835","(+/-2,729)"
People,Ancestry,Polish,"18,122","(+/-2,367)","23,628","(+/-3,544)","13,725","(+/-2,642)","15,029","(+/-2,882)","19,112","(+/-3,240)","13,966","(+/-1,845)","23,951","(+/-4,345)","12,956","(+/-2,772)"
People,Ancestry,Portuguese,"2,838","(+/-1,266)","2,105","(+/-1,002)","2,618","(+/-1,571)","1,452",(+/-600),"1,129",(+/-526),"1,478",(+/-760),"1,705",(+/-727),"1,471",(+/-806)
People,Ancestry,Russian,"7,379","(+/-1,632)","9,540","(+/-2,701)","3,168","(+/-1,041)","6,121","(+/-1,387)","2,104",(+/-782),"7,186","(+/-1,649)","5,281","(+/-1,682)","4,261","(+/-1,763)"
People,Ancestry,Scotch-Irish,"5,275","(+/-1,277)","6,642","(+/-1,140)","7,459","(+/-1,612)","8,356","(+/-2,022)","9,008","(+/-2,408)","5,158","(+/-1,494)","8,405","(+/-1,745)","5,774","(+/-1,507)"
People,Ancestry,Scottish,"15,515","(+/-2,375)","22,733","(+/-2,993)","20,950","(+/-2,929)","18,902","(+/-2,911)","19,410","(+/-3,088)","14,543","(+/-2,117)","23,520","(+/-3,024)","12,061","(+/-2,342)"
People,Ancestry,Slovak,885,(+/-739),940,(+/-437),"1,264",(+/-699),532,(+/-465),"1,759",(+/-651),"1,010",(+/-540),"1,612",(+/-761),"1,096",(+/-573)
People,Ancestry,"Subsaharan African","20,126","(+/-4,791)","2,163",(+/-859),677,(+/-508),"1,472",(+/-938),"10,170","(+/-3,126)","22,411","(+/-4,575)","2,247","(+/-1,077)","4,506","(+/-1,664)"
People,Ancestry,Swedish,"14,355","(+/-2,082)","18,686","(+/-2,882)","13,791","(+/-2,764)","18,672","(+/-2,795)","13,326","(+/-2,302)","12,881","(+/-2,249)","15,376","(+/-2,336)","10,843","(+/-1,834)"
People,Ancestry,Swiss,"1,742",(+/-735),"3,563","(+/-1,140)","4,206","(+/-1,413)","2,478",(+/-805),"2,360","(+/-1,215)","2,991","(+/-1,204)","4,253","(+/-2,728)","2,367","(+/-1,177)"
People,Ancestry,Ukrainian,"3,731","(+/-1,870)","2,849",(+/-933),"1,765",(+/-821),"2,842","(+/-1,399)","1,369",(+/-759),"3,189","(+/-1,377)","2,668","(+/-1,082)","3,104","(+/-1,900)"
People,Ancestry,Welsh,"5,794","(+/-1,577)","6,002","(+/-1,465)","5,443","(+/-2,033)","5,342","(+/-1,262)","6,133","(+/-1,751)","4,583","(+/-1,328)","7,759","(+/-1,903)","3,064","(+/-1,045)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,296",(+/-717),"1,250",(+/-894),518,(+/-723),780,(+/-680),"3,438","(+/-1,555)",981,(+/-556),481,(+/-304),754,(+/-781)
People,"Veteran Status","Civilian population 18 years and over","589,929","(+/-1,734)","597,245","(+/-5,200)","583,244","(+/-3,173)","575,475","(+/-7,568)","529,103","(+/-3,108)","557,522","(+/-5,375)","594,186","(+/-4,131)","557,540","(+/-5,896)"
People,"Veteran Status","Civilian veterans","29,132","(+/-2,935)","26,216","(+/-2,743)","46,284","(+/-3,020)","43,929","(+/-3,290)","80,214","(+/-4,318)","37,232","(+/-2,855)","42,075","(+/-3,946)","34,968","(+/-3,477)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","712,185","(+/-2,045)","721,405","(+/-6,652)","721,744","(+/-3,902)","738,291","(+/-10,109)","693,406","(+/-3,366)","713,183","(+/-6,587)","709,413","(+/-5,385)","732,736","(+/-8,119)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","83,378","(+/-5,418)","60,053","(+/-4,420)","108,650","(+/-5,930)","79,205","(+/-4,601)","83,319","(+/-5,627)","79,352","(+/-4,431)","80,710","(+/-5,413)","89,829","(+/-6,634)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","128,551",(+/-580),"127,572","(+/-3,495)","147,039","(+/-2,069)","172,032","(+/-4,968)","167,398",(+/-671),"159,307","(+/-3,760)","129,618","(+/-2,769)","178,443","(+/-4,645)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,365","(+/-1,280)","3,100",(+/-895),"4,792","(+/-1,349)","6,409","(+/-1,688)","7,532","(+/-1,840)","5,551","(+/-1,378)","4,828","(+/-1,256)","10,168","(+/-3,087)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","497,213","(+/-1,860)","474,054","(+/-5,551)","424,794","(+/-3,305)","453,120","(+/-6,881)","425,698","(+/-2,987)","449,420","(+/-4,717)","445,550","(+/-4,100)","465,986","(+/-5,738)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,886","(+/-4,782)","33,063","(+/-3,819)","54,695","(+/-4,724)","41,104","(+/-3,815)","44,898","(+/-3,970)","43,684","(+/-3,340)","37,785","(+/-3,874)","49,097","(+/-4,561)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","86,421",(+/-481),"119,779","(+/-3,006)","149,911","(+/-1,771)","113,139","(+/-3,360)","100,310",(+/-572),"104,456","(+/-2,252)","134,245","(+/-2,596)","88,307","(+/-2,336)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","28,127","(+/-2,318)","23,890","(+/-2,232)","49,163","(+/-2,570)","31,692","(+/-2,620)","30,889","(+/-2,227)","30,117","(+/-2,458)","38,097","(+/-3,144)","30,564","(+/-2,173)"
People,"Residence 1 Year Ago","Population 1 year and over","712,124","(+/-2,669)","720,129","(+/-6,780)","727,457","(+/-4,217)","739,839","(+/-10,284)","723,913","(+/-2,158)","711,542","(+/-6,985)","717,533","(+/-5,233)","728,844","(+/-7,909)"
People,"Residence 1 Year Ago","Same house","562,442","(+/-8,581)","576,655","(+/-11,780)","625,073","(+/-9,799)","635,369","(+/-10,884)","587,858","(+/-10,430)","599,914","(+/-11,213)","612,958","(+/-9,776)","634,156","(+/-11,849)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","149,682","(+/-8,238)","143,474","(+/-9,167)","102,384","(+/-8,466)","104,470","(+/-8,236)","136,055","(+/-10,379)","111,628","(+/-9,456)","104,575","(+/-9,520)","94,688","(+/-8,662)"
People,"Residence 1 Year Ago","Different house in the U.S.","146,113","(+/-8,310)","137,661","(+/-9,103)","99,525","(+/-8,279)","102,109","(+/-7,908)","127,443","(+/-10,299)","106,654","(+/-9,164)","101,171","(+/-9,337)","91,650","(+/-8,688)"
People,"Residence 1 Year Ago","Same county","65,144","(+/-6,001)","59,255","(+/-6,178)","49,883","(+/-6,858)","42,446","(+/-5,844)","61,829","(+/-7,386)","40,589","(+/-5,556)","35,011","(+/-4,505)","33,810","(+/-5,158)"
People,"Residence 1 Year Ago","Different county","80,969","(+/-6,651)","78,406","(+/-6,369)","49,642","(+/-5,123)","59,663","(+/-5,702)","65,614","(+/-8,226)","66,065","(+/-7,070)","66,160","(+/-7,758)","57,840","(+/-6,699)"
People,"Residence 1 Year Ago","Same state","44,951","(+/-5,925)","39,579","(+/-4,542)","26,728","(+/-3,848)","35,480","(+/-5,394)","16,428","(+/-4,817)","41,842","(+/-5,333)","43,961","(+/-6,716)","45,514","(+/-5,733)"
People,"Residence 1 Year Ago","Different state","36,018","(+/-4,113)","38,827","(+/-4,704)","22,914","(+/-3,491)","24,183","(+/-3,661)","49,186","(+/-7,124)","24,223","(+/-4,603)","22,199","(+/-3,718)","12,326","(+/-2,979)"
People,"Residence 1 Year Ago",Abroad,"3,569","(+/-1,013)","5,813","(+/-2,013)","2,859","(+/-1,023)","2,361","(+/-1,151)","8,612","(+/-3,243)","4,974","(+/-1,547)","3,404","(+/-1,399)","3,038","(+/-1,213)"
Workers,"Employment Status","Population 16 years and over","604,518","(+/-2,009)","616,886","(+/-5,445)","603,500","(+/-3,175)","597,003","(+/-8,181)","582,716","(+/-2,028)","580,745","(+/-6,263)","610,625","(+/-4,421)","580,324","(+/-5,682)"
Workers,"Employment Status","In labor force","452,217","(+/-4,915)","420,952","(+/-7,380)","362,256","(+/-5,613)","411,165","(+/-7,317)","404,755","(+/-5,448)","415,514","(+/-6,130)","405,768","(+/-6,656)","416,348","(+/-8,634)"
Workers,"Employment Status","Civilian labor force","450,820","(+/-4,998)","419,766","(+/-7,439)","361,331","(+/-5,637)","409,830","(+/-7,359)","368,615","(+/-6,064)","413,685","(+/-6,142)","405,398","(+/-6,626)","414,943","(+/-8,752)"
Workers,"Employment Status",Employed,"434,357","(+/-5,652)","405,666","(+/-7,556)","348,219","(+/-5,902)","398,897","(+/-7,229)","353,286","(+/-6,305)","397,161","(+/-6,319)","393,914","(+/-6,492)","399,644","(+/-8,453)"
Workers,"Employment Status",Unemployed,"16,463","(+/-2,596)","14,100","(+/-1,903)","13,112","(+/-2,026)","10,933","(+/-1,913)","15,329","(+/-2,353)","16,524","(+/-2,225)","11,484","(+/-1,668)","15,299","(+/-2,826)"
Workers,"Employment Status","Armed Forces","1,397",(+/-644),"1,186","(+/-1,076)",925,(+/-425),"1,335",(+/-522),"36,140","(+/-2,865)","1,829",(+/-495),370,(+/-242),"1,405","(+/-1,633)"
Workers,"Employment Status","Not in labor force","152,301","(+/-4,908)","195,934","(+/-5,373)","241,244","(+/-5,685)","185,838","(+/-6,407)","177,961","(+/-5,330)","165,231","(+/-5,042)","204,857","(+/-5,932)","163,976","(+/-6,781)"
Workers,"Employment Status","Civilian labor force","450,820","(+/-4,998)","419,766","(+/-7,439)","361,331","(+/-5,637)","409,830","(+/-7,359)","368,615","(+/-6,064)","413,685","(+/-6,142)","405,398","(+/-6,626)","414,943","(+/-8,752)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.6),3.4,(+/-0.5),3.6,(+/-0.6),2.7,(+/-0.5),4.2,(+/-0.6),4.0,(+/-0.5),2.8,(+/-0.4),3.7,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","428,401","(+/-5,654)","399,961","(+/-7,631)","342,668","(+/-5,897)","393,065","(+/-7,219)","383,358","(+/-5,874)","392,066","(+/-6,619)","388,198","(+/-6,458)","394,286","(+/-8,169)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","240,086","(+/-7,238)","227,817","(+/-7,219)","242,007","(+/-6,962)","263,622","(+/-6,880)","261,515","(+/-6,611)","256,099","(+/-7,835)","249,148","(+/-6,322)","279,592","(+/-7,902)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,507","(+/-3,567)","26,750","(+/-3,186)","33,247","(+/-4,147)","25,178","(+/-2,971)","32,115","(+/-4,027)","35,145","(+/-4,169)","24,610","(+/-2,833)","41,691","(+/-4,543)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","18,624","(+/-3,348)","7,411","(+/-1,759)","3,735","(+/-1,309)","1,423",(+/-696),"1,220",(+/-761),"9,696","(+/-1,956)","4,748","(+/-1,596)","4,179","(+/-1,466)"
Workers,"Commuting to Work",Walked,"15,404","(+/-2,707)","16,104","(+/-2,821)","10,446","(+/-2,031)","7,049","(+/-1,651)","15,035","(+/-1,895)","5,581","(+/-1,712)","6,211","(+/-1,420)","3,260",(+/-964)
Workers,"Commuting to Work","Other means","10,699","(+/-1,847)","15,190","(+/-2,623)","8,158","(+/-1,578)","4,123","(+/-1,239)","6,573","(+/-1,562)","7,181","(+/-2,134)","7,027","(+/-1,519)","5,932","(+/-1,890)"
Workers,"Commuting to Work","Worked from home","116,081","(+/-5,539)","106,689","(+/-6,040)","45,075","(+/-4,119)","91,670","(+/-5,266)","66,900","(+/-4,417)","78,364","(+/-4,474)","96,454","(+/-5,685)","59,632","(+/-4,452)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.8,(+/-0.8),21.8,(+/-0.8),21.7,(+/-0.8),27.1,(+/-1.0),22.9,(+/-0.7),26.4,(+/-0.6),26.2,(+/-0.7),28.9,(+/-1.0)
Workers,Occupation,"Civilian employed population 16 years and over","434,357","(+/-5,652)","405,666","(+/-7,556)","348,219","(+/-5,902)","398,897","(+/-7,229)","353,286","(+/-6,305)","397,161","(+/-6,319)","393,914","(+/-6,492)","399,644","(+/-8,453)"
Workers,Occupation,"Management, business, science, and arts occupations","242,519","(+/-6,871)","222,974","(+/-6,144)","131,224","(+/-6,052)","205,635","(+/-5,772)","164,162","(+/-5,709)","181,132","(+/-5,768)","206,582","(+/-6,346)","148,504","(+/-5,894)"
Workers,Occupation,"Service occupations","55,142","(+/-4,780)","62,241","(+/-4,346)","61,644","(+/-4,726)","53,186","(+/-4,783)","52,058","(+/-4,168)","57,975","(+/-4,374)","53,978","(+/-4,692)","61,950","(+/-4,934)"
Workers,Occupation,"Sales and office occupations","77,026","(+/-4,982)","67,733","(+/-4,245)","72,460","(+/-4,031)","74,728","(+/-5,179)","71,701","(+/-5,049)","80,355","(+/-4,371)","74,431","(+/-4,115)","82,713","(+/-5,766)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,880","(+/-3,188)","23,787","(+/-2,990)","41,485","(+/-4,305)","31,298","(+/-3,399)","28,840","(+/-3,185)","33,886","(+/-3,533)","28,253","(+/-2,891)","45,338","(+/-4,567)"
Workers,Occupation,"Production, transportation, and material moving occupations","32,790","(+/-3,947)","28,931","(+/-3,340)","41,406","(+/-3,924)","34,050","(+/-3,802)","36,525","(+/-3,992)","43,813","(+/-4,050)","30,670","(+/-3,313)","61,139","(+/-5,628)"
