People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","122,091","(+/-7,945)"
People,"Residence 1 Year Ago","Different house in the U.S.","117,058","(+/-7,665)"
People,"Residence 1 Year Ago","Same county","55,288","(+/-5,544)"
People,"Residence 1 Year Ago","Different county","61,770","(+/-6,181)"
People,"Residence 1 Year Ago","Same state","27,234","(+/-4,206)"
People,"Residence 1 Year Ago","Different state","34,536","(+/-4,608)"
People,"Residence 1 Year Ago",Abroad,"5,033","(+/-1,876)"
Workers,"Employment Status","Population 16 years and over","617,710","(+/-1,839)"
Workers,"Employment Status","In labor force","424,113","(+/-5,594)"
Workers,"Employment Status","Civilian labor force","417,556","(+/-5,627)"
Workers,"Employment Status",Employed,"408,563","(+/-5,536)"
Workers,"Employment Status",Unemployed,"8,993","(+/-1,860)"
Workers,"Employment Status","Armed Forces","6,557","(+/-1,221)"
Workers,"Employment Status","Not in labor force","193,597","(+/-5,480)"
Workers,"Employment Status","Civilian labor force","417,556","(+/-5,627)"
Workers,"Employment Status","Unemployment Rate",2.2,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","409,836","(+/-5,718)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","322,810","(+/-6,339)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","35,945","(+/-3,089)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,204",(+/-679)
Workers,"Commuting to Work",Walked,"14,012","(+/-1,982)"
Workers,"Commuting to Work","Other means","4,617","(+/-1,112)"
Workers,"Commuting to Work","Worked from home","31,248","(+/-2,921)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",18.3,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over","408,563","(+/-5,536)"
Workers,Occupation,"Management, business, science, and arts occupations","164,522","(+/-6,837)"
Workers,Occupation,"Service occupations","64,498","(+/-3,358)"
Workers,Occupation,"Sales and office occupations","79,890","(+/-4,871)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","47,800","(+/-3,804)"
Workers,Occupation,"Production, transportation, and material moving occupations","51,853","(+/-3,952)"
Workers,Industry,"Civilian employed population 16 years and over","408,563","(+/-5,536)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","32,506","(+/-2,651)"
Workers,Industry,Construction,"28,725","(+/-2,674)"
Workers,Industry,Manufacturing,"32,253","(+/-3,462)"
Workers,Industry,"Wholesale trade","11,574","(+/-1,837)"
Workers,Industry,"Retail trade","46,126","(+/-3,925)"
Workers,Industry,"Transportation and warehousing, and utilities","24,728","(+/-3,024)"
Workers,Industry,Information,"4,210",(+/-873)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,438","(+/-2,349)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","32,229","(+/-3,367)"
Workers,Industry,"Educational services, and health care and social assistance","101,985","(+/-5,012)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","30,912","(+/-2,835)"
Workers,Industry,"Other services, except public administration","18,275","(+/-2,324)"
Workers,Industry,"Public administration","20,602","(+/-2,130)"
Workers,"Class of Worker","Civilian employed population 16 years and over","408,563","(+/-5,536)"
Workers,"Class of Worker","Private wage and salary workers","305,977","(+/-6,807)"
Workers,"Class of Worker","Government workers","71,669","(+/-4,880)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","30,119","(+/-2,297)"
Workers,"Class of Worker","Unpaid family workers",798,(+/-437)
Housing,"Housing Occupancy","Total housing units","377,722",(+/-757)
Housing,"Housing Occupancy","Occupied housing units","331,481","(+/-3,670)"
Housing,"Housing Occupancy","Vacant housing units","46,241","(+/-3,849)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",9.4,(+/-1.9)
Housing,"Housing Tenure","Occupied housing units","331,481","(+/-3,670)"
Housing,"Housing Tenure",Owner-occupied,"215,896","(+/-4,034)"
Housing,"Housing Tenure",Renter-occupied,"115,585","(+/-4,357)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.42,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.96,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","331,481","(+/-3,670)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","70,663","(+/-4,096)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","74,008","(+/-4,051)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","80,449","(+/-4,150)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","45,841","(+/-2,947)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","28,485","(+/-2,147)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","32,035","(+/-1,867)"
Housing,Value,"Owner-occupied units","215,896","(+/-4,034)"
Housing,Value,"Less than $50,000","18,047","(+/-1,777)"
Housing,Value,"$50,000 to $99,999","19,426","(+/-1,963)"
Housing,Value,"$100,000 to $149,999","20,944","(+/-2,014)"
Housing,Value,"$150,000 to $199,999","23,663","(+/-2,216)"
Housing,Value,"$200,000 to $299,999","56,361","(+/-3,768)"
Housing,Value,"$300,000 to $499,999","57,013","(+/-3,645)"
Housing,Value,"$500,000 to $999,999","17,986","(+/-2,006)"
Housing,Value,"$1,000,000 or more","2,456",(+/-903)
Housing,Value,"Median (dollars)","243,100","(+/-5,279)"
Housing,"Mortgage Status","Owner-occupied units","215,896","(+/-4,034)"
Housing,"Mortgage Status","Housing units with a mortgage","115,720","(+/-4,296)"
Housing,"Mortgage Status","Housing units without a mortgage","100,176","(+/-3,720)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","115,720","(+/-4,296)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,177",(+/-384)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","14,552","(+/-1,713)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","32,857","(+/-2,365)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","32,148","(+/-3,026)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","19,359","(+/-2,017)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","8,203","(+/-1,834)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","7,424","(+/-1,501)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,638",(+/-34)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","100,176","(+/-3,720)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","7,452","(+/-1,361)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","15,888","(+/-1,667)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","34,164","(+/-2,417)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","23,671","(+/-2,151)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","11,052","(+/-1,364)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","7,949","(+/-1,082)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",554,(+/-12)
Housing,"Gross Rent","Occupied units paying rent","109,541","(+/-4,168)"
Housing,"Gross Rent","Less than $500","10,379","(+/-1,312)"
Housing,"Gross Rent","$500 to $999","60,892","(+/-4,170)"
Housing,"Gross Rent","$1,000 to $1,499","27,672","(+/-3,129)"
Housing,"Gross Rent","$1,500 to $1,999","6,928","(+/-1,495)"
Housing,"Gross Rent","$2,000 to $2,499","1,018",(+/-411)
Housing,"Gross Rent","$2,500 to $2,999",606,(+/-420)
Housing,"Gross Rent","$3,000 or more","2,046","(+/-1,227)"
Housing,"Gross Rent","Median (dollars)",863,(+/-21)
Housing,"Gross Rent","No rent paid","6,044","(+/-1,030)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","331,481","(+/-3,670)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","16,738","(+/-2,325)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","13,268","(+/-2,381)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","21,844","(+/-2,253)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","22,256","(+/-2,430)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","39,241","(+/-3,241)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","58,333","(+/-4,120)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","46,776","(+/-3,116)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","59,069","(+/-3,707)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","26,504","(+/-2,527)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","27,452","(+/-2,564)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","71,970","(+/-2,072)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","97,699","(+/-2,859)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","762,522","(+/-1,221)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","713,892","(+/-5,037)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","597,444","(+/-8,476)"
Socioeconomic,"Health Insurance Coverage","With public coverage","224,737","(+/-9,115)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","48,630","(+/-5,073)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","190,359","(+/-1,784)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","10,478","(+/-2,011)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.5,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.1,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.9,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.1,(+/-0.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.8,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.5,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",27.7,(+/-5.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.6,(+/-7.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",51.2,(+/-20.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.5,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.7,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.4,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",11.9,(+/-2.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",12.6,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",11.1,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.9,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.5,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",23.6,(+/-2.0)
Education,"School Enrollment","Population 3 years and over enrolled in school","201,093","(+/-4,798)"
Education,"School Enrollment","Nursery school, preschool","10,105","(+/-1,774)"
Education,"School Enrollment",Kindergarten,"10,310","(+/-1,697)"
Education,"School Enrollment","Elementary school (grades 1-8)","80,120","(+/-2,878)"
Education,"School Enrollment","High school (grades 9-12)","36,834","(+/-2,278)"
Education,"School Enrollment","College or graduate school","63,724","(+/-4,364)"
Education,"Educational Attainment","Population 25 years and over","514,786","(+/-2,634)"
Education,"Educational Attainment","Less than 9th grade","13,639","(+/-1,663)"
Education,"Educational Attainment","9th to 12th grade, no diploma","17,939","(+/-2,366)"
Education,"Educational Attainment","High school graduate (includes equivalency)","131,842","(+/-4,432)"
Education,"Educational Attainment","Some college, no degree","114,375","(+/-4,954)"
Education,"Educational Attainment","Associate's degree","73,150","(+/-4,475)"
Education,"Educational Attainment","Bachelor's degree","115,034","(+/-5,016)"
Education,"Educational Attainment","Graduate or professional degree","48,807","(+/-3,358)"
Education,"Educational Attainment","Percent high school graduate or higher",93.9,(+/-0.6)
Education,"Educational Attainment","Percent bachelor's degree or higher",31.8,(+/-1.1)


"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","332,684",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",415,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction","13,546",G
Business,"Paid employees for pay period including March 12",Utilities,"3,671",J
Business,"Paid employees for pay period including March 12",Construction,"21,781",G
Business,"Paid employees for pay period including March 12",Manufacturing,"24,990",G
Business,"Paid employees for pay period including March 12","Wholesale trade","21,159",G
Business,"Paid employees for pay period including March 12","Retail trade","46,355",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","15,718",G
Business,"Paid employees for pay period including March 12",Information,"6,596",G
Business,"Paid employees for pay period including March 12","Finance and insurance","18,371",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","5,339",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","17,366",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","4,633",H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","13,666",G
Business,"Paid employees for pay period including March 12","Educational services","4,061",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","65,242",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","5,068",H
Business,"Paid employees for pay period including March 12","Accommodation and food services","30,977",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","13,674",G
Business,"Paid employees for pay period including March 12","Industries not classified",56,J
Business,"Annual payroll ($1,000)","Total for all sectors","18,530,689",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","23,538",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","1,460,861",G
Business,"Annual payroll ($1,000)",Utilities,"410,697",J
Business,"Annual payroll ($1,000)",Construction,"1,626,081",G
Business,"Annual payroll ($1,000)",Manufacturing,"1,577,376",G
Business,"Annual payroll ($1,000)","Wholesale trade","1,476,199",G
Business,"Annual payroll ($1,000)","Retail trade","1,559,709",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","935,269",G
Business,"Annual payroll ($1,000)",Information,"517,334",G
Business,"Annual payroll ($1,000)","Finance and insurance","1,409,925",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","281,011",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","1,221,061",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","423,645",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","571,522",G
Business,"Annual payroll ($1,000)","Educational services","120,189",G
Business,"Annual payroll ($1,000)","Health care and social assistance","3,666,950",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","103,278",G
Business,"Annual payroll ($1,000)","Accommodation and food services","654,445",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","489,660",G
Business,"Annual payroll ($1,000)","Industries not classified","1,939",G
Business,"Total Establishments","Total for all sectors","24,816",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",109,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",520,X
Business,"Total Establishments",Utilities,152,X
Business,"Total Establishments",Construction,"2,925",X
Business,"Total Establishments",Manufacturing,670,X
Business,"Total Establishments","Wholesale trade","1,702",X
Business,"Total Establishments","Retail trade","3,123",X
Business,"Total Establishments","Transportation and warehousing","1,515",X
Business,"Total Establishments",Information,362,X
Business,"Total Establishments","Finance and insurance","1,784",X
Business,"Total Establishments","Real estate and rental and leasing","1,143",X
Business,"Total Establishments","Professional, scientific, and technical services","1,873",X
Business,"Total Establishments","Management of companies and enterprises",137,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,180",X
Business,"Total Establishments","Educational services",191,X
Business,"Total Establishments","Health care and social assistance","2,234",X
Business,"Total Establishments","Arts, entertainment, and recreation",486,X
Business,"Total Establishments","Accommodation and food services","2,090",X
Business,"Total Establishments","Other services (except public administration)","2,577",X
Business,"Total Establishments","Industries not classified",43,X


"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
