Workers,"Employment Status",Unemployed,"22,272","(+/-3,012)"
Workers,"Employment Status","Armed Forces","3,143",(+/-962)
Workers,"Employment Status","Not in labor force","311,229","(+/-6,791)"
Workers,"Employment Status","Civilian labor force","520,993","(+/-6,939)"
Workers,"Employment Status","Unemployment Rate",4.3,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","491,770","(+/-7,668)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","357,857","(+/-8,512)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","35,081","(+/-3,786)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","7,057","(+/-1,850)"
Workers,"Commuting to Work",Walked,"10,288","(+/-1,947)"
Workers,"Commuting to Work","Other means","7,434","(+/-1,516)"
Workers,"Commuting to Work","Worked from home","74,053","(+/-5,135)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.1,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","498,721","(+/-7,598)"
Workers,Occupation,"Management, business, science, and arts occupations","216,580","(+/-7,701)"
Workers,Occupation,"Service occupations","84,666","(+/-5,244)"
Workers,Occupation,"Sales and office occupations","94,971","(+/-5,933)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","42,187","(+/-4,284)"
Workers,Occupation,"Production, transportation, and material moving occupations","60,317","(+/-4,320)"
Workers,Industry,"Civilian employed population 16 years and over","498,721","(+/-7,598)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","5,134","(+/-1,404)"
Workers,Industry,Construction,"35,625","(+/-4,179)"
Workers,Industry,Manufacturing,"36,139","(+/-3,028)"
Workers,Industry,"Wholesale trade","9,252","(+/-1,926)"
Workers,Industry,"Retail trade","61,886","(+/-5,122)"
Workers,Industry,"Transportation and warehousing, and utilities","30,272","(+/-3,353)"
Workers,Industry,Information,"5,252","(+/-1,415)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","47,192","(+/-3,327)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","60,244","(+/-4,561)"
Workers,Industry,"Educational services, and health care and social assistance","116,988","(+/-5,472)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","42,138","(+/-4,083)"
Workers,Industry,"Other services, except public administration","23,757","(+/-3,137)"
Workers,Industry,"Public administration","24,842","(+/-2,923)"
Workers,"Class of Worker","Civilian employed population 16 years and over","498,721","(+/-7,598)"
Workers,"Class of Worker","Private wage and salary workers","405,615","(+/-7,557)"
Workers,"Class of Worker","Government workers","71,107","(+/-4,522)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","21,479","(+/-2,854)"
Workers,"Class of Worker","Unpaid family workers",520,(+/-433)
Housing,"Housing Occupancy","Total housing units","465,804",(+/-84)
Housing,"Housing Occupancy","Occupied housing units","402,334","(+/-3,985)"
Housing,"Housing Occupancy","Vacant housing units","63,470","(+/-3,990)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.5,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.2,(+/-1.3)
Housing,"Housing Tenure","Occupied housing units","402,334","(+/-3,985)"
Housing,"Housing Tenure",Owner-occupied,"298,075","(+/-5,549)"
Housing,"Housing Tenure",Renter-occupied,"104,259","(+/-5,025)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.51,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.37,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","402,334","(+/-3,985)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","60,682","(+/-3,661)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","90,876","(+/-4,295)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","102,617","(+/-4,365)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","70,760","(+/-4,182)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","40,063","(+/-3,235)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","37,336","(+/-2,876)"
Housing,Value,"Owner-occupied units","298,075","(+/-5,549)"
Housing,Value,"Less than $50,000","15,560","(+/-2,133)"
Housing,Value,"$50,000 to $99,999","8,229","(+/-1,602)"
Housing,Value,"$100,000 to $149,999","9,604","(+/-1,803)"
Housing,Value,"$150,000 to $199,999","21,306","(+/-2,373)"
Housing,Value,"$200,000 to $299,999","68,996","(+/-3,615)"
Housing,Value,"$300,000 to $499,999","114,654","(+/-3,890)"
Housing,Value,"$500,000 to $999,999","51,791","(+/-2,919)"
Housing,Value,"$1,000,000 or more","7,935",(+/-989)
Housing,Value,"Median (dollars)","337,200","(+/-4,487)"
Housing,"Mortgage Status","Owner-occupied units","298,075","(+/-5,549)"
Housing,"Mortgage Status","Housing units with a mortgage","188,136","(+/-4,751)"
Housing,"Mortgage Status","Housing units without a mortgage","109,939","(+/-4,377)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","188,136","(+/-4,751)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","2,235",(+/-732)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","18,558","(+/-2,417)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","56,342","(+/-3,336)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","55,583","(+/-3,678)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","30,730","(+/-2,992)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","13,550","(+/-1,642)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","11,138","(+/-1,432)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,629",(+/-23)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","109,939","(+/-4,377)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","8,727","(+/-1,667)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","25,459","(+/-2,268)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","37,124","(+/-3,123)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","19,798","(+/-1,857)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","8,724","(+/-1,445)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","10,107","(+/-1,748)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",505,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","98,064","(+/-4,876)"
Housing,"Gross Rent","Less than $500","7,107","(+/-1,273)"
Housing,"Gross Rent","$500 to $999","16,068","(+/-2,470)"
Housing,"Gross Rent","$1,000 to $1,499","43,214","(+/-3,800)"
Housing,"Gross Rent","$1,500 to $1,999","21,978","(+/-2,672)"
Housing,"Gross Rent","$2,000 to $2,499","6,865","(+/-1,729)"
Housing,"Gross Rent","$2,500 to $2,999","1,136",(+/-643)
Housing,"Gross Rent","$3,000 or more","1,696",(+/-594)
Housing,"Gross Rent","Median (dollars)","1,274",(+/-35)
Housing,"Gross Rent","No rent paid","6,195","(+/-1,310)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","402,334","(+/-3,985)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","16,288","(+/-2,465)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","10,537","(+/-2,032)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","23,336","(+/-2,323)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","28,460","(+/-2,945)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","41,672","(+/-3,408)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","64,121","(+/-4,792)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","56,111","(+/-3,784)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","80,605","(+/-4,898)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","37,675","(+/-3,312)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","43,529","(+/-3,209)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","82,174","(+/-2,002)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","105,438","(+/-2,965)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","1,005,551",(+/-962)
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","948,761","(+/-6,368)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","721,927","(+/-11,936)"
Socioeconomic,"Health Insurance Coverage","With public coverage","397,480","(+/-10,306)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","56,790","(+/-6,321)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","222,571","(+/-1,733)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","7,488","(+/-1,982)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.5,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.7,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.2,(+/-4.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.4,(+/-0.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.0,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.3,(+/-3.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",17.5,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",23.9,(+/-5.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",27.6,(+/-15.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.4,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.9,(+/-2.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.8,(+/-2.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",13.3,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",12.6,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.5,(+/-0.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.7,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.2,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",18.4,(+/-1.7)
Education,"School Enrollment","Population 3 years and over enrolled in school","231,496","(+/-5,771)"
Education,"School Enrollment","Nursery school, preschool","13,610","(+/-2,178)"
Education,"School Enrollment",Kindergarten,"13,008","(+/-2,154)"
Education,"School Enrollment","Elementary school (grades 1-8)","92,935","(+/-3,279)"
Education,"School Enrollment","High school (grades 9-12)","47,061","(+/-2,533)"
Education,"School Enrollment","College or graduate school","64,882","(+/-4,661)"
Education,"Educational Attainment","Population 25 years and over","724,041",(+/-851)
Education,"Educational Attainment","Less than 9th grade","18,944","(+/-2,387)"
Education,"Educational Attainment","9th to 12th grade, no diploma","38,980","(+/-3,506)"
Education,"Educational Attainment","High school graduate (includes equivalency)","204,385","(+/-7,697)"
Education,"Educational Attainment","Some college, no degree","135,691","(+/-7,159)"
Education,"Educational Attainment","Associate's degree","61,657","(+/-4,178)"
Education,"Educational Attainment","Bachelor's degree","151,894","(+/-6,552)"
Education,"Educational Attainment","Graduate or professional degree","112,490","(+/-5,604)"
Education,"Educational Attainment","Percent high school graduate or higher",92.0,(+/-0.6)
Education,"Educational Attainment","Percent bachelor's degree or higher",36.5,(+/-1.1)


"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District (At Large) Estimate","District (At Large) Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","408,714",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",135,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",352,H
Business,"Paid employees for pay period including March 12",Utilities,"2,512",H
Business,"Paid employees for pay period including March 12",Construction,"23,209",G
Business,"Paid employees for pay period including March 12",Manufacturing,"28,071",G
Business,"Paid employees for pay period including March 12","Wholesale trade","18,441",H
Business,"Paid employees for pay period including March 12","Retail trade","53,372",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","19,701",H
Business,"Paid employees for pay period including March 12",Information,"6,325",G
Business,"Paid employees for pay period including March 12","Finance and insurance","41,812",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","6,366",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","32,854",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","6,579",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","31,897",G
Business,"Paid employees for pay period including March 12","Educational services","6,082",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","71,861",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","7,430",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","37,200",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","14,260",G
Business,"Paid employees for pay period including March 12","Industries not classified",255,J
Business,"Annual payroll ($1,000)","Total for all sectors","26,817,650",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","7,485",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","38,281",H
Business,"Annual payroll ($1,000)",Utilities,"312,564",H
Business,"Annual payroll ($1,000)",Construction,"1,503,347",G
Business,"Annual payroll ($1,000)",Manufacturing,"1,854,607",G
Business,"Annual payroll ($1,000)","Wholesale trade","2,077,218",H
Business,"Annual payroll ($1,000)","Retail trade","1,769,871",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","856,026",H
Business,"Annual payroll ($1,000)",Information,"683,533",G
Business,"Annual payroll ($1,000)","Finance and insurance","4,613,107",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","373,098",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","3,969,709",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","784,020",G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,450,109",G
Business,"Annual payroll ($1,000)","Educational services","277,683",G
Business,"Annual payroll ($1,000)","Health care and social assistance","4,520,041",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","267,845",G
Business,"Annual payroll ($1,000)","Accommodation and food services","914,630",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","535,030",G
Business,"Annual payroll ($1,000)","Industries not classified","9,446",G
Business,"Total Establishments","Total for all sectors","28,553",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",38,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",23,X
Business,"Total Establishments",Utilities,80,X
Business,"Total Establishments",Construction,"2,449",X
Business,"Total Establishments",Manufacturing,602,X
Business,"Total Establishments","Wholesale trade","1,263",X
Business,"Total Establishments","Retail trade","3,732",X
Business,"Total Establishments","Transportation and warehousing",853,X
Business,"Total Establishments",Information,861,X
Business,"Total Establishments","Finance and insurance","2,037",X
Business,"Total Establishments","Real estate and rental and leasing","1,412",X
Business,"Total Establishments","Professional, scientific, and technical services","3,838",X
Business,"Total Establishments","Management of companies and enterprises",563,X
Business,"Total Establishments","Administrative and support and waste management and remediation services","1,733",X
Business,"Total Establishments","Educational services",366,X
Business,"Total Establishments","Health care and social assistance","3,280",X
Business,"Total Establishments","Arts, entertainment, and recreation",539,X
Business,"Total Establishments","Accommodation and food services","2,314",X
Business,"Total Establishments","Other services (except public administration)","2,375",X
Business,"Total Establishments","Industries not classified",195,X


"Source: 2021 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
