Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,Race,"Total population","714,598","(+/-10,286)","700,774","(+/-4,385)","687,278","(+/-10,665)","715,450","(+/-3,700)","719,249","(+/-10,775)","702,788","(+/-8,325)"
People,Race,"One race","625,397","(+/-12,878)","622,189","(+/-7,044)","596,135","(+/-13,357)","643,247","(+/-6,086)","651,568","(+/-11,510)","598,778","(+/-9,700)"
People,Race,White,"487,168","(+/-10,381)","549,369","(+/-6,616)","461,938","(+/-10,096)","586,448","(+/-5,664)","588,579","(+/-10,187)","486,917","(+/-9,147)"
People,Race,"Black or African American","17,835","(+/-3,064)","5,187","(+/-1,191)","37,506","(+/-3,971)","5,358","(+/-1,303)","8,817","(+/-2,323)","8,117","(+/-1,904)"
People,Race,"American Indian and Alaska Native","4,579","(+/-1,309)","11,071","(+/-2,050)","9,448","(+/-2,685)","10,821","(+/-2,223)","5,369","(+/-1,448)","10,447","(+/-2,825)"
People,Race,Asian,"71,545","(+/-4,045)","8,451","(+/-1,909)","50,003","(+/-4,090)","19,688","(+/-2,319)","20,817","(+/-2,596)","24,006","(+/-3,237)"
People,Race,"Native Hawaiian and Other Pacific Islander","3,646","(+/-1,679)",814,(+/-656),"3,864","(+/-1,415)",998,(+/-475),"1,783",(+/-699),"6,031","(+/-1,233)"
People,Race,"Some other race","40,624","(+/-6,515)","47,297","(+/-7,061)","33,376","(+/-5,347)","19,934","(+/-2,947)","26,203","(+/-4,837)","63,260","(+/-8,708)"
People,Race,"Two or more races","89,201","(+/-8,505)","78,585","(+/-5,695)","91,143","(+/-8,015)","72,203","(+/-4,843)","67,681","(+/-6,908)","104,010","(+/-7,517)"
People,"Hispanic or Latino and Race","Total population","714,598","(+/-10,286)","700,774","(+/-4,385)","687,278","(+/-10,665)","715,450","(+/-3,700)","719,249","(+/-10,775)","702,788","(+/-8,325)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","105,302","(+/-6,208)","110,930","(+/-2,130)","97,233","(+/-4,408)","65,383","(+/-1,205)","77,445","(+/-5,752)","153,245","(+/-7,158)"
People,"Hispanic or Latino and Race",Mexican,"78,944","(+/-6,219)","89,534","(+/-4,366)","69,770","(+/-5,528)","46,661","(+/-2,855)","58,581","(+/-5,576)","126,845","(+/-9,050)"
People,"Hispanic or Latino and Race","Puerto Rican","2,983","(+/-1,197)","2,619","(+/-1,028)","3,303","(+/-1,424)","2,793","(+/-1,274)","1,963","(+/-1,078)","1,640",(+/-763)
People,"Hispanic or Latino and Race",Cuban,"1,169",(+/-647),614,(+/-454),"4,220","(+/-1,960)","1,834",(+/-818),169,(+/-177),"1,229","(+/-1,205)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,206","(+/-4,260)","18,163","(+/-4,020)","19,940","(+/-3,906)","14,095","(+/-2,523)","16,732","(+/-3,901)","23,531","(+/-5,177)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","609,296","(+/-10,032)","589,844","(+/-4,226)","590,045","(+/-10,321)","650,067","(+/-3,550)","641,804","(+/-9,977)","549,543","(+/-8,309)"
People,"Place of Birth","Total population","714,598","(+/-10,286)","700,774","(+/-4,385)","687,278","(+/-10,665)","715,450","(+/-3,700)","719,249","(+/-10,775)","702,788","(+/-8,325)"
People,"Place of Birth",Native,"607,356","(+/-11,297)","660,401","(+/-5,182)","597,058","(+/-10,377)","673,141","(+/-4,937)","669,393","(+/-10,948)","611,845","(+/-9,914)"
People,"Place of Birth","Born in United States","596,908","(+/-11,255)","654,152","(+/-5,216)","587,048","(+/-10,709)","665,831","(+/-5,136)","659,848","(+/-11,089)","602,229","(+/-10,169)"
People,"Place of Birth","State of residence","286,750","(+/-9,954)","316,558","(+/-8,537)","308,108","(+/-10,447)","316,884","(+/-9,722)","358,504","(+/-10,147)","331,011","(+/-9,948)"
People,"Place of Birth","Different state","310,158","(+/-10,100)","337,594","(+/-8,527)","278,940","(+/-8,195)","348,947","(+/-10,280)","301,344","(+/-9,866)","271,218","(+/-8,622)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,448","(+/-1,727)","6,249","(+/-1,415)","10,010","(+/-2,459)","7,310","(+/-1,461)","9,545","(+/-2,038)","9,616","(+/-2,562)"
People,"Place of Birth","Foreign born","107,242","(+/-5,594)","40,373","(+/-2,973)","90,220","(+/-5,932)","42,309","(+/-3,922)","49,856","(+/-4,605)","90,943","(+/-7,433)"
People,Ancestry,"Total population","714,598","(+/-10,286)","700,774","(+/-4,385)","687,278","(+/-10,665)","715,450","(+/-3,700)","719,249","(+/-10,775)","702,788","(+/-8,325)"
People,Ancestry,American,"37,714","(+/-4,934)","27,289","(+/-3,816)","30,304","(+/-5,276)","27,297","(+/-4,354)","28,671","(+/-4,589)","39,764","(+/-4,745)"
People,Ancestry,Arab,"4,202","(+/-1,751)",551,(+/-406),"5,041","(+/-2,917)","2,271","(+/-1,031)","1,648",(+/-902),"2,803","(+/-1,375)"
People,Ancestry,Czech,"1,741",(+/-577),"1,184",(+/-516),"3,345",(+/-951),"3,019","(+/-1,023)","2,936",(+/-918),"2,845",(+/-901)
People,Ancestry,Danish,"5,421","(+/-1,045)","4,866","(+/-1,493)","5,048","(+/-1,493)","5,733","(+/-1,451)","6,755","(+/-2,234)","4,384","(+/-1,492)"
People,Ancestry,Dutch,"9,964","(+/-1,959)","11,264","(+/-1,987)","10,726","(+/-2,256)","12,091","(+/-2,444)","12,901","(+/-2,869)","8,651","(+/-1,817)"
People,Ancestry,English,"89,349","(+/-6,541)","98,017","(+/-7,563)","80,618","(+/-6,454)","117,873","(+/-6,070)","107,625","(+/-6,772)","92,334","(+/-6,729)"
People,Ancestry,"French (except Basque)","14,539","(+/-2,332)","15,020","(+/-2,242)","16,629","(+/-2,982)","21,617","(+/-3,259)","14,865","(+/-2,449)","14,218","(+/-2,316)"
People,Ancestry,"French Canadian","2,491",(+/-768),"3,663","(+/-1,342)","2,857","(+/-1,066)","2,996","(+/-1,268)","3,494","(+/-1,232)","3,520","(+/-1,187)"
People,Ancestry,German,"107,694","(+/-6,881)","107,181","(+/-7,184)","91,137","(+/-6,196)","133,682","(+/-6,162)","130,022","(+/-8,622)","111,395","(+/-7,929)"
People,Ancestry,Greek,"4,318","(+/-2,512)","1,758","(+/-1,116)","1,786",(+/-849),"2,928","(+/-1,141)","2,613",(+/-991),"3,186","(+/-2,305)"
People,Ancestry,Hungarian,"2,848",(+/-928),"1,528",(+/-584),"3,196","(+/-1,143)","2,196",(+/-898),"3,957","(+/-1,489)","1,518",(+/-822)
People,Ancestry,Irish,"69,521","(+/-5,632)","71,494","(+/-5,465)","73,406","(+/-6,014)","86,960","(+/-6,158)","81,754","(+/-5,448)","64,648","(+/-6,038)"
People,Ancestry,Italian,"23,586","(+/-2,985)","23,148","(+/-3,582)","27,523","(+/-3,978)","25,388","(+/-3,332)","25,131","(+/-3,893)","18,508","(+/-2,887)"
People,Ancestry,Lithuanian,522,(+/-269),"1,211",(+/-807),"1,520",(+/-856),764,(+/-358),"1,207",(+/-547),568,(+/-461)
People,Ancestry,Norwegian,"23,397","(+/-3,139)","19,475","(+/-3,283)","22,078","(+/-3,574)","21,586","(+/-2,788)","29,516","(+/-4,210)","25,334","(+/-4,348)"
People,Ancestry,Polish,"11,988","(+/-2,090)","9,116","(+/-1,706)","11,116","(+/-1,974)","11,927","(+/-2,198)","15,821","(+/-3,514)","9,646","(+/-1,818)"
People,Ancestry,Portuguese,"3,238","(+/-1,122)","2,270",(+/-720),"2,657","(+/-1,046)","4,139","(+/-1,452)","3,689","(+/-1,201)","2,105",(+/-735)
People,Ancestry,Russian,"5,315","(+/-1,187)","2,551",(+/-866),"6,074","(+/-1,879)","4,538","(+/-1,489)","6,845","(+/-1,874)","5,125","(+/-1,547)"
People,Ancestry,Scotch-Irish,"6,707","(+/-1,164)","8,971","(+/-2,014)","5,512","(+/-1,586)","9,666","(+/-1,419)","7,275","(+/-1,467)","6,032","(+/-1,317)"
People,Ancestry,Scottish,"18,874","(+/-2,728)","18,491","(+/-2,457)","19,745","(+/-2,339)","22,672","(+/-2,682)","25,060","(+/-3,666)","15,876","(+/-2,591)"
People,Ancestry,Slovak,"1,227","(+/-1,108)",194,(+/-177),396,(+/-277),"1,108",(+/-847),201,(+/-173),688,(+/-538)
People,Ancestry,"Subsaharan African","7,604","(+/-2,740)","1,036",(+/-563),"6,763","(+/-2,243)","2,200",(+/-905),"3,270","(+/-1,734)","2,235","(+/-1,084)"
People,Ancestry,Swedish,"15,720","(+/-2,710)","12,538","(+/-2,491)","13,340","(+/-1,996)","19,182","(+/-2,518)","17,550","(+/-2,496)","13,583","(+/-2,431)"
People,Ancestry,Swiss,"4,459","(+/-1,126)","3,256","(+/-1,067)","3,171","(+/-1,080)","3,796","(+/-1,111)","3,985","(+/-1,125)","3,773","(+/-1,064)"
People,Ancestry,Ukrainian,"2,660","(+/-1,187)","1,957",(+/-852),"7,330","(+/-2,696)","2,019","(+/-1,082)","3,053","(+/-1,206)","2,631","(+/-1,023)"
People,Ancestry,Welsh,"5,083","(+/-1,283)","5,841","(+/-1,522)","5,254","(+/-1,092)","6,686","(+/-1,517)","5,087","(+/-1,183)","4,575","(+/-1,192)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,232","(+/-1,092)","1,792","(+/-1,135)",689,(+/-419),284,(+/-283),638,(+/-373),633,(+/-517)
People,"Veteran Status","Civilian population 18 years and over","581,502","(+/-8,475)","555,254","(+/-3,716)","553,904","(+/-8,147)","594,209","(+/-2,969)","571,722","(+/-8,298)","548,021","(+/-5,784)"
People,"Veteran Status","Civilian veterans","34,224","(+/-3,574)","54,025","(+/-3,585)","29,410","(+/-2,944)","52,325","(+/-3,141)","42,999","(+/-3,473)","38,646","(+/-2,442)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","709,358","(+/-10,092)","688,188","(+/-4,541)","682,689","(+/-10,662)","711,184","(+/-3,620)","715,402","(+/-10,755)","692,650","(+/-8,326)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","89,188","(+/-5,111)","130,520","(+/-5,482)","101,385","(+/-6,093)","129,356","(+/-5,554)","107,619","(+/-5,394)","103,612","(+/-5,518)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","132,531","(+/-4,656)","144,513","(+/-2,720)","132,753","(+/-5,191)","120,373","(+/-2,288)","146,993","(+/-4,712)","154,276","(+/-5,059)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,636","(+/-1,329)","7,026","(+/-1,506)","9,901","(+/-2,170)","7,647","(+/-1,558)","6,696","(+/-1,528)","8,036","(+/-1,524)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","464,663","(+/-8,225)","382,809","(+/-3,850)","447,458","(+/-7,743)","425,975","(+/-2,911)","426,895","(+/-7,877)","416,802","(+/-5,999)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","47,236","(+/-3,633)","62,416","(+/-4,656)","53,971","(+/-5,121)","64,795","(+/-4,341)","54,602","(+/-4,119)","53,635","(+/-4,032)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","112,164","(+/-3,981)","160,866","(+/-2,950)","102,478","(+/-3,916)","164,836","(+/-2,472)","141,514","(+/-3,912)","121,572","(+/-3,686)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,316","(+/-2,618)","61,078","(+/-3,077)","37,513","(+/-2,789)","56,914","(+/-2,830)","46,321","(+/-2,931)","41,941","(+/-2,887)"
People,"Residence 1 Year Ago","Population 1 year and over","706,875","(+/-10,201)","694,890","(+/-4,284)","681,648","(+/-10,536)","710,235","(+/-3,877)","712,154","(+/-10,501)","695,209","(+/-8,652)"
People,"Residence 1 Year Ago","Same house","594,327","(+/-12,454)","600,158","(+/-8,905)","586,884","(+/-12,145)","592,784","(+/-7,278)","618,546","(+/-12,584)","597,835","(+/-10,849)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","112,548","(+/-8,306)","94,732","(+/-7,637)","94,764","(+/-9,118)","117,451","(+/-6,161)","93,608","(+/-7,930)","97,374","(+/-6,928)"
People,"Residence 1 Year Ago","Different house in the U.S.","108,293","(+/-7,979)","92,734","(+/-7,476)","90,525","(+/-8,926)","113,191","(+/-6,421)","92,463","(+/-7,939)","95,522","(+/-6,800)"
People,"Residence 1 Year Ago","Same county","52,979","(+/-6,250)","51,282","(+/-6,893)","53,469","(+/-6,467)","59,267","(+/-5,661)","42,055","(+/-5,243)","42,654","(+/-5,857)"
People,"Residence 1 Year Ago","Different county","55,314","(+/-5,125)","41,452","(+/-4,664)","37,056","(+/-5,323)","53,924","(+/-4,758)","50,408","(+/-5,655)","52,868","(+/-5,308)"
People,"Residence 1 Year Ago","Same state","28,234","(+/-3,570)","20,675","(+/-3,121)","20,513","(+/-4,532)","24,441","(+/-3,486)","30,284","(+/-3,717)","38,516","(+/-4,828)"
People,"Residence 1 Year Ago","Different state","27,080","(+/-3,574)","20,777","(+/-3,075)","16,543","(+/-2,423)","29,483","(+/-3,663)","20,124","(+/-3,627)","14,352","(+/-2,635)"
People,"Residence 1 Year Ago",Abroad,"4,255","(+/-1,707)","1,998",(+/-703),"4,239","(+/-1,232)","4,260","(+/-1,695)","1,145",(+/-671),"1,852",(+/-901)
Workers,"Employment Status","Population 16 years and over","597,144","(+/-9,036)","574,277","(+/-4,015)","571,245","(+/-8,146)","608,477","(+/-3,390)","588,296","(+/-8,920)","570,025","(+/-6,717)"
Workers,"Employment Status","In labor force","409,006","(+/-9,177)","314,641","(+/-6,065)","394,083","(+/-9,100)","349,938","(+/-6,612)","369,968","(+/-8,307)","354,023","(+/-7,588)"
Workers,"Employment Status","Civilian labor force","408,612","(+/-9,183)","313,722","(+/-6,065)","393,521","(+/-9,088)","349,334","(+/-6,626)","369,622","(+/-8,311)","353,690","(+/-7,614)"
Workers,"Employment Status",Employed,"394,177","(+/-9,165)","297,238","(+/-6,241)","375,510","(+/-9,388)","330,844","(+/-7,170)","357,490","(+/-8,662)","340,104","(+/-8,254)"
Workers,"Employment Status",Unemployed,"14,435","(+/-1,982)","16,484","(+/-2,280)","18,011","(+/-2,779)","18,490","(+/-2,779)","12,132","(+/-1,840)","13,586","(+/-2,510)"
Workers,"Employment Status","Armed Forces",394,(+/-257),919,(+/-593),562,(+/-382),604,(+/-403),346,(+/-350),333,(+/-251)
Workers,"Employment Status","Not in labor force","188,138","(+/-6,537)","259,636","(+/-6,071)","177,162","(+/-6,816)","258,539","(+/-6,728)","218,328","(+/-7,180)","216,002","(+/-6,791)"
Workers,"Employment Status","Civilian labor force","408,612","(+/-9,183)","313,722","(+/-6,065)","393,521","(+/-9,088)","349,334","(+/-6,626)","369,622","(+/-8,311)","353,690","(+/-7,614)"
Workers,"Employment Status","Unemployment Rate",3.5,(+/-0.5),5.3,(+/-0.7),4.6,(+/-0.7),5.3,(+/-0.8),3.3,(+/-0.5),3.8,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","386,522","(+/-9,305)","292,242","(+/-6,257)","366,594","(+/-8,967)","325,525","(+/-7,268)","350,025","(+/-8,741)","334,192","(+/-8,164)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","224,911","(+/-6,465)","213,225","(+/-6,631)","211,317","(+/-8,024)","219,179","(+/-8,362)","223,908","(+/-8,990)","225,283","(+/-7,812)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,136","(+/-3,553)","30,143","(+/-3,478)","28,608","(+/-3,935)","31,279","(+/-3,491)","30,485","(+/-4,229)","28,550","(+/-3,351)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","14,439","(+/-2,350)",510,(+/-291),"16,893","(+/-2,673)","3,115",(+/-934),"3,428","(+/-1,220)","4,649","(+/-2,146)"
Workers,"Commuting to Work",Walked,"16,684","(+/-2,806)","10,457","(+/-1,928)","11,561","(+/-2,032)","16,073","(+/-4,081)","9,743","(+/-2,431)","9,510","(+/-1,708)"
Workers,"Commuting to Work","Other means","9,346","(+/-1,613)","5,781","(+/-1,132)","13,490","(+/-2,106)","11,650","(+/-2,301)","8,239","(+/-1,494)","5,794","(+/-1,365)"
Workers,"Commuting to Work","Worked from home","94,006","(+/-5,792)","32,126","(+/-3,079)","84,725","(+/-6,395)","44,229","(+/-3,464)","74,222","(+/-5,109)","60,406","(+/-3,851)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.5,(+/-0.6),19.7,(+/-0.8),25.6,(+/-1.0),19.8,(+/-0.8),23.2,(+/-0.7),24.9,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","394,177","(+/-9,165)","297,238","(+/-6,241)","375,510","(+/-9,388)","330,844","(+/-7,170)","357,490","(+/-8,662)","340,104","(+/-8,254)"
Workers,Occupation,"Management, business, science, and arts occupations","200,330","(+/-7,202)","103,302","(+/-5,749)","176,310","(+/-7,628)","132,957","(+/-6,347)","154,479","(+/-6,091)","139,095","(+/-5,849)"
Workers,Occupation,"Service occupations","58,813","(+/-4,254)","56,905","(+/-4,189)","62,918","(+/-4,997)","66,051","(+/-4,792)","55,352","(+/-4,214)","61,144","(+/-4,411)"
Workers,Occupation,"Sales and office occupations","66,389","(+/-5,475)","64,296","(+/-4,608)","62,911","(+/-4,798)","66,727","(+/-5,041)","74,664","(+/-4,739)","62,620","(+/-4,776)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","29,855","(+/-3,358)","33,006","(+/-2,915)","27,784","(+/-3,885)","28,854","(+/-3,648)","29,043","(+/-3,224)","34,141","(+/-3,982)"
Workers,Occupation,"Production, transportation, and material moving occupations","38,790","(+/-3,720)","39,729","(+/-2,970)","45,587","(+/-3,962)","36,255","(+/-3,068)","43,952","(+/-3,852)","43,104","(+/-3,779)"
Workers,Industry,"Civilian employed population 16 years and over","394,177","(+/-9,165)","297,238","(+/-6,241)","375,510","(+/-9,388)","330,844","(+/-7,170)","357,490","(+/-8,662)","340,104","(+/-8,254)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","5,709","(+/-1,643)","14,074","(+/-2,220)","6,455","(+/-1,775)","10,471","(+/-3,317)","5,378","(+/-1,519)","14,901","(+/-2,959)"
Workers,Industry,Construction,"24,120","(+/-3,470)","20,035","(+/-2,355)","21,641","(+/-3,019)","22,953","(+/-2,908)","29,325","(+/-3,546)","24,469","(+/-2,686)"
Workers,Industry,Manufacturing,"57,988","(+/-3,924)","24,412","(+/-2,403)","35,815","(+/-3,798)","26,729","(+/-2,596)","35,994","(+/-3,786)","37,602","(+/-3,376)"
Workers,Industry,"Wholesale trade","9,358","(+/-1,942)","5,329","(+/-1,918)","10,203","(+/-1,902)","6,176","(+/-1,413)","8,792","(+/-1,888)","6,592","(+/-1,457)"
Workers,Industry,"Retail trade","43,809","(+/-3,800)","42,336","(+/-3,842)","41,079","(+/-3,950)","41,229","(+/-4,335)","44,883","(+/-4,085)","41,393","(+/-3,852)"
Workers,Industry,"Transportation and warehousing, and utilities","17,363","(+/-2,135)","15,365","(+/-2,287)","21,125","(+/-2,566)","14,329","(+/-1,995)","15,666","(+/-2,481)","12,041","(+/-2,255)"
Workers,Industry,Information,"7,184","(+/-1,320)","6,238","(+/-1,499)","9,236","(+/-1,961)","3,936","(+/-1,151)","5,962","(+/-1,438)","3,573","(+/-1,051)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,592","(+/-3,145)","12,728","(+/-2,210)","19,559","(+/-2,871)","18,615","(+/-2,146)","25,484","(+/-2,735)","18,700","(+/-2,055)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","60,931","(+/-4,292)","27,241","(+/-3,184)","54,789","(+/-3,887)","31,810","(+/-3,615)","45,207","(+/-4,105)","39,304","(+/-3,975)"
Workers,Industry,"Educational services, and health care and social assistance","79,801","(+/-4,692)","70,089","(+/-4,238)","84,009","(+/-5,080)","89,921","(+/-6,150)","78,082","(+/-5,327)","75,523","(+/-4,650)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","35,135","(+/-3,118)","28,625","(+/-2,751)","39,799","(+/-4,173)","33,005","(+/-3,469)","30,882","(+/-3,563)","27,417","(+/-3,407)"
Workers,Industry,"Other services, except public administration","14,768","(+/-2,129)","15,484","(+/-2,140)","17,464","(+/-2,197)","16,810","(+/-2,439)","17,026","(+/-2,762)","17,339","(+/-2,615)"
Workers,Industry,"Public administration","13,419","(+/-1,685)","15,282","(+/-2,317)","14,336","(+/-2,312)","14,860","(+/-2,115)","14,809","(+/-1,976)","21,250","(+/-2,709)"
Workers,"Class of Worker","Civilian employed population 16 years and over","394,177","(+/-9,165)","297,238","(+/-6,241)","375,510","(+/-9,388)","330,844","(+/-7,170)","357,490","(+/-8,662)","340,104","(+/-8,254)"
Workers,"Class of Worker","Private wage and salary workers","326,295","(+/-8,878)","224,875","(+/-6,854)","300,947","(+/-9,317)","244,544","(+/-7,589)","284,107","(+/-7,929)","272,647","(+/-7,898)"
Workers,"Class of Worker","Government workers","43,020","(+/-2,850)","46,201","(+/-3,652)","46,466","(+/-3,923)","60,947","(+/-4,830)","45,745","(+/-3,696)","48,271","(+/-4,212)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","23,428","(+/-3,010)","25,113","(+/-2,473)","27,031","(+/-3,248)","24,418","(+/-2,599)","27,164","(+/-2,858)","18,268","(+/-2,333)"
Workers,"Class of Worker","Unpaid family workers","1,434",(+/-800),"1,049",(+/-537),"1,066",(+/-643),935,(+/-608),474,(+/-361),918,(+/-631)
Housing,"Housing Occupancy","Total housing units","331,212","(+/-4,700)","314,588","(+/-2,708)","297,045","(+/-4,367)","330,567","(+/-2,016)","307,793","(+/-4,157)","278,144","(+/-3,214)"
Housing,"Housing Occupancy","Occupied housing units","307,822","(+/-4,994)","285,770","(+/-3,345)","275,775","(+/-4,702)","303,285","(+/-3,526)","285,704","(+/-5,444)","267,984","(+/-3,385)"
Housing,"Housing Occupancy","Vacant housing units","23,390","(+/-2,789)","28,818","(+/-2,865)","21,270","(+/-2,962)","27,282","(+/-3,320)","22,089","(+/-3,777)","10,160","(+/-2,167)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.5,(+/-0.3),0.8,(+/-0.4),0.6,(+/-0.5),0.5,(+/-0.4),0.6,(+/-0.5),0.8,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",4.1,(+/-1.1),3.5,(+/-1.2),4.6,(+/-1.5),3.0,(+/-1.0),3.6,(+/-1.6),3.1,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units","307,822","(+/-4,994)","285,770","(+/-3,345)","275,775","(+/-4,702)","303,285","(+/-3,526)","285,704","(+/-5,444)","267,984","(+/-3,385)"
Housing,"Housing Tenure",Owner-occupied,"171,191","(+/-4,175)","192,873","(+/-4,922)","164,221","(+/-4,949)","193,607","(+/-4,449)","196,223","(+/-5,174)","166,671","(+/-4,089)"
Housing,"Housing Tenure",Renter-occupied,"136,631","(+/-5,100)","92,897","(+/-4,089)","111,554","(+/-5,117)","109,678","(+/-4,269)","89,481","(+/-4,806)","101,313","(+/-4,780)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.50,(+/-0.05),2.44,(+/-0.04),2.63,(+/-0.05),2.38,(+/-0.05),2.56,(+/-0.05),2.66,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.00,(+/-0.06),2.26,(+/-0.07),2.15,(+/-0.07),2.13,(+/-0.08),2.32,(+/-0.08),2.37,(+/-0.08)
