Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,Ancestry,Norwegian,"32,868","(+/-3,507)","69,695","(+/-4,829)","104,517","(+/-6,138)","11,864","(+/-1,836)","29,263","(+/-2,979)","30,603","(+/-2,724)","63,443","(+/-3,972)","26,169","(+/-2,820)"
People,Ancestry,Polish,"68,966","(+/-6,034)","36,587","(+/-4,175)","58,658","(+/-3,947)","46,668","(+/-3,735)","85,370","(+/-6,535)","48,503","(+/-4,074)","62,910","(+/-3,681)","55,353","(+/-3,904)"
People,Ancestry,Portuguese,544,(+/-441),913,(+/-541),835,(+/-563),309,(+/-182),501,(+/-499),893,(+/-644),355,(+/-246),591,(+/-439)
People,Ancestry,Russian,"3,095","(+/-1,144)","3,314",(+/-830),"1,853",(+/-585),"3,812","(+/-1,068)","4,159","(+/-1,584)","5,635","(+/-1,706)","3,212",(+/-752),"2,552",(+/-816)
People,Ancestry,Scotch-Irish,"3,268",(+/-920),"2,713",(+/-647),"3,304","(+/-1,043)","1,771",(+/-544),"2,706",(+/-765),"2,173",(+/-769),"2,537",(+/-584),"1,560",(+/-568)
People,Ancestry,Scottish,"9,071","(+/-1,911)","13,422","(+/-2,373)","8,325","(+/-1,666)","3,772","(+/-1,156)","9,409","(+/-1,743)","5,626","(+/-1,256)","8,349","(+/-1,283)","4,953","(+/-1,046)"
People,Ancestry,Slovak,"1,487",(+/-727),"1,099",(+/-477),889,(+/-401),"1,105",(+/-392),"2,916","(+/-1,117)","1,018",(+/-542),"1,429",(+/-411),431,(+/-257)
People,Ancestry,"Subsaharan African","3,602","(+/-1,895)","8,726","(+/-2,886)","1,248",(+/-682),"8,620","(+/-3,101)","1,289",(+/-749),"4,875","(+/-1,896)","1,288",(+/-354),"2,763","(+/-1,237)"
People,Ancestry,Swedish,"14,533","(+/-2,446)","13,649","(+/-2,483)","16,661","(+/-2,679)","6,923","(+/-1,466)","12,591","(+/-2,314)","10,796","(+/-1,822)","33,732","(+/-2,733)","12,704","(+/-1,884)"
People,Ancestry,Swiss,"4,486","(+/-1,503)","17,577","(+/-2,430)","6,115","(+/-1,153)","1,181",(+/-594),"3,420",(+/-842),"4,437","(+/-1,203)","6,961","(+/-1,307)","2,248","(+/-1,006)"
People,Ancestry,Ukrainian,"1,538",(+/-728),"1,379",(+/-554),"2,035","(+/-1,108)","1,401",(+/-538),"1,155",(+/-761),812,(+/-357),"1,531",(+/-459),811,(+/-375)
People,Ancestry,Welsh,"3,165",(+/-874),"3,446",(+/-834),"1,829",(+/-524),"1,634",(+/-626),"2,244",(+/-653),"4,008","(+/-1,327)","1,802",(+/-493),"2,107",(+/-661)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",818,(+/-582),"1,145",(+/-867),308,(+/-216),"2,970","(+/-1,890)",506,(+/-423),419,(+/-318),343,(+/-226),767,(+/-664)
People,"Veteran Status","Civilian population 18 years and over","571,255","(+/-4,069)","595,562","(+/-1,862)","589,306","(+/-3,081)","547,782","(+/-4,899)","588,323","(+/-3,728)","585,595","(+/-2,454)","587,546","(+/-3,256)","581,117","(+/-1,093)"
People,"Veteran Status","Civilian veterans","35,818","(+/-2,787)","28,264","(+/-2,278)","41,206","(+/-2,127)","19,893","(+/-2,070)","33,844","(+/-2,397)","38,273","(+/-2,521)","45,728","(+/-2,438)","40,741","(+/-2,443)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","722,133","(+/-4,317)","738,863","(+/-2,649)","731,566","(+/-4,426)","714,465","(+/-5,278)","738,098","(+/-4,433)","718,174","(+/-3,462)","732,172","(+/-4,474)","735,980","(+/-1,257)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","98,632","(+/-4,721)","73,384","(+/-3,898)","96,678","(+/-4,298)","93,840","(+/-5,370)","77,503","(+/-4,166)","93,864","(+/-3,875)","99,794","(+/-3,523)","92,430","(+/-4,367)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","157,795","(+/-3,534)","147,868","(+/-1,556)","150,800","(+/-2,348)","171,025","(+/-3,609)","153,132","(+/-2,847)","147,803","(+/-1,691)","151,999","(+/-2,015)","160,512",(+/-789)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,597","(+/-1,456)","4,655","(+/-1,153)","7,686","(+/-1,368)","5,788","(+/-1,287)","6,002","(+/-1,482)","7,871","(+/-1,220)","6,250","(+/-1,008)","7,615","(+/-1,487)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","437,291","(+/-4,341)","470,196","(+/-2,361)","440,140","(+/-3,103)","446,253","(+/-4,954)","439,937","(+/-3,571)","423,761","(+/-2,844)","416,913","(+/-3,041)","439,136","(+/-1,673)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,729","(+/-3,408)","38,651","(+/-3,452)","47,715","(+/-3,105)","55,274","(+/-4,543)","33,396","(+/-2,680)","45,198","(+/-2,858)","47,987","(+/-2,205)","46,997","(+/-3,625)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","127,047","(+/-2,984)","120,799","(+/-1,490)","140,626","(+/-1,542)","97,187","(+/-2,822)","145,029","(+/-1,958)","146,610","(+/-1,511)","163,260","(+/-1,633)","136,332","(+/-1,075)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","42,306","(+/-3,017)","30,078","(+/-1,792)","41,277","(+/-2,368)","32,778","(+/-2,431)","38,105","(+/-2,496)","40,795","(+/-2,207)","45,557","(+/-2,210)","37,818","(+/-2,036)"
People,"Residence 1 Year Ago","Population 1 year and over","720,856","(+/-4,680)","737,032","(+/-2,749)","734,295","(+/-4,264)","712,722","(+/-5,512)","735,032","(+/-4,192)","728,133","(+/-3,380)","733,806","(+/-4,475)","733,616","(+/-1,968)"
People,"Residence 1 Year Ago","Same house","630,775","(+/-9,077)","614,321","(+/-6,688)","637,534","(+/-6,315)","607,971","(+/-10,402)","658,347","(+/-9,043)","647,753","(+/-7,143)","660,999","(+/-6,000)","661,656","(+/-5,975)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","90,081","(+/-7,817)","122,711","(+/-6,223)","96,761","(+/-5,084)","104,751","(+/-9,733)","76,685","(+/-7,206)","80,380","(+/-6,678)","72,807","(+/-4,776)","71,960","(+/-5,645)"
People,"Residence 1 Year Ago","Different house in the U.S.","86,928","(+/-7,911)","116,696","(+/-6,211)","94,474","(+/-4,998)","101,591","(+/-9,862)","74,480","(+/-7,212)","78,438","(+/-6,667)","70,382","(+/-4,890)","68,896","(+/-5,905)"
People,"Residence 1 Year Ago","Same county","51,612","(+/-6,226)","64,236","(+/-4,998)","41,199","(+/-4,237)","70,795","(+/-8,729)","38,563","(+/-4,728)","38,221","(+/-4,913)","29,028","(+/-2,994)","35,737","(+/-4,732)"
People,"Residence 1 Year Ago","Different county","35,316","(+/-5,186)","52,460","(+/-5,002)","53,275","(+/-3,463)","30,796","(+/-3,250)","35,917","(+/-4,442)","40,217","(+/-4,195)","41,354","(+/-3,895)","33,159","(+/-3,672)"
People,"Residence 1 Year Ago","Same state","19,969","(+/-3,741)","25,453","(+/-3,846)","37,717","(+/-3,261)","15,501","(+/-2,055)","24,683","(+/-3,020)","30,662","(+/-3,425)","24,793","(+/-3,164)","23,282","(+/-2,666)"
People,"Residence 1 Year Ago","Different state","15,347","(+/-3,639)","27,007","(+/-4,413)","15,558","(+/-2,385)","15,295","(+/-2,682)","11,234","(+/-2,944)","9,555","(+/-1,942)","16,561","(+/-2,448)","9,877","(+/-2,446)"
People,"Residence 1 Year Ago",Abroad,"3,153","(+/-1,634)","6,015","(+/-1,780)","2,287",(+/-836),"3,160","(+/-1,231)","2,205","(+/-1,148)","1,942",(+/-701),"2,425","(+/-1,156)","3,064","(+/-1,230)"
Workers,"Employment Status","Population 16 years and over","590,924","(+/-4,439)","613,434","(+/-2,100)","608,768","(+/-3,421)","568,938","(+/-4,819)","607,496","(+/-4,054)","604,661","(+/-2,598)","607,304","(+/-3,536)","601,305","(+/-1,686)"
Workers,"Employment Status","In labor force","381,630","(+/-6,211)","422,459","(+/-4,894)","396,697","(+/-5,558)","372,728","(+/-7,471)","406,388","(+/-5,345)","384,973","(+/-5,037)","373,228","(+/-4,945)","389,594","(+/-4,732)"
Workers,"Employment Status","Civilian labor force","381,429","(+/-6,243)","421,929","(+/-4,925)","395,446","(+/-5,607)","372,157","(+/-7,402)","406,084","(+/-5,306)","384,548","(+/-5,059)","372,558","(+/-4,910)","389,273","(+/-4,723)"
Workers,"Employment Status",Employed,"369,155","(+/-6,384)","413,183","(+/-5,351)","384,496","(+/-5,299)","355,141","(+/-7,376)","396,912","(+/-5,369)","376,607","(+/-5,016)","362,473","(+/-4,928)","378,996","(+/-4,981)"
Workers,"Employment Status",Unemployed,"12,274","(+/-2,232)","8,746","(+/-1,580)","10,950","(+/-1,565)","17,016","(+/-2,733)","9,172","(+/-1,761)","7,941","(+/-1,278)","10,085","(+/-1,126)","10,277","(+/-1,767)"
Workers,"Employment Status","Armed Forces",201,(+/-234),530,(+/-301),"1,251",(+/-543),571,(+/-485),304,(+/-262),425,(+/-339),670,(+/-310),321,(+/-329)
Workers,"Employment Status","Not in labor force","209,294","(+/-5,801)","190,975","(+/-4,765)","212,071","(+/-4,825)","196,210","(+/-7,257)","201,108","(+/-4,530)","219,688","(+/-4,406)","234,076","(+/-4,024)","211,711","(+/-4,641)"
Workers,"Employment Status","Civilian labor force","381,429","(+/-6,243)","421,929","(+/-4,925)","395,446","(+/-5,607)","372,157","(+/-7,402)","406,084","(+/-5,306)","384,548","(+/-5,059)","372,558","(+/-4,910)","389,273","(+/-4,723)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.6),2.1,(+/-0.4),2.8,(+/-0.4),4.6,(+/-0.7),2.3,(+/-0.4),2.1,(+/-0.3),2.7,(+/-0.3),2.6,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","362,501","(+/-6,363)","407,054","(+/-5,466)","378,834","(+/-5,208)","350,125","(+/-7,328)","391,292","(+/-5,407)","371,833","(+/-4,965)","356,285","(+/-4,791)","373,714","(+/-5,089)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","281,296","(+/-6,958)","267,226","(+/-6,572)","290,265","(+/-5,592)","233,998","(+/-7,888)","301,851","(+/-5,471)","281,045","(+/-5,441)","268,365","(+/-5,127)","287,097","(+/-5,730)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,265","(+/-3,291)","28,076","(+/-3,109)","27,592","(+/-2,755)","35,121","(+/-3,602)","23,948","(+/-2,996)","32,108","(+/-2,915)","29,599","(+/-2,536)","29,824","(+/-3,078)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,607","(+/-1,126)","9,050","(+/-1,817)","2,474",(+/-906),"13,105","(+/-2,125)",460,(+/-241),967,(+/-553),"1,614",(+/-448),"1,290",(+/-472)
Workers,"Commuting to Work",Walked,"6,736","(+/-1,506)","17,835","(+/-2,402)","13,504","(+/-1,592)","13,501","(+/-2,213)","3,738",(+/-809),"10,083","(+/-1,653)","8,543","(+/-1,159)","7,075","(+/-1,486)"
Workers,"Commuting to Work","Other means","5,523","(+/-1,399)","9,576","(+/-1,737)","6,316","(+/-1,155)","6,372","(+/-1,270)","3,381",(+/-799),"4,669",(+/-930),"5,597",(+/-881),"5,246","(+/-1,127)"
Workers,"Commuting to Work","Worked from home","39,074","(+/-3,454)","75,291","(+/-3,954)","38,683","(+/-2,761)","48,028","(+/-3,737)","57,914","(+/-3,760)","42,961","(+/-3,403)","42,567","(+/-2,428)","43,182","(+/-3,529)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.3,(+/-0.8),21.6,(+/-0.5),21.9,(+/-0.6),21.4,(+/-0.5),23.9,(+/-0.6),20.8,(+/-0.5),22.6,(+/-0.5),21.0,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","369,155","(+/-6,384)","413,183","(+/-5,351)","384,496","(+/-5,299)","355,141","(+/-7,376)","396,912","(+/-5,369)","376,607","(+/-5,016)","362,473","(+/-4,928)","378,996","(+/-4,981)"
Workers,Occupation,"Management, business, science, and arts occupations","138,484","(+/-6,176)","210,607","(+/-5,405)","134,664","(+/-4,673)","140,303","(+/-5,888)","185,453","(+/-6,035)","130,645","(+/-4,992)","127,306","(+/-4,372)","145,725","(+/-4,945)"
Workers,Occupation,"Service occupations","57,795","(+/-3,500)","55,270","(+/-3,865)","65,595","(+/-3,970)","67,337","(+/-4,136)","46,197","(+/-3,372)","59,219","(+/-3,578)","52,099","(+/-2,651)","48,619","(+/-2,564)"
Workers,Occupation,"Sales and office occupations","72,188","(+/-4,079)","74,195","(+/-4,248)","73,141","(+/-4,026)","66,215","(+/-4,682)","76,075","(+/-3,584)","70,415","(+/-3,709)","67,417","(+/-3,628)","75,146","(+/-4,084)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","31,719","(+/-2,872)","26,646","(+/-2,689)","38,770","(+/-2,884)","17,775","(+/-2,175)","32,503","(+/-2,845)","36,563","(+/-2,505)","42,473","(+/-2,389)","35,128","(+/-3,003)"
Workers,Occupation,"Production, transportation, and material moving occupations","68,969","(+/-4,468)","46,465","(+/-3,819)","72,326","(+/-3,415)","63,511","(+/-4,428)","56,684","(+/-3,818)","79,765","(+/-4,476)","73,178","(+/-3,347)","74,378","(+/-3,862)"
Workers,Industry,"Civilian employed population 16 years and over","369,155","(+/-6,384)","413,183","(+/-5,351)","384,496","(+/-5,299)","355,141","(+/-7,376)","396,912","(+/-5,369)","376,607","(+/-5,016)","362,473","(+/-4,928)","378,996","(+/-4,981)"
