Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","45 to 54 years","91,389","(+/-5,268)","86,437","(+/-5,189)","88,029","(+/-5,325)","95,617","(+/-5,556)","84,755","(+/-5,009)","85,611","(+/-4,723)","85,919","(+/-7,985)","106,062","(+/-5,245)","97,783","(+/-6,235)","94,321","(+/-2,908)","103,566","(+/-4,667)","89,950","(+/-2,003)","79,257","(+/-4,023)","104,466","(+/-3,978)","90,558","(+/-3,205)","90,628","(+/-3,340)","82,663","(+/-3,228)"
People,"Sex and Age","55 to 59 years","43,662","(+/-4,052)","49,796","(+/-3,560)","47,539","(+/-4,181)","44,024","(+/-3,507)","40,577","(+/-3,382)","48,150","(+/-3,602)","37,683","(+/-3,912)","47,261","(+/-3,784)","51,292","(+/-4,136)","54,181","(+/-3,466)","49,597","(+/-3,833)","53,490","(+/-2,716)","46,072","(+/-3,191)","48,278","(+/-3,276)","45,005","(+/-2,592)","46,648","(+/-2,945)","45,132","(+/-3,162)"
People,"Sex and Age","60 to 64 years","51,814","(+/-4,520)","50,638","(+/-4,375)","39,811","(+/-4,096)","44,891","(+/-3,803)","44,157","(+/-4,376)","51,886","(+/-3,445)","34,845","(+/-3,916)","51,769","(+/-3,895)","43,773","(+/-3,945)","50,088","(+/-3,368)","50,354","(+/-3,820)","50,907","(+/-2,197)","47,388","(+/-2,680)","39,296","(+/-3,169)","55,652","(+/-2,864)","53,387","(+/-2,850)","48,759","(+/-2,905)"
People,"Sex and Age","65 to 74 years","78,590","(+/-4,352)","76,448","(+/-4,271)","61,544","(+/-4,301)","59,890","(+/-4,128)","65,455","(+/-4,905)","85,695","(+/-4,908)","59,296","(+/-4,043)","69,726","(+/-4,684)","82,449","(+/-4,920)","72,200","(+/-2,927)","72,152","(+/-4,044)","86,692","(+/-1,694)","76,844","(+/-2,801)","59,322","(+/-2,916)","88,127","(+/-2,468)","86,775","(+/-2,566)","81,664","(+/-2,389)"
People,"Sex and Age","75 to 84 years","40,872","(+/-3,583)","41,514","(+/-3,512)","27,329","(+/-2,853)","30,385","(+/-3,614)","35,618","(+/-3,580)","44,186","(+/-3,496)","31,613","(+/-4,187)","34,993","(+/-3,303)","38,367","(+/-2,772)","40,251","(+/-2,214)","37,797","(+/-2,738)","44,688","(+/-1,567)","37,396","(+/-2,586)","32,392","(+/-2,469)","49,757","(+/-2,226)","47,629","(+/-2,182)","41,556","(+/-2,240)"
People,"Sex and Age","85 years and over","16,027","(+/-2,304)","13,707","(+/-1,639)","10,704","(+/-1,815)","12,239","(+/-2,357)","17,735","(+/-2,632)","16,223","(+/-1,774)","8,376","(+/-1,765)","11,551","(+/-1,956)","16,815","(+/-2,314)","13,098","(+/-1,403)","12,873","(+/-1,944)","17,168","(+/-1,317)","15,418","(+/-1,935)","9,878","(+/-1,391)","19,427","(+/-1,724)","18,079","(+/-1,958)","16,410","(+/-1,525)"
People,"Sex and Age","Median age (years)",40.2,(+/-1.0),39.5,(+/-1.0),37.2,(+/-0.9),37.2,(+/-0.7),37.5,(+/-0.7),41.1,(+/-0.7),34.2,(+/-0.7),40.0,(+/-0.8),41.6,(+/-1.1),40.2,(+/-0.6),40.1,(+/-0.6),41.9,(+/-0.4),37.3,(+/-0.5),36.6,(+/-0.5),42.1,(+/-0.6),41.7,(+/-0.7),38.7,(+/-0.7)
People,"Sex and Age","18 years and over","566,857","(+/-12,698)","560,818","(+/-11,819)","557,238","(+/-13,436)","553,694","(+/-13,828)","598,927","(+/-16,489)","579,828","(+/-9,892)","601,779","(+/-15,541)","585,283","(+/-9,835)","593,038","(+/-13,621)","576,812","(+/-6,533)","588,362","(+/-10,681)","586,730","(+/-3,883)","592,555","(+/-7,474)","576,357","(+/-7,708)","586,521","(+/-6,888)","578,685","(+/-7,843)","582,342","(+/-6,883)"
People,"Sex and Age","65 years and over","135,489","(+/-5,420)","131,669","(+/-5,522)","99,577","(+/-5,486)","102,514","(+/-5,946)","118,808","(+/-5,700)","146,104","(+/-5,969)","99,285","(+/-6,340)","116,270","(+/-6,309)","137,631","(+/-5,776)","125,549","(+/-3,567)","122,822","(+/-5,245)","148,548","(+/-1,987)","129,658","(+/-3,346)","101,592","(+/-3,617)","157,311","(+/-3,325)","152,483","(+/-3,321)","139,630","(+/-3,229)"
People,Race,"Total population","728,550","(+/-17,294)","730,809","(+/-14,818)","708,538","(+/-18,852)","718,854","(+/-18,279)","732,819","(+/-20,964)","737,763","(+/-12,878)","758,917","(+/-22,153)","749,823","(+/-10,056)","730,979","(+/-16,925)","744,016","(+/-7,627)","766,225","(+/-12,693)","748,293","(+/-4,879)","739,838","(+/-10,747)","756,472","(+/-8,592)","746,507","(+/-10,345)","745,274","(+/-10,830)","738,355","(+/-9,136)"
People,Race,"One race","681,077","(+/-17,001)","674,890","(+/-13,674)","574,065","(+/-16,980)","553,550","(+/-18,329)","663,866","(+/-19,077)","656,008","(+/-12,450)","686,946","(+/-20,527)","645,927","(+/-12,940)","657,389","(+/-15,655)","641,459","(+/-13,599)","675,922","(+/-14,061)","702,623","(+/-5,451)","679,798","(+/-12,143)","654,723","(+/-10,671)","716,297","(+/-10,331)","689,334","(+/-11,066)","660,732","(+/-10,536)"
People,Race,White,"284,667","(+/-10,738)","266,521","(+/-9,322)","323,012","(+/-12,489)","218,767","(+/-14,009)","524,489","(+/-15,734)","526,731","(+/-13,269)","242,099","(+/-13,677)","418,128","(+/-12,333)","449,896","(+/-13,359)","458,578","(+/-9,583)","500,120","(+/-12,178)","652,456","(+/-5,214)","506,980","(+/-10,626)","475,307","(+/-11,093)","678,071","(+/-9,597)","640,523","(+/-10,075)","517,182","(+/-8,577)"
People,Race,"Black or African American","351,261","(+/-14,376)","334,699","(+/-12,552)","36,378","(+/-6,212)","36,251","(+/-5,615)","22,200","(+/-4,771)","39,072","(+/-6,559)","316,388","(+/-15,897)","34,361","(+/-5,204)","54,757","(+/-6,344)","48,449","(+/-5,440)","43,916","(+/-5,502)","36,299","(+/-3,527)","129,338","(+/-7,100)","72,215","(+/-5,091)","25,300","(+/-4,098)","19,433","(+/-4,537)","89,407","(+/-5,712)"
People,Race,"American Indian and Alaska Native","3,461","(+/-1,580)","3,053","(+/-1,824)","12,704","(+/-3,773)","16,490","(+/-4,072)","3,744","(+/-2,812)","4,138","(+/-2,107)","5,748","(+/-2,829)","7,371","(+/-3,013)","2,962","(+/-1,428)","8,484","(+/-2,811)","3,534","(+/-1,923)",761,(+/-370),"2,757","(+/-1,568)","5,273","(+/-1,903)","1,585",(+/-763),"1,273",(+/-506),"3,630",(+/-976)
People,Race,Asian,"16,520","(+/-2,992)","9,005","(+/-2,077)","56,878","(+/-8,244)","32,050","(+/-4,437)","79,896","(+/-8,885)","41,065","(+/-4,646)","65,082","(+/-7,676)","99,441","(+/-7,067)","108,724","(+/-8,574)","61,198","(+/-4,813)","71,963","(+/-5,674)","6,739",(+/-858),"30,704","(+/-2,143)","37,054","(+/-3,462)","6,156","(+/-1,585)","15,744","(+/-2,518)","16,692","(+/-2,588)"
People,Race,"Native Hawaiian and Other Pacific Islander",107,(+/-178),427,(+/-338),204,(+/-246),360,(+/-360),0,(+/-206),115,(+/-195),748,(+/-464),"2,253","(+/-1,902)",465,(+/-323),761,"(+/-1,045)","1,133","(+/-1,701)",9,(+/-15),288,(+/-479),58,(+/-96),24,(+/-53),103,(+/-114),297,(+/-469)
People,Race,"Some other race","25,061","(+/-6,410)","61,185","(+/-9,170)","144,889","(+/-12,369)","249,632","(+/-19,222)","33,537","(+/-5,624)","44,887","(+/-7,589)","56,881","(+/-9,518)","84,373","(+/-10,529)","40,585","(+/-8,119)","63,989","(+/-9,571)","55,256","(+/-8,445)","6,359","(+/-1,753)","9,731","(+/-2,690)","64,816","(+/-7,357)","5,161","(+/-1,423)","12,258","(+/-2,604)","33,524","(+/-5,188)"
People,Race,"Two or more races","47,473","(+/-6,314)","55,919","(+/-6,682)","134,473","(+/-12,140)","165,304","(+/-13,249)","68,953","(+/-7,827)","81,755","(+/-7,797)","71,971","(+/-9,538)","103,896","(+/-10,550)","73,590","(+/-7,870)","102,557","(+/-10,748)","90,303","(+/-7,908)","45,670","(+/-3,771)","60,040","(+/-6,055)","101,749","(+/-9,568)","30,210","(+/-3,367)","55,940","(+/-5,973)","77,623","(+/-7,589)"
People,"Hispanic or Latino and Race","Total population","728,550","(+/-17,294)","730,809","(+/-14,818)","708,538","(+/-18,852)","718,854","(+/-18,279)","732,819","(+/-20,964)","737,763","(+/-12,878)","758,917","(+/-22,153)","749,823","(+/-10,056)","730,979","(+/-16,925)","744,016","(+/-7,627)","766,225","(+/-12,693)","748,293","(+/-4,879)","739,838","(+/-10,747)","756,472","(+/-8,592)","746,507","(+/-10,345)","745,274","(+/-10,830)","738,355","(+/-9,136)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","63,990","(+/-9,151)","112,074","(+/-11,150)","309,369","(+/-14,796)","478,972","(+/-17,440)","97,432","(+/-11,327)","117,264","(+/-10,881)","128,427","(+/-12,166)","188,087","(+/-11,843)","93,378","(+/-10,365)","178,151","(+/-5,418)","142,858","(+/-10,360)","20,938","(+/-1,939)","33,259","(+/-2,501)","181,793","(+/-8,483)","19,088","(+/-2,376)","50,798","(+/-5,221)","83,848","(+/-3,482)"
People,"Hispanic or Latino and Race",Mexican,"50,305","(+/-8,872)","94,224","(+/-10,715)","201,408","(+/-14,288)","420,979","(+/-18,962)","55,012","(+/-9,299)","93,817","(+/-10,393)","86,633","(+/-10,688)","148,372","(+/-11,520)","52,917","(+/-9,206)","135,000","(+/-6,758)","116,302","(+/-9,937)","11,643","(+/-1,688)","20,078","(+/-2,279)","155,754","(+/-8,273)","12,562","(+/-2,250)","40,870","(+/-5,222)","63,966","(+/-4,230)"
People,"Hispanic or Latino and Race","Puerto Rican","5,869","(+/-2,141)","8,225","(+/-2,444)","57,115","(+/-7,309)","29,503","(+/-6,298)","14,259","(+/-3,698)","8,540","(+/-2,600)","16,943","(+/-3,785)","14,542","(+/-3,514)","10,834","(+/-3,784)","11,161","(+/-3,275)","9,417","(+/-2,351)","3,147","(+/-1,154)","3,070","(+/-1,143)","9,950","(+/-3,025)","1,289",(+/-465),"5,553","(+/-1,833)","5,418","(+/-2,032)"
People,"Hispanic or Latino and Race",Cuban,"1,387","(+/-1,099)","1,586",(+/-898),"3,041","(+/-1,228)","2,912","(+/-1,932)","3,884","(+/-1,361)","2,823","(+/-1,597)","2,238","(+/-1,403)","1,711","(+/-1,028)","3,951","(+/-1,796)","1,985","(+/-1,203)","1,580",(+/-949),612,(+/-743),578,(+/-493),544,(+/-438),367,(+/-234),282,(+/-251),"1,304",(+/-723)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,429","(+/-2,058)","8,039","(+/-2,598)","47,805","(+/-8,052)","25,578","(+/-5,190)","24,277","(+/-3,800)","12,084","(+/-2,940)","22,613","(+/-5,718)","23,462","(+/-4,690)","25,676","(+/-5,372)","30,005","(+/-6,242)","15,559","(+/-3,205)","5,536","(+/-1,412)","9,533","(+/-2,139)","15,545","(+/-3,772)","4,870","(+/-1,249)","4,093","(+/-1,445)","13,160","(+/-2,968)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","664,560","(+/-16,653)","618,735","(+/-13,254)","399,169","(+/-14,596)","239,882","(+/-11,271)","635,387","(+/-17,039)","620,499","(+/-14,251)","630,490","(+/-21,390)","561,736","(+/-12,547)","637,601","(+/-15,958)","565,865","(+/-8,005)","623,367","(+/-12,492)","727,355","(+/-4,845)","706,579","(+/-10,958)","574,679","(+/-7,834)","727,419","(+/-10,011)","694,476","(+/-9,756)","654,507","(+/-8,204)"
People,"Place of Birth","Total population","728,550","(+/-17,294)","730,809","(+/-14,818)","708,538","(+/-18,852)","718,854","(+/-18,279)","732,819","(+/-20,964)","737,763","(+/-12,878)","758,917","(+/-22,153)","749,823","(+/-10,056)","730,979","(+/-16,925)","744,016","(+/-7,627)","766,225","(+/-12,693)","748,293","(+/-4,879)","739,838","(+/-10,747)","756,472","(+/-8,592)","746,507","(+/-10,345)","745,274","(+/-10,830)","738,355","(+/-9,136)"
People,"Place of Birth",Native,"677,586","(+/-15,685)","675,925","(+/-13,845)","519,229","(+/-16,251)","490,016","(+/-14,416)","589,411","(+/-18,431)","626,142","(+/-13,310)","645,346","(+/-21,467)","542,989","(+/-11,753)","537,701","(+/-14,254)","593,191","(+/-9,220)","639,351","(+/-11,472)","732,263","(+/-4,778)","696,845","(+/-10,635)","656,773","(+/-8,862)","734,539","(+/-10,152)","717,531","(+/-10,762)","697,094","(+/-9,461)"
People,"Place of Birth","Born in United States","668,905","(+/-15,404)","669,798","(+/-13,979)","492,760","(+/-16,703)","474,990","(+/-14,708)","580,298","(+/-18,182)","617,661","(+/-13,363)","634,587","(+/-21,938)","531,119","(+/-11,320)","526,219","(+/-14,016)","581,895","(+/-9,504)","630,349","(+/-10,947)","727,045","(+/-4,777)","688,807","(+/-10,462)","649,856","(+/-8,758)","730,987","(+/-10,180)","712,170","(+/-10,552)","689,562","(+/-9,363)"
People,"Place of Birth","State of residence","553,942","(+/-15,268)","561,689","(+/-15,381)","402,396","(+/-15,477)","420,046","(+/-14,653)","405,254","(+/-15,831)","530,539","(+/-12,360)","474,281","(+/-21,028)","446,964","(+/-11,581)","382,452","(+/-11,334)","431,425","(+/-10,001)","500,697","(+/-10,907)","519,192","(+/-8,007)","521,171","(+/-10,961)","539,605","(+/-10,705)","585,698","(+/-9,786)","568,387","(+/-10,800)","535,353","(+/-9,795)"
People,"Place of Birth","Different state","114,963","(+/-8,628)","108,109","(+/-7,049)","90,364","(+/-6,246)","54,944","(+/-5,830)","175,044","(+/-8,095)","87,122","(+/-5,356)","160,306","(+/-9,454)","84,155","(+/-5,762)","143,767","(+/-7,577)","150,470","(+/-6,507)","129,652","(+/-6,242)","207,853","(+/-7,221)","167,636","(+/-6,830)","110,251","(+/-7,400)","145,289","(+/-6,516)","143,783","(+/-6,660)","154,209","(+/-7,685)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,681","(+/-3,087)","6,127","(+/-2,141)","26,469","(+/-3,790)","15,026","(+/-3,633)","9,113","(+/-1,923)","8,481","(+/-2,046)","10,759","(+/-3,393)","11,870","(+/-2,370)","11,482","(+/-2,080)","11,296","(+/-3,132)","9,002","(+/-2,171)","5,218","(+/-1,290)","8,038","(+/-1,888)","6,917","(+/-1,865)","3,552",(+/-904),"5,361","(+/-1,419)","7,532","(+/-2,010)"
People,"Place of Birth","Foreign born","50,964","(+/-5,856)","54,884","(+/-6,833)","189,309","(+/-9,365)","228,838","(+/-10,485)","143,408","(+/-10,615)","111,621","(+/-6,990)","113,571","(+/-9,914)","206,834","(+/-10,695)","193,278","(+/-10,003)","150,825","(+/-6,817)","126,874","(+/-7,807)","16,030","(+/-1,829)","42,993","(+/-4,067)","99,699","(+/-5,707)","11,968","(+/-1,710)","27,743","(+/-3,437)","41,261","(+/-4,245)"
People,Ancestry,"Total population","728,550","(+/-17,294)","730,809","(+/-14,818)","708,538","(+/-18,852)","718,854","(+/-18,279)","732,819","(+/-20,964)","737,763","(+/-12,878)","758,917","(+/-22,153)","749,823","(+/-10,056)","730,979","(+/-16,925)","744,016","(+/-7,627)","766,225","(+/-12,693)","748,293","(+/-4,879)","739,838","(+/-10,747)","756,472","(+/-8,592)","746,507","(+/-10,345)","745,274","(+/-10,830)","738,355","(+/-9,136)"
People,Ancestry,American,"20,288","(+/-4,701)","24,010","(+/-4,272)","14,699","(+/-2,922)","6,145","(+/-1,342)","16,997","(+/-3,127)","22,063","(+/-4,725)","12,231","(+/-2,790)","17,229","(+/-2,957)","20,642","(+/-4,127)","25,700","(+/-3,316)","20,969","(+/-3,564)","51,356","(+/-4,410)","31,393","(+/-4,159)","22,452","(+/-3,257)","53,216","(+/-4,503)","39,151","(+/-4,709)","29,890","(+/-3,363)"
People,Ancestry,Arab,"6,348","(+/-3,344)","4,788","(+/-3,066)","6,823","(+/-2,309)","5,522","(+/-2,928)","9,948","(+/-3,525)","24,830","(+/-5,901)","4,216","(+/-1,881)","7,174","(+/-3,477)","11,769","(+/-3,204)","3,582","(+/-1,277)","7,897","(+/-3,378)","2,945","(+/-1,867)","2,750","(+/-1,412)","2,554","(+/-1,706)",825,(+/-523),"2,199","(+/-1,410)","2,442","(+/-1,077)"
People,Ancestry,Czech,"4,594","(+/-1,269)","1,686",(+/-641),"4,277","(+/-1,323)","6,662","(+/-1,575)","4,645","(+/-1,051)","13,980","(+/-2,447)","5,141","(+/-1,502)","4,921","(+/-1,140)","3,984","(+/-1,594)","4,298","(+/-1,448)","10,533","(+/-2,611)","1,391",(+/-625),"2,790","(+/-1,150)","6,462","(+/-1,983)","1,732",(+/-825),"4,484","(+/-1,212)","1,510",(+/-543)
People,Ancestry,Danish,949,(+/-553),"2,401",(+/-867),"2,289","(+/-1,563)",785,(+/-782),"3,071","(+/-1,155)","2,387",(+/-884),"1,151",(+/-562),"2,424",(+/-737),"2,539",(+/-870),"3,606",(+/-954),"3,250","(+/-1,167)","1,377",(+/-567),"1,084",(+/-491),"2,581",(+/-961),"2,114",(+/-917),"4,882","(+/-1,718)","3,486","(+/-1,218)"
People,Ancestry,Dutch,"7,770","(+/-2,016)","8,376","(+/-1,727)","4,595","(+/-1,240)","3,546","(+/-1,493)","7,794","(+/-1,908)","10,644","(+/-2,067)","3,646","(+/-1,195)","5,826","(+/-1,696)","5,304","(+/-1,238)","5,533","(+/-1,462)","7,591","(+/-1,594)","8,396","(+/-1,801)","5,748","(+/-1,374)","6,728","(+/-1,735)","8,648","(+/-1,623)","10,482","(+/-1,892)","11,512","(+/-2,077)"
People,Ancestry,English,"27,538","(+/-3,706)","29,521","(+/-4,086)","29,394","(+/-3,487)","14,577","(+/-2,214)","49,839","(+/-4,853)","37,689","(+/-3,562)","23,675","(+/-5,441)","32,805","(+/-3,540)","48,973","(+/-5,090)","49,065","(+/-4,466)","55,317","(+/-3,905)","87,348","(+/-6,462)","82,648","(+/-7,045)","53,229","(+/-5,743)","102,611","(+/-6,527)","91,019","(+/-6,406)","75,941","(+/-6,127)"
People,Ancestry,"French (except Basque)","5,615","(+/-1,419)","10,124","(+/-2,124)","5,265","(+/-1,249)","3,504","(+/-1,359)","13,676","(+/-2,790)","9,464","(+/-1,849)","7,777","(+/-2,137)","8,663","(+/-1,648)","11,127","(+/-2,124)","10,706","(+/-2,373)","11,478","(+/-2,626)","15,155","(+/-2,566)","13,931","(+/-2,559)","12,771","(+/-2,607)","11,120","(+/-2,022)","13,823","(+/-2,087)","10,765","(+/-1,888)"
People,Ancestry,"French Canadian","1,598",(+/-864),"2,066",(+/-936),"1,361",(+/-704),457,(+/-323),"2,065",(+/-793),"1,470",(+/-806),410,(+/-273),"1,695",(+/-748),"1,494",(+/-586),"1,687",(+/-562),"2,907",(+/-935),"1,879",(+/-829),"1,747","(+/-1,101)","1,603",(+/-724),793,(+/-324),"1,909",(+/-772),"1,212",(+/-513)
People,Ancestry,German,"70,012","(+/-6,803)","71,951","(+/-5,622)","67,247","(+/-5,878)","33,225","(+/-4,758)","127,371","(+/-7,751)","111,510","(+/-6,874)","58,378","(+/-7,026)","103,528","(+/-8,171)","94,084","(+/-6,267)","115,493","(+/-7,466)","146,487","(+/-8,406)","193,507","(+/-8,375)","141,296","(+/-7,077)","121,257","(+/-6,841)","184,297","(+/-8,535)","213,510","(+/-9,343)","161,144","(+/-7,463)"
People,Ancestry,Greek,"3,525","(+/-1,478)","2,087","(+/-1,117)","4,861","(+/-1,296)","2,558","(+/-1,259)","11,879","(+/-2,463)","10,475","(+/-2,629)","5,225","(+/-1,816)","7,740","(+/-1,895)","9,726","(+/-2,586)","6,353","(+/-1,802)","6,742","(+/-1,965)","1,055",(+/-588),"1,705",(+/-738),"4,825","(+/-1,880)",712,(+/-348),"1,168",(+/-543),"1,724",(+/-644)
People,Ancestry,Hungarian,"2,382","(+/-1,412)",746,(+/-387),"1,378",(+/-493),668,(+/-525),"6,031","(+/-2,008)","3,145","(+/-1,114)","1,469",(+/-684),"1,625",(+/-703),"3,017",(+/-937),"2,408",(+/-762),"3,800","(+/-1,498)","1,386",(+/-695),"2,398",(+/-863),"1,946",(+/-855),"1,097",(+/-491),"1,430",(+/-634),"1,908","(+/-1,222)"
People,Ancestry,Irish,"62,226","(+/-5,291)","46,855","(+/-4,650)","47,391","(+/-5,093)","34,347","(+/-4,903)","109,954","(+/-7,904)","125,662","(+/-7,811)","47,275","(+/-5,040)","62,715","(+/-6,246)","75,744","(+/-6,174)","78,156","(+/-6,177)","97,870","(+/-6,787)","82,190","(+/-6,125)","77,062","(+/-6,255)","86,075","(+/-6,232)","87,438","(+/-5,573)","101,381","(+/-5,662)","90,547","(+/-5,339)"
People,Ancestry,Italian,"33,947","(+/-4,021)","24,775","(+/-3,062)","43,851","(+/-5,329)","23,801","(+/-3,449)","63,749","(+/-6,013)","65,402","(+/-6,557)","27,831","(+/-4,054)","51,348","(+/-4,731)","36,259","(+/-5,177)","44,373","(+/-5,837)","58,940","(+/-5,636)","23,427","(+/-3,268)","28,643","(+/-3,587)","48,793","(+/-5,456)","21,971","(+/-2,555)","36,150","(+/-3,942)","24,570","(+/-2,680)"
People,Ancestry,Lithuanian,"7,087","(+/-2,410)","2,692","(+/-1,307)","2,638",(+/-809),"5,377","(+/-1,775)","5,800","(+/-2,210)","12,197","(+/-1,671)","4,586","(+/-1,982)","3,622","(+/-1,347)","3,545","(+/-1,343)","4,993","(+/-1,347)","7,126","(+/-2,019)","1,306",(+/-572),"2,504","(+/-1,277)","5,576","(+/-1,742)",845,(+/-384),"2,114",(+/-725),"1,199",(+/-598)
