Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","67,874","(+/-3,477)","92,229","(+/-3,477)"
People,"Hispanic or Latino and Race",Mexican,"24,678","(+/-3,139)","33,161","(+/-4,209)"
People,"Hispanic or Latino and Race","Puerto Rican","19,352","(+/-3,033)","29,054","(+/-4,536)"
People,"Hispanic or Latino and Race",Cuban,"1,336",(+/-860),"1,274",(+/-861)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,508","(+/-2,654)","28,740","(+/-4,518)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","649,864","(+/-10,232)","630,229","(+/-10,232)"
People,"Place of Birth","Total population","717,738","(+/-9,345)","722,458","(+/-9,345)"
People,"Place of Birth",Native,"559,874","(+/-9,743)","633,639","(+/-9,586)"
People,"Place of Birth","Born in United States","534,816","(+/-9,912)","615,360","(+/-9,556)"
People,"Place of Birth","State of residence","374,625","(+/-10,108)","393,112","(+/-11,567)"
People,"Place of Birth","Different state","160,191","(+/-6,175)","222,248","(+/-6,569)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","25,058","(+/-2,998)","18,279","(+/-2,519)"
People,"Place of Birth","Foreign born","157,864","(+/-8,140)","88,819","(+/-7,912)"
People,Ancestry,"Total population","717,738","(+/-9,345)","722,458","(+/-9,345)"
People,Ancestry,American,"8,754","(+/-1,679)","7,423","(+/-1,848)"
People,Ancestry,Arab,"1,304","(+/-1,147)","1,536",(+/-826)
People,Ancestry,Czech,791,(+/-524),959,(+/-461)
People,Ancestry,Danish,"1,327",(+/-701),"1,509",(+/-517)
People,Ancestry,Dutch,"2,118",(+/-674),"4,148",(+/-914)
People,Ancestry,English,"26,082","(+/-2,852)","46,094","(+/-4,762)"
People,Ancestry,"French (except Basque)","8,892","(+/-2,343)","9,973","(+/-1,774)"
People,Ancestry,"French Canadian","1,062",(+/-676),"1,471",(+/-658)
People,Ancestry,German,"31,812","(+/-3,723)","51,235","(+/-5,090)"
People,Ancestry,Greek,"1,255",(+/-942),"1,400",(+/-698)
People,Ancestry,Hungarian,552,(+/-363),884,(+/-423)
People,Ancestry,Irish,"24,902","(+/-3,108)","42,540","(+/-4,024)"
People,Ancestry,Italian,"9,259","(+/-1,954)","17,086","(+/-3,107)"
People,Ancestry,Lithuanian,545,(+/-332),428,(+/-273)
People,Ancestry,Norwegian,"3,546","(+/-1,109)","6,426","(+/-1,805)"
People,Ancestry,Polish,"6,249","(+/-1,753)","7,034","(+/-1,695)"
People,Ancestry,Portuguese,"13,423","(+/-2,385)","33,693","(+/-4,600)"
People,Ancestry,Russian,"2,342",(+/-988),"4,572","(+/-2,555)"
People,Ancestry,Scotch-Irish,"2,630",(+/-722),"3,092",(+/-954)
People,Ancestry,Scottish,"5,012","(+/-1,139)","9,220","(+/-1,800)"
People,Ancestry,Slovak,314,(+/-402),261,(+/-177)
People,Ancestry,"Subsaharan African","2,225",(+/-898),"2,365","(+/-1,118)"
People,Ancestry,Swedish,"4,135","(+/-1,051)","5,498","(+/-1,492)"
People,Ancestry,Swiss,518,(+/-416),"1,919","(+/-1,010)"
People,Ancestry,Ukrainian,725,(+/-376),"3,625","(+/-2,552)"
People,Ancestry,Welsh,469,(+/-441),"2,789",(+/-868)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,076",(+/-486),"1,221","(+/-1,097)"
People,"Veteran Status","Civilian population 18 years and over","555,474","(+/-6,978)","541,598","(+/-7,075)"
People,"Veteran Status","Civilian veterans","46,414","(+/-3,099)","43,538","(+/-3,051)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","687,070","(+/-9,381)","696,630","(+/-9,500)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","89,251","(+/-3,964)","96,852","(+/-4,543)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","136,860","(+/-4,036)","159,939","(+/-4,080)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","4,752","(+/-1,081)","5,808","(+/-1,233)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","405,818","(+/-6,481)","391,385","(+/-6,321)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","37,371","(+/-2,895)","42,883","(+/-3,574)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","144,392","(+/-2,443)","145,306","(+/-2,439)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","47,128","(+/-2,389)","48,161","(+/-2,626)"
People,"Residence 1 Year Ago","Population 1 year and over","711,968","(+/-9,350)","713,643","(+/-9,203)"
People,"Residence 1 Year Ago","Same house","616,542","(+/-11,396)","634,515","(+/-9,906)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","95,426","(+/-8,401)","79,128","(+/-6,917)"
People,"Residence 1 Year Ago","Different house in the U.S.","88,341","(+/-8,255)","74,510","(+/-6,783)"
People,"Residence 1 Year Ago","Same county","57,614","(+/-6,964)","40,729","(+/-5,195)"
People,"Residence 1 Year Ago","Different county","30,727","(+/-4,239)","33,781","(+/-4,763)"
People,"Residence 1 Year Ago","Same state","3,484",(+/-862),"4,815","(+/-1,418)"
People,"Residence 1 Year Ago","Different state","27,243","(+/-3,974)","28,966","(+/-5,006)"
People,"Residence 1 Year Ago",Abroad,"7,085","(+/-1,992)","4,618","(+/-1,839)"
Workers,"Employment Status","Population 16 years and over","596,325","(+/-7,071)","579,342","(+/-6,929)"
Workers,"Employment Status","In labor force","389,697","(+/-7,272)","356,488","(+/-7,468)"
Workers,"Employment Status","Civilian labor force","364,319","(+/-7,424)","335,608","(+/-7,559)"
Workers,"Employment Status",Employed,"351,724","(+/-7,199)","322,808","(+/-7,497)"
Workers,"Employment Status",Unemployed,"12,595","(+/-1,675)","12,800","(+/-1,812)"
Workers,"Employment Status","Armed Forces","25,378","(+/-2,321)","20,880","(+/-1,920)"
Workers,"Employment Status","Not in labor force","206,628","(+/-5,045)","222,854","(+/-7,061)"
Workers,"Employment Status","Civilian labor force","364,319","(+/-7,424)","335,608","(+/-7,559)"
Workers,"Employment Status","Unemployment Rate",3.5,(+/-0.4),3.8,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","366,360","(+/-7,167)","332,531","(+/-7,255)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","221,148","(+/-6,742)","226,714","(+/-6,667)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","58,039","(+/-4,881)","46,629","(+/-4,521)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","18,479","(+/-2,425)","6,155","(+/-1,297)"
Workers,"Commuting to Work",Walked,"19,460","(+/-2,492)","12,233","(+/-1,798)"
Workers,"Commuting to Work","Other means","16,261","(+/-2,774)","7,353","(+/-1,934)"
Workers,"Commuting to Work","Worked from home","32,973","(+/-3,019)","33,447","(+/-2,867)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.7,(+/-0.6),26.4,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","351,724","(+/-7,199)","322,808","(+/-7,497)"
Workers,Occupation,"Management, business, science, and arts occupations","148,710","(+/-4,742)","118,974","(+/-4,925)"
Workers,Occupation,"Service occupations","70,249","(+/-3,862)","75,676","(+/-4,744)"
Workers,Occupation,"Sales and office occupations","74,383","(+/-3,885)","66,502","(+/-4,827)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,415","(+/-2,885)","34,028","(+/-3,470)"
Workers,Occupation,"Production, transportation, and material moving occupations","31,967","(+/-3,140)","27,628","(+/-2,856)"
Workers,Industry,"Civilian employed population 16 years and over","351,724","(+/-7,199)","322,808","(+/-7,497)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,563",(+/-642),"6,784","(+/-1,522)"
Workers,Industry,Construction,"21,685","(+/-2,455)","27,766","(+/-2,946)"
Workers,Industry,Manufacturing,"13,345","(+/-1,962)","9,638","(+/-1,759)"
Workers,Industry,"Wholesale trade","7,390","(+/-1,500)","3,925","(+/-1,046)"
Workers,Industry,"Retail trade","35,269","(+/-2,869)","34,601","(+/-3,862)"
Workers,Industry,"Transportation and warehousing, and utilities","21,630","(+/-2,259)","20,170","(+/-2,564)"
Workers,Industry,Information,"7,890","(+/-1,710)","4,176","(+/-1,202)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","23,407","(+/-1,797)","19,522","(+/-2,555)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","41,404","(+/-3,170)","34,659","(+/-3,023)"
Workers,Industry,"Educational services, and health care and social assistance","76,881","(+/-4,252)","69,932","(+/-4,438)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","54,026","(+/-3,807)","50,534","(+/-5,187)"
Workers,Industry,"Other services, except public administration","13,637","(+/-1,597)","14,247","(+/-1,538)"
Workers,Industry,"Public administration","33,597","(+/-2,967)","26,854","(+/-2,861)"
Workers,"Class of Worker","Civilian employed population 16 years and over","351,724","(+/-7,199)","322,808","(+/-7,497)"
Workers,"Class of Worker","Private wage and salary workers","251,601","(+/-6,783)","225,786","(+/-7,103)"
Workers,"Class of Worker","Government workers","79,302","(+/-4,696)","69,262","(+/-4,916)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","20,485","(+/-2,169)","27,318","(+/-2,432)"
Workers,"Class of Worker","Unpaid family workers",336,(+/-390),442,(+/-262)
Housing,"Housing Occupancy","Total housing units","280,531","(+/-2,903)","287,527","(+/-2,882)"
Housing,"Housing Occupancy","Occupied housing units","254,838","(+/-2,912)","239,989","(+/-4,337)"
Housing,"Housing Occupancy","Vacant housing units","25,693","(+/-2,721)","47,538","(+/-3,513)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.4),1.1,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",5.0,(+/-1.3),7.7,(+/-1.8)
Housing,"Housing Tenure","Occupied housing units","254,838","(+/-2,912)","239,989","(+/-4,337)"
Housing,"Housing Tenure",Owner-occupied,"148,761","(+/-3,489)","160,926","(+/-4,334)"
Housing,"Housing Tenure",Renter-occupied,"106,077","(+/-3,665)","79,063","(+/-4,460)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.94,(+/-0.06),2.91,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.46,(+/-0.07),2.95,(+/-0.14)
Housing,"Year Householder Moved into Unit","Occupied housing units","254,838","(+/-2,912)","239,989","(+/-4,337)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","51,041","(+/-3,226)","36,158","(+/-3,312)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","51,228","(+/-3,876)","50,657","(+/-3,579)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","52,398","(+/-3,435)","56,222","(+/-3,361)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","38,230","(+/-2,542)","36,590","(+/-2,606)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,583","(+/-1,927)","24,794","(+/-2,116)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","39,358","(+/-1,940)","35,568","(+/-2,138)"
Housing,Value,"Owner-occupied units","148,761","(+/-3,489)","160,926","(+/-4,334)"
Housing,Value,"Less than $50,000","2,579",(+/-813),"3,499",(+/-942)
Housing,Value,"$50,000 to $99,999","2,064",(+/-547),"2,899",(+/-888)
Housing,Value,"$100,000 to $149,999","1,073",(+/-391),"3,019","(+/-1,009)"
Housing,Value,"$150,000 to $199,999",835,(+/-375),"2,299",(+/-575)
Housing,Value,"$200,000 to $299,999","3,591","(+/-1,155)","7,407","(+/-1,660)"
Housing,Value,"$300,000 to $499,999","22,084","(+/-1,855)","22,801","(+/-2,468)"
Housing,Value,"$500,000 to $999,999","61,621","(+/-3,222)","68,371","(+/-3,760)"
Housing,Value,"$1,000,000 or more","54,914","(+/-2,861)","50,631","(+/-2,980)"
Housing,Value,"Median (dollars)","851,800","(+/-15,014)","791,000","(+/-17,944)"
Housing,"Mortgage Status","Owner-occupied units","148,761","(+/-3,489)","160,926","(+/-4,334)"
Housing,"Mortgage Status","Housing units with a mortgage","96,209","(+/-3,840)","98,175","(+/-4,521)"
Housing,"Mortgage Status","Housing units without a mortgage","52,552","(+/-2,452)","62,751","(+/-3,262)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","96,209","(+/-3,840)","98,175","(+/-4,521)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,213",(+/-564),782,(+/-394)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","3,379",(+/-902),"5,108","(+/-1,020)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","6,808","(+/-1,233)","10,531","(+/-1,530)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","11,693","(+/-1,470)","17,848","(+/-2,107)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","15,696","(+/-1,529)","13,385","(+/-1,716)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","14,975","(+/-1,760)","14,448","(+/-1,879)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","42,445","(+/-2,786)","36,073","(+/-2,982)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,811",(+/-70),"2,550",(+/-88)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","52,552","(+/-2,452)","62,751","(+/-3,262)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","1,559",(+/-473),"9,643","(+/-1,529)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","4,123",(+/-750),"12,033","(+/-1,779)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","12,443","(+/-1,485)","15,432","(+/-2,046)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","12,324","(+/-1,470)","10,204","(+/-1,287)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","9,350","(+/-1,394)","5,997","(+/-1,101)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","12,753","(+/-1,236)","9,442","(+/-1,364)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",729,(+/-23),516,(+/-23)
Housing,"Gross Rent","Occupied units paying rent","100,357","(+/-3,889)","72,513","(+/-4,190)"
Housing,"Gross Rent","Less than $500","5,033","(+/-1,082)","4,481","(+/-1,230)"
Housing,"Gross Rent","$500 to $999","7,934","(+/-1,306)","9,174","(+/-1,618)"
Housing,"Gross Rent","$1,000 to $1,499","22,386","(+/-1,933)","15,126","(+/-2,121)"
Housing,"Gross Rent","$1,500 to $1,999","22,012","(+/-2,266)","13,608","(+/-1,765)"
Housing,"Gross Rent","$2,000 to $2,499","14,254","(+/-1,888)","10,673","(+/-1,620)"
Housing,"Gross Rent","$2,500 to $2,999","11,089","(+/-1,474)","8,109","(+/-1,309)"
Housing,"Gross Rent","$3,000 or more","17,649","(+/-2,326)","11,342","(+/-1,416)"
Housing,"Gross Rent","Median (dollars)","1,837",(+/-50),"1,775",(+/-70)
Housing,"Gross Rent","No rent paid","5,720","(+/-1,388)","6,550","(+/-1,192)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","254,838","(+/-2,912)","239,989","(+/-4,337)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","12,814","(+/-1,906)","13,184","(+/-2,121)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","5,746",(+/-967),"6,883","(+/-1,488)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","14,256","(+/-2,171)","11,183","(+/-1,552)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","12,511","(+/-1,615)","13,212","(+/-2,039)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","24,286","(+/-2,318)","18,170","(+/-2,035)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","33,484","(+/-2,507)","39,714","(+/-3,445)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","29,105","(+/-2,275)","30,079","(+/-2,697)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","52,346","(+/-3,076)","47,134","(+/-3,600)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","28,747","(+/-2,418)","25,791","(+/-2,470)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","41,543","(+/-2,654)","34,639","(+/-2,678)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","96,086","(+/-1,857)","89,314","(+/-3,423)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","124,729","(+/-3,403)","116,978","(+/-3,563)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","687,070","(+/-9,381)","696,630","(+/-9,500)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","664,539","(+/-9,212)","670,328","(+/-10,206)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","537,049","(+/-9,443)","501,080","(+/-11,338)"
Socioeconomic,"Health Insurance Coverage","With public coverage","256,471","(+/-7,714)","288,644","(+/-10,620)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","22,531","(+/-3,801)","26,302","(+/-3,483)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","143,950","(+/-4,459)","167,108","(+/-4,430)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","3,888","(+/-1,106)","5,510","(+/-1,571)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.4,(+/-0.8),6.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.2,(+/-1.8),10.1,(+/-2.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",10.3,(+/-5.0),7.6,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.1,(+/-0.9),3.8,(+/-1.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.4,(+/-1.7),4.2,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.8,(+/-1.8),2.0,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",13.1,(+/-3.1),16.6,(+/-3.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",21.9,(+/-5.9),24.1,(+/-5.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",30.5,(+/-16.1),24.0,(+/-13.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.8,(+/-0.8),10.5,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.6,(+/-2.3),12.6,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",12.4,(+/-2.3),12.5,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",13.1,(+/-3.6),11.8,(+/-3.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",12.2,(+/-2.6),12.7,(+/-3.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.1,(+/-0.8),9.9,(+/-0.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.7,(+/-1.1),9.5,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.6,(+/-0.9),7.1,(+/-1.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",21.8,(+/-1.9),25.9,(+/-1.9)
Education,"School Enrollment","Population 3 years and over enrolled in school","161,411","(+/-5,359)","159,113","(+/-5,632)"
Education,"School Enrollment","Nursery school, preschool","9,236","(+/-1,738)","10,462","(+/-1,580)"
Education,"School Enrollment",Kindergarten,"7,988","(+/-2,075)","8,393","(+/-1,502)"
Education,"School Enrollment","Elementary school (grades 1-8)","61,882","(+/-3,400)","70,558","(+/-3,281)"
Education,"School Enrollment","High school (grades 9-12)","31,043","(+/-2,269)","35,261","(+/-2,669)"
Education,"School Enrollment","College or graduate school","51,262","(+/-3,098)","34,439","(+/-3,526)"
Education,"Educational Attainment","Population 25 years and over","519,777","(+/-5,974)","504,066","(+/-6,274)"
Education,"Educational Attainment","Less than 9th grade","19,460","(+/-2,501)","12,913","(+/-2,318)"
Education,"Educational Attainment","9th to 12th grade, no diploma","20,046","(+/-2,769)","20,323","(+/-2,448)"
Education,"Educational Attainment","High school graduate (includes equivalency)","127,327","(+/-5,705)","146,583","(+/-6,300)"
Education,"Educational Attainment","Some college, no degree","94,877","(+/-5,041)","105,662","(+/-5,594)"
Education,"Educational Attainment","Associate's degree","57,500","(+/-3,546)","56,448","(+/-3,618)"
Education,"Educational Attainment","Bachelor's degree","125,863","(+/-4,889)","100,261","(+/-4,754)"
Education,"Educational Attainment","Graduate or professional degree","74,704","(+/-4,004)","61,876","(+/-3,689)"
Education,"Educational Attainment","Percent high school graduate or higher",92.4,(+/-0.7),93.4,(+/-0.6)
Education,"Educational Attainment","Percent bachelor's degree or higher",38.6,(+/-1.1),32.2,(+/-1.1)

"Source: 2022 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","263,794",G,"174,317",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",34,G,167,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",0,N,145,J
Business,"Paid employees for pay period including March 12",Utilities,"2,028",J,"1,529",H
Business,"Paid employees for pay period including March 12",Construction,"19,328",G,"11,557",G
Business,"Paid employees for pay period including March 12",Manufacturing,"6,498",G,"4,221",G
Business,"Paid employees for pay period including March 12","Wholesale trade","10,894",G,"5,001",G
Business,"Paid employees for pay period including March 12","Retail trade","31,698",G,"29,751",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","18,504",G,"7,326",G
Business,"Paid employees for pay period including March 12",Information,"4,427",G,"1,711",H
Business,"Paid employees for pay period including March 12","Finance and insurance","16,511",G,"3,562",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","6,458",G,"5,004",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","16,628",G,"6,182",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","6,045",G,941,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","17,411",G,"12,063",G
Business,"Paid employees for pay period including March 12","Educational services","9,676",G,"5,092",H
Business,"Paid employees for pay period including March 12","Health care and social assistance","43,653",G,"27,244",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","2,834",G,"4,785",G
