Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","55 to 59 years","45,301","(+/-2,944)","48,071","(+/-3,138)","42,063","(+/-2,745)","48,785","(+/-2,902)","51,119","(+/-2,737)","44,213","(+/-2,986)"
People,"Sex and Age","60 to 64 years","52,702","(+/-2,900)","52,118","(+/-2,550)","51,507","(+/-2,820)","51,130","(+/-2,936)","51,959","(+/-2,796)","47,343","(+/-2,660)"
People,"Sex and Age","65 to 74 years","84,336","(+/-1,584)","77,755","(+/-1,855)","77,631","(+/-1,500)","78,539","(+/-1,454)","85,771","(+/-1,459)","73,774","(+/-1,870)"
People,"Sex and Age","75 to 84 years","43,777","(+/-1,935)","37,933","(+/-1,927)","37,297","(+/-1,868)","37,551","(+/-1,551)","41,016","(+/-1,599)","38,386","(+/-1,862)"
People,"Sex and Age","85 years and over","15,347","(+/-1,746)","14,025","(+/-1,799)","14,307","(+/-1,638)","10,648","(+/-1,356)","12,240","(+/-1,440)","10,780","(+/-1,436)"
People,"Sex and Age","Median age (years)",40.0,(+/-0.4),39.6,(+/-0.5),38.3,(+/-0.4),39.5,(+/-0.4),41.9,(+/-0.5),37.4,(+/-0.4)
People,"Sex and Age","18 years and over","586,296","(+/-3,546)","584,305","(+/-4,965)","579,588","(+/-3,578)","587,231","(+/-3,037)","577,994","(+/-3,141)","592,016","(+/-3,605)"
People,"Sex and Age","65 years and over","143,460","(+/-2,148)","129,713","(+/-2,294)","129,235","(+/-1,684)","126,738","(+/-1,475)","139,027","(+/-2,041)","122,940","(+/-2,354)"
People,Race,"Total population","757,381","(+/-4,314)","756,377","(+/-6,740)","742,826","(+/-4,130)","762,092","(+/-4,360)","739,149","(+/-3,350)","754,485","(+/-4,443)"
People,Race,"One race","716,889","(+/-6,013)","712,169","(+/-7,023)","681,005","(+/-7,716)","717,124","(+/-6,322)","712,719","(+/-4,189)","700,380","(+/-6,942)"
People,Race,White,"650,727","(+/-4,941)","644,296","(+/-7,040)","472,563","(+/-4,809)","674,784","(+/-5,542)","694,971","(+/-4,298)","611,906","(+/-5,673)"
People,Race,"Black or African American","50,659","(+/-3,192)","36,710","(+/-3,790)","168,585","(+/-4,765)","20,779","(+/-2,462)","11,178","(+/-1,296)","59,128","(+/-3,910)"
People,Race,"American Indian and Alaska Native","1,587",(+/-462),"1,387",(+/-503),621,(+/-405),"1,679","(+/-1,272)","1,322",(+/-682),"1,264",(+/-809)
People,Race,Asian,"1,884",(+/-864),"13,433","(+/-1,625)","19,980","(+/-2,074)","9,724","(+/-1,186)","1,766",(+/-593),"16,086","(+/-1,067)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,332","(+/-1,163)","1,703","(+/-1,442)",125,(+/-202),112,(+/-197),42,(+/-62),188,(+/-173)
People,Race,"Some other race","10,700","(+/-2,290)","14,640","(+/-2,951)","19,131","(+/-3,295)","10,046","(+/-2,632)","3,440",(+/-979),"11,808","(+/-2,705)"
People,Race,"Two or more races","40,492","(+/-4,115)","44,208","(+/-4,271)","61,821","(+/-6,290)","44,968","(+/-4,854)","26,430","(+/-2,484)","54,105","(+/-5,069)"
People,"Hispanic or Latino and Race","Total population","757,381","(+/-4,314)","756,377","(+/-6,740)","742,826","(+/-4,130)","762,092","(+/-4,360)","739,149","(+/-3,350)","754,485","(+/-4,443)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","27,786","(+/-1,294)","29,397","(+/-1,361)","52,533",(+/-585),"28,062",(+/-633),"10,619",(+/-974),"39,086","(+/-1,303)"
People,"Hispanic or Latino and Race",Mexican,"17,722","(+/-1,811)","14,643","(+/-2,094)","18,369","(+/-3,197)","16,349","(+/-2,541)","5,331","(+/-1,289)","21,476","(+/-3,173)"
People,"Hispanic or Latino and Race","Puerto Rican","3,156",(+/-991),"4,559","(+/-1,371)","4,274","(+/-2,056)","2,685","(+/-1,356)","1,118",(+/-603),"3,934","(+/-1,742)"
People,"Hispanic or Latino and Race",Cuban,227,(+/-227),"2,215","(+/-1,101)","16,160","(+/-3,504)","1,101","(+/-1,073)",592,(+/-457),"2,351","(+/-1,301)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,681","(+/-1,515)","7,980","(+/-1,784)","13,730","(+/-2,911)","7,927","(+/-2,637)","3,578",(+/-873),"11,325","(+/-2,510)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","729,595","(+/-4,273)","726,980","(+/-6,566)","690,293","(+/-4,079)","734,030","(+/-4,411)","728,530","(+/-3,355)","715,399","(+/-4,551)"
People,"Place of Birth","Total population","757,381","(+/-4,314)","756,377","(+/-6,740)","742,826","(+/-4,130)","762,092","(+/-4,360)","739,149","(+/-3,350)","754,485","(+/-4,443)"
People,"Place of Birth",Native,"744,367","(+/-4,797)","725,347","(+/-7,815)","680,639","(+/-5,947)","736,735","(+/-5,379)","732,898","(+/-3,237)","711,425","(+/-6,361)"
People,"Place of Birth","Born in United States","738,575","(+/-4,850)","718,833","(+/-7,689)","672,064","(+/-6,600)","730,149","(+/-5,248)","731,067","(+/-3,302)","703,827","(+/-6,341)"
People,"Place of Birth","State of residence","509,062","(+/-9,202)","523,449","(+/-7,915)","483,856","(+/-9,156)","464,012","(+/-9,669)","557,625","(+/-7,065)","494,533","(+/-8,906)"
People,"Place of Birth","Different state","229,513","(+/-8,357)","195,384","(+/-6,802)","188,208","(+/-7,378)","266,137","(+/-8,746)","173,442","(+/-7,080)","209,294","(+/-6,842)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,792","(+/-1,265)","6,514","(+/-1,417)","8,575","(+/-2,914)","6,586","(+/-1,423)","1,831",(+/-693),"7,598","(+/-1,708)"
People,"Place of Birth","Foreign born","13,014","(+/-1,988)","31,030","(+/-3,302)","62,187","(+/-5,035)","25,357","(+/-2,561)","6,251","(+/-1,104)","43,060","(+/-4,919)"
People,Ancestry,"Total population","757,381","(+/-4,314)","756,377","(+/-6,740)","742,826","(+/-4,130)","762,092","(+/-4,360)","739,149","(+/-3,350)","754,485","(+/-4,443)"
People,Ancestry,American,"105,486","(+/-7,277)","91,166","(+/-6,584)","40,804","(+/-3,932)","70,718","(+/-6,273)","121,448","(+/-8,234)","100,205","(+/-9,000)"
People,Ancestry,Arab,"1,566","(+/-1,030)","1,059",(+/-518),"4,579","(+/-2,056)","4,190","(+/-2,343)",657,(+/-585),"3,790","(+/-1,829)"
People,Ancestry,Czech,435,(+/-297),337,(+/-232),812,(+/-416),674,(+/-352),575,(+/-352),869,(+/-520)
People,Ancestry,Danish,739,(+/-404),"1,014",(+/-917),975,(+/-671),791,(+/-595),155,(+/-147),"2,971","(+/-1,675)"
People,Ancestry,Dutch,"7,694","(+/-2,417)","3,813","(+/-1,140)","4,569","(+/-1,101)","6,529","(+/-1,736)","4,639","(+/-1,718)","3,594","(+/-1,087)"
People,Ancestry,English,"106,799","(+/-7,286)","112,672","(+/-8,778)","92,854","(+/-6,279)","115,626","(+/-7,371)","118,518","(+/-7,952)","120,762","(+/-8,105)"
People,Ancestry,"French (except Basque)","9,212","(+/-1,838)","7,773","(+/-2,071)","10,314","(+/-1,744)","13,396","(+/-2,243)","6,906","(+/-1,986)","10,421","(+/-2,500)"
People,Ancestry,"French Canadian","1,805",(+/-808),"1,542",(+/-658),839,(+/-351),567,(+/-383),618,(+/-419),"1,938","(+/-1,074)"
People,Ancestry,German,"68,870","(+/-5,741)","91,046","(+/-6,925)","113,359","(+/-7,244)","177,757","(+/-9,325)","49,077","(+/-5,081)","87,095","(+/-7,378)"
People,Ancestry,Greek,450,(+/-433),"1,037",(+/-723),622,(+/-340),533,(+/-389),302,(+/-300),694,(+/-586)
People,Ancestry,Hungarian,666,(+/-542),389,(+/-280),982,(+/-447),"2,526",(+/-914),178,(+/-184),"1,520",(+/-962)
People,Ancestry,Irish,"64,889","(+/-5,830)","84,754","(+/-6,832)","84,043","(+/-5,926)","108,797","(+/-7,651)","69,039","(+/-6,912)","84,661","(+/-6,020)"
People,Ancestry,Italian,"9,602","(+/-2,085)","12,452","(+/-2,835)","20,668","(+/-3,799)","22,608","(+/-3,486)","9,656","(+/-2,216)","14,671","(+/-2,269)"
People,Ancestry,Lithuanian,502,(+/-456),47,(+/-81),762,(+/-670),65,(+/-123),0,(+/-204),669,(+/-407)
People,Ancestry,Norwegian,"3,253","(+/-1,406)","3,949","(+/-1,317)","3,108",(+/-890),"3,139","(+/-1,138)","1,022",(+/-598),"3,034","(+/-1,198)"
People,Ancestry,Polish,"7,122","(+/-1,576)","6,439","(+/-1,740)","9,067","(+/-2,574)","10,459","(+/-3,493)","2,842",(+/-835),"7,639","(+/-1,649)"
People,Ancestry,Portuguese,628,(+/-436),750,(+/-488),"1,908","(+/-1,763)",914,(+/-472),219,(+/-328),892,(+/-616)
People,Ancestry,Russian,"1,263",(+/-607),617,(+/-404),"3,318","(+/-1,513)","1,567",(+/-850),"2,078","(+/-1,091)","1,379",(+/-630)
People,Ancestry,Scotch-Irish,"7,732","(+/-1,659)","5,848","(+/-1,564)","8,834","(+/-2,138)","9,036","(+/-2,847)","12,695","(+/-2,783)","10,188","(+/-1,930)"
People,Ancestry,Scottish,"15,103","(+/-2,219)","14,271","(+/-2,702)","12,806","(+/-2,021)","16,790","(+/-2,895)","11,802","(+/-2,349)","16,535","(+/-2,246)"
People,Ancestry,Slovak,198,(+/-215),378,(+/-375),791,(+/-710),735,(+/-610),64,(+/-83),861,(+/-479)
People,Ancestry,"Subsaharan African","4,076","(+/-1,267)","7,404","(+/-2,781)","23,232","(+/-5,014)","2,419","(+/-1,139)",765,(+/-392),"9,573","(+/-3,987)"
People,Ancestry,Swedish,"1,703",(+/-728),"3,109",(+/-984),"3,167","(+/-1,145)","2,844","(+/-1,172)","1,059",(+/-495),"4,125","(+/-1,112)"
People,Ancestry,Swiss,"1,652","(+/-1,002)","2,734","(+/-1,435)","3,954","(+/-1,232)","1,488",(+/-793),386,(+/-255),"1,897","(+/-1,070)"
People,Ancestry,Ukrainian,207,(+/-148),"1,025",(+/-566),"1,134","(+/-1,101)",866,(+/-646),925,"(+/-1,007)",929,(+/-568)
People,Ancestry,Welsh,"3,259","(+/-1,159)","3,040","(+/-1,544)","3,661",(+/-962),"6,038","(+/-1,569)","2,880","(+/-1,047)","4,315","(+/-1,516)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",932,(+/-574),"1,066",(+/-762),"2,653","(+/-1,497)",742,(+/-757),369,(+/-257),601,(+/-415)
People,"Veteran Status","Civilian population 18 years and over","578,863","(+/-3,817)","578,469","(+/-4,969)","578,467","(+/-3,590)","586,679","(+/-3,124)","577,794","(+/-3,149)","591,010","(+/-3,734)"
People,"Veteran Status","Civilian veterans","40,522","(+/-2,641)","49,809","(+/-3,142)","34,664","(+/-3,494)","41,617","(+/-3,496)","29,591","(+/-2,338)","37,233","(+/-2,506)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","736,150","(+/-4,665)","741,800","(+/-6,782)","735,209","(+/-4,247)","751,020","(+/-4,401)","718,446","(+/-3,542)","745,649","(+/-4,588)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","154,767","(+/-6,552)","138,984","(+/-6,053)","103,397","(+/-6,267)","107,219","(+/-4,577)","180,579","(+/-6,432)","116,115","(+/-5,105)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","170,632","(+/-2,468)","171,911","(+/-3,105)","162,965","(+/-1,349)","174,788","(+/-2,267)","160,782","(+/-2,347)","162,400","(+/-2,643)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","15,379","(+/-2,440)","9,586","(+/-1,965)","9,485","(+/-2,006)","9,181","(+/-1,784)","12,783","(+/-2,183)","9,443","(+/-1,799)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","425,749","(+/-4,269)","443,415","(+/-4,464)","446,853","(+/-3,209)","453,273","(+/-3,070)","423,499","(+/-2,920)","463,466","(+/-3,484)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","80,132","(+/-4,777)","77,477","(+/-4,455)","53,334","(+/-4,358)","55,638","(+/-3,217)","101,743","(+/-5,520)","64,984","(+/-4,443)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","139,769","(+/-2,202)","126,474","(+/-2,306)","125,391","(+/-1,674)","122,959","(+/-1,511)","134,165","(+/-2,067)","119,783","(+/-2,350)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","59,256","(+/-2,977)","51,921","(+/-2,742)","40,578","(+/-2,355)","42,400","(+/-2,267)","66,053","(+/-2,814)","41,688","(+/-2,460)"
People,"Residence 1 Year Ago","Population 1 year and over","748,803","(+/-4,670)","748,689","(+/-6,579)","732,362","(+/-4,504)","755,414","(+/-4,687)","730,541","(+/-3,929)","746,337","(+/-4,539)"
People,"Residence 1 Year Ago","Same house","651,565","(+/-7,899)","652,248","(+/-10,500)","629,197","(+/-9,386)","674,626","(+/-8,064)","651,670","(+/-8,027)","633,407","(+/-9,496)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","97,238","(+/-7,099)","96,441","(+/-8,026)","103,165","(+/-8,484)","80,788","(+/-7,406)","78,871","(+/-6,831)","112,930","(+/-8,172)"
People,"Residence 1 Year Ago","Different house in the U.S.","95,174","(+/-6,884)","92,627","(+/-8,207)","99,130","(+/-8,465)","79,419","(+/-7,355)","77,732","(+/-6,713)","109,059","(+/-8,290)"
People,"Residence 1 Year Ago","Same county","42,064","(+/-5,012)","44,926","(+/-6,378)","66,046","(+/-7,687)","34,113","(+/-4,671)","42,732","(+/-5,400)","57,793","(+/-6,371)"
People,"Residence 1 Year Ago","Different county","53,110","(+/-5,650)","47,701","(+/-5,691)","33,084","(+/-3,880)","45,306","(+/-5,813)","35,000","(+/-4,143)","51,266","(+/-5,387)"
People,"Residence 1 Year Ago","Same state","31,381","(+/-3,695)","26,924","(+/-3,927)","12,575","(+/-2,558)","27,394","(+/-4,396)","22,995","(+/-3,040)","31,001","(+/-3,946)"
People,"Residence 1 Year Ago","Different state","21,729","(+/-3,833)","20,777","(+/-4,011)","20,509","(+/-3,098)","17,912","(+/-3,162)","12,005","(+/-2,706)","20,265","(+/-3,732)"
People,"Residence 1 Year Ago",Abroad,"2,064",(+/-810),"3,814","(+/-2,056)","4,035","(+/-1,200)","1,369",(+/-613),"1,139",(+/-688),"3,871","(+/-1,506)"
Workers,"Employment Status","Population 16 years and over","606,130","(+/-4,110)","605,632","(+/-5,163)","596,861","(+/-3,880)","608,590","(+/-3,453)","598,515","(+/-3,654)","610,783","(+/-3,901)"
Workers,"Employment Status","In labor force","344,820","(+/-6,427)","358,536","(+/-6,824)","398,796","(+/-5,370)","395,232","(+/-4,364)","280,347","(+/-6,652)","393,121","(+/-5,162)"
Workers,"Employment Status","Civilian labor force","337,387","(+/-6,575)","352,700","(+/-6,606)","397,675","(+/-5,495)","394,680","(+/-4,498)","280,147","(+/-6,676)","392,115","(+/-5,260)"
Workers,"Employment Status",Employed,"322,090","(+/-6,450)","339,197","(+/-6,755)","377,785","(+/-5,833)","381,101","(+/-4,679)","268,340","(+/-6,389)","372,725","(+/-5,755)"
Workers,"Employment Status",Unemployed,"15,297","(+/-2,020)","13,503","(+/-2,371)","19,890","(+/-2,597)","13,579","(+/-2,071)","11,807","(+/-2,115)","19,390","(+/-2,443)"
Workers,"Employment Status","Armed Forces","7,433","(+/-1,383)","5,836",(+/-955),"1,121",(+/-743),552,(+/-374),200,(+/-193),"1,006",(+/-877)
Workers,"Employment Status","Not in labor force","261,310","(+/-6,498)","247,096","(+/-6,432)","198,065","(+/-4,988)","213,358","(+/-4,648)","318,168","(+/-7,040)","217,662","(+/-5,113)"
Workers,"Employment Status","Civilian labor force","337,387","(+/-6,575)","352,700","(+/-6,606)","397,675","(+/-5,495)","394,680","(+/-4,498)","280,147","(+/-6,676)","392,115","(+/-5,260)"
Workers,"Employment Status","Unemployment Rate",4.5,(+/-0.6),3.8,(+/-0.7),5.0,(+/-0.6),3.4,(+/-0.5),4.2,(+/-0.7),4.9,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","322,874","(+/-6,399)","339,879","(+/-6,976)","371,095","(+/-6,208)","374,087","(+/-4,861)","262,398","(+/-6,473)","364,366","(+/-6,037)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","255,566","(+/-6,769)","264,759","(+/-7,487)","269,794","(+/-8,552)","278,635","(+/-6,136)","199,070","(+/-6,403)","277,920","(+/-6,506)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,078","(+/-3,037)","37,762","(+/-3,644)","30,545","(+/-3,284)","35,705","(+/-4,141)","33,192","(+/-3,843)","33,671","(+/-3,915)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",672,(+/-466),870,(+/-751),"4,414","(+/-1,452)","1,205",(+/-522),539,(+/-285),"1,652",(+/-573)
Workers,"Commuting to Work",Walked,"8,700","(+/-1,572)","5,486","(+/-1,182)","6,212","(+/-1,389)","4,725","(+/-1,250)","4,812","(+/-1,101)","8,152","(+/-1,446)"
Workers,"Commuting to Work","Other means","4,438","(+/-1,028)","3,238",(+/-916),"7,279","(+/-1,883)","4,498","(+/-1,406)","3,800","(+/-1,265)","4,428","(+/-1,258)"
Workers,"Commuting to Work","Worked from home","23,420","(+/-2,402)","27,764","(+/-3,104)","52,851","(+/-4,382)","49,319","(+/-4,158)","20,985","(+/-2,183)","38,543","(+/-3,461)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.1,(+/-0.7),24.4,(+/-0.7),22.3,(+/-0.8),25.8,(+/-0.7),26.1,(+/-1.1),23.3,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","322,090","(+/-6,450)","339,197","(+/-6,755)","377,785","(+/-5,833)","381,101","(+/-4,679)","268,340","(+/-6,389)","372,725","(+/-5,755)"
Workers,Occupation,"Management, business, science, and arts occupations","106,509","(+/-5,250)","114,493","(+/-5,441)","157,007","(+/-6,502)","155,615","(+/-5,105)","86,404","(+/-4,969)","155,647","(+/-6,028)"
Workers,Occupation,"Service occupations","48,374","(+/-3,927)","52,160","(+/-4,094)","52,733","(+/-4,392)","52,949","(+/-3,725)","46,453","(+/-3,907)","55,712","(+/-4,688)"
Workers,Occupation,"Sales and office occupations","64,884","(+/-4,306)","66,119","(+/-4,120)","77,408","(+/-5,308)","73,763","(+/-3,561)","58,945","(+/-3,431)","74,118","(+/-4,576)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","35,268","(+/-3,044)","33,599","(+/-2,496)","21,149","(+/-2,931)","32,658","(+/-3,444)","29,514","(+/-2,527)","22,407","(+/-2,742)"
Workers,Occupation,"Production, transportation, and material moving occupations","67,055","(+/-4,397)","72,826","(+/-4,730)","69,488","(+/-4,453)","66,116","(+/-4,272)","47,024","(+/-3,729)","64,841","(+/-4,433)"
Workers,Industry,"Civilian employed population 16 years and over","322,090","(+/-6,450)","339,197","(+/-6,755)","377,785","(+/-5,833)","381,101","(+/-4,679)","268,340","(+/-6,389)","372,725","(+/-5,755)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","9,866","(+/-1,912)","5,845","(+/-1,425)",779,(+/-463),"4,178","(+/-1,135)","7,970","(+/-1,529)","7,114","(+/-1,551)"
Workers,Industry,Construction,"25,191","(+/-2,783)","23,980","(+/-2,475)","17,480","(+/-1,960)","24,235","(+/-2,901)","19,059","(+/-2,192)","19,344","(+/-2,278)"
Workers,Industry,Manufacturing,"59,612","(+/-3,613)","57,874","(+/-4,617)","44,968","(+/-3,743)","56,536","(+/-4,058)","28,219","(+/-3,165)","52,430","(+/-4,360)"
Workers,Industry,"Wholesale trade","6,758","(+/-1,512)","5,939","(+/-1,215)","11,458","(+/-2,160)","7,673","(+/-1,427)","4,022",(+/-897),"5,507","(+/-1,247)"
Workers,Industry,"Retail trade","38,266","(+/-2,783)","40,070","(+/-3,791)","41,146","(+/-3,506)","38,067","(+/-2,691)","35,662","(+/-3,078)","43,519","(+/-4,403)"
Workers,Industry,"Transportation and warehousing, and utilities","19,305","(+/-2,120)","27,061","(+/-3,211)","36,561","(+/-3,913)","31,826","(+/-3,680)","15,289","(+/-2,368)","21,370","(+/-2,759)"
Workers,Industry,Information,"2,467",(+/-646),"5,342","(+/-1,210)","7,266","(+/-2,022)","5,276","(+/-1,243)","3,400","(+/-1,033)","4,510","(+/-1,167)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","12,455","(+/-1,513)","17,112","(+/-2,342)","29,997","(+/-2,951)","27,994","(+/-2,779)","9,967","(+/-1,968)","15,063","(+/-1,911)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","23,465","(+/-2,440)","27,517","(+/-2,464)","39,583","(+/-2,795)","38,623","(+/-3,406)","22,195","(+/-2,396)","42,512","(+/-3,799)"
Workers,Industry,"Educational services, and health care and social assistance","70,032","(+/-3,741)","73,933","(+/-4,326)","88,307","(+/-5,282)","83,463","(+/-5,073)","77,782","(+/-5,250)","97,755","(+/-4,983)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","21,649","(+/-2,715)","26,470","(+/-3,461)","30,467","(+/-2,991)","31,601","(+/-3,015)","17,708","(+/-2,215)","28,079","(+/-3,870)"
Workers,Industry,"Other services, except public administration","15,477","(+/-1,868)","14,584","(+/-2,252)","18,303","(+/-2,280)","17,971","(+/-2,352)","13,058","(+/-2,294)","20,662","(+/-2,781)"
Workers,Industry,"Public administration","17,547","(+/-2,330)","13,470","(+/-1,861)","11,470","(+/-1,906)","13,658","(+/-2,087)","14,009","(+/-2,040)","14,860","(+/-1,792)"
Workers,"Class of Worker","Civilian employed population 16 years and over","322,090","(+/-6,450)","339,197","(+/-6,755)","377,785","(+/-5,833)","381,101","(+/-4,679)","268,340","(+/-6,389)","372,725","(+/-5,755)"
Workers,"Class of Worker","Private wage and salary workers","243,958","(+/-6,351)","271,149","(+/-6,809)","310,279","(+/-6,884)","314,393","(+/-5,238)","205,268","(+/-6,272)","287,564","(+/-5,590)"
Workers,"Class of Worker","Government workers","51,978","(+/-3,985)","47,032","(+/-3,693)","48,928","(+/-4,175)","44,917","(+/-3,562)","46,638","(+/-3,799)","61,483","(+/-3,990)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","25,206","(+/-2,929)","20,422","(+/-2,649)","18,161","(+/-2,190)","21,207","(+/-3,183)","15,786","(+/-1,926)","22,885","(+/-2,820)"
Workers,"Class of Worker","Unpaid family workers",948,(+/-378),594,(+/-421),417,(+/-319),584,(+/-432),648,(+/-347),793,(+/-410)
Housing,"Housing Occupancy","Total housing units","349,473","(+/-1,924)","328,817","(+/-2,219)","346,248","(+/-1,597)","317,895","(+/-1,559)","344,929","(+/-1,909)","336,317","(+/-2,310)"
Housing,"Housing Occupancy","Occupied housing units","302,039","(+/-3,854)","299,343","(+/-3,493)","324,307","(+/-3,666)","294,085","(+/-3,227)","297,678","(+/-4,469)","311,228","(+/-3,708)"
Housing,"Housing Occupancy","Vacant housing units","47,434","(+/-3,719)","29,474","(+/-3,152)","21,941","(+/-2,889)","23,810","(+/-2,844)","47,251","(+/-3,882)","25,089","(+/-3,596)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.3),0.7,(+/-0.3),0.6,(+/-0.3),0.8,(+/-0.4),1.0,(+/-0.4),0.5,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.9,(+/-1.2),6.2,(+/-1.7),3.9,(+/-1.1),6.0,(+/-1.7),4.1,(+/-1.3),2.6,(+/-0.9)
Housing,"Housing Tenure","Occupied housing units","302,039","(+/-3,854)","299,343","(+/-3,493)","324,307","(+/-3,666)","294,085","(+/-3,227)","297,678","(+/-4,469)","311,228","(+/-3,708)"
Housing,"Housing Tenure",Owner-occupied,"215,982","(+/-4,884)","211,508","(+/-4,744)","201,032","(+/-4,370)","223,723","(+/-3,768)","212,546","(+/-4,613)","192,946","(+/-4,469)"
Housing,"Housing Tenure",Renter-occupied,"86,057","(+/-4,281)","87,835","(+/-3,610)","123,275","(+/-4,593)","70,362","(+/-3,874)","85,132","(+/-3,945)","118,282","(+/-4,673)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.45,(+/-0.04),2.58,(+/-0.05),2.41,(+/-0.04),2.67,(+/-0.04),2.42,(+/-0.04),2.49,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.36,(+/-0.08),2.21,(+/-0.08),1.99,(+/-0.05),2.15,(+/-0.08),2.32,(+/-0.09),2.12,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","302,039","(+/-3,854)","299,343","(+/-3,493)","324,307","(+/-3,666)","294,085","(+/-3,227)","297,678","(+/-4,469)","311,228","(+/-3,708)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","48,249","(+/-2,716)","49,221","(+/-3,387)","68,421","(+/-4,338)","44,500","(+/-3,274)","40,178","(+/-3,169)","66,773","(+/-4,055)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","60,398","(+/-3,714)","69,429","(+/-3,804)","72,708","(+/-3,577)","64,009","(+/-3,989)","56,042","(+/-3,819)","75,068","(+/-4,259)"
