Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Housing,Value,"$500,000 to $999,999","24,943","(+/-2,424)","8,387","(+/-1,540)","25,393","(+/-1,961)"
Housing,Value,"$1,000,000 or more","3,477",(+/-809),"1,000",(+/-482),"8,342","(+/-1,094)"
Housing,Value,"Median (dollars)","295,400","(+/-6,567)","207,200","(+/-6,082)","227,200","(+/-9,605)"
Housing,"Mortgage Status","Owner-occupied units","208,132","(+/-4,339)","193,093","(+/-5,330)","200,441","(+/-4,949)"
Housing,"Mortgage Status","Housing units with a mortgage","127,051","(+/-4,504)","106,121","(+/-5,017)","89,136","(+/-4,435)"
Housing,"Mortgage Status","Housing units without a mortgage","81,081","(+/-3,996)","86,972","(+/-4,006)","111,305","(+/-5,212)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","127,051","(+/-4,504)","106,121","(+/-5,017)","89,136","(+/-4,435)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",995,(+/-608),978,(+/-519),"1,309",(+/-711)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","17,697","(+/-2,353)","27,406","(+/-3,054)","15,581","(+/-2,244)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","46,112","(+/-3,947)","42,269","(+/-3,829)","30,641","(+/-3,474)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","33,726","(+/-3,558)","21,440","(+/-2,917)","20,342","(+/-2,662)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","12,283","(+/-1,837)","7,698","(+/-1,433)","10,449","(+/-1,732)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","7,916","(+/-1,416)","2,493",(+/-927),"4,460","(+/-1,261)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","8,322","(+/-1,610)","3,837","(+/-1,275)","6,354","(+/-1,158)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,486",(+/-41),"1,264",(+/-46),"1,456",(+/-40)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","81,081","(+/-3,996)","86,972","(+/-4,006)","111,305","(+/-5,212)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","9,317","(+/-1,559)","20,145","(+/-2,742)","23,326","(+/-2,351)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","16,549","(+/-2,328)","28,472","(+/-2,489)","30,704","(+/-3,198)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","28,395","(+/-3,090)","23,037","(+/-2,563)","31,641","(+/-2,870)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","15,101","(+/-1,994)","9,543","(+/-1,958)","13,698","(+/-2,063)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","6,381","(+/-1,042)","3,111",(+/-925),"5,588","(+/-1,101)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","5,338","(+/-1,442)","2,664",(+/-995),"6,348","(+/-1,315)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",492,(+/-16),368,(+/-16),410,(+/-15)
Housing,"Gross Rent","Occupied units paying rent","92,742","(+/-4,481)","63,015","(+/-4,690)","69,576","(+/-3,928)"
Housing,"Gross Rent","Less than $500","5,226","(+/-1,564)","9,199","(+/-2,005)","7,239","(+/-1,358)"
Housing,"Gross Rent","$500 to $999","38,862","(+/-3,464)","30,721","(+/-3,142)","30,940","(+/-2,876)"
Housing,"Gross Rent","$1,000 to $1,499","27,690","(+/-3,368)","16,020","(+/-2,915)","17,171","(+/-2,651)"
Housing,"Gross Rent","$1,500 to $1,999","14,687","(+/-2,310)","5,943","(+/-1,765)","8,785","(+/-1,688)"
Housing,"Gross Rent","$2,000 to $2,499","3,717","(+/-1,279)",695,(+/-404),"3,489","(+/-1,134)"
Housing,"Gross Rent","$2,500 to $2,999",838,(+/-594),237,(+/-353),"1,208",(+/-693)
Housing,"Gross Rent","$3,000 or more","1,722",(+/-781),200,(+/-198),744,(+/-302)
Housing,"Gross Rent","Median (dollars)","1,034",(+/-39),859,(+/-36),948,(+/-35)
Housing,"Gross Rent","No rent paid","5,797","(+/-1,375)","6,632","(+/-1,136)","8,790","(+/-1,714)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","306,671","(+/-4,812)","262,740","(+/-4,976)","278,807","(+/-4,170)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","18,806","(+/-2,899)","20,492","(+/-2,934)","23,153","(+/-2,626)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","12,878","(+/-2,113)","14,753","(+/-1,790)","13,673","(+/-2,277)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","24,681","(+/-2,891)","28,371","(+/-2,779)","27,348","(+/-3,106)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$25,000 to $34,999","26,615","(+/-2,911)","25,463","(+/-2,952)","25,651","(+/-2,758)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$35,000 to $49,999","36,454","(+/-3,440)","35,388","(+/-3,727)","30,487","(+/-2,865)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$50,000 to $74,999","47,910","(+/-3,630)","43,223","(+/-3,742)","47,391","(+/-4,125)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$75,000 to $99,999","38,553","(+/-3,211)","33,322","(+/-3,464)","34,417","(+/-3,116)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$100,000 to $149,999","51,909","(+/-3,638)","37,294","(+/-3,164)","42,766","(+/-3,545)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$150,000 to $199,000","24,560","(+/-2,820)","13,230","(+/-1,976)","16,230","(+/-1,785)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$200,000 or more","24,305","(+/-2,603)","11,204","(+/-1,979)","17,691","(+/-2,126)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Median household income (dollars)","66,579","(+/-2,073)","53,550","(+/-2,411)","58,790","(+/-2,426)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Mean household income (dollars)","92,779","(+/-3,366)","71,244","(+/-2,307)","81,441","(+/-2,889)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","705,546","(+/-12,505)","678,628","(+/-13,024)","690,177","(+/-6,308)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","666,001","(+/-13,172)","609,954","(+/-12,115)","627,927","(+/-8,462)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","447,075","(+/-11,730)","326,524","(+/-13,799)","354,961","(+/-12,860)"
Socioeconomic,"Health Insurance Coverage","With public coverage","323,103","(+/-10,927)","370,142","(+/-12,642)","368,884","(+/-10,307)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","39,545","(+/-4,610)","68,674","(+/-6,832)","62,250","(+/-5,328)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","149,777","(+/-6,100)","166,725","(+/-6,774)","166,696","(+/-4,216)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","1,839",(+/-906),"6,642","(+/-2,123)","9,925","(+/-2,412)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.5,(+/-1.3),15.6,(+/-1.6),13.9,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.8,(+/-2.4),25.3,(+/-3.2),20.5,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.1,(+/-5.7),23.0,(+/-7.7),17.1,(+/-6.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.7,(+/-0.7),9.8,(+/-1.7),7.9,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.5,(+/-1.4),14.5,(+/-3.6),9.7,(+/-2.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.6,(+/-3.4),8.5,(+/-7.5),2.6,(+/-2.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",22.5,(+/-4.5),29.5,(+/-4.3),27.6,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",29.2,(+/-6.3),42.5,(+/-6.4),34.0,(+/-5.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",33.5,(+/-16.8),50.9,(+/-23.3),50.5,(+/-13.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",13.3,(+/-1.3),21.0,(+/-1.4),18.7,(+/-1.5)
