Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,Ancestry,Danish,"1,374",(+/-733),"1,551",(+/-788),"1,541",(+/-825),"1,563","(+/-1,118)","2,988","(+/-1,596)","1,970","(+/-1,090)",862,(+/-418),887,(+/-520),"1,579",(+/-654)
People,Ancestry,Dutch,"3,954","(+/-1,599)","5,009","(+/-1,177)","3,111","(+/-1,019)","3,334","(+/-1,017)","4,533","(+/-1,233)","2,929",(+/-923),"3,267",(+/-987),"1,982",(+/-747),"3,900","(+/-1,289)"
People,Ancestry,English,"63,423","(+/-4,925)","83,081","(+/-5,019)","69,826","(+/-6,273)","81,066","(+/-6,127)","66,145","(+/-5,159)","89,392","(+/-5,892)","40,628","(+/-5,008)","57,089","(+/-4,734)","106,612","(+/-6,752)"
People,Ancestry,"French (except Basque)","69,576","(+/-5,758)","49,953","(+/-4,598)","46,359","(+/-4,970)","44,843","(+/-5,030)","16,821","(+/-2,368)","32,512","(+/-3,180)","11,397","(+/-2,012)","16,044","(+/-2,860)","36,517","(+/-4,162)"
People,Ancestry,"French Canadian","35,041","(+/-3,725)","32,450","(+/-3,475)","30,683","(+/-3,504)","23,523","(+/-3,182)","11,749","(+/-2,166)","23,091","(+/-3,016)","7,960","(+/-2,826)","11,393","(+/-2,264)","21,372","(+/-3,073)"
People,Ancestry,German,"40,147","(+/-3,413)","50,593","(+/-5,398)","39,381","(+/-4,877)","40,981","(+/-4,027)","46,744","(+/-4,867)","45,984","(+/-5,454)","34,869","(+/-4,593)","40,039","(+/-4,372)","49,983","(+/-5,160)"
People,Ancestry,Greek,"6,283","(+/-1,798)","7,343","(+/-2,330)","10,976","(+/-2,539)","5,572","(+/-2,302)","8,384","(+/-1,706)","14,631","(+/-2,660)","4,330","(+/-1,370)","11,030","(+/-2,939)","5,662","(+/-1,945)"
People,Ancestry,Hungarian,"1,411",(+/-539),"3,558","(+/-1,786)","1,406",(+/-693),"1,906",(+/-991),"2,947",(+/-846),"1,925",(+/-984),"1,506",(+/-527),"1,583",(+/-718),"1,458",(+/-527)
People,Ancestry,Irish,"113,364","(+/-6,928)","139,180","(+/-8,012)","128,830","(+/-9,368)","136,852","(+/-8,100)","134,104","(+/-8,160)","166,006","(+/-9,749)","78,883","(+/-5,800)","191,018","(+/-9,654)","192,044","(+/-9,120)"
People,Ancestry,Italian,"73,178","(+/-6,440)","87,105","(+/-6,923)","74,415","(+/-6,045)","91,102","(+/-8,412)","95,996","(+/-7,444)","123,653","(+/-7,760)","48,991","(+/-3,843)","91,783","(+/-6,701)","90,895","(+/-7,264)"
People,Ancestry,Lithuanian,"4,336","(+/-1,493)","9,238","(+/-2,565)","2,961",(+/-910),"4,621","(+/-1,493)","3,578","(+/-1,116)","2,514",(+/-804),"1,892",(+/-678),"3,604",(+/-990),"5,285","(+/-1,951)"
People,Ancestry,Norwegian,"1,786",(+/-701),"4,843","(+/-1,297)","5,062","(+/-1,695)","3,017","(+/-1,184)","4,357","(+/-1,133)","5,467","(+/-1,701)","2,220",(+/-657),"3,323","(+/-1,174)","6,365","(+/-1,642)"
People,Ancestry,Polish,"56,007","(+/-5,436)","38,313","(+/-4,814)","24,273","(+/-4,200)","29,366","(+/-4,737)","24,892","(+/-3,553)","27,154","(+/-3,515)","13,623","(+/-2,022)","18,684","(+/-2,922)","23,412","(+/-3,375)"
People,Ancestry,Portuguese,"10,981","(+/-2,588)","12,856","(+/-3,075)","15,887","(+/-3,235)","88,606","(+/-7,066)","10,643","(+/-2,565)","25,167","(+/-4,655)","9,948","(+/-1,872)","13,070","(+/-2,438)","79,315","(+/-6,110)"
People,Ancestry,Russian,"11,351","(+/-4,025)","6,817","(+/-1,360)","5,538","(+/-1,418)","18,519","(+/-3,931)","13,305","(+/-2,205)","9,355","(+/-1,737)","9,036","(+/-1,677)","6,621","(+/-1,513)","5,419","(+/-1,340)"
People,Ancestry,Scotch-Irish,"3,101",(+/-802),"3,956","(+/-1,017)","3,208",(+/-875),"5,629","(+/-1,986)","4,287","(+/-1,559)","5,116","(+/-1,827)","1,763",(+/-780),"3,677","(+/-1,251)","5,162","(+/-1,348)"
People,Ancestry,Scottish,"12,974","(+/-1,982)","13,723","(+/-1,755)","12,956","(+/-2,634)","12,612","(+/-1,877)","13,369","(+/-2,059)","15,314","(+/-2,264)","8,591","(+/-1,755)","10,464","(+/-1,941)","19,877","(+/-3,051)"
People,Ancestry,Slovak,"1,676",(+/-973),413,(+/-349),293,(+/-239),"1,992","(+/-1,195)",548,(+/-344),508,(+/-394),373,(+/-233),51,(+/-83),403,(+/-249)
People,Ancestry,"Subsaharan African","6,779","(+/-2,779)","13,727","(+/-3,359)","10,585","(+/-3,415)","13,316","(+/-3,422)","8,567","(+/-3,000)","10,419","(+/-3,097)","35,437","(+/-5,516)","26,850","(+/-4,909)","17,855","(+/-4,170)"
People,Ancestry,Swedish,"8,919","(+/-2,176)","16,283","(+/-2,497)","8,211","(+/-1,654)","8,721","(+/-1,761)","6,913","(+/-1,633)","8,779","(+/-2,105)","4,676","(+/-1,171)","11,256","(+/-2,047)","15,036","(+/-2,919)"
People,Ancestry,Swiss,486,(+/-338),"2,901","(+/-2,005)",787,(+/-507),369,(+/-287),"1,728",(+/-683),"1,460",(+/-801),"1,431",(+/-457),867,(+/-556),"2,134","(+/-1,183)"
People,Ancestry,Ukrainian,"4,753","(+/-1,482)","2,355",(+/-744),"1,301",(+/-949),"4,433","(+/-1,179)","7,028","(+/-1,579)","3,220","(+/-1,130)","2,870","(+/-1,125)","1,762",(+/-638),"1,752",(+/-859)
People,Ancestry,Welsh,"1,791",(+/-604),"2,037",(+/-682),"2,856",(+/-894),"1,979",(+/-707),"2,591",(+/-814),"3,092","(+/-1,048)","1,626",(+/-743),"2,151",(+/-944),"3,356","(+/-1,112)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","6,908","(+/-2,559)","8,068","(+/-2,436)","5,932","(+/-2,945)","9,242","(+/-3,217)","15,370","(+/-3,938)","11,047","(+/-3,138)","47,340","(+/-6,733)","27,384","(+/-4,833)","6,602","(+/-2,430)"
People,"Veteran Status","Civilian population 18 years and over","623,657","(+/-7,140)","631,329","(+/-8,411)","614,772","(+/-7,864)","614,304","(+/-7,944)","629,530","(+/-7,089)","616,406","(+/-4,867)","633,890","(+/-6,591)","631,826","(+/-7,666)","645,197","(+/-7,382)"
People,"Veteran Status","Civilian veterans","36,083","(+/-3,159)","29,548","(+/-2,412)","24,148","(+/-2,573)","25,110","(+/-2,704)","19,422","(+/-2,781)","29,065","(+/-2,204)","14,206","(+/-1,957)","24,333","(+/-2,420)","41,345","(+/-3,334)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","765,784","(+/-9,157)","777,645","(+/-11,613)","769,385","(+/-10,122)","775,775","(+/-9,529)","769,481","(+/-7,772)","765,864","(+/-5,300)","750,662","(+/-8,345)","767,329","(+/-9,813)","777,198","(+/-9,466)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","128,086","(+/-6,329)","99,999","(+/-5,393)","98,138","(+/-5,675)","91,512","(+/-5,445)","79,705","(+/-5,112)","91,444","(+/-5,359)","92,802","(+/-5,301)","84,820","(+/-5,983)","102,064","(+/-5,233)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","147,567","(+/-3,902)","152,801","(+/-5,326)","165,061","(+/-7,634)","166,786","(+/-6,203)","144,670","(+/-6,855)","154,869","(+/-4,644)","119,873","(+/-5,576)","141,443","(+/-5,745)","139,874","(+/-4,751)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,252","(+/-1,938)","7,529","(+/-1,534)","9,744","(+/-1,938)","7,358","(+/-2,097)","5,889","(+/-1,468)","6,742","(+/-1,571)","4,883","(+/-1,706)","5,409","(+/-1,288)","8,222","(+/-1,658)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","468,913","(+/-6,369)","489,921","(+/-7,498)","485,014","(+/-8,059)","481,686","(+/-8,082)","493,550","(+/-6,757)","459,048","(+/-5,208)","540,050","(+/-6,602)","492,355","(+/-8,005)","447,760","(+/-7,259)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","68,284","(+/-5,261)","52,701","(+/-4,158)","52,548","(+/-4,488)","46,612","(+/-4,155)","34,657","(+/-3,370)","41,341","(+/-3,807)","52,123","(+/-4,019)","38,688","(+/-3,573)","47,382","(+/-3,957)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","149,304","(+/-2,878)","134,923","(+/-4,048)","119,310","(+/-5,525)","127,303","(+/-4,712)","131,261","(+/-5,780)","151,947","(+/-4,507)","90,739","(+/-3,358)","133,531","(+/-4,406)","189,564","(+/-4,218)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","50,550","(+/-3,272)","39,769","(+/-2,365)","35,846","(+/-3,165)","37,542","(+/-3,103)","39,159","(+/-3,668)","43,361","(+/-3,190)","35,796","(+/-3,165)","40,723","(+/-4,165)","46,460","(+/-2,875)"
People,"Residence 1 Year Ago","Population 1 year and over","765,813","(+/-9,230)","778,832","(+/-11,612)","774,247","(+/-10,157)","775,310","(+/-9,930)","770,306","(+/-7,903)","763,007","(+/-5,030)","745,410","(+/-8,399)","766,913","(+/-9,803)","778,644","(+/-9,515)"
People,"Residence 1 Year Ago","Same house","693,680","(+/-11,350)","670,164","(+/-13,002)","688,594","(+/-11,789)","689,396","(+/-11,505)","666,390","(+/-9,794)","694,138","(+/-8,309)","586,822","(+/-10,676)","666,828","(+/-12,644)","709,282","(+/-11,250)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","72,133","(+/-7,513)","108,668","(+/-7,820)","85,653","(+/-7,020)","85,914","(+/-7,709)","103,916","(+/-7,743)","68,869","(+/-6,910)","158,588","(+/-7,652)","100,085","(+/-8,008)","69,362","(+/-6,528)"
People,"Residence 1 Year Ago","Different house in the U.S.","64,997","(+/-6,067)","100,768","(+/-7,508)","78,704","(+/-6,938)","76,076","(+/-7,222)","90,643","(+/-7,608)","63,672","(+/-6,145)","140,859","(+/-7,415)","94,958","(+/-7,598)","67,026","(+/-6,655)"
People,"Residence 1 Year Ago","Same county","36,674","(+/-4,864)","52,869","(+/-5,608)","49,028","(+/-6,435)","32,707","(+/-5,059)","46,511","(+/-5,778)","34,591","(+/-5,086)","64,461","(+/-5,710)","39,201","(+/-4,875)","33,100","(+/-5,374)"
People,"Residence 1 Year Ago","Different county","28,323","(+/-4,004)","47,899","(+/-5,397)","29,676","(+/-4,174)","43,369","(+/-5,571)","44,132","(+/-4,684)","29,081","(+/-3,498)","76,398","(+/-6,179)","55,757","(+/-5,489)","33,926","(+/-3,877)"
People,"Residence 1 Year Ago","Same state","13,904","(+/-3,042)","29,064","(+/-4,624)","17,249","(+/-3,482)","23,340","(+/-4,413)","23,026","(+/-3,845)","18,800","(+/-3,298)","35,755","(+/-4,712)","35,097","(+/-4,908)","21,249","(+/-3,392)"
People,"Residence 1 Year Ago","Different state","14,419","(+/-2,658)","18,835","(+/-3,401)","12,427","(+/-2,291)","20,029","(+/-3,819)","21,106","(+/-3,457)","10,281","(+/-2,054)","40,643","(+/-4,372)","20,660","(+/-3,253)","12,677","(+/-2,814)"
People,"Residence 1 Year Ago",Abroad,"7,136","(+/-3,380)","7,900","(+/-2,161)","6,949","(+/-2,769)","9,838","(+/-2,613)","13,273","(+/-3,216)","5,197","(+/-2,613)","17,729","(+/-2,553)","5,127","(+/-1,631)","2,336","(+/-1,135)"
Workers,"Employment Status","Population 16 years and over","642,441","(+/-7,535)","649,652","(+/-8,865)","634,095","(+/-8,199)","634,588","(+/-8,613)","648,146","(+/-7,585)","635,255","(+/-4,934)","646,502","(+/-6,752)","648,209","(+/-7,722)","666,577","(+/-7,722)"
Workers,"Employment Status","In labor force","391,194","(+/-8,074)","423,665","(+/-7,402)","430,511","(+/-10,039)","441,385","(+/-8,871)","445,946","(+/-7,604)","423,815","(+/-5,962)","451,307","(+/-8,473)","456,679","(+/-8,231)","413,542","(+/-7,664)"
Workers,"Employment Status","Civilian labor force","390,795","(+/-8,079)","423,005","(+/-7,563)","430,098","(+/-10,072)","440,816","(+/-8,796)","444,189","(+/-7,750)","423,372","(+/-6,006)","451,200","(+/-8,503)","456,412","(+/-8,235)","413,082","(+/-7,669)"
Workers,"Employment Status",Employed,"371,989","(+/-8,310)","402,939","(+/-7,672)","412,558","(+/-10,108)","421,597","(+/-8,601)","433,353","(+/-7,808)","410,221","(+/-6,093)","426,654","(+/-8,909)","439,070","(+/-8,545)","396,442","(+/-7,869)"
Workers,"Employment Status",Unemployed,"18,806","(+/-3,077)","20,066","(+/-2,529)","17,540","(+/-2,600)","19,219","(+/-2,759)","10,836","(+/-1,892)","13,151","(+/-2,060)","24,546","(+/-3,380)","17,342","(+/-2,574)","16,640","(+/-2,367)"
Workers,"Employment Status","Armed Forces",399,(+/-322),660,(+/-539),413,(+/-270),569,(+/-491),"1,757",(+/-850),443,(+/-294),107,(+/-138),267,(+/-202),460,(+/-351)
Workers,"Employment Status","Not in labor force","251,247","(+/-5,707)","225,987","(+/-5,830)","203,584","(+/-6,627)","193,203","(+/-5,943)","202,200","(+/-7,002)","211,440","(+/-6,341)","195,195","(+/-7,496)","191,530","(+/-5,980)","253,035","(+/-6,382)"
Workers,"Employment Status","Civilian labor force","390,795","(+/-8,079)","423,005","(+/-7,563)","430,098","(+/-10,072)","440,816","(+/-8,796)","444,189","(+/-7,750)","423,372","(+/-6,006)","451,200","(+/-8,503)","456,412","(+/-8,235)","413,082","(+/-7,669)"
Workers,"Employment Status","Unemployment Rate",4.8,(+/-0.8),4.7,(+/-0.6),4.1,(+/-0.6),4.4,(+/-0.6),2.4,(+/-0.4),3.1,(+/-0.5),5.4,(+/-0.7),3.8,(+/-0.6),4.0,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","363,146","(+/-8,592)","394,117","(+/-7,472)","403,571","(+/-9,905)","413,282","(+/-8,652)","427,502","(+/-7,658)","401,329","(+/-6,038)","416,266","(+/-8,880)","429,328","(+/-8,572)","388,550","(+/-7,984)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","270,349","(+/-8,098)","261,401","(+/-7,920)","283,126","(+/-9,316)","267,472","(+/-9,175)","220,578","(+/-7,275)","269,882","(+/-7,003)","148,896","(+/-7,171)","238,831","(+/-6,613)","277,836","(+/-7,784)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","32,711","(+/-4,391)","32,904","(+/-3,569)","29,066","(+/-3,409)","24,624","(+/-2,808)","30,666","(+/-3,745)","22,111","(+/-3,035)","26,668","(+/-3,103)","30,360","(+/-3,921)","30,186","(+/-3,427)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,843",(+/-928),"7,770","(+/-1,745)","5,807","(+/-1,382)","18,173","(+/-2,538)","38,817","(+/-4,150)","12,576","(+/-2,241)","89,682","(+/-5,294)","43,100","(+/-3,806)","6,926","(+/-1,734)"
