Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,Race,"Total population","790,801","(+/-8,250)","786,489","(+/-2,460)","785,836","(+/-12,928)","799,350","(+/-4,118)","785,544","(+/-3,063)","778,876","(+/-5,699)","774,125","(+/-8,460)","781,678","(+/-8,564)","780,071","(+/-2,881)","782,035","(+/-2,829)","769,169","(+/-8,394)","793,038","(+/-6,156)","778,868","(+/-3,232)","784,361",(+/-854),"785,817","(+/-14,780)"
People,Race,"One race","741,401","(+/-9,943)","754,817","(+/-4,282)","716,294","(+/-13,360)","753,621","(+/-5,353)","726,386","(+/-5,900)","737,514","(+/-7,174)","728,940","(+/-8,513)","735,877","(+/-9,390)","721,532","(+/-5,662)","727,172","(+/-6,984)","710,348","(+/-9,397)","753,889","(+/-7,066)","725,706","(+/-6,154)","737,016","(+/-4,184)","718,206","(+/-15,526)"
People,Race,White,"546,998","(+/-8,184)","729,088","(+/-4,266)","433,791","(+/-12,277)","689,075","(+/-4,837)","674,347","(+/-5,127)","678,763","(+/-7,097)","672,624","(+/-8,624)","586,313","(+/-8,448)","593,379","(+/-4,074)","570,076","(+/-4,132)","326,251","(+/-7,746)","697,903","(+/-6,988)","599,090","(+/-4,426)","684,290","(+/-2,965)","577,279","(+/-14,349)"
People,Race,"Black or African American","145,623","(+/-9,456)","15,695","(+/-1,871)","213,628","(+/-8,368)","33,219","(+/-2,880)","30,257","(+/-3,334)","46,734","(+/-3,380)","23,838","(+/-3,847)","106,570","(+/-9,388)","89,537","(+/-4,469)","127,202","(+/-5,557)","339,332","(+/-6,161)","29,659","(+/-2,672)","94,120","(+/-5,457)","35,404","(+/-2,709)","84,092","(+/-7,879)"
People,Race,"American Indian and Alaska Native","1,542","(+/-1,019)","1,301",(+/-551),"3,318","(+/-1,951)",734,(+/-370),"1,027",(+/-474),"1,890","(+/-1,084)",981,(+/-822),415,(+/-308),"1,463",(+/-700),761,(+/-470),"1,273",(+/-619),765,(+/-337),968,(+/-603),"1,932","(+/-1,146)","2,559","(+/-1,289)"
People,Race,Asian,"36,009","(+/-2,499)","3,191",(+/-955),"42,768","(+/-5,542)","21,016","(+/-1,794)","7,575","(+/-1,365)","3,012",(+/-828),"23,854","(+/-3,005)","23,001","(+/-3,068)","11,694","(+/-1,020)","18,627","(+/-1,593)","19,832","(+/-2,549)","14,878","(+/-1,179)","26,338","(+/-1,658)","7,810","(+/-1,146)","35,187","(+/-5,472)"
People,Race,"Native Hawaiian and Other Pacific Islander",213,(+/-243),75,(+/-90),115,(+/-149),408,(+/-397),562,(+/-486),107,(+/-94),56,(+/-92),660,"(+/-1,052)",36,(+/-62),550,(+/-763),138,(+/-161),107,(+/-131),67,(+/-110),280,(+/-294),425,(+/-350)
People,Race,"Some other race","11,016","(+/-2,927)","5,467","(+/-2,348)","22,674","(+/-4,430)","9,169","(+/-1,886)","12,618","(+/-2,901)","7,008","(+/-2,330)","7,587","(+/-1,641)","18,918","(+/-3,570)","25,423","(+/-3,911)","9,956","(+/-2,168)","23,522","(+/-4,763)","10,577","(+/-3,053)","5,123","(+/-1,710)","7,300","(+/-2,101)","18,664","(+/-5,020)"
People,Race,"Two or more races","49,400","(+/-6,523)","31,672","(+/-2,997)","69,542","(+/-7,214)","45,729","(+/-4,285)","59,158","(+/-5,173)","41,362","(+/-3,890)","45,185","(+/-5,256)","45,801","(+/-5,652)","58,539","(+/-5,506)","54,863","(+/-6,464)","58,821","(+/-6,718)","39,149","(+/-3,490)","53,162","(+/-5,321)","47,345","(+/-4,091)","67,611","(+/-8,015)"
People,"Hispanic or Latino and Race","Total population","790,801","(+/-8,250)","786,489","(+/-2,460)","785,836","(+/-12,928)","799,350","(+/-4,118)","785,544","(+/-3,063)","778,876","(+/-5,699)","774,125","(+/-8,460)","781,678","(+/-8,564)","780,071","(+/-2,881)","782,035","(+/-2,829)","769,169","(+/-8,394)","793,038","(+/-6,156)","778,868","(+/-3,232)","784,361",(+/-854),"785,817","(+/-14,780)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","31,650","(+/-3,711)","11,594","(+/-1,027)","47,417","(+/-4,992)","19,640","(+/-1,280)","60,988","(+/-1,115)","25,009","(+/-1,309)","31,406","(+/-3,752)","34,109","(+/-3,747)","58,237","(+/-1,182)","28,857","(+/-1,181)","61,261","(+/-3,739)","15,309","(+/-1,465)","21,836",(+/-935),"26,731",(+/-5),"43,188","(+/-5,205)"
People,"Hispanic or Latino and Race",Mexican,"9,475","(+/-2,132)","6,137","(+/-1,332)","18,139","(+/-3,806)","10,624","(+/-1,395)","27,804","(+/-2,738)","6,908","(+/-2,173)","10,007","(+/-2,751)","15,839","(+/-3,613)","45,024","(+/-2,747)","12,909","(+/-2,412)","8,516","(+/-2,561)","5,230","(+/-1,596)","7,615","(+/-2,075)","12,538","(+/-2,653)","21,810","(+/-4,419)"
People,"Hispanic or Latino and Race","Puerto Rican","5,333","(+/-1,889)","1,296",(+/-648),"7,798","(+/-2,126)","3,299","(+/-1,070)","26,260","(+/-2,682)","10,540","(+/-2,096)","11,761","(+/-2,215)","3,050","(+/-1,149)","5,153","(+/-1,613)","4,878","(+/-1,769)","35,588","(+/-5,079)","2,809","(+/-1,145)","4,941","(+/-1,683)","8,466","(+/-2,119)","5,025","(+/-1,882)"
People,"Hispanic or Latino and Race",Cuban,"1,587","(+/-1,007)",491,(+/-432),629,(+/-478),208,(+/-296),572,(+/-388),405,(+/-297),"1,352",(+/-628),"1,045",(+/-844),894,"(+/-1,096)",437,(+/-355),"2,127","(+/-1,239)",394,(+/-268),625,(+/-557),404,(+/-447),362,(+/-334)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,255","(+/-3,019)","3,670","(+/-1,111)","20,851","(+/-4,460)","5,509","(+/-1,557)","6,352","(+/-1,728)","7,156","(+/-1,818)","8,286","(+/-2,035)","14,175","(+/-4,464)","7,166","(+/-2,012)","10,633","(+/-2,820)","15,030","(+/-3,886)","6,876","(+/-1,890)","8,655","(+/-2,331)","5,323","(+/-1,899)","15,991","(+/-3,824)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","759,151","(+/-8,341)","774,895","(+/-2,583)","738,419","(+/-12,515)","779,710","(+/-4,022)","724,556","(+/-3,000)","753,867","(+/-5,805)","742,719","(+/-8,064)","747,569","(+/-8,925)","721,834","(+/-2,902)","753,178","(+/-2,782)","707,908","(+/-8,001)","777,729","(+/-5,888)","757,032","(+/-3,459)","757,630",(+/-854),"742,629","(+/-14,748)"
People,"Place of Birth","Total population","790,801","(+/-8,250)","786,489","(+/-2,460)","785,836","(+/-12,928)","799,350","(+/-4,118)","785,544","(+/-3,063)","778,876","(+/-5,699)","774,125","(+/-8,460)","781,678","(+/-8,564)","780,071","(+/-2,881)","782,035","(+/-2,829)","769,169","(+/-8,394)","793,038","(+/-6,156)","778,868","(+/-3,232)","784,361",(+/-854),"785,817","(+/-14,780)"
People,"Place of Birth",Native,"733,337","(+/-8,358)","778,400","(+/-2,866)","684,075","(+/-13,521)","769,518","(+/-4,788)","769,414","(+/-3,662)","768,508","(+/-6,397)","720,457","(+/-9,254)","737,533","(+/-8,525)","756,223","(+/-3,656)","746,209","(+/-4,686)","719,193","(+/-10,264)","767,880","(+/-6,549)","741,964","(+/-4,174)","761,260","(+/-3,073)","716,149","(+/-15,206)"
People,"Place of Birth","Born in United States","724,865","(+/-8,654)","775,171","(+/-2,869)","675,442","(+/-13,173)","764,330","(+/-5,030)","760,417","(+/-3,922)","761,610","(+/-6,025)","712,536","(+/-9,201)","730,449","(+/-8,322)","752,297","(+/-4,002)","734,049","(+/-4,953)","698,998","(+/-9,854)","764,295","(+/-6,484)","736,493","(+/-4,257)","756,492","(+/-3,260)","707,014","(+/-14,968)"
People,"Place of Birth","State of residence","536,099","(+/-10,349)","613,407","(+/-6,149)","489,718","(+/-12,609)","629,812","(+/-7,898)","636,484","(+/-8,138)","583,780","(+/-7,959)","594,380","(+/-8,929)","578,612","(+/-10,263)","607,953","(+/-7,995)","545,151","(+/-8,676)","556,220","(+/-10,891)","639,412","(+/-8,260)","604,497","(+/-6,520)","610,496","(+/-8,631)","564,204","(+/-15,351)"
People,"Place of Birth","Different state","188,766","(+/-8,590)","161,764","(+/-6,193)","185,724","(+/-7,881)","134,518","(+/-6,457)","123,933","(+/-6,749)","177,830","(+/-5,234)","118,156","(+/-6,534)","151,837","(+/-8,276)","144,344","(+/-7,303)","188,898","(+/-7,654)","142,778","(+/-7,204)","124,883","(+/-6,416)","131,996","(+/-5,773)","145,996","(+/-8,433)","142,810","(+/-6,878)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,472","(+/-2,013)","3,229",(+/-940),"8,633","(+/-1,997)","5,188","(+/-1,440)","8,997","(+/-2,123)","6,898","(+/-1,602)","7,921","(+/-1,707)","7,084","(+/-1,903)","3,926","(+/-1,079)","12,160","(+/-2,115)","20,195","(+/-3,431)","3,585",(+/-947),"5,471","(+/-1,426)","4,768","(+/-1,398)","9,135","(+/-2,084)"
People,"Place of Birth","Foreign born","57,464","(+/-5,346)","8,089","(+/-1,546)","101,761","(+/-8,123)","29,832","(+/-3,306)","16,130","(+/-2,428)","10,368","(+/-1,797)","53,668","(+/-4,550)","44,145","(+/-5,285)","23,848","(+/-2,304)","35,826","(+/-3,585)","49,976","(+/-5,855)","25,158","(+/-2,923)","36,904","(+/-2,836)","23,101","(+/-2,980)","69,668","(+/-7,924)"
People,Ancestry,"Total population","790,801","(+/-8,250)","786,489","(+/-2,460)","785,836","(+/-12,928)","799,350","(+/-4,118)","785,544","(+/-3,063)","778,876","(+/-5,699)","774,125","(+/-8,460)","781,678","(+/-8,564)","780,071","(+/-2,881)","782,035","(+/-2,829)","769,169","(+/-8,394)","793,038","(+/-6,156)","778,868","(+/-3,232)","784,361",(+/-854),"785,817","(+/-14,780)"
People,Ancestry,American,"31,513","(+/-4,350)","65,133","(+/-5,472)","23,544","(+/-3,567)","57,789","(+/-5,017)","38,812","(+/-3,789)","45,651","(+/-4,476)","31,783","(+/-4,100)","43,963","(+/-4,569)","34,507","(+/-4,609)","42,085","(+/-4,814)","22,247","(+/-3,268)","64,305","(+/-5,158)","34,324","(+/-3,872)","76,347","(+/-8,022)","47,170","(+/-5,993)"
People,Ancestry,Arab,"4,705","(+/-1,765)",530,(+/-333),"8,169","(+/-3,113)","2,098","(+/-1,116)","4,034","(+/-2,723)","3,785","(+/-1,346)","11,431","(+/-3,351)","3,057","(+/-1,265)","7,619","(+/-2,141)","5,406","(+/-2,559)","9,377","(+/-2,739)","3,509","(+/-1,997)","5,694","(+/-1,405)","4,214","(+/-2,332)","11,586","(+/-5,238)"
People,Ancestry,Czech,"2,806","(+/-1,206)",847,(+/-606),"3,217","(+/-1,008)","1,731",(+/-794),"4,603","(+/-1,786)","2,356",(+/-777),"10,632","(+/-1,861)",689,(+/-352),"2,767","(+/-1,260)","1,163",(+/-625),"4,280","(+/-1,157)","2,118",(+/-825),"4,013","(+/-1,015)","6,405","(+/-1,524)","2,659","(+/-1,166)"
People,Ancestry,Danish,"1,584",(+/-671),790,(+/-516),992,(+/-579),"1,231",(+/-751),593,(+/-348),722,(+/-454),"1,425",(+/-572),597,(+/-350),814,(+/-373),"1,664",(+/-702),672,(+/-368),715,(+/-347),"1,421",(+/-953),689,(+/-403),964,(+/-507)
People,Ancestry,Dutch,"5,244","(+/-1,379)","7,788","(+/-1,818)","4,676","(+/-1,322)","8,840","(+/-2,212)","4,992",(+/-928),"6,889","(+/-1,419)","7,165","(+/-1,599)","4,991","(+/-1,381)","7,019","(+/-1,816)","6,212","(+/-1,438)","2,915",(+/-789),"10,304","(+/-2,540)","5,646","(+/-1,479)","5,398","(+/-1,526)","6,586","(+/-1,771)"
People,Ancestry,English,"89,086","(+/-6,763)","108,383","(+/-6,943)","81,392","(+/-5,331)","104,401","(+/-6,863)","85,071","(+/-5,722)","89,197","(+/-5,805)","79,926","(+/-5,980)","80,233","(+/-6,735)","74,034","(+/-5,861)","93,526","(+/-5,875)","36,468","(+/-3,569)","106,073","(+/-6,947)","82,801","(+/-5,643)","85,278","(+/-5,992)","90,525","(+/-6,902)"
People,Ancestry,"French (except Basque)","10,504","(+/-1,976)","15,244","(+/-3,190)","10,758","(+/-1,774)","12,505","(+/-1,979)","12,179","(+/-2,049)","14,895","(+/-3,165)","12,589","(+/-2,254)","12,014","(+/-2,033)","19,489","(+/-2,595)","12,082","(+/-1,926)","6,530","(+/-1,259)","9,770","(+/-1,480)","16,320","(+/-2,826)","12,385","(+/-2,103)","11,884","(+/-2,158)"
People,Ancestry,"French Canadian","1,129",(+/-610),896,(+/-451),"1,451",(+/-688),"1,276",(+/-746),"1,775",(+/-695),"1,248",(+/-776),"1,501",(+/-849),"1,320",(+/-863),"3,025","(+/-1,038)","1,759",(+/-895),"1,421",(+/-629),937,(+/-516),"1,978","(+/-1,788)","1,916",(+/-737),"1,949",(+/-833)
People,Ancestry,German,"180,636","(+/-9,377)","154,487","(+/-9,605)","136,268","(+/-8,160)","212,083","(+/-9,831)","243,380","(+/-9,111)","168,586","(+/-9,041)","191,039","(+/-8,407)","202,395","(+/-10,493)","221,102","(+/-8,308)","161,792","(+/-8,240)","73,029","(+/-6,212)","175,876","(+/-8,864)","166,826","(+/-8,531)","155,652","(+/-8,311)","171,740","(+/-9,702)"
People,Ancestry,Greek,"4,469","(+/-1,425)","2,067","(+/-1,806)","3,443","(+/-1,053)","5,270","(+/-2,571)","1,674",(+/-730),"4,915","(+/-1,734)","4,561","(+/-1,112)","1,705",(+/-767),"2,348",(+/-890),"2,897","(+/-1,391)","3,463","(+/-1,443)","2,199",(+/-932),"7,455","(+/-1,880)","3,428","(+/-1,053)","1,811","(+/-1,037)"
People,Ancestry,Hungarian,"5,477","(+/-1,808)","2,476",(+/-753),"7,690","(+/-2,351)","5,280","(+/-1,635)","15,041","(+/-2,644)","11,062","(+/-2,072)","25,981","(+/-3,449)","2,352",(+/-800),"12,567","(+/-2,643)","4,453","(+/-1,287)","15,602","(+/-3,544)","6,697","(+/-1,956)","12,717","(+/-2,421)","22,496","(+/-3,930)","4,629","(+/-1,762)"
People,Ancestry,Irish,"92,419","(+/-6,138)","88,573","(+/-6,548)","85,038","(+/-6,202)","94,393","(+/-6,758)","88,265","(+/-5,990)","100,341","(+/-6,910)","117,725","(+/-7,200)","85,783","(+/-5,787)","90,461","(+/-6,780)","95,510","(+/-6,505)","67,038","(+/-5,399)","97,389","(+/-6,292)","95,571","(+/-6,625)","108,561","(+/-7,027)","95,301","(+/-7,418)"
People,Ancestry,Italian,"33,732","(+/-4,075)","20,953","(+/-3,196)","35,034","(+/-3,863)","27,785","(+/-3,673)","36,494","(+/-5,043)","69,732","(+/-5,814)","74,439","(+/-5,269)","26,730","(+/-3,533)","29,082","(+/-4,149)","27,136","(+/-4,001)","42,060","(+/-3,922)","29,227","(+/-3,952)","72,357","(+/-5,839)","85,514","(+/-6,427)","36,449","(+/-6,037)"
People,Ancestry,Lithuanian,"1,543",(+/-776),862,(+/-702),"1,148",(+/-626),183,(+/-212),"1,107",(+/-648),560,(+/-422),"2,202",(+/-794),186,(+/-191),704,(+/-402),"1,350",(+/-799),"2,488",(+/-861),587,(+/-394),951,(+/-579),"3,256","(+/-1,242)","1,413","(+/-1,125)"
People,Ancestry,Norwegian,"2,862",(+/-810),"2,666","(+/-1,152)","3,386","(+/-1,058)","1,923",(+/-817),"1,659",(+/-708),"1,680",(+/-819),"3,046","(+/-1,056)","2,515","(+/-1,181)","3,643","(+/-1,365)","3,906","(+/-1,569)","1,067",(+/-443),"2,514",(+/-755),"2,254",(+/-866),"3,278",(+/-996),"3,837","(+/-1,311)"
People,Ancestry,Polish,"17,938","(+/-4,082)","7,118","(+/-1,709)","18,681","(+/-3,122)","16,448","(+/-2,677)","35,119","(+/-3,941)","24,889","(+/-3,194)","60,995","(+/-5,795)","10,080","(+/-2,307)","45,305","(+/-4,160)","14,727","(+/-3,448)","33,260","(+/-3,640)","11,244","(+/-2,084)","29,243","(+/-4,050)","39,263","(+/-4,301)","18,966","(+/-3,563)"
People,Ancestry,Portuguese,593,(+/-510),672,(+/-734),"1,373",(+/-976),355,(+/-377),886,(+/-585),820,(+/-582),"1,469","(+/-1,338)",138,(+/-221),429,(+/-292),201,(+/-144),"1,143",(+/-818),259,(+/-182),"1,214","(+/-1,079)",350,(+/-229),941,(+/-587)
People,Ancestry,Russian,"4,957","(+/-1,664)","1,191",(+/-546),"4,282","(+/-1,250)","3,705","(+/-1,757)","3,099",(+/-908),"1,644",(+/-729),"7,403","(+/-1,725)","1,795",(+/-903),"1,957",(+/-711),"3,602","(+/-1,545)","6,640","(+/-1,269)","1,856",(+/-911),"5,121","(+/-1,267)","6,493","(+/-2,606)","4,343","(+/-1,572)"
People,Ancestry,Scotch-Irish,"7,267","(+/-2,112)","6,957","(+/-1,361)","6,634","(+/-1,642)","6,815","(+/-1,529)","6,176","(+/-2,091)","6,464","(+/-1,304)","7,391","(+/-2,443)","5,385","(+/-1,322)","6,263","(+/-2,178)","7,957","(+/-1,553)","3,522","(+/-1,096)","7,701","(+/-1,475)","6,410","(+/-1,714)","6,190","(+/-1,324)","6,135","(+/-1,613)"
People,Ancestry,Scottish,"17,157","(+/-2,647)","15,047","(+/-2,447)","12,709","(+/-1,729)","21,137","(+/-4,380)","14,822","(+/-2,770)","15,562","(+/-3,347)","12,511","(+/-2,001)","13,361","(+/-2,768)","12,800","(+/-1,996)","16,624","(+/-3,150)","7,545","(+/-1,738)","15,538","(+/-2,691)","13,990","(+/-2,952)","14,083","(+/-2,720)","14,523","(+/-2,340)"
People,Ancestry,Slovak,"1,765",(+/-767),486,(+/-303),"3,495","(+/-1,033)","2,201",(+/-945),"9,152","(+/-2,836)","15,748","(+/-2,312)","24,348","(+/-3,588)",922,(+/-630),"3,176",(+/-770),"3,038","(+/-1,529)","9,085","(+/-2,508)","4,071","(+/-1,434)","8,898","(+/-1,998)","13,858","(+/-2,376)","1,895",(+/-686)
People,Ancestry,"Subsaharan African","10,779","(+/-3,764)",754,(+/-587),"58,128","(+/-8,778)","6,083","(+/-2,329)","2,892","(+/-1,316)","8,850","(+/-2,634)","1,750",(+/-802),"10,140","(+/-3,847)","6,394","(+/-2,165)","8,211","(+/-2,457)","18,695","(+/-5,337)","3,624","(+/-1,356)","19,809","(+/-4,992)","2,822","(+/-1,358)","21,335","(+/-5,459)"
