Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Place of Birth","Foreign born","18,938","(+/-2,706)","12,993","(+/-2,140)","16,038","(+/-2,051)","17,479","(+/-2,107)"
People,Ancestry,"Total population","748,916","(+/-2,560)","704,754","(+/-6,525)","735,973","(+/-6,696)","750,414","(+/-2,491)"
People,Ancestry,American,"66,685","(+/-6,435)","48,490","(+/-4,989)","82,758","(+/-8,889)","81,459","(+/-6,601)"
People,Ancestry,Arab,551,(+/-420),"2,445","(+/-1,623)","3,706","(+/-1,550)","1,283",(+/-836)
People,Ancestry,Czech,154,(+/-158),45,(+/-56),157,(+/-257),382,(+/-384)
People,Ancestry,Danish,480,(+/-356),313,(+/-279),341,(+/-271),589,(+/-511)
People,Ancestry,Dutch,"2,703",(+/-860),"1,669",(+/-735),"2,072",(+/-892),"3,716","(+/-1,068)"
People,Ancestry,English,"80,554","(+/-6,145)","43,966","(+/-4,767)","78,240","(+/-5,917)","96,092","(+/-7,334)"
People,Ancestry,"French (except Basque)","6,519","(+/-2,010)","5,453","(+/-1,254)","11,575","(+/-3,115)","31,814","(+/-4,105)"
People,Ancestry,"French Canadian",709,(+/-476),482,(+/-287),793,(+/-414),"4,597","(+/-1,730)"
People,Ancestry,German,"36,559","(+/-4,740)","17,791","(+/-3,257)","34,479","(+/-4,396)","57,709","(+/-5,167)"
People,Ancestry,Greek,884,(+/-607),282,(+/-297),708,(+/-500),"1,948","(+/-1,324)"
People,Ancestry,Hungarian,46,(+/-79),112,(+/-168),285,(+/-242),639,(+/-461)
People,Ancestry,Irish,"64,514","(+/-6,948)","28,736","(+/-3,160)","58,634","(+/-5,309)","58,266","(+/-4,887)"
People,Ancestry,Italian,"13,734","(+/-3,142)","6,317","(+/-1,909)","10,116","(+/-2,266)","20,386","(+/-3,126)"
People,Ancestry,Lithuanian,142,(+/-182),0,(+/-217),475,(+/-459),456,(+/-408)
People,Ancestry,Norwegian,986,(+/-482),771,(+/-514),"1,525",(+/-624),"3,481","(+/-1,206)"
People,Ancestry,Polish,"2,866","(+/-1,416)",840,(+/-561),"2,100",(+/-819),"4,400","(+/-1,916)"
People,Ancestry,Portuguese,830,(+/-680),82,(+/-97),186,(+/-161),"1,404",(+/-920)
People,Ancestry,Russian,833,(+/-524),0,(+/-217),485,(+/-299),"1,181",(+/-647)
People,Ancestry,Scotch-Irish,"8,734","(+/-1,973)","6,513","(+/-2,023)","10,919","(+/-2,622)","7,542","(+/-1,842)"
People,Ancestry,Scottish,"10,784","(+/-1,897)","5,044","(+/-1,334)","10,881","(+/-2,061)","13,827","(+/-2,889)"
People,Ancestry,Slovak,284,(+/-262),0,(+/-217),159,(+/-159),246,(+/-197)
People,Ancestry,"Subsaharan African","3,496","(+/-2,081)","8,275","(+/-2,009)","5,746","(+/-2,283)","3,691","(+/-1,371)"
People,Ancestry,Swedish,744,(+/-401),"1,300",(+/-921),878,(+/-413),"3,317","(+/-1,142)"
People,Ancestry,Swiss,644,(+/-440),130,(+/-136),323,(+/-426),792,(+/-336)
People,Ancestry,Ukrainian,97,(+/-150),77,(+/-139),45,(+/-55),184,(+/-171)
People,Ancestry,Welsh,"1,928",(+/-783),582,(+/-321),"1,245",(+/-455),"2,424",(+/-874)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",768,(+/-854),598,(+/-663),"1,277","(+/-1,165)","1,311",(+/-679)
People,"Veteran Status","Civilian population 18 years and over","572,814","(+/-2,769)","540,803","(+/-5,279)","566,697","(+/-5,654)","568,674","(+/-2,588)"
People,"Veteran Status","Civilian veterans","32,409","(+/-2,774)","28,681","(+/-2,493)","34,180","(+/-2,797)","51,523","(+/-3,571)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","737,091","(+/-3,017)","683,453","(+/-6,403)","718,972","(+/-6,573)","732,596","(+/-2,946)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","117,756","(+/-7,020)","132,238","(+/-6,256)","121,768","(+/-5,211)","162,066","(+/-7,216)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","173,028","(+/-1,432)","162,837","(+/-2,615)","165,979","(+/-2,803)","173,203","(+/-1,787)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,913","(+/-1,821)","9,148","(+/-2,097)","9,420","(+/-1,994)","15,750","(+/-2,651)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","442,425","(+/-3,128)","396,683","(+/-4,840)","428,457","(+/-4,813)","432,644","(+/-2,844)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","62,041","(+/-5,129)","67,925","(+/-4,640)","62,740","(+/-4,109)","86,593","(+/-5,654)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","121,638","(+/-1,470)","123,933","(+/-2,520)","124,536","(+/-2,398)","126,749","(+/-1,759)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","45,802","(+/-2,918)","55,165","(+/-3,593)","49,608","(+/-2,673)","59,723","(+/-2,996)"
People,"Residence 1 Year Ago","Population 1 year and over","741,231","(+/-2,939)","697,568","(+/-6,468)","728,054","(+/-6,578)","740,474","(+/-3,132)"
People,"Residence 1 Year Ago","Same house","665,841","(+/-7,989)","626,169","(+/-9,202)","651,333","(+/-8,003)","641,548","(+/-8,093)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","75,390","(+/-7,548)","71,399","(+/-7,593)","76,721","(+/-7,488)","98,926","(+/-7,569)"
People,"Residence 1 Year Ago","Different house in the U.S.","70,443","(+/-7,292)","67,548","(+/-7,433)","74,962","(+/-7,466)","95,537","(+/-7,684)"
People,"Residence 1 Year Ago","Same county","31,657","(+/-5,041)","42,588","(+/-6,179)","34,904","(+/-5,638)","39,844","(+/-5,113)"
People,"Residence 1 Year Ago","Different county","38,786","(+/-5,078)","24,960","(+/-3,361)","40,058","(+/-6,042)","55,693","(+/-6,601)"
People,"Residence 1 Year Ago","Same state","20,598","(+/-3,613)","18,723","(+/-2,989)","26,706","(+/-4,461)","23,522","(+/-4,759)"
People,"Residence 1 Year Ago","Different state","18,188","(+/-3,482)","6,237","(+/-1,343)","13,352","(+/-3,917)","32,171","(+/-4,464)"
People,"Residence 1 Year Ago",Abroad,"4,947","(+/-2,532)","3,851","(+/-1,215)","1,759",(+/-858),"3,389","(+/-2,129)"
Workers,"Employment Status","Population 16 years and over","595,735","(+/-3,234)","560,082","(+/-6,340)","588,957","(+/-5,941)","596,518","(+/-2,960)"
Workers,"Employment Status","In labor force","351,801","(+/-6,942)","292,867","(+/-6,397)","343,009","(+/-7,655)","349,709","(+/-6,011)"
Workers,"Employment Status","Civilian labor force","349,200","(+/-7,094)","291,963","(+/-6,404)","339,908","(+/-7,669)","341,305","(+/-6,181)"
Workers,"Employment Status",Employed,"335,927","(+/-7,581)","273,084","(+/-7,028)","325,783","(+/-8,043)","322,768","(+/-5,957)"
Workers,"Employment Status",Unemployed,"13,273","(+/-1,997)","18,879","(+/-2,648)","14,125","(+/-2,270)","18,537","(+/-2,830)"
Workers,"Employment Status","Armed Forces","2,601",(+/-982),904,(+/-649),"3,101",(+/-968),"8,404","(+/-1,708)"
Workers,"Employment Status","Not in labor force","243,934","(+/-6,676)","267,215","(+/-6,372)","245,948","(+/-6,937)","246,809","(+/-5,655)"
Workers,"Employment Status","Civilian labor force","349,200","(+/-7,094)","291,963","(+/-6,404)","339,908","(+/-7,669)","341,305","(+/-6,181)"
Workers,"Employment Status","Unemployment Rate",3.8,(+/-0.6),6.5,(+/-0.9),4.2,(+/-0.7),5.4,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over","333,593","(+/-7,509)","268,953","(+/-7,088)","323,135","(+/-8,254)","325,090","(+/-5,950)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","281,353","(+/-7,284)","213,884","(+/-6,485)","265,346","(+/-8,107)","263,568","(+/-7,286)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,170","(+/-3,524)","32,002","(+/-3,329)","30,291","(+/-3,961)","29,452","(+/-3,473)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",694,(+/-546),727,(+/-402),"1,020",(+/-547),"1,144",(+/-620)
Workers,"Commuting to Work",Walked,"2,666",(+/-944),"4,941","(+/-1,403)","4,782","(+/-1,262)","6,203","(+/-1,280)"
Workers,"Commuting to Work","Other means","3,024","(+/-1,035)","3,790","(+/-1,038)","4,668","(+/-1,207)","3,992","(+/-1,196)"
Workers,"Commuting to Work","Worked from home","17,686","(+/-2,708)","13,609","(+/-2,249)","17,028","(+/-2,630)","20,731","(+/-2,595)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,(+/-0.7),24.6,(+/-0.8),25.7,(+/-0.8),26.7,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","335,927","(+/-7,581)","273,084","(+/-7,028)","325,783","(+/-8,043)","322,768","(+/-5,957)"
Workers,Occupation,"Management, business, science, and arts occupations","114,376","(+/-5,439)","88,214","(+/-5,064)","122,020","(+/-4,920)","118,756","(+/-4,613)"
Workers,Occupation,"Service occupations","45,987","(+/-3,708)","55,745","(+/-4,506)","50,060","(+/-4,037)","53,774","(+/-4,967)"
Workers,Occupation,"Sales and office occupations","67,322","(+/-4,630)","50,549","(+/-4,298)","68,097","(+/-4,713)","68,462","(+/-4,317)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","33,807","(+/-3,314)","28,659","(+/-3,367)","32,871","(+/-3,143)","37,196","(+/-3,526)"
Workers,Occupation,"Production, transportation, and material moving occupations","74,435","(+/-4,985)","49,917","(+/-3,758)","52,735","(+/-4,476)","44,580","(+/-3,771)"
Workers,Industry,"Civilian employed population 16 years and over","335,927","(+/-7,581)","273,084","(+/-7,028)","325,783","(+/-8,043)","322,768","(+/-5,957)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","6,067","(+/-1,438)","6,982","(+/-1,163)","10,283","(+/-2,113)","7,334","(+/-1,698)"
Workers,Industry,Construction,"22,466","(+/-2,936)","17,485","(+/-2,574)","21,626","(+/-2,590)","28,450","(+/-3,026)"
Workers,Industry,Manufacturing,"62,921","(+/-4,536)","34,879","(+/-3,493)","42,872","(+/-3,969)","34,197","(+/-3,570)"
Workers,Industry,"Wholesale trade","7,943","(+/-1,987)","4,463","(+/-1,041)","7,255","(+/-1,609)","4,975","(+/-1,135)"
Workers,Industry,"Retail trade","36,494","(+/-3,863)","30,101","(+/-3,401)","35,466","(+/-3,599)","36,827","(+/-3,207)"
Workers,Industry,"Transportation and warehousing, and utilities","34,034","(+/-3,809)","19,485","(+/-2,909)","18,945","(+/-2,495)","15,947","(+/-2,481)"
Workers,Industry,Information,"3,461","(+/-1,170)","1,973",(+/-774),"3,234",(+/-947),"2,322",(+/-792)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","15,594","(+/-2,246)","9,702","(+/-1,798)","17,797","(+/-2,211)","16,805","(+/-2,500)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","22,231","(+/-2,609)","19,170","(+/-2,221)","25,221","(+/-3,275)","27,071","(+/-2,971)"
Workers,Industry,"Educational services, and health care and social assistance","75,388","(+/-4,978)","73,067","(+/-4,592)","86,302","(+/-4,224)","79,809","(+/-4,847)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","25,447","(+/-2,835)","22,610","(+/-3,167)","24,673","(+/-2,969)","34,890","(+/-3,722)"
Workers,Industry,"Other services, except public administration","11,759","(+/-1,958)","14,261","(+/-2,036)","16,317","(+/-2,525)","16,769","(+/-2,566)"
Workers,Industry,"Public administration","12,122","(+/-2,122)","18,906","(+/-2,335)","15,792","(+/-2,576)","17,372","(+/-2,422)"
Workers,"Class of Worker","Civilian employed population 16 years and over","335,927","(+/-7,581)","273,084","(+/-7,028)","325,783","(+/-8,043)","322,768","(+/-5,957)"
Workers,"Class of Worker","Private wage and salary workers","268,726","(+/-7,249)","194,826","(+/-6,646)","242,109","(+/-7,356)","240,546","(+/-6,207)"
Workers,"Class of Worker","Government workers","48,313","(+/-4,633)","61,833","(+/-4,329)","63,043","(+/-4,546)","60,140","(+/-3,963)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","18,722","(+/-3,015)","15,570","(+/-2,224)","20,338","(+/-2,893)","21,197","(+/-2,930)"
Workers,"Class of Worker","Unpaid family workers",166,(+/-198),855,(+/-492),293,(+/-311),885,(+/-510)
Housing,"Housing Occupancy","Total housing units","338,025","(+/-1,260)","340,644","(+/-3,295)","332,757","(+/-3,328)","331,338","(+/-1,472)"
Housing,"Housing Occupancy","Occupied housing units","287,109","(+/-4,191)","277,575","(+/-4,922)","288,391","(+/-4,584)","295,265","(+/-3,915)"
Housing,"Housing Occupancy","Vacant housing units","50,916","(+/-3,861)","63,069","(+/-4,428)","44,366","(+/-4,447)","36,073","(+/-3,520)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,(+/-0.3),0.6,(+/-0.3),0.2,(+/-0.2),1.2,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",13.1,(+/-2.5),7.3,(+/-1.5),5.5,(+/-1.7),5.8,(+/-1.4)
Housing,"Housing Tenure","Occupied housing units","287,109","(+/-4,191)","277,575","(+/-4,922)","288,391","(+/-4,584)","295,265","(+/-3,915)"
Housing,"Housing Tenure",Owner-occupied,"213,122","(+/-4,612)","176,037","(+/-4,832)","208,830","(+/-5,755)","205,017","(+/-4,982)"
Housing,"Housing Tenure",Renter-occupied,"73,987","(+/-4,394)","101,538","(+/-4,620)","79,561","(+/-5,145)","90,248","(+/-4,264)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.55,(+/-0.04),2.45,(+/-0.06),2.55,(+/-0.05),2.53,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.52,(+/-0.10),2.37,(+/-0.07),2.27,(+/-0.09),2.36,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","287,109","(+/-4,191)","277,575","(+/-4,922)","288,391","(+/-4,584)","295,265","(+/-3,915)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","36,420","(+/-3,273)","36,293","(+/-3,485)","44,113","(+/-4,155)","55,855","(+/-3,766)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","64,941","(+/-4,168)","56,178","(+/-4,533)","61,510","(+/-4,204)","61,252","(+/-4,001)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","69,269","(+/-3,539)","62,301","(+/-4,140)","64,249","(+/-4,188)","72,487","(+/-4,052)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","48,403","(+/-3,487)","50,121","(+/-3,585)","51,332","(+/-4,015)","48,678","(+/-3,337)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","36,009","(+/-2,979)","34,740","(+/-2,725)","29,293","(+/-2,403)","26,648","(+/-2,311)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","32,067","(+/-2,797)","37,942","(+/-2,661)","37,894","(+/-3,029)","30,345","(+/-2,754)"
Housing,Value,"Owner-occupied units","213,122","(+/-4,612)","176,037","(+/-4,832)","208,830","(+/-5,755)","205,017","(+/-4,982)"
Housing,Value,"Less than $50,000","23,234","(+/-2,322)","31,093","(+/-2,688)","31,661","(+/-2,657)","19,459","(+/-2,381)"
Housing,Value,"$50,000 to $99,999","34,827","(+/-2,689)","49,368","(+/-3,435)","37,237","(+/-3,277)","28,521","(+/-2,659)"
Housing,Value,"$100,000 to $149,999","29,716","(+/-2,611)","29,069","(+/-2,498)","23,914","(+/-2,367)","27,579","(+/-2,992)"
Housing,Value,"$150,000 to $199,999","35,324","(+/-3,063)","23,001","(+/-2,099)","25,374","(+/-2,576)","35,314","(+/-3,188)"
Housing,Value,"$200,000 to $299,999","42,539","(+/-3,082)","23,791","(+/-2,460)","43,746","(+/-3,516)","47,908","(+/-3,046)"
Housing,Value,"$300,000 to $499,999","36,853","(+/-3,103)","14,386","(+/-1,837)","32,023","(+/-2,859)","33,968","(+/-2,707)"
Housing,Value,"$500,000 to $999,999","8,252","(+/-1,712)","4,608","(+/-1,090)","11,869","(+/-1,738)","10,399","(+/-1,699)"
Housing,Value,"$1,000,000 or more","2,377",(+/-799),721,(+/-390),"3,006",(+/-977),"1,869",(+/-691)
Housing,Value,"Median (dollars)","173,600","(+/-5,276)","109,900","(+/-3,892)","168,600","(+/-5,761)","184,500","(+/-6,743)"
Housing,"Mortgage Status","Owner-occupied units","213,122","(+/-4,612)","176,037","(+/-4,832)","208,830","(+/-5,755)","205,017","(+/-4,982)"
Housing,"Mortgage Status","Housing units with a mortgage","114,328","(+/-4,150)","76,500","(+/-3,984)","103,012","(+/-4,766)","106,917","(+/-4,489)"
Housing,"Mortgage Status","Housing units without a mortgage","98,794","(+/-3,907)","99,537","(+/-4,336)","105,818","(+/-4,449)","98,100","(+/-4,005)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","114,328","(+/-4,150)","76,500","(+/-3,984)","103,012","(+/-4,766)","106,917","(+/-4,489)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","2,679",(+/-829),"1,799",(+/-656),"2,361",(+/-683),906,(+/-410)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","34,947","(+/-3,304)","26,806","(+/-2,373)","27,675","(+/-2,965)","25,636","(+/-2,909)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","38,310","(+/-3,857)","26,645","(+/-2,416)","32,093","(+/-3,395)","40,586","(+/-3,085)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","20,173","(+/-2,601)","12,492","(+/-1,945)","20,781","(+/-2,450)","20,854","(+/-2,438)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","9,776","(+/-1,771)","5,128","(+/-1,485)","11,074","(+/-1,706)","10,097","(+/-1,603)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","5,105","(+/-1,452)","2,046",(+/-823),"4,251",(+/-878),"4,864","(+/-1,159)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","3,338",(+/-890),"1,584",(+/-610),"4,777","(+/-1,037)","3,974",(+/-953)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,235",(+/-35),"1,150",(+/-34),"1,339",(+/-44),"1,327",(+/-29)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","98,794","(+/-3,907)","99,537","(+/-4,336)","105,818","(+/-4,449)","98,100","(+/-4,005)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","17,968","(+/-2,062)","21,201","(+/-2,486)","20,723","(+/-1,869)","17,948","(+/-2,098)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","32,540","(+/-2,706)","31,582","(+/-2,787)","33,319","(+/-2,966)","31,014","(+/-2,852)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","29,941","(+/-2,648)","29,480","(+/-2,708)","31,157","(+/-2,950)","26,540","(+/-2,263)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","10,277","(+/-1,599)","9,268","(+/-1,516)","11,927","(+/-1,663)","14,108","(+/-1,796)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","5,020","(+/-1,197)","5,138","(+/-1,168)","4,393","(+/-1,164)","3,152",(+/-742)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","3,048",(+/-873),"2,868",(+/-914),"4,299","(+/-1,013)","5,338","(+/-1,289)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",394,(+/-15),387,(+/-11),395,(+/-12),401,(+/-15)
Housing,"Gross Rent","Occupied units paying rent","63,296","(+/-4,244)","85,034","(+/-4,536)","70,593","(+/-4,957)","81,212","(+/-4,195)"
Housing,"Gross Rent","Less than $500","7,937","(+/-1,466)","16,003","(+/-2,029)","9,547","(+/-2,004)","8,490","(+/-1,595)"
Housing,"Gross Rent","$500 to $999","30,573","(+/-2,842)","47,241","(+/-4,119)","32,825","(+/-3,158)","35,438","(+/-3,216)"
Housing,"Gross Rent","$1,000 to $1,499","18,064","(+/-2,576)","18,707","(+/-2,900)","20,243","(+/-2,820)","29,485","(+/-3,235)"
Housing,"Gross Rent","$1,500 to $1,999","3,144","(+/-1,045)","2,281",(+/-887),"5,135","(+/-1,426)","6,604","(+/-1,469)"
Housing,"Gross Rent","$2,000 to $2,499","2,915","(+/-1,225)",28,(+/-54),"2,009","(+/-1,089)",770,(+/-538)
Housing,"Gross Rent","$2,500 to $2,999",346,(+/-297),149,(+/-167),171,(+/-166),0,(+/-217)
Housing,"Gross Rent","$3,000 or more",317,(+/-298),625,(+/-424),663,(+/-412),425,(+/-363)
Housing,"Gross Rent","Median (dollars)",880,(+/-28),772,(+/-32),903,(+/-35),957,(+/-33)
Housing,"Gross Rent","No rent paid","10,691","(+/-1,473)","16,504","(+/-2,721)","8,968","(+/-1,449)","9,036","(+/-1,630)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Total households","287,109","(+/-4,191)","277,575","(+/-4,922)","288,391","(+/-4,584)","295,265","(+/-3,915)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","Less than $10,000","18,262","(+/-2,054)","30,057","(+/-2,839)","21,794","(+/-2,467)","23,055","(+/-2,735)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$10,000 to $14,999","15,121","(+/-2,017)","24,757","(+/-3,153)","16,160","(+/-2,119)","17,310","(+/-2,553)"
Socioeconomic,"Income and Benefits (In 2022 inflation-adjusted dollars)","$15,000 to $24,999","29,022","(+/-2,612)","36,784","(+/-3,127)","26,996","(+/-2,561)","29,265","(+/-2,975)"
